50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.48192,,,,,,,,,,,,,2c38c561-5f4a-49b0-9b09-7820ccb95778,56,,"[64.3, 45.7]",3879586,1,,,,,1.213804,,Right Foot,,,"[71.2, 64.2]",,Ground Pass,,19.744873,,,,,Carlos Mario Carbonero Mancilla,27595.0,,,,,Free Kick,1,From Free Kick,Fernando Lucas Martins,16586.0,Center Defensive Midfield,7,Sampdoria,234,['e735ced0-9742-4275-8381-7eb184f1a51b'],20,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:20.015,Pass,
,,,,,,,,,,,,,,,,,1.03912,,,,,,,,,,,,,93b6ebf2-1929-4487-b269-384058ab3659,60,,"[71.7, 66.0]",3879586,1,,,,,-1.9379702,,Right Foot,,,"[68.7, 58.2]",,Ground Pass,,8.357033,,,,,Édgar Osvaldo Barreto Cáceres,7009.0,,,,,,1,From Free Kick,Carlos Mario Carbonero Mancilla,27595.0,Right Wing,7,Sampdoria,234,"['81fe56b8-ec4a-42c0-b216-9c527bb24db0', '9697df3f-d9bf-40c0-8fb0-5a971f5da144']",22,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:22.706,Pass,True
,,,,,,,,,,,,,,,,,1.470502,,,,,,,,,,,,,9eefe643-dc4b-40ec-b16a-256b4e4b8fdd,62,,"[68.7, 58.2]",3879586,1,,,,,-0.07509364,,Right Foot,,,"[100.6, 55.8]",,High Pass,,31.990154,,,Incomplete,,Luis Fernando Muriel Fruto,6334.0,,,,,,1,From Free Kick,Édgar Osvaldo Barreto Cáceres,7009.0,Right Center Midfield,7,Sampdoria,234,"['00fbb75a-a135-4712-835f-e66bf74aa84b', '9646b908-2660-4f51-ad1e-54b65321c1b7']",23,,,,,,,,,,,,,,,,,Sampdoria,234,00:01:23.745,Pass,
,,,,,,,,,,,,,,,,,1.870554,,,,,,,,,,,,,2e229e80-bdb9-4931-a6a9-f4db84869bb7,76,,"[29.0, 25.7]",3879586,1,,,,,1.3757188,,Left Foot,,,"[37.2, 67.2]",,High Pass,,42.302364,,,,,Eros Pisano,11342.0,,True,,,,1,Regular Play,Leandro Greco,32119.0,Center Defensive Midfield,8,Hellas Verona,226,['87e02446-99f0-4e85-b44c-32222c12e60a'],30,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:30.335,Pass,
,,,,,,,,,,,,,,,,,1.263916,,,,,,,,,,,,,5ff26f64-3ef9-4f8d-a02d-99bd14b45a17,79,,"[62.6, 69.4]",3879586,1,,,,,2.9479706,,Right Foot,,,"[52.4, 71.4]",,Ground Pass,,10.394229,,,,,Jacopo Sala,7020.0,,,,,,1,Regular Play,Eros Pisano,11342.0,Right Wing Back,8,Hellas Verona,226,['2e9d9a2e-562b-4e7a-89a2-d82180854bd9'],36,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:36.971,Pass,
,,,,,,,,,,,,,,,,,1.419257,,,,,,,,,,,,,18e4bd8b-f7a0-4b88-8e79-81bb4b0d87b5,82,,"[52.4, 71.4]",3879586,1,,,,,-2.5988421,,Left Foot,,,"[39.8, 63.8]",,Ground Pass,,14.714619,,,,,Vangelis Moras,31488.0,,,,,,1,Regular Play,Jacopo Sala,7020.0,Right Center Midfield,8,Hellas Verona,226,['afa76173-e303-470c-87e2-68fca28a32e1'],38,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:38.798,Pass,
,,,,,,,,,,,,,,,,,1.796421,,,,,,,,,,,,,f0a7123c-5dc8-45e0-815e-5f988a6782d4,85,,"[37.7, 61.7]",3879586,1,,,,,-2.0311599,,Right Foot,,,"[25.6, 37.3]",,Ground Pass,,27.235455,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Vangelis Moras,31488.0,Right Center Back,8,Hellas Verona,226,['d35e6f02-04ec-43dc-8ec6-c3dd11f0e7d8'],40,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:40.926,Pass,
,,,,,,,,,,,,,,,,,1.940043,,,,,,,,,,,,,fd7b12c2-c166-4857-a9f9-6d83ebaf397b,88,,"[28.8, 34.9]",3879586,1,,,,,-1.3480729,,Right Foot,,,"[35.3, 6.2]",,Ground Pass,,29.426859,,,,,Filip Helander,7966.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Center Back,8,Hellas Verona,226,['954607d7-534b-4046-9e1e-a695244addbf'],42,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:42.803,Pass,
,,,,,,,,,,,,,,,,,1.413761,,,,,,,,,,,,,ebcac4e9-c2be-401b-9a02-db44b0a744af,91,,"[43.1, 8.9]",3879586,1,,,,,2.0938146,,Left Foot,,,"[36.7, 20.0]",,Ground Pass,,12.812884,,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,Regular Play,Filip Helander,7966.0,Left Center Back,8,Hellas Verona,226,['23bff03f-260a-4b6c-b7c6-c6bebb872ccc'],46,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:46.693,Pass,
,,,,,,,,,,,,,,,,,1.266909,,,,,,,,,,,,,a820952a-31e6-4fd6-86b5-cdfde1a97305,94,,"[42.7, 29.2]",3879586,1,,,,,-1.4888904,,Right Foot,,,"[43.8, 15.8]",,Ground Pass,,13.445073,,,,,Filip Helander,7966.0,,,,,,1,Regular Play,Rafael Márquez Álvarez,5558.0,Center Back,8,Hellas Verona,226,['856e6b0a-7270-49f5-ad0d-ed7dc491bed4'],51,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:51.511,Pass,
