50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.128288,,,,,,,,,,,,1b6bbdaa-a4d1-411a-ad85-1509748d7368,56,,,"[15.2, 55.7]",3879676,0,,True,,,-0.91631764,,Right Foot,,,,"[39.6, 23.9]",,Ground Pass,,40.082417,,,,,Andrea Bertolacci,7147.0,,,,,Free Kick,1,From Free Kick,Cristian Eduardo Zapata Valencia,6360.0,Right Center Back,4,AC Milan,243,['a89024f0-6244-4998-b5db-b8e6d2a14259'],50,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:50.418,Pass,
,,,,,,,,,,,,,,,,,,,2.345099,,,,,,,,,,,,aae67f42-1999-4648-82be-c7ac8e0a4ab4,58,,,"[42.1, 28.4]",3879676,1,,,,,1.3943558,,Left Foot,,,,"[51.3, 80.0]",,High Pass,,52.41374,,,Out,,Ignazio Abate,7463.0,,True,,,,1,From Free Kick,Andrea Bertolacci,7147.0,Left Defensive Midfield,4,AC Milan,243,['5cdfd1e7-6856-4496-ae6d-7ffb964209f5'],1,,,,,,,,,,,,,,,,,,AC Milan,243,00:01:01.514,Pass,
,,,,,,,,,,,,,,,,,,,1.688243,,,,,,,,,,,,36809923-e878-4bde-9331-9b042cfcc92a,60,,,"[67.9, 0.1]",3879676,1,,,,,0.1962707,,,,,,"[85.0, 3.5]",,High Pass,,17.434736,,,,,Umar Sadiq Mesbah,11128.0,,,,,Throw-in,1,From Throw In,Lucas Digne,6849.0,Left Back,5,AS Roma,229,['846558a0-d95b-468a-8641-bfc526ff05f7'],18,,,,,,,,,,,,,,,,,,AS Roma,229,00:01:18.796,Pass,
,,,,,,,,,,,,,,,,,,,3.495226,,,,,,,,,,,,31dd212a-fc78-4b4b-bb98-8297cc04d3ce,65,,,"[86.6, 5.5]",3879676,1,,True,,,0.4849714,,Right Foot,,,,"[120.0, 23.1]",,High Pass,,37.75341,,,Out,,Iago Falqué Silva,7468.0,,,,,Free Kick,1,From Free Kick,Miralem Pjanić,6947.0,Right Center Midfield,6,AS Roma,229,['25350812-15da-49bd-8c52-c4644a3c5234'],37,,,,,,,,,,,,,,,,,,AS Roma,229,00:01:37.897,Pass,
,,,,,,,,,,,,,,,,,,,2.777805,,,,,,,,,,,,757e2577-366b-4791-87c9-6cff1344632e,67,,,"[7.0, 36.1]",3879676,2,,,,,-0.49883422,,Right Foot,,,,"[61.7, 6.3]",,High Pass,,62.29069,,,Incomplete,,Giacomo Bonaventura,7026.0,,,,,Goal Kick,1,From Goal Kick,Gianluigi Donnarumma,7036.0,Goalkeeper,7,AC Milan,243,"['4ac6961a-f6a0-4b68-bd81-8e62a2ec782f', '5acf46d7-0d18-47ce-a9de-9b283b16d696']",9,,,,,,,,,,,,,,,,,,AC Milan,243,00:02:09.044,Pass,
,,,,,,,,,,,,,,,,,,,1.320001,,,,,,,,,,,,e5723a5a-3920-4c01-abe2-f2e6ad898cab,71,,,"[44.6, 0.1]",3879676,2,,,,,2.1017182,,,,,,"[38.2, 11.0]",,Low Pass,,12.640016,,,,,Juraj Kucka,10919.0,,,,,Throw-in,1,From Throw In,Mattia De Sciglio,6944.0,Left Back,8,AC Milan,243,['a6a83d8c-64f1-4bec-af9f-e1d798885bad'],22,,,,,,,,,,,,,,,,,,AC Milan,243,00:02:22.230,Pass,
,,,,,,,,,,,,,,,,,,,1.273954,,,,,,,,,,,,6550eaa6-db42-4206-86c7-477be1175244,74,,,"[38.7, 10.6]",3879676,2,,,,,-1.1144478,,Other,,,,"[41.4, 5.1]",,Low Pass,,6.1269894,,,,,Mattia De Sciglio,6944.0,,,,,,1,From Throw In,Juraj Kucka,10919.0,Right Defensive Midfield,8,AC Milan,243,['ddade1f5-fdb8-456f-a3b5-5f4484da5e37'],23,,,,,,,,,,,,,,,,,,AC Milan,243,00:02:23.666,Pass,
,,,,,,,,,,,,,,,,,,,0.750545,,,,,,,,,,,,cf7c8887-8429-456a-bb12-9bf01689cde5,79,,,"[78.2, 80.0]",3879676,2,,,,,-1.7075521,,,,,,"[76.7, 69.1]",,Low Pass,,11.002727,,,,,Miralem Pjanić,6947.0,,,,,Throw-in,1,From Throw In,Alessandro Florenzi,6964.0,Right Back,9,AS Roma,229,['f6465916-22e5-4754-a161-2bb33342db1a'],32,,,,,,,,,,,,,,,,,,AS Roma,229,00:02:32.923,Pass,
,,,,,,,,,,,,,,,,,,,0.850859,,,,,,,,,,,,e6863e7f-c82b-4ceb-a818-cf4ea7a7c61f,81,,,"[78.0, 70.4]",3879676,2,,,,,1.971037,,Right Foot,,,,"[75.8, 75.6]",,Low Pass,,5.646238,,,,,Alessandro Florenzi,6964.0,,,,,,1,From Throw In,Miralem Pjanić,6947.0,Right Center Midfield,9,AS Roma,229,['36ea5e42-4984-4ec2-8c2f-77cb91e1047f'],33,,,,,,,,,,,,,,,,,,AS Roma,229,00:02:33.674,Pass,
,,,,,,,,,,,,,,,,,,,2.501255,,,,,,,,,,,,b3066353-e0e1-43dc-93fb-d068a445294a,84,,,"[70.6, 73.4]",3879676,2,,,,,-2.816654,,Right Foot,,,,"[42.4, 63.9]",,Ground Pass,,29.757183,,,,,Konstantinos Manolas,7048.0,,,,,,1,From Throw In,Alessandro Florenzi,6964.0,Right Back,9,AS Roma,229,['326639f6-a3ef-4139-bce1-73eca1403b41'],35,,,,,,,,,,,,,,,,,,AS Roma,229,00:02:35.659,Pass,
