50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.947902,,,,,,,,,,,,,e2b991f6-c3e0-4101-b15f-8f6ceb8047d5,49,,"[34.7, 77.8]",3879581,0,,,,-0.013887996,,Right Foot,,,,"[49.1, 77.6]",,Ground Pass,,14.401389,,,,,José María Callejón Bueno,7029.0,,,,,,1,Regular Play,Elseid Hysaj,7031.0,Right Back,3,Napoli,227,"['0e9b5256-9419-4cea-99ab-c09132de5112', 'c08647ef-f80e-4957-8ef8-9d7f0a5a1aeb']",26,,,,,,,,,,,,,,,,,Napoli,227,00:00:26.549,Pass,True
,,,,,,,,,,,,,,,,2.486499,,,,,,,,,,,,,58753444-666b-40bf-b39f-e6582270577a,52,,"[49.1, 77.8]",3879581,0,,,,-1.0893332,,Right Foot,,,,"[58.4, 60.0]",,Ground Pass,,20.083078,,,Incomplete,,Allan Marques Loureiro,7035.0,,,,,,1,Regular Play,José María Callejón Bueno,7029.0,Right Wing,3,Napoli,227,"['af835567-ed55-4607-acb1-1aa58fb503f7', 'f9b3e072-9ed5-4e4b-b681-4c56cfb3438f']",27,,,,,,,,,,,,,,,,,Napoli,227,00:00:27.659,Pass,
,,,,,,,,,,,,,,,,0.826006,,,,,,,,,,,,,af835567-ed55-4607-acb1-1aa58fb503f7,54,,"[61.7, 20.1]",3879581,0,,,,0.5381364,,Right Foot,,,,"[74.6, 27.8]",,Ground Pass,,15.023315,,,Incomplete,,Alberto Paloschi,6950.0,,,,,Recovery,1,Regular Play,Giampiero Pinzi,386657.0,Center Defensive Midfield,3,Napoli,227,"['58753444-666b-40bf-b39f-e6582270577a', 'b177e4ba-a944-4e49-a72c-afe28f3f7894', 'bc26b3f2-fd89-4a5a-8a66-cdfd67f31b71']",30,,,,,,,,,,,,,,,,,Chievo,231,00:00:30.146,Pass,
,,,,,,,,,,,,,,,,1.656762,,,,,,,,,,,,,fb1a5835-9750-485b-aad2-4f2a8f20303a,59,,"[64.9, 25.5]",3879581,0,,,,-1.091277,,Right Foot,,,,"[74.0, 8.0]",,Ground Pass,,19.724604,,,,,Faouzi Ghoulam,8876.0,,,,,,1,Regular Play,Marek Hamšík,7025.0,Left Center Midfield,3,Napoli,227,['55e897f7-c2c9-41bf-a0d9-71a05a814260'],37,,,,,,,,,,,,,,,,,Napoli,227,00:00:37.352,Pass,
,,,,,,,,,,,,,,,,0.566835,,,,,,,,,,,,,53606401-103d-4708-b222-ae291b3cf5ae,62,,"[90.6, 7.1]",3879581,0,,,,1.1245005,,Left Foot,,,,"[99.5, 25.7]",,Low Pass,,20.61965,,,Incomplete,,,,,,,,,1,Regular Play,Faouzi Ghoulam,8876.0,Left Back,3,Napoli,227,['51bd256d-bf86-4e30-8046-cb27775a62ee'],40,,,,,,,,,,,,,,,,,Napoli,227,00:00:40.927,Pass,
,,,,,,,,,,,,,,,,2.702959,,,,,,,,,,,,,91c76431-8995-40d5-b7a2-afb6b39ad17a,64,,"[77.1, 26.1]",3879581,0,,,,2.3459907,,Head,,,,"[67.4, 36.0]",,High Pass,,13.860014,,,,,Allan Marques Loureiro,7035.0,,,,,Recovery,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,3,Napoli,227,['a91ef51d-2a3a-4e86-95fe-a92d2f80b3be'],43,,,,,,,,,,,,,,,,,Napoli,227,00:00:43.857,Pass,
,,,,,,,,,,,,,,,,2.872269,,,,,,,,,,,,,dec63fd6-b314-4504-ba6a-2978271cd69a,70,,"[68.0, 40.9]",3879581,0,True,,,-1.5957911,,Right Foot,,,,"[67.2, 8.9]",,High Pass,,32.01,,,,,Faouzi Ghoulam,8876.0,,,,,Free Kick,1,From Free Kick,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,4,Napoli,227,['b55effcd-c803-4680-80ab-1051f5eebb80'],57,,,,,,,,,,,,,,,,,Napoli,227,00:00:57.393,Pass,
,,,,,,,,,,,,,,,,1.522087,,,,,,,,,,,,,f124d44d-5462-4f37-adde-ee02558fd22f,72,,"[65.5, 9.5]",3879581,1,,,,1.7326337,,Left Foot,,,,"[62.3, 29.1]",,Ground Pass,,19.859507,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,From Free Kick,Faouzi Ghoulam,8876.0,Left Back,4,Napoli,227,['7472763c-fa63-496a-b9be-649989d0c1cc'],1,,,,,,,,,,,,,,,,,Napoli,227,00:01:01.534,Pass,
,,,,,,,,,,,,,,,,0.80557,,,,,,,,,,,,,fc98198f-0410-44c8-adbf-663a8de8ddd5,75,,"[62.3, 29.1]",3879581,1,,,,-2.4393358,,Right Foot,,,,"[55.8, 23.6]",,Ground Pass,,8.514693,,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Free Kick,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,4,Napoli,227,['9dd47402-27e6-453f-b01a-530dbfdcf04f'],3,,,,,,,,,,,,,,,,,Napoli,227,00:01:03.123,Pass,
,,,,,,,,,,,,,,,,0.921425,,,,,,,,,,,,,118d2e8a-ff40-4753-81b9-8b1420b7140e,78,,"[55.8, 23.6]",3879581,1,,,,0.16235149,,Right Foot,,,,"[67.4, 25.5]",,Ground Pass,,11.754574,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,From Free Kick,Kalidou Koulibaly,5675.0,Left Center Back,4,Napoli,227,['91c3ecb3-eb4c-4b29-bfb4-124547da9e2f'],4,,,,,,,,,,,,,,,,,Napoli,227,00:01:04.489,Pass,
