50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.867097,,,,,,,,,,,,,,235f131f-3690-41fd-9cdf-9eac91af19b9,55,,"[84.5, 58.6]",3878596,1,,,,,1.9769851,,Left Foot,,,,"[80.5, 67.9]",,Ground Pass,,10.123734,,,,Jacopo Sala,7020.0,,,,,,1,From Throw In,Federico Viviani,7770.0,Center Defensive Midfield,5,Hellas Verona,226,['75357f8a-f852-4f20-b02f-ce51d5b9f24a'],3,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:03.560,Pass,
,,,,,,,,,,,,,,,,,,1.929209,,,,,,,,,,,,,,2ca2dfec-9b9f-445f-9831-f73fdc539061,59,,"[80.1, 67.4]",3878596,1,,,,,-3.025451,,Right Foot,,,,"[62.1, 65.3]",,Ground Pass,,18.122086,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Throw In,Jacopo Sala,7020.0,Right Center Midfield,5,Hellas Verona,226,"['43d97823-42e9-489a-8d5a-2a9494366695', '63635e3c-40c3-4e23-a613-710f1ec5022e']",5,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:05.707,Pass,True
,,,,,,,,,,,,,,,,,,2.349999,,,,,,,,,,,,,,18659e2c-51d9-432c-b655-dd7199b4b4e1,61,,"[62.1, 65.3]",3878596,1,,,,,-1.772782,,Right Foot,,,,"[56.1, 36.0]",,Ground Pass,,29.908026,,,,Vangelis Moras,31488.0,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,5,Hellas Verona,226,['73b64f4b-56a1-4a6f-ae37-15eca02435ee'],7,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:07.636,Pass,
,,,,,,,,,,,,,,,,,,2.28092,,,,,,,,,,,,,,9bb86d66-f5d4-4e38-9a5b-2d42c9790816,64,,"[57.1, 38.5]",3878596,1,,,,,1.1104783,,Right Foot,,,,"[75.0, 74.6]",,Ground Pass,,40.294167,,,,Eros Pisano,11342.0,,,,,,1,From Throw In,Vangelis Moras,31488.0,Left Center Back,5,Hellas Verona,226,['0f4b76ba-0f3c-4972-bd06-cfc70e237d95'],11,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:11.267,Pass,
,,,,,,,,,,,,,,,,,,1.961707,,,,,,,,,,,,,,1d2a6ec3-a306-4af9-ba67-e52b27b052b7,67,,"[74.2, 74.0]",3878596,1,,,,,-2.8132632,,Right Foot,,,,"[56.0, 67.8]",,Ground Pass,,19.227064,,,,Rafael Márquez Álvarez,5558.0,,,,,,1,From Throw In,Eros Pisano,11342.0,Right Back,5,Hellas Verona,226,['87455a7c-afb5-46c6-a605-86af40d92255'],14,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:14.588,Pass,
,,,,,,,,,,,,,,,,,,2.124834,,,,,,,,,,,,,,77c3c376-39c6-4f3d-bbfb-2db42c30e77d,70,,"[60.3, 65.1]",3878596,1,,,,,-1.6553401,,Right Foot,,,,"[57.3, 29.7]",,Ground Pass,,35.52689,,,,Vangelis Moras,31488.0,,,,,,1,From Throw In,Rafael Márquez Álvarez,5558.0,Right Center Back,5,Hellas Verona,226,['664d8997-95b7-44b0-8604-aa30b5d6bb20'],18,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:18.505,Pass,
,,,,,,,,,,,,,,,,,,1.658935,,,,,,,,,,,,,,72467693-2293-4bf4-85d0-2cb334e22947,73,,"[63.8, 25.7]",3878596,1,,,,,-0.791212,,Right Foot,,,,"[80.9, 8.4]",,Ground Pass,,24.324884,,,,Samuel Souprayen,7695.0,,,,,,1,From Throw In,Vangelis Moras,31488.0,Left Center Back,5,Hellas Verona,226,['5dfd1ad1-fa2f-41bb-abe6-d771c7d577d9'],22,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:22.142,Pass,
,,,,,,,,,,,,,,,,,,0.203645,,,,,,,,,,,,,,66b08628-8ead-4106-a885-86278933f307,77,,"[79.6, 6.9]",3878596,1,,,,,-0.071307465,,Left Foot,,,,"[82.4, 6.7]",,Low Pass,,2.8071337,,Incomplete,,Juan Ignacio Gómez Taleb,386651.0,,,,,,1,From Throw In,Samuel Souprayen,7695.0,Left Back,5,Hellas Verona,226,"['d3d42a5b-32b3-415a-b575-6b40a8852949', 'eb104cc0-2648-4a9c-900e-dcee260830af']",25,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:25.072,Pass,
,,,,,,,,,,,,,,,,,,0.850131,,,,,,,,,,,,,,377f8a25-06ff-41a3-bc70-f6ea9cf6ea96,80,,"[91.8, 0.1]",3878596,1,,,,,0.37255427,,,,,,"[100.5, 3.5]",,Low Pass,,9.340771,,,,Juan Ignacio Gómez Taleb,386651.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Back,6,Hellas Verona,226,['8e7f714d-1707-4956-b8bc-d838beae511c'],31,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:31.184,Pass,
,,,,,,,,,,,,,,,,,,0.945663,,,,,,,,,,,,,,eeb9108e-014f-489b-abc9-292936f67ee1,82,,"[100.5, 3.6]",3878596,1,,,,,2.782822,,Right Foot,,,,"[93.3, 6.3]",,Low Pass,,7.6896033,,,,Samuel Souprayen,7695.0,,,,,,1,From Throw In,Juan Ignacio Gómez Taleb,386651.0,Left Wing,6,Hellas Verona,226,['c91dec61-f1f9-4531-8e44-3b0cb90d6dd5'],32,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:32.034,Pass,
,,,,,,,,,,,,,,,,,,1.757766,,,,,,,,,,,,,,de6d9b91-7941-4143-99fb-ca0891c35c53,88,,"[87.6, 0.1]",3878596,1,,,,,1.6320692,,,,,,"[86.6, 16.4]",,Low Pass,,16.330647,,,,Juan Ignacio Gómez Taleb,386651.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Back,7,Hellas Verona,226,['fd33f79f-1d77-482d-94e1-03ff297903fd'],40,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:40.244,Pass,
,,,,,,,,,,,,,,,,,,1.153458,,,,,,,,,,,,,,49c6f269-e0b0-40c4-8e8a-1d06859acc86,92,,"[81.5, 16.0]",3878596,1,,,,,-1.8955142,,Right Foot,,,,"[78.1, 5.9]",,Ground Pass,,10.656922,,,,Leandro Greco,32119.0,,,,,,1,From Throw In,Juan Ignacio Gómez Taleb,386651.0,Left Wing,7,Hellas Verona,226,['91601932-90fa-472e-88f5-f5b3c817b8a1'],43,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:43.498,Pass,
,,,,,,,,,,,,,,,,,,1.698431,,,,,,,,,,,,,,322a0a15-ea52-43f3-88c5-d75d4215c25b,96,,"[98.8, 6.9]",3878596,1,,,,,0.03507333,,Left Foot,,,,"[115.9, 7.5]",,Ground Pass,,17.110523,,,,Samuel Souprayen,7695.0,,,,,,1,From Throw In,Leandro Greco,32119.0,Left Center Midfield,7,Hellas Verona,226,['648ed3c1-1cf8-4fd8-96ce-622f1069c25a'],48,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:48.143,Pass,
,,,,,,,,,,,,,,,,,,0.07147,,,,,,,,,,,,,,0e366fd2-2e18-4caa-bac2-571c0e1d2d08,99,,"[115.3, 6.9]",3878596,1,,,,,1.418147,,Left Foot,,,,"[115.5, 8.2]",,Ground Pass,,1.3152946,,Incomplete,,,,,,,,,1,From Throw In,Samuel Souprayen,7695.0,Left Back,7,Hellas Verona,226,"['4644a4dc-41b1-4367-a2e9-c5c301a40084', 'b822a195-0ecf-4a0b-b2c9-8b813ad9e7d3']",49,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:49.842,Pass,True
,,,,,,,,,,,,,,,,,,1.163523,,,,,,,,,,,,,,6c66cce3-40b1-4518-8f5c-03d5ba8ac1be,101,,"[120.0, 0.1]",3878596,2,,,,,1.7495531,cbba4ce8-e773-4a16-8c21-7231b0569e4d,Right Foot,,,,"[114.2, 32.2]",,High Pass,True,32.619778,,,,Rafael Márquez Álvarez,5558.0,True,,Inswinging,,Corner,1,From Corner,Federico Viviani,7770.0,Center Defensive Midfield,8,Hellas Verona,226,['9b538cf5-d9b7-4112-86d5-c991694b5208'],15,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:02:15.631,Pass,
,,,,,,,,,,,,,,,,,,3.097026,,,,,,,,,,,,,,d81272c2-f4c3-4844-8b13-ac0b6dce72d9,105,,"[6.0, 44.0]",3878596,2,,,,,-0.069733426,,Left Foot,,,,"[64.7, 39.9]",,High Pass,,58.84301,,Unknown,,Fabio Quagliarella,7011.0,,,,,Goal Kick,1,From Goal Kick,Daniele Padelli,34881.0,Goalkeeper,9,Torino,241,['86c80fcd-7601-4dff-9eb7-316235b6a904'],42,,,,,,,,,,,,,,,,,,,Torino,241,00:02:42.882,Pass,
,,,,,,,,,,,,,,,,,,1.193851,,,,,,,,,,,,,,553bf0cd-e4f2-4c50-a519-8ede07470cf0,109,,"[64.0, 39.9]",3878596,2,,,,,1.7539071,,Right Foot,,,,"[61.5, 53.4]",,Ground Pass,,13.72953,,,,Cesare Bovo,40427.0,,,,,Free Kick,1,From Free Kick,Giuseppe Vives,40430.0,Center Defensive Midfield,10,Torino,241,['342ff5c2-a4d6-48f8-9316-f163be0ed831'],54,,,,,,,,,,,,,,,,,,,Torino,241,00:02:54.984,Pass,
,,,,,,,,,,,,,,,,,,1.086877,,,,,,,,,,,,,,e049d174-4ffe-42e8-bca2-573134000f61,112,,"[67.9, 53.8]",3878596,2,,,,,-1.1449459,,Right Foot,,,,"[72.3, 44.1]",,Ground Pass,,10.651291,,,,Giuseppe Vives,40430.0,,,,,,1,From Free Kick,Cesare Bovo,40427.0,Right Center Back,10,Torino,241,['05d74e39-1566-4c66-bb00-cfcbe2a251aa'],58,,,,,,,,,,,,,,,,,,,Torino,241,00:02:58.193,Pass,
,,,,,,,,,,,,,,,,,,2.175634,,,,,,,,,,,,,,a8a54134-c6c7-4494-a44c-6b600b326477,115,,"[72.7, 43.9]",3878596,3,,,,,-1.6238192,,Right Foot,,,,"[70.8, 8.1]",,Ground Pass,,35.850384,,,,Cristian Molinaro,7479.0,,,,,,1,From Free Kick,Giuseppe Vives,40430.0,Center Defensive Midfield,10,Torino,241,['c54bebb3-8670-4f93-9f74-ddfbafc39de5'],0,,,,,,,,,,,,,,,,,,,Torino,241,00:03:00.185,Pass,
