50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.605857,,,,,,,,,,,,,4ac30e71-5f40-437d-a099-cd43b7f7738c,66,,,"[91.0, 4.4]",3879546,0,,,,1.9347752,,Right Foot,,,,"[87.8, 12.8]",,Ground Pass,,8.988882,,,Riccardo Saponara,7150.0,,,,,Recovery,1,From Free Kick,Daniele Croce,40251.0,Left Center Midfield,3,Empoli,290,"['38221418-d75c-43ba-8a92-53ca43fa80f1', '8dbd3b70-726e-46ce-bcda-4a9f28dc6b28']",55,,,,,,,,,,,,,,,,Empoli,290,00:00:55.691,Pass,True
,,,,,,,,,,,,,,,,,0.419683,,,,,,,,,,,,,aff24491-bf74-485b-a536-d0dc1e41bfb8,70,,,"[97.4, 15.5]",3879546,0,,,,1.2490457,,Left Foot,,,,"[99.0, 20.3]",,Ground Pass,,5.059644,Incomplete,,Massimo Maccarone,40252.0,,,,,,1,From Free Kick,Riccardo Saponara,7150.0,Center Attacking Midfield,3,Empoli,290,"['1c28b7bd-6563-4517-8d8a-1996077fce0d', 'b5fb47b4-b706-41db-b638-d94e23723a43', 'bdec8548-d9a8-4c75-aad0-74571bee0d57']",58,,,,,,,,,,,,,,,,Empoli,290,00:00:58.203,Pass,True
,,,,,,,,,,,,,,,,,0.325014,,,,,,,,,,,,,256bfac7-e134-4c13-81ee-e0d1f96974b9,73,,,"[16.3, 66.0]",3879546,0,,,,-1.7936965,,Right Foot,,,,"[14.6, 58.5]",,Low Pass,,7.6902537,,,Marten de Roon,6994.0,,,,,Recovery,1,From Free Kick,Andrea Masiello,6992.0,Right Back,3,Empoli,290,['adffd0f6-e7fd-4a68-8b20-7d800582dad2'],59,,,,,,,,,,,,,,,,Atalanta,228,00:00:59.350,Pass,
,,,,,,,,,,,,,,,,,1.856243,,,,,,,,,,,,,eff1a35f-1df1-4c79-8ac9-189dae7f853f,77,,,"[8.8, 74.5]",3879546,1,,,,-0.18719731,,Right Foot,,,,"[44.7, 67.7]",,High Pass,,36.538338,Incomplete,,Mauricio Ricardo Pinilla Ferreira,36770.0,,,,,,1,From Free Kick,Marten de Roon,6994.0,Center Defensive Midfield,3,Empoli,290,"['2026529f-623a-4ebc-9dec-00fa1a0dc403', '8d0c9dcb-022d-4609-aeb6-27acb15623b0', 'a3b8ef1a-875f-4f41-ad8e-1684fe6c64bf']",2,,,,,,,,,,,,,,,,Atalanta,228,00:01:02.511,Pass,True
,,,,,,,,,,,,,,,,,1.119758,,,,,,,,,,,,,fc2a814a-2e0b-4193-955a-d87a6774c8d1,82,,,"[79.4, 21.9]",3879546,1,,,,0.5788075,,Right Foot,,,,"[89.5, 28.5]",,Ground Pass,,12.065239,,,Alessandro Piu,386516.0,,,,,,1,From Free Kick,Leandro Daniel Paredes,16308.0,Right Center Midfield,3,Empoli,290,['5e932cf0-280c-4011-b551-19a592b01664'],7,,,,,,,,,,,,,,,,Empoli,290,00:01:07.150,Pass,
,,,,,,,,,,,,,,,,,0.262691,,,,,,,,,,,,,73890e39-a4e0-448d-b623-ff5205e35ba9,86,,,"[93.4, 28.4]",3879546,1,,,,0.8329813,,Right Foot,,,,"[97.4, 32.8]",,Low Pass,,5.9464273,Incomplete,,Massimo Maccarone,40252.0,,,,,,1,From Free Kick,Alessandro Piu,386516.0,Right Center Forward,3,Empoli,290,"['212a7a10-2869-4751-9631-881bfd726ba3', '95fed3a3-8253-4b16-aa6d-8126875e96bf', 'edf1ccb1-9a3a-49e3-922e-1ae239e8d33a']",9,,,,,,,,,,,,,,,,Empoli,290,00:01:09.319,Pass,True
,,,,,,,,,,,,,,,,,1.60898,,,,,,,,,,,,,7d5dcc59-51f9-4ed0-8e14-9b15510a8e4b,89,,,"[26.2, 44.7]",3879546,1,,,,-0.21866895,,Right Foot,,,,"[36.1, 42.5]",,Ground Pass,,10.141499,,,Jasmin Kurtič,6941.0,,,,,Recovery,1,Regular Play,Gabriel Alejandro Paletta,38237.0,Left Center Back,4,Atalanta,228,['1c562535-355d-4058-8343-287e623af318'],10,,,,,,,,,,,,,,,,Atalanta,228,00:01:10.849,Pass,
,,,,,,,,,,,,,,,,,1.811395,,,,,,,,,,,,,3e05583c-540f-44e4-ac4e-341387a13070,92,,,"[37.8, 41.8]",3879546,1,,,,-1.3339475,,Right Foot,,,,"[45.5, 9.9]",,Ground Pass,,32.816154,,,Alejandro Darío Gómez,7006.0,,,,,,1,Regular Play,Jasmin Kurtič,6941.0,Left Center Midfield,4,Atalanta,228,['b5c84d6c-6061-4cdf-ae74-92aaf2756401'],12,,,,,,,,,,,,,,,,Atalanta,228,00:01:12.800,Pass,
,,,,,,,,,,,,,,,,,1.466021,,,,,,,,,,,,,e771f6cb-5092-493c-b567-6bdcaa4cb3b0,96,,,"[109.4, 11.3]",3879546,1,,,,1.4931748,,Left Foot,True,,,"[112.2, 47.3]",,High Pass,,36.108727,Incomplete,,Maximiliano Nicol Moralez,12759.0,,,,,,1,Regular Play,Alejandro Darío Gómez,7006.0,Left Wing,4,Atalanta,228,"['586d1971-f1a0-4f2d-832a-156da93d565e', '80288803-df19-4795-9ec2-ea56df99216d', '83f13d43-dff9-4d75-8078-f90f843c5ede']",23,,,,,,,,,,,,,,,,Atalanta,228,00:01:23.400,Pass,True
,,,,,,,,,,,,,,,,,1.254723,,,,,,,,,,,,,ca6833d4-50ab-4cf4-99a8-a5fefaddb301,99,,,"[120.0, 80.0]",3879546,1,,,,-1.849096,,Right Foot,,,,"[115.6, 64.6]",,Ground Pass,,16.016241,,,Alejandro Darío Gómez,7006.0,,,,,Corner,1,From Corner,Maximiliano Nicol Moralez,12759.0,Right Wing,5,Atalanta,228,['b7be4b82-c2b3-404a-af6c-05a983ad7ff8'],51,,,,,,,,,,,,,,,,Atalanta,228,00:01:51.711,Pass,
