50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.182445,,,,,,,,,,,,,,,,95fc9bae-dc9b-4dd1-93f5-68663468929d,55,,"[49.7, 25.8]",3879839,0,,,,,0.79786634,,Right Foot,,,,"[69.5, 46.1]",,Ground Pass,,28.357185,,,,,Josip Iličić,7139.0,,,,,,1,Regular Play,Borja Valero Iglesias,6997.0,Left Defensive Midfield,4,Fiorentina,239,['9dfb89be-63cc-4e95-89b9-3c6173b105ff'],55,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:55.450,Pass,
,,,,,,,,,,,,,,,,,,,1.277968,,,,,,,,,,,,,,,,5dbdd10b-b3e3-419f-850b-cf0adfc33f43,58,,"[75.9, 46.3]",3879839,0,,,,,1.0182598,,Left Foot,,,,"[91.5, 71.6]",,Ground Pass,,29.722887,,,,,Cristian Tello Herrera,6658.0,,,,,,1,Regular Play,Josip Iličić,7139.0,Center Attacking Midfield,4,Fiorentina,239,['736c4794-3610-4c45-809c-25e44f5abd1e'],59,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:59.297,Pass,
,,,,,,,,,,,,,,,,,,,1.877657,,,,,,,,,,,,,,,,3e88b9ba-2e43-4bab-b253-068e6cd52f38,67,,"[58.1, 62.7]",3879839,1,,True,,,-0.38197914,,Right Foot,,,,"[69.8, 58.0]",,Ground Pass,,12.608727,,,,,Josip Iličić,7139.0,,,,,Recovery,1,Regular Play,Nenad Tomović,7056.0,Right Back,5,Fiorentina,239,['3445e2e9-c468-4912-8985-59745a2f3e78'],10,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:10.338,Pass,
,,,,,,,,,,,,,,,,,,,1.721944,,,,,,,,,,,,,,,,6c994cda-eb07-48a0-8a06-f87843e7a356,73,,"[91.3, 53.2]",3879839,1,,,,,1.1369565,,Left Foot,,,,"[99.5, 70.9]",,Ground Pass,,19.507177,,,,,Cristian Tello Herrera,6658.0,,,,,,1,Regular Play,Josip Iličić,7139.0,Center Attacking Midfield,5,Fiorentina,239,['a105038b-fdfb-46be-b9d7-da535d1d0b34'],17,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:17.861,Pass,
,,,,,,,,,,,,,,,,,,,0.60506,,,,,,,,,,,,,,,,ef03ea44-3565-409b-903d-95939297beb3,76,,"[104.1, 64.8]",3879839,1,,,,,-2.2126794,248f8941-47e3-4dbe-87ce-e8f83ad0a6c2,Right Foot,,,,"[96.7, 54.9]",,Ground Pass,,12.360016,,,,,Josip Iličić,7139.0,True,,,,,1,Regular Play,Cristian Tello Herrera,6658.0,Right Wing,5,Fiorentina,239,['ebf51b5c-394c-4ef8-a22b-f14e0da3a4b5'],21,,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:21.560,Pass,
,,,,,,,,,,,,,,,,,,,1.462034,,,,,,,,,,,,,,,,867198e4-e64e-49cc-93a5-a28ca12db32d,83,,"[9.7, 49.4]",3879839,1,,True,,,-1.2163471,,Keeper Arm,,,,"[19.1, 24.0]",,Low Pass,,27.083574,,,,,Daniele Rugani,6953.0,,,,,,1,Regular Play,Gianluigi Buffon,6949.0,Goalkeeper,6,Juventus,224,['de93f9e4-a5c6-4a45-8dc5-ef3d4c4992f4'],34,,,,,,,,,,,,,,,,,,,Juventus,224,00:01:34.756,Pass,
,,,,,,,,,,,,,,,,,,,0.50581,,,,,,,,,,,,,,,,d5385c1d-b162-4024-b21e-78e83b52381c,85,,"[29.5, 22.6]",3879839,1,,,,,0.24672082,,Right Foot,,,,"[43.0, 26.0]",,Ground Pass,,13.921566,,,,,Paul Pogba,20004.0,,,,,,1,Regular Play,Daniele Rugani,6953.0,Left Center Back,6,Juventus,224,['69e210af-13c8-4e0d-bfd9-51afea8e000f'],39,,,,,,,,,,,,,,,,,,,Juventus,224,00:01:39.532,Pass,
,,,,,,,,,,,,,,,,,,,1.278502,,,,,,,,,,,,,,,,02fab8b4-eafc-4b81-9232-76b551f5c28d,88,,"[48.2, 25.5]",3879839,1,,,,,-1.4963075,,Right Foot,,,,"[49.7, 5.4]",,Ground Pass,,20.155893,,,,,Patrice Evra,20008.0,,,,,,1,Regular Play,Paul Pogba,20004.0,Left Center Midfield,6,Juventus,224,['e3107459-8a2f-4987-b88b-cd80f1555bab'],42,,,,,,,,,,,,,,,,,,,Juventus,224,00:01:42.681,Pass,
,,,,,,,,,,,,,,,,,,,1.428976,,,,,,,,,,,,,,,,754e01ce-d6d3-490a-9827-41349304c73a,92,,"[49.2, 5.9]",3879839,1,,,,,2.4008384,,Left Foot,,,,"[34.0, 19.8]",,Ground Pass,,20.59733,,,,,Daniele Rugani,6953.0,,,,,,1,Regular Play,Patrice Evra,20008.0,Left Wing Back,6,Juventus,224,"['0dd06e52-804c-4a82-a86d-8f0f9b2e538b', '9748d56a-2624-4774-a4db-e9e6fae5d2b7']",44,,,,,,,,,,,,,,,,,,,Juventus,224,00:01:44.689,Pass,True
,,,,,,,,,,,,,,,,,,,1.687536,,,,,,,,,,,,,,,,60889f47-c975-43e0-a2ab-a53d5177c33f,95,,"[34.0, 19.8]",3879839,1,,,,,1.804372,,Right Foot,,,,"[27.6, 46.7]",,Ground Pass,,27.65086,,,,,Leonardo Bonucci,7173.0,,,,,,1,Regular Play,Daniele Rugani,6953.0,Left Center Back,6,Juventus,224,['eb763553-e7fe-442f-b128-c916e7e52dbb'],47,,,,,,,,,,,,,,,,,,,Juventus,224,00:01:47.714,Pass,
