50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.328913,,,,,,,,,,,,,487feff3-0771-4c30-9285-8921b83ff924,56,,,"[87.4, 8.7]",3879841,1,,,,,1.7514149,,Right Foot,,,"[85.3, 20.2]",,Ground Pass,,11.690166,,,,,Franco Damián Vázquez,6719.0,,,,,,1,From Throw In,Robin Quaison,8552.0,Left Attacking Midfield,7,Palermo,2256,['71b36cd9-b191-482f-8829-10f0aeb62a14'],36,,,,,,,,,,,,,,,,Palermo,2256,00:01:36.450,Pass,
,,,,,,,,,,,,,,,,0.945067,,,,,,,,,,,,,98f47da2-d211-4cd5-81ea-a65a8b781900,71,,,"[25.4, 80.0]",3879841,1,,,,,-0.7391678,,,,,"[40.1, 66.6]",,Low Pass,,19.890953,,,,,Mirko Gori,20636.0,,,,,Throw-in,1,From Throw In,Aleandro Rosi,7462.0,Right Back,9,Frosinone,291,['a4c9929c-e702-4db3-bb46-c354029176b0'],52,,,,,,,,,,,,,,,,Frosinone,291,00:01:52.117,Pass,
,,,,,,,,,,,,,,,,1.200394,,,,,,,,,,,,,05270296-aa3f-4f84-892d-74d2f3949f99,77,,,"[34.5, 64.3]",3879841,1,,True,,,-2.5634744,,Right Foot,,,"[20.4, 55.1]",,Ground Pass,,16.835974,,,,,Adriano Russo,386509.0,,,,,Free Kick,1,From Free Kick,Mirko Gori,20636.0,Right Center Midfield,10,Frosinone,291,['89c8660f-e4b5-4a9b-b0af-e5c72289a74d'],59,,,,,,,,,,,,,,,,Frosinone,291,00:01:59.990,Pass,
,,,,,,,,,,,,,,,,1.879825,,,,,,,,,,,,,b7622a0d-f252-408a-8079-072dc85920be,79,,,"[20.4, 55.1]",3879841,2,,,,,-1.4871768,,Right Foot,,,"[23.3, 20.5]",,Ground Pass,,34.721317,,,,,Leonardo Blanchard,387847.0,,,,,,1,From Free Kick,Adriano Russo,386509.0,Right Center Back,10,Frosinone,291,['5751275f-d586-4591-a035-289dc6beb364'],1,,,,,,,,,,,,,,,,Frosinone,291,00:02:01.273,Pass,
,,,,,,,,,,,,,,,,5.275783,,,,,,,,,,,,,8e820968-cef9-4ef6-a1e4-a89d55f03138,82,,,"[36.9, 19.6]",3879841,2,,,,,-0.24534684,,Left Foot,,,"[100.8, 3.6]",,High Pass,,65.87268,,,,,Danilo Soddimo,11608.0,,,,,,1,From Free Kick,Leonardo Blanchard,387847.0,Left Center Back,10,Frosinone,291,['6f988fd7-f5d2-4d36-8e1b-d04b4bd6827f'],6,,,,,,,,,,,,,,,,Frosinone,291,00:02:06.453,Pass,
,,,,,,,,,,,,,,,,3.169554,,,,,,,,,,,,,c746af7f-7b9d-4ddf-9b58-c8a16ae21ee7,88,,,"[7.0, 44.1]",3879841,2,,,,,0.31781527,,Right Foot,,,"[75.7, 66.7]",,High Pass,,72.32185,,,Incomplete,,,,,,,,Goal Kick,1,From Goal Kick,Stefano Sorrentino,7055.0,Goalkeeper,11,Palermo,2256,['8cdb3b89-f993-44a0-8299-3213132464c7'],35,,,,,,,,,,,,,,,,Palermo,2256,00:02:35.885,Pass,
,,,,,,,,,,,,,,,,2.072366,,,,,,,,,,,,,8cdb3b89-f993-44a0-8299-3213132464c7,89,,,"[44.4, 13.4]",3879841,2,,,,,0.16327338,,Head,,,"[79.0, 19.1]",,High Pass,,35.066364,,,,,Daniel Ciofani,13613.0,,,,,Recovery,1,From Goal Kick,Leonardo Blanchard,387847.0,Left Center Back,11,Palermo,2256,"['c746af7f-7b9d-4ddf-9b58-c8a16ae21ee7', 'e3295ff5-87b8-4bf5-9921-df1085b1c5fc']",39,,,,,,,,,,,,,,,,Frosinone,291,00:02:39.054,Pass,
,,,,,,,,,,,,,,,,1.55527,,,,,,,,,,,,,718eb08c-4f01-40f1-9c86-2ed210f61cf8,93,,,"[53.3, 80.0]",3879841,2,,,,,-0.49461117,,,,,"[80.0, 65.6]",,High Pass,,30.335623,,,,,Robin Quaison,8552.0,,,,,Throw-in,1,From Throw In,Andrea Rispoli,30769.0,Right Wing Back,12,Palermo,2256,['96133c25-e2f7-46f7-b5ce-b7159ba1b88f'],51,,,,,,,,,,,,,,,,Palermo,2256,00:02:51.120,Pass,
,,,,,,,,,,,,,,,,2.703334,,,,,,,,,,,,,ff8c180e-0d7d-41a0-8387-abfff3754847,96,,,"[80.0, 65.6]",3879841,2,,,,,1.0797583,,Right Foot,,,"[87.7, 80.0]",,High Pass,,16.329422,,,Out,,Alberto Gilardino,38389.0,,,,,,1,From Throw In,Robin Quaison,8552.0,Left Attacking Midfield,12,Palermo,2256,['43dd4eb0-7a77-4f17-8072-8f4418f47b40'],52,,,,,,,,,,,,,,,,Palermo,2256,00:02:52.755,Pass,
,,,,,,,,,,,,,,,,0.944376,,,,,,,,,,,,,986290d0-39e4-4b87-9f57-46436e51a367,98,,,"[37.0, 0.1]",3879841,3,,,,,0.19522165,,,,,"[54.7, 3.6]",,Low Pass,,18.042727,,,,,Danilo Soddimo,11608.0,,,,,Throw-in,1,From Throw In,Daniel Pavlovic,8661.0,Left Back,13,Frosinone,291,['00309a2d-8623-4930-9578-d1a39f4d20f6'],1,,,,,,,,,,,,,,,,Frosinone,291,00:03:01.933,Pass,
,,,,,,,,,,,,,,,,2.299202,,,,,,,,,,,,,211731ec-273b-4493-ac2c-1c9614bb5bf8,101,,,"[52.8, 4.0]",3879841,3,,,,,0.5364355,,Right Foot,,,"[78.7, 19.4]",,High Pass,,30.13254,,,Incomplete,,Daniel Ciofani,13613.0,,,,,,1,From Throw In,Danilo Soddimo,11608.0,Left Wing,13,Frosinone,291,"['05d1fb6c-356e-47ff-8f02-363459e73a75', '38cb2053-f0e4-4767-a71c-dafecced32c6', 'a1ffdb51-b358-4d82-b092-b0e015075193']",2,,,,,,,,,,,,,,,,Frosinone,291,00:03:02.877,Pass,True
,,,,,,,,,,,,,,,,1.367032,,,,,,,,,,,,,38cb2053-f0e4-4767-a71c-dafecced32c6,104,,,"[41.4, 60.7]",3879841,3,,,,True,0.23860933,,,,,"[45.1, 61.6]",,Low Pass,,3.8078866,,,,,Oscar Hiljemark,5605.0,,,,,Recovery,1,Regular Play,Thiago Rangel Cionek,5662.0,Right Center Back,14,Palermo,2256,"['211731ec-273b-4493-ac2c-1c9614bb5bf8', '3e8a2e84-e94e-4275-8699-f41e342eaaeb', '8a8834f1-2d09-4f70-b163-a9b7028f45f0']",5,,,,,,,,,,,,,,,,Palermo,2256,00:03:05.176,Pass,True
,,,,,,,,,,,,,,,,2.060406,,,,,,,,,,,,,ff49a2bc-d75a-40df-a9d2-b034a6c2bdb7,108,,,"[45.6, 51.4]",3879841,3,,,,,-2.2307308,,Right Foot,,,"[35.9, 38.9]",,High Pass,,15.822136,,,,,Michel Morganella,31268.0,,,,,,1,Regular Play,Oscar Hiljemark,5605.0,Right Defensive Midfield,14,Palermo,2256,"['9df25e56-dfd9-4811-8402-24c7446404da', 'b2eb88e4-1195-44f7-834f-295af99fdde7']",6,,,,,,,,,,,,,,,,Palermo,2256,00:03:06.607,Pass,True
,,,,,,,,,,,,,,,,1.046392,,,,,,,,,,,,,dded2ba2-0fc9-45af-a21a-0348522941d0,112,,,"[48.5, 27.4]",3879841,3,,,,,-0.09023052,,Left Foot,,,"[69.5, 25.5]",,Ground Pass,,21.085777,,,,,Robin Quaison,8552.0,,,,,,1,Regular Play,Michel Morganella,31268.0,Left Wing Back,14,Palermo,2256,"['52fcf603-d7a2-4bec-a003-27dc4cfad941', '5e91691e-d62c-4b8b-98c8-335daf6efebf']",11,,,,,,,,,,,,,,,,Palermo,2256,00:03:11.171,Pass,True
,,,,,,,,,,,,,,,,2.883101,,,,,,,,,,,,,51492090-617e-43a0-bfdb-d19a87b3b791,118,,,"[66.4, 24.0]",3879841,3,,,,,0.19195344,,Right Foot,,,"[94.7, 29.5]",,High Pass,,28.829498,,,Unknown,,,,,,,,Free Kick,1,From Free Kick,Enzo Maresca,25954.0,Left Defensive Midfield,15,Palermo,2256,,28,,,,,,,,,,,,,,,,Palermo,2256,00:03:28.180,Pass,
,,,,,,,,,,,,,,,,1.809549,,,,,,,,,,,,,73b92687-d4b3-489c-8662-e523a215ff20,121,,,"[91.4, 25.8]",3879841,4,,,,,0.76499283,,Right Foot,,,"[113.9, 47.4]",,High Pass,,31.189901,,,Pass Offside,,Andrea Rispoli,30769.0,,,,,Free Kick,1,From Free Kick,Oscar Hiljemark,5605.0,Right Defensive Midfield,16,Palermo,2256,['689e87da-425d-4ada-8380-78e0cb3a2580'],24,,,,,,,,,,,,,,,,Palermo,2256,00:04:24.452,Pass,
,,,,,,,,,,,,,,,,2.102931,,,,,,,,,,,,,c0b6e9c7-733e-43a4-8b1e-9c06b4c6a04d,123,,,"[9.4, 35.3]",3879841,4,,,,,-0.8032534,,Right Foot,,,"[36.9, 6.8]",,High Pass,,39.604294,,,,,Daniel Pavlovic,8661.0,,,,,Free Kick,1,From Free Kick,Nicola Leali,32037.0,Goalkeeper,17,Frosinone,291,['95be4918-1e6b-4141-a926-cc73c30f367c'],52,,,,,,,,,,,,,,,,Frosinone,291,00:04:52.406,Pass,
,,,,,,,,,,,,,,,,2.004729,,,,,,,,,,,,,f8681070-18e4-497c-93e0-5cb4d4d1be02,126,,,"[36.9, 6.8]",3879841,4,,,,,1.539061,,Left Foot,,,"[37.3, 19.4]",,Ground Pass,,12.606348,,,,,Robert Gucher,30911.0,,,,,,1,From Free Kick,Daniel Pavlovic,8661.0,Left Back,17,Frosinone,291,['5e345777-be20-4bbe-af17-eb8e5af7ddc5'],54,,,,,,,,,,,,,,,,Frosinone,291,00:04:54.650,Pass,
,,,,,,,,,,,,,,,,1.861709,,,,,,,,,,,,,5673c78e-5c9d-4a2b-b001-4a4c3960b080,128,,,"[37.3, 19.4]",3879841,4,,,,,3.1415927,,Right Foot,,,"[19.5, 19.4]",,Ground Pass,,17.8,,,,,Leonardo Blanchard,387847.0,,,,,,1,From Free Kick,Robert Gucher,30911.0,Center Defensive Midfield,17,Frosinone,291,['7430c640-fe51-493d-8406-669b0cb7dda2'],56,,,,,,,,,,,,,,,,Frosinone,291,00:04:56.654,Pass,
,,,,,,,,,,,,,,,,1.716967,,,,,,,,,,,,,d7d531c9-b159-46bb-934b-32c98afecddc,131,,,"[19.5, 19.4]",3879841,4,,,,,-0.7292226,,Left Foot,,,"[41.1, 0.1]",,Ground Pass,,28.96636,,,Out,,Daniel Pavlovic,8661.0,,,,,,1,From Free Kick,Leonardo Blanchard,387847.0,Left Center Back,17,Frosinone,291,['3ccdf604-0b6b-495d-9c63-e8d99dd6ecb9'],59,,,,,,,,,,,,,,,,Frosinone,291,00:04:59.071,Pass,
