50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.081729,,,,,,,,,,,,,cb5d2c46-9ead-4676-b674-584a888ef50b,54,,"[54.2, 30.7]",3879874,2,,,,,-1.4226363,,Right Foot,,,"[57.2, 10.6]",,Ground Pass,,20.322647,,,,Marcos Alonso Mendoza,3964.0,,,,,,1,From Kick Off,Milan Badelj,6305.0,Center Defensive Midfield,6,Fiorentina,239,['c1762bd1-974e-460e-93c6-1fc267428ea9'],24,,,,,,,,,,,,,,,,Fiorentina,239,00:02:24.167,Pass,
,,,,,,,,,,,,,,,,1.629963,,,,,,,,,,,,,c4c3fc02-6307-4134-b3d0-c2952c9837f3,61,,"[59.8, 9.0]",3879874,2,,,,,2.951406,,Right Foot,,,"[41.1, 12.6]",,Ground Pass,,19.043371,,,,Davide Astori,8275.0,,,,,,1,From Kick Off,Marcos Alonso Mendoza,3964.0,Left Back,6,Fiorentina,239,['e37c31de-a6be-4d8a-8927-9790906df035'],28,,,,,,,,,,,,,,,,Fiorentina,239,00:02:28.250,Pass,
,,,,,,,,,,,,,,,,1.47989,,,,,,,,,,,,,7db99a3a-c00e-4ace-800a-68e6d88632fc,64,,"[41.7, 12.6]",3879874,2,,,,,1.8965415,,Left Foot,,,"[34.1, 35.1]",,Ground Pass,,23.748896,,,,Gonzalo Javier Rodríguez,25931.0,,,,,,1,From Kick Off,Davide Astori,8275.0,Left Center Back,6,Fiorentina,239,['e7895385-ca57-4885-aaab-493944c9a994'],30,,,,,,,,,,,,,,,,Fiorentina,239,00:02:30.730,Pass,
,,,,,,,,,,,,,,,,5.48626,,,,,,,,,,,,,8f595e56-dc29-4c2d-bcba-4791fed3b0b6,67,,"[36.9, 45.9]",3879874,2,,,,,-0.53491056,,Right Foot,,,"[98.5, 9.4]",,High Pass,,71.601746,,Incomplete,,,,,,,,,1,From Kick Off,Gonzalo Javier Rodríguez,25931.0,Right Center Back,6,Fiorentina,239,['4039069a-c884-4016-a206-b39666d1f27c'],34,,,,,,,,,,,,,,,,Fiorentina,239,00:02:34.857,Pass,
,,,,,,,,,,,,,,,,3.698462,,,,,,,,,,,,,c9a58098-b6bc-4d92-b0b3-9cd1038a1fa2,70,,"[12.1, 70.7]",3879874,2,,,,,0.1657383,,Right Foot,,,"[67.1, 79.9]",,High Pass,,55.764145,,Out,,,,,,,,,1,From Kick Off,Abdoulay Konko,26683.0,Right Back,6,Fiorentina,239,,41,,,,,,,,,,,,,,,,Lazio,236,00:02:41.318,Pass,
,,,,,,,,,,,,,,,,2.159788,,,,,,,,,,,,,9caf49c7-a2a6-4824-b4ed-9b3d7b24dd91,71,,"[54.4, 0.1]",3879874,2,,,,,2.6887305,,,,,"[28.3, 12.8]",,Low Pass,,29.02585,,,,Davide Astori,8275.0,,,,,Throw-in,1,From Throw In,Marcos Alonso Mendoza,3964.0,Left Back,7,Fiorentina,239,['f3927a4b-eae6-49fb-9cb6-0f778ceb3fd6'],59,,,,,,,,,,,,,,,,Fiorentina,239,00:02:59.942,Pass,
,,,,,,,,,,,,,,,,1.254297,,,,,,,,,,,,,d0168ed7-7171-4e91-93d9-b6b7e918b08c,74,,"[28.5, 12.8]",3879874,3,,,,,1.5609444,,Left Foot,,,"[28.7, 33.1]",,Ground Pass,,20.300985,,,,Gonzalo Javier Rodríguez,25931.0,,,,,,1,From Throw In,Davide Astori,8275.0,Left Center Back,7,Fiorentina,239,['93508d51-4a05-4fc8-b40b-6e1f8f53031f'],3,,,,,,,,,,,,,,,,Fiorentina,239,00:03:03.154,Pass,
,,,,,,,,,,,,,,,,1.681638,,,,,,,,,,,,,12197be6-a2f6-4297-9836-aadb78c0d235,77,,"[29.1, 34.7]",3879874,3,,,,,1.5206592,,Right Foot,,,"[30.5, 62.6]",,Ground Pass,,27.935102,,,,Nenad Tomović,7056.0,,,,,,1,From Throw In,Gonzalo Javier Rodríguez,25931.0,Right Center Back,7,Fiorentina,239,['4def2108-309c-4647-8d04-c99e87d5922b'],5,,,,,,,,,,,,,,,,Fiorentina,239,00:03:05.840,Pass,
,,,,,,,,,,,,,,,,2.737527,,,,,,,,,,,,,ac2d35dd-e27a-4870-b892-12337672f2c3,80,,"[44.3, 72.4]",3879874,3,,,,,-0.00487801,,Right Foot,,,"[85.3, 72.2]",,High Pass,,41.00049,,Incomplete,,Cristian Tello Herrera,6658.0,,,,,,1,From Throw In,Nenad Tomović,7056.0,Right Back,7,Fiorentina,239,"['187c57ee-e745-4d15-9771-4a6404724a24', '58a861eb-c3a7-4a1a-b110-129029f34f0d']",10,,,,,,,,,,,,,,,,Fiorentina,239,00:03:10.735,Pass,
,,,,,,,,,,,,,,,,1.10426,,,,,,,,,,,,,187c57ee-e745-4d15-9771-4a6404724a24,82,,"[34.8, 7.9]",3879874,3,,,,,-0.2754261,,Head,,,"[44.0, 5.3]",,Low Pass,,9.560335,,,,Marco Parolo,8173.0,,,,,Interception,1,Regular Play,Senad Lulić,7785.0,Left Back,8,Lazio,236,"['67a5880c-8105-4d49-831e-c80c2cce991f', 'ac2d35dd-e27a-4870-b892-12337672f2c3']",13,,,,,,,,,,,,,,,,Lazio,236,00:03:13.473,Pass,
