50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.127948,,,,,,,,,,,,,a444b101-38cf-469a-8e5e-4f22f7154e4c,3068,,,"[85.3, 62.7]",3879622,88,,,,1.169773,,Right Foot,,,,"[90.6, 75.2]",,Ground Pass,,13.577187,,,Simone Pepe,40247.0,,,,,,2,From Free Kick,Ivan Radovanović,7042.0,Left Defensive Midfield,210,Chievo,231,"['6878ec71-7b22-435e-87fe-1ddc5f0671dc', 'b0157659-d0b4-44ac-81be-899f92f9c693']",39,,,,,,,,,,,,,,,,,Chievo,231,00:43:39.337,Pass,True
,,,,,,,,,,,,,,,,,0.865534,,,,,,,,,,,,,18c45545-0953-4bba-a2d1-df72fc03a6f6,3071,,,"[93.2, 73.9]",3879622,88,,,,-2.440109,,Right Foot,,,,"[87.4, 69.0]",,Ground Pass,,7.5927596,,,Ivan Radovanović,7042.0,,,,,,2,From Free Kick,Simone Pepe,40247.0,Right Midfield,210,Chievo,231,['3f2911c3-c93f-4eb2-a6cb-3fa89901ab50'],41,,,,,,,,,,,,,,,,,Chievo,231,00:43:41.707,Pass,
,,,,,,,,,,,,,,,,,2.750593,,,,,,,,,,,,,b07f1683-9ebe-4840-b4b9-217651cf3930,3080,,,"[34.8, 23.2]",3879622,88,,,,1.0802494,,Right Foot,,,,"[53.6, 58.4]",,High Pass,,39.905888,,,Gaetano Letizia,7114.0,,,,,,2,Regular Play,Raffaele Bianco,352172.0,Left Defensive Midfield,211,Carpi,1683,['07adfb70-3a93-440f-b93e-1cec473759b1'],53,,,,,,,,,,,,,,,,,Carpi,1683,00:43:53.436,Pass,
,,,,,,,,,,,,,,,,,1.350199,,,,,,,,,,,,,e1d9f9d8-4980-4f2a-bc20-0a972ce76dd9,3084,,,"[57.4, 16.4]",3879622,88,,,,-0.16076274,,Head,,,,"[68.5, 14.6]",,High Pass,,11.244999,Incomplete,,Lucas Nahuel Castro,7049.0,,,,,Recovery,2,Regular Play,Massimo Gobbi,8645.0,Left Back,211,Carpi,1683,"['4b9e70fc-aa52-4eee-8fbb-f28097d7d911', 'aa6ecfde-d327-4f52-9ef3-18362cfc5ddc']",57,,,,,,,,,,,,,,,,,Chievo,231,00:43:57.577,Pass,
,,,,,,,,,,,,,,,,,1.804831,,,,,,,,,,,,,06561bd7-348c-4c43-ae28-8595239c8190,3098,,,"[81.8, 54.7]",3879622,89,,,,-1.5102643,,Right Foot,,,,"[84.4, 11.8]",,Ground Pass,,42.978714,,,Antonio Di Gaudio,11502.0,,True,,,,2,Regular Play,Jerry Uche Mbakogu,32608.0,Center Forward,211,Carpi,1683,['dad7c1a8-7ee0-4096-876e-12369e5f4a93'],8,,,,,,,,,,,,,,,,,Carpi,1683,00:44:08.214,Pass,
,,,,,,,,,,,,,,,,,0.897751,,,,,,,,,,,,,7ea62516-f70a-412c-8324-3e150c027231,3101,,,"[108.0, 18.1]",3879622,89,,,,1.3318598,,Left Foot,True,,,"[111.8, 33.7]",,High Pass,,16.056152,,,Kevin Lasagna,7793.0,,,,,,2,Regular Play,Antonio Di Gaudio,11502.0,Left Midfield,211,Carpi,1683,['98a85347-22fa-4864-b552-88dfa501ed92'],14,,,,,,,,,,,,,,,,,Carpi,1683,00:44:14.755,Pass,
,,,,,,,,,,,,,,,,,1.160498,,,,,,,,,,,,,bf15b100-715a-489d-9db4-8a71c43800e9,3108,,,"[120.0, 80.0]",3879622,90,,,,-1.6888883,,Right Foot,,,,"[116.5, 50.5]",,High Pass,,29.706902,Incomplete,True,Ryder Matos Santos,7696.0,,,Outswinging,,Corner,2,From Corner,Gaetano Letizia,7114.0,Right Back,212,Carpi,1683,"['4cdf6ba3-0c90-4d47-933b-d8b5dfc8872e', 'e8fbbf7f-7db1-4642-88dc-6e249f329f97']",7,,,,,,,,,,,,,,,,,Carpi,1683,00:45:07.248,Pass,
,,,,,,,,,,,,,,,,,4.281743,,,,,,,,,,,,,d2cbfb36-cc78-4c6d-9631-237ba60736f0,3113,,,"[23.0, 52.6]",3879622,90,,,,-0.64999455,,Right Foot,,,,"[84.3, 6.0]",,High Pass,,77.001625,,,Lucas Nahuel Castro,7049.0,,True,,,Recovery,2,From Corner,Ivan Radovanović,7042.0,Left Defensive Midfield,212,Carpi,1683,"['58cddc8e-8576-4bfd-98e1-4c3accadf2a3', 'ba7fb710-45dc-4adf-b67b-6c752bb76bbf']",11,,,,,,,,,,,,,,,,,Chievo,231,00:45:11.946,Pass,True
,,,,,,,,,,,,,,,,,1.355679,,,,,,,,,,,,,9b51503c-a919-4408-b074-c529f19691d4,3119,,,"[93.7, 0.1]",3879622,90,,,,0.36889976,,,,,,"[113.1, 7.6]",,High Pass,,20.799278,Incomplete,,Alberto Paloschi,6950.0,,,,,Throw-in,2,From Throw In,Massimo Gobbi,8645.0,Left Back,213,Chievo,231,"['205c1885-d621-452e-9b88-5aae78357997', 'd9e2a06d-94b2-4717-b5d5-905ff2f7783d']",36,,,,,,,,,,,,,,,,,Chievo,231,00:45:36.701,Pass,
,,,,,,,,,,,,,,,,,3.23547,,,,,,,,,,,,,8ce1f34b-a7df-4676-9ed0-1c82b284dd12,3123,,,"[16.0, 69.5]",3879622,90,,,,-0.44890666,,Right Foot,,,,"[81.6, 37.9]",,High Pass,,72.814285,,,Kevin Lasagna,7793.0,,,,,Free Kick,2,From Free Kick,Vid Belec,8662.0,Goalkeeper,214,Carpi,1683,['5332b49b-b867-4810-8f1d-288eb7cc5d5c'],54,,,,,,,,,,,,,,,,,Carpi,1683,00:45:54.928,Pass,
