50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,feb75386-156c-4082-bb51-53b38452b8f1,51,,,"[63.5, 25.8]",3879613,1,,,,,2.108081,,Other,,"[60.7, 30.5]",,Low Pass,,5.470832,,,Manuel Pucciarelli,7054.0,,,,,,1,From Throw In,Riccardo Saponara,7150.0,Center Attacking Midfield,6,Empoli,290,['970577f1-192d-4ad6-a70b-59ba9975e392'],5,,,,,,,,,,,,,,,Empoli,290,00:01:05.976,Pass,
,,,,,,,,,,,,,,,,,5.454268,,,,,,,,,,,,,edcaae09-c579-40cf-999b-f4a69a685ac7,54,,,"[60.7, 31.1]",3879613,1,,,,,-0.78701365,,Left Foot,,"[91.6, 0.1]",,High Pass,,43.769966,Out,,Massimo Maccarone,40252.0,,,,,,1,From Throw In,Manuel Pucciarelli,7054.0,Right Center Forward,6,Empoli,290,['9ac1847a-91de-42ff-9c4e-8aeebbe0ac8e'],7,,,,,,,,,,,,,,,Empoli,290,00:01:07.082,Pass,
,,,,,,,,,,,,,,,,,1.9977,,,,,,,,,,,,,7a7f4040-4830-46d1-8cad-6b2b3c2f601e,58,,,"[31.9, 80.0]",3879613,1,,,,,-2.7977128,,,,"[17.1, 74.7]",,Low Pass,,15.720369,,,Andrea Barzagli,6943.0,,,,,Throw-in,1,From Throw In,Stephan Lichtsteiner,5541.0,Right Back,7,Juventus,224,['5086f51a-3db6-4e18-804d-aef9e2f0edd2'],16,,,,,,,,,,,,,,,Juventus,224,00:01:16.245,Pass,
,,,,,,,,,,,,,,,,,1.293067,,,,,,,,,,,,,e94a9f50-f635-4520-8dbd-c0c5d4b7c138,61,,,"[9.9, 72.8]",3879613,1,,,,,0.31270102,,Right Foot,,"[23.2, 77.1]",,Ground Pass,,13.977839,,,Stephan Lichtsteiner,5541.0,,,,,,1,From Throw In,Andrea Barzagli,6943.0,Right Center Back,7,Juventus,224,['f285119a-f1aa-43e1-9d83-ed2ce0a1c35d'],20,,,,,,,,,,,,,,,Juventus,224,00:01:20.020,Pass,
,,,,,,,,,,,,,,,,,2.788296,,,,,,,,,,,,,39c916fe-8d37-4c14-b157-f19613db2294,65,,,"[24.9, 76.4]",3879613,1,,,,,-0.029231437,,Right Foot,,"[59.1, 75.4]",,High Pass,,34.214615,Incomplete,,Mario Mandžukić,5472.0,,,,,,1,From Throw In,Stephan Lichtsteiner,5541.0,Right Back,7,Juventus,224,"['15f26a1d-888e-4b02-a1b6-e262aadf0969', 'a364f832-2638-4f92-ae77-5133d883ee10', 'fee0ae63-558b-4173-9183-aa978dbd66bc']",22,,,,,,,,,,,,,,,Juventus,224,00:01:22.270,Pass,True
,,,,,,,,,,,,,,,,,1.999279,,,,,,,,,,,,,09d30d13-3559-4b8c-975e-23832c9c3351,68,,,"[60.8, 80.0]",3879613,1,,,,,-0.20030761,,,,"[93.8, 73.3]",,High Pass,,33.673283,Incomplete,,Juan Guillermo Cuadrado Bello,5689.0,,,,,Throw-in,1,From Throw In,Stephan Lichtsteiner,5541.0,Right Back,8,Juventus,224,"['69b2f2b5-e3e5-4bbe-a69b-1d1fec9f7b08', 'c54ba24f-90fe-47d4-8752-8744c6903a60']",28,,,,,,,,,,,,,,,Juventus,224,00:01:28.355,Pass,
,,,,,,,,,,,,,,,,,0.919136,,,,,,,,,,,,,cd5a1d65-1174-479b-85e6-e5e905b7a0fb,73,,,"[33.5, 4.3]",3879613,1,,,,,1.6495802,,Left Foot,,"[32.9, 11.9]",,Ground Pass,,7.623647,,,Raffaele Maiello,11602.0,,,,,,1,Regular Play,Andrea Costa,8664.0,Left Center Back,9,Empoli,290,['5e0efc58-32a5-413a-bd46-250c827d4496'],34,,,,,,,,,,,,,,,Empoli,290,00:01:34.104,Pass,
,,,,,,,,,,,,,,,,,3.091325,,,,,,,,,,,,,a0ebd763-bc86-4a43-9044-13c690d79712,76,,,"[29.5, 16.3]",3879613,1,,,,,1.3436632,,Right Foot,,"[39.6, 60.0]",,High Pass,,44.85198,,,Vincent Laurini,7155.0,,True,,,,1,Regular Play,Raffaele Maiello,11602.0,Center Defensive Midfield,9,Empoli,290,['6f34165b-d05b-4e8f-842f-be1761c5bce8'],37,,,,,,,,,,,,,,,Empoli,290,00:01:37.123,Pass,
,,,,,,,,,,,,,,,,,1.74476,,,,,,,,,,,,,78b08167-f0dc-4b00-b9d8-368301281733,83,,,"[64.1, 64.7]",3879613,2,,True,,,-1.7529646,,Right Foot,,"[59.9, 41.9]",,Ground Pass,,23.183615,,,Andrea Costa,8664.0,,,,,Free Kick,1,From Free Kick,Raffaele Maiello,11602.0,Center Defensive Midfield,10,Empoli,290,['26f9c3bd-01d1-4d64-af9f-0cecc0f32d3a'],32,,,,,,,,,,,,,,,Empoli,290,00:02:32.411,Pass,
,,,,,,,,,,,,,,,,,1.67478,,,,,,,,,,,,,09a0770c-a397-4169-9eb4-b9cf0f396063,85,,,"[61.8, 43.6]",3879613,2,,,,,1.4626485,,Left Foot,,"[63.7, 61.1]",,Ground Pass,,17.60284,,,Lorenzo Tonelli,7160.0,,,,,,1,From Free Kick,Andrea Costa,8664.0,Left Center Back,10,Empoli,290,['41c8d360-b3aa-4e3e-84aa-4bc398c1cc48'],34,,,,,,,,,,,,,,,Empoli,290,00:02:34.244,Pass,
,,,,,,,,,,,,,,,,,1.693213,,,,,,,,,,,,,278130cc-8d32-4f50-b7fe-7b4d2c73d8e1,89,,,"[63.5, 61.3]",3879613,2,,,,,-0.47318247,,Right Foot,,"[96.9, 44.2]",,High Pass,,37.522926,,,Massimo Maccarone,40252.0,,,,,,1,From Free Kick,Lorenzo Tonelli,7160.0,Right Center Back,10,Empoli,290,"['1fad7489-5c9b-494b-822f-946fc71a1eb9', '6337c20d-9c8a-4728-ab54-b945e84056ff']",37,,,,,,,,,,,,,,,Empoli,290,00:02:37.264,Pass,True
,,,,,,,,,,,,,,,,,4.531687,,,,,,,,,,,,,6d49ed4c-c554-4dd8-ba20-0a90f1b215b6,92,,,"[96.4, 44.2]",3879613,2,,,,True,-1.3195363,,,,"[106.0, 6.8]",,High Pass,,38.612434,Incomplete,,,,,,,,,1,From Free Kick,Massimo Maccarone,40252.0,Left Center Forward,10,Empoli,290,"['a27829d2-aaa3-40e0-8e8a-b2c8f919c9cc', 'dd6fc3a4-dcd2-4916-a79b-3cf30366a273']",38,,,,,,,,,,,,,,,Empoli,290,00:02:38.957,Pass,True
,,,,,,,,,,,,,,,,,1.117042,,,,,,,,,,,,,a27829d2-aaa3-40e0-8e8a-b2c8f919c9cc,93,,,"[14.1, 73.3]",3879613,2,,,,,0.10100644,,Right Foot,,"[28.9, 74.8]",,Ground Pass,,14.875819,,,Juan Guillermo Cuadrado Bello,5689.0,,,,,Recovery,1,From Free Kick,Stephan Lichtsteiner,5541.0,Right Back,10,Empoli,290,"['6d49ed4c-c554-4dd8-ba20-0a90f1b215b6', '7d492e74-9a3f-4880-8cb0-c1cfd441918a']",43,,,,,,,,,,,,,,,Juventus,224,00:02:43.489,Pass,
