50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.434669,,,,,,,,,,,,,a84d6c56-5827-468b-a839-8b1f930eb782,64,,"[15.7, 27.2]",3878601,1,,,,,0.55300736,,Drop Kick,,,,"[52.8, 50.1]",,High Pass,,43.598396,,,Incomplete,,,,,,,,,1,Regular Play,Emiliano Viviano,7018.0,Goalkeeper,5,Sampdoria,234,['8a1626a6-bc7d-415f-b618-55bf083a3512'],31,,,,,,,,,,,,,,,,Sampdoria,234,00:01:31.745,Pass,
,,,,,,,,,,,,,,,,,,2.374205,,,,,,,,,,,,,8a1626a6-bc7d-415f-b618-55bf083a3512,65,,"[67.3, 30.0]",3878601,1,,,,,-0.33429265,,Right Foot,,,,"[93.5, 20.9]",,Ground Pass,,27.735357,,,Incomplete,,Franco Brienza,45591.0,,,,,Recovery,1,Regular Play,Emanuele Giaccherini,7775.0,Left Midfield,5,Sampdoria,234,"['077a23e6-9fbd-4fca-8f39-69a88b349565', '686ab0ca-c660-450d-8886-f728bb9d8e8f', 'a84d6c56-5827-468b-a839-8b1f930eb782']",33,,,,,,,,,,,,,,,,Bologna,240,00:01:33.180,Pass,
,,,,,,,,,,,,,,,,,,1.141187,,,,,,,,,,,,,686ab0ca-c660-450d-8886-f728bb9d8e8f,67,,"[26.6, 59.2]",3878601,1,,,,,-2.1685548,,Right Foot,,,,"[20.2, 49.8]",,Ground Pass,,11.371895,,,,,Matías Agustín Silvestre,7019.0,,,,,Recovery,1,Regular Play,Mattia Cassani,387417.0,Right Back,5,Sampdoria,234,"['0a8be0b5-87f8-40df-af0e-77ed5349363a', '8a1626a6-bc7d-415f-b618-55bf083a3512']",35,,,,,,,,,,,,,,,,Sampdoria,234,00:01:35.554,Pass,
,,,,,,,,,,,,,,,,,,1.909156,,,,,,,,,,,,,0db2973f-4208-448d-aae0-a5cc81263638,70,,"[22.1, 45.2]",3878601,1,,,,,-1.4238489,,Right Foot,,,,"[26.2, 17.5]",,Ground Pass,,28.001785,,,,,Niklas Moisander,9884.0,,,,,,1,Regular Play,Matías Agustín Silvestre,7019.0,Right Center Back,5,Sampdoria,234,['37918045-c0b4-4d63-ad86-0448eaf60b0c'],38,,,,,,,,,,,,,,,,Sampdoria,234,00:01:38.862,Pass,
,,,,,,,,,,,,,,,,,,1.423588,,,,,,,,,,,,,bd4255d7-9e26-4ae0-98b6-c44664b4a4b4,73,,"[29.5, 16.7]",3878601,1,,,,,-0.85614604,,Right Foot,,,,"[41.3, 3.1]",,Ground Pass,,18.005554,,,,,Vasco Regini,7012.0,,,,,,1,Regular Play,Niklas Moisander,9884.0,Left Center Back,5,Sampdoria,234,['847c3019-81c1-4f85-9705-ec652427fdd9'],41,,,,,,,,,,,,,,,,Sampdoria,234,00:01:41.748,Pass,
,,,,,,,,,,,,,,,,,,1.141583,,,,,,,,,,,,,f2760719-c5ac-4321-8ca9-3128eda11acf,76,,"[47.5, 2.0]",3878601,1,,,,,-0.019605331,,Left Foot,,,,"[67.9, 1.6]",,Ground Pass,,20.403921,,,,,Eder Citadin Martins,7000.0,,,,,,1,Regular Play,Vasco Regini,7012.0,Left Back,5,Sampdoria,234,['e364b0a5-3a5e-47d3-99cf-a1bf9e42c6d1'],45,,,,,,,,,,,,,,,,Sampdoria,234,00:01:45.270,Pass,
,,,,,,,,,,,,,,,,,,1.973397,,,,,,,,,,,,,377956f6-98b4-4257-95dd-147e90a95a63,79,,"[71.9, 24.1]",3878601,1,,,,,0.8022821,,Right Foot,,,,"[98.1, 51.2]",,High Pass,,37.694164,,,Incomplete,,Luis Fernando Muriel Fruto,6334.0,,,,,,1,Regular Play,Eder Citadin Martins,7000.0,Left Wing,5,Sampdoria,234,"['a239e79f-df58-495e-835a-6531a81efee1', 'ed8ef52e-3c29-44c4-b732-8904ea47e642']",50,,,,,,,,,,,,,,,,Sampdoria,234,00:01:50.410,Pass,
,,,,,,,,,,,,,,,,,,2.616256,,,,,,,,,,,,,f16ca488-1a8e-4471-8fe7-9eb64d0bc75b,83,,"[24.7, 28.1]",3878601,1,,,,,1.6310408,,Left Foot,,,,"[22.8, 59.6]",,Ground Pass,,31.55725,,,,,Luca Rossettini,7142.0,,,,,,1,Regular Play,Adam Masina,7169.0,Left Back,6,Bologna,240,['600eb069-5f84-4d0a-87a1-d332bbd1a32a'],54,,,,,,,,,,,,,,,,Bologna,240,00:01:54.220,Pass,
,,,,,,,,,,,,,,,,,,1.431652,,,,,,,,,,,,,9a018663-8a8f-481f-9253-ef622420d92f,86,,"[22.8, 59.6]",3878601,1,,,,,0.7938487,,Right Foot,,,,"[40.4, 77.5]",,Ground Pass,,25.103188,,,,,Alex Ferrari,7704.0,,,,,,1,Regular Play,Luca Rossettini,7142.0,Right Center Back,6,Bologna,240,['b277be95-a47c-45fa-955c-cacc64b6bdd4'],57,,,,,,,,,,,,,,,,Bologna,240,00:01:57.068,Pass,
,,,,,,,,,,,,,,,,,,0.96293,,,,,,,,,,,,,15626f92-617a-4f99-a3d6-bed08875aead,89,,"[50.5, 77.5]",3878601,1,,,,,-2.5515325,,Right Foot,,,,"[39.3, 70.0]",,Ground Pass,,13.479243,,,,,Saphir Sliti Taïder,8851.0,,,,,,1,Regular Play,Alex Ferrari,7704.0,Right Back,6,Bologna,240,['565bf85e-b545-498e-809d-6723a88011f1'],59,,,,,,,,,,,,,,,,Bologna,240,00:01:59.824,Pass,
