50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,23ce783d-6983-4eef-8fdb-8b9c9bc05a62,2125,,"[45.2, 4.2]",3879843,57,,,True,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Kamil Glik,3034.0,Center Back,118,Sassuolo,232,['1e1cccf0-588f-4399-9001-e811f864c251'],11,,,,,,,,,,,,,,,,,Torino,241,00:12:11.055,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,11f5b83c-3c41-4413-9680-f98cdf922c30,2149,,"[28.1, 23.7]",3879843,57,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Emiliano Moretti,7476.0,Left Center Back,119,Sassuolo,232,['341abb0f-bc25-4410-a553-a6e2b24ddc74'],51,,,,,,,,,,,,,,,,,Torino,241,00:12:51.403,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,b371439e-9a37-428f-9d77-7afd63f1b21e,2333,,"[72.1, 61.8]",3879843,61,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Francesco Magnanelli,7127.0,Center Defensive Midfield,124,Torino,241,['bb4d264a-19bf-4397-ada5-94c94a157b7a'],34,,,,,,,,,,,,,,,,,Sassuolo,232,00:16:34.470,Clearance,True
,,,,,,Left Foot,,True,,,,,,,,0.0,,,,,,,,,,,,,3fd0d40b-75c7-45f9-aa50-0ad310fcda7b,2342,,"[63.1, 41.5]",3879843,61,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Francesco Acerbi,7119.0,Left Center Back,124,Torino,241,['4bee4e55-dece-46ed-b21d-de535fcf1e28'],45,,,,,,,,,,,,,,,,,Sassuolo,232,00:16:45.897,Clearance,True
,,,,,,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,a8ff4ffb-e1bf-4170-9973-a0692b8c6c31,2528,,"[8.2, 36.1]",3879843,66,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Emiliano Moretti,7476.0,Left Center Back,133,Sassuolo,232,['13877868-f664-4bb5-8483-2a3418c4268e'],35,,,,,,,,,,,,,,,,,Torino,241,00:21:35.938,Clearance,True
,,,,,True,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,63fa2868-c09b-441b-93ac-71fbbce4d752,2581,,"[62.9, 16.6]",3879843,67,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Kamil Glik,3034.0,Center Back,138,Sassuolo,232,"['298369b9-1b7e-4690-9726-087e5e0d0a5f', '96cea305-4bcc-4a13-bafa-8d1af4c45446']",45,,,,,,,,,,,,,,,,,Torino,241,00:22:45.661,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,df9be1af-d719-420e-971e-8c47b1082481,2777,,"[7.2, 34.9]",3879843,73,,,True,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Kamil Glik,3034.0,Center Back,153,Sassuolo,232,['34dcb963-676c-4474-b655-b33f798ce639'],28,,,,,,,,,,,,,,,,,Torino,241,00:28:28.858,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,c1944286-e9eb-4424-bb73-68657e00cc69,2872,,"[24.3, 56.7]",3879843,77,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Paolo Cannavaro,8848.0,Right Center Back,160,Torino,241,,41,,,,,,,,,,,,,,,,,Sassuolo,232,00:32:41.010,Clearance,True
,,,,,,Left Foot,,True,,,,,,,,0.0,,,,,,,,,,,,,4acb9bcd-d5ea-4d63-b8fb-52df371b47b5,2887,,"[47.7, 6.9]",3879843,77,,,True,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Domenico Berardi,7131.0,Left Wing,160,Torino,241,['1c28a0f4-b863-4549-8629-6ce1d6f9a87a'],57,,,,,,,,,,,,,,,,,Sassuolo,232,00:32:57.400,Clearance,True
,,,,,True,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,8b7b1091-025e-48b3-b9ca-cef83beeb8ae,2917,,"[33.2, 4.8]",3879843,78,,,True,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Kamil Glik,3034.0,Center Back,163,Sassuolo,232,"['0df8e0fe-a080-437c-82fe-1ee91e16f690', 'cf206ae6-028c-4a6f-8c13-094805fc49a9']",46,,,,,,,,,,,,,,,,,Torino,241,00:33:46.409,Clearance,True
,,,,,True,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,f1f35237-ca5c-4967-9976-9759cf40a47a,3092,,"[20.2, 32.7]",3879843,85,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Francesco Acerbi,7119.0,Left Center Back,178,Torino,241,"['3f22d1ff-bbc8-45b7-930e-3744e862b45a', '7cdb677e-bf6b-4d29-bca8-e1cd3dbb1ad6']",26,,,,,,,,,,,,,,,,,Sassuolo,232,00:40:26.075,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,c8875d67-7076-4231-9b07-ec3f2e775699,3097,,"[16.3, 41.2]",3879843,85,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Paolo Cannavaro,8848.0,Right Center Back,178,Torino,241,,28,,,,,,,,,,,,,,,,,Sassuolo,232,00:40:28.538,Clearance,True
,,,,,True,Head,True,,,,,,,,,0.0,,,,,,,,,,,,,2c736939-6246-4f82-94f2-8661ec3d2ca5,3184,,"[82.9, 46.8]",3879843,88,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Francesco Magnanelli,7127.0,Center Defensive Midfield,184,Torino,241,"['78b7bbcd-e832-4859-96d6-c65b86aab6d2', 'fca323b3-8d0b-4fb9-84e4-e5ef81dad2a6']",14,,,,,,,,,,,,,,,,,Sassuolo,232,00:43:14.275,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,91b2edee-a526-449e-b647-118bc76fda64,3220,,"[14.7, 49.5]",3879843,89,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Paolo Cannavaro,8848.0,Right Center Back,186,Torino,241,['50d975d9-6e7b-4036-b8c6-95dd0e22d8fc'],30,,,,,,,,,,,,,,,,,Sassuolo,232,00:44:30.655,Clearance,True
,,,,,,Right Foot,,,True,,,,,,,0.0,,,,,,,,,,,,,6233e06e-9a95-4b04-a259-6614ed70b234,3244,,"[11.7, 47.9]",3879843,89,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Paolo Cannavaro,8848.0,Right Center Back,186,Torino,241,,47,,,,,,,,,,,,,,,,,Sassuolo,232,00:44:47.964,Clearance,True
