50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.128814,,,,,,,,,,,,,,,7e89f2cb-b7c8-47eb-be14-ead228f2f5cd,51,,"[45.1, 13.4]",3879687,1,,,,,1.0734537,,Left Foot,,,,"[54.6, 30.9]",,High Pass,,19.912308,,,Aleksandar Tonev,9898.0,,,,,,,1,From Throw In,Danilo Soddimo,11608.0,Left Wing,6,Torino,241,['5734c742-2e10-494b-913d-b4a70fa1175a'],39,,,,,,,,,,,,,,,,,Frosinone,291,00:01:39.443,Pass,
,,,,,,,,,,,,,,,,1.851616,,,,,,,,,,,,,,,4953bc03-8f60-4453-ae3f-c9e19bcaf81a,57,,"[24.6, 40.9]",3879687,1,,,,,-2.9627995,,Left Foot,,,,"[8.0, 37.9]",,Ground Pass,,16.868906,,,Salvador Ichazo Fernández,22271.0,,,,,,Recovery,1,From Throw In,Emiliano Moretti,7476.0,Left Center Back,6,Torino,241,['aab1cf09-e08e-49b2-b06f-6298cf0b0a50'],45,,,,,,,,,,,,,,,,,Torino,241,00:01:45.073,Pass,
,,,,,,,,,,,,,,,,1.634363,,,,,,,,,,,,,,,6c99e032-4a4f-4909-98d4-a3e462456b5b,60,,"[8.6, 29.0]",3879687,1,,,,,-0.8960554,,Left Foot,,,,"[17.0, 18.5]",,Ground Pass,,13.446561,,,Emiliano Moretti,7476.0,,,,,,,1,From Throw In,Salvador Ichazo Fernández,22271.0,Goalkeeper,6,Torino,241,['777d76d0-030d-4a40-a1e3-68c7bbfcffd1'],49,,,,,,,,,,,,,,,,,Torino,241,00:01:49.158,Pass,
,,,,,,,,,,,,,,,,2.682988,,,,,,,,,,,,,,,dfd40b80-0c9b-481f-aace-4fa4af137c05,63,,"[27.2, 16.6]",3879687,1,,,,,1.4416491,,Left Foot,,,,"[30.2, 39.7]",,Ground Pass,,23.293991,,,Kamil Glik,3034.0,,,,,,,1,From Throw In,Emiliano Moretti,7476.0,Left Center Back,6,Torino,241,['b0067478-eca4-4664-a5cc-80a702cadac5'],54,,,,,,,,,,,,,,,,,Torino,241,00:01:54.002,Pass,
,,,,,,,,,,,,,,,,1.466568,,,,,,,,,,,,,,,40864524-c751-4af8-ade3-e0af1f8976ad,66,,"[30.9, 39.9]",3879687,1,,,,,1.4745041,,Left Foot,,,,"[32.6, 57.5]",,Ground Pass,,17.681911,,,Nikola Maksimović,16202.0,,,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,6,Torino,241,['09c416ae-aba6-4373-bab1-0205a5560cbe'],57,,,,,,,,,,,,,,,,,Torino,241,00:01:57.517,Pass,
,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,9540c6d2-010b-45c8-bca2-9907f4ed32a3,69,,"[47.8, 55.3]",3879687,2,,,,,-1.9486337,,Right Foot,,,,"[40.1, 35.9]",,Ground Pass,,20.87223,,,Kamil Glik,3034.0,,,,,,,1,From Throw In,Nikola Maksimović,16202.0,Right Center Back,6,Torino,241,['11ad5ca1-cf3a-45bf-8737-24d3669836b6'],2,,,,,,,,,,,,,,,,,Torino,241,00:02:02.041,Pass,
,,,,,,,,,,,,,,,,1.606487,,,,,,,,,,,,,,,a6401822-7b91-4dd8-90bc-bd6f39e544d6,73,,"[56.3, 38.9]",3879687,2,,,,,1.895605,,Left Foot,,,,"[49.7, 58.5]",,Ground Pass,,20.681393,,,Nikola Maksimović,16202.0,,,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,6,Torino,241,"['58655687-6275-4bb1-8b33-2e0944b1bb1c', '85d62bf6-d722-46a0-ae35-2dcc2dab1f4f']",9,,,,,,,,,,,,,,,,,Torino,241,00:02:09.692,Pass,True
,,,,,,,,,,,,,,,,2.222293,,,,,,,,,,,,,,,97fbcf9e-cac9-4abb-89c9-306e18e97857,76,,"[52.7, 58.1]",3879687,2,,,,,-1.895559,,Right Foot,,,,"[46.0, 38.2]",,Ground Pass,,20.99762,,,Kamil Glik,3034.0,,,,,,,1,From Throw In,Nikola Maksimović,16202.0,Right Center Back,6,Torino,241,['5d3a33c3-55d8-43fb-8fab-f569da3bb075'],14,,,,,,,,,,,,,,,,,Torino,241,00:02:14.255,Pass,
,,,,,,,,,,,,,,,,1.738844,,,,,,,,,,,,,,,a2bcd896-ef32-46ac-8e84-6ab6c173f3bf,79,,"[46.0, 38.2]",3879687,2,,,,,-1.1581249,,Right Foot,,,,"[54.8, 18.1]",,Ground Pass,,21.941969,,,Emiliano Moretti,7476.0,,,,,,,1,From Throw In,Kamil Glik,3034.0,Center Back,6,Torino,241,['3a24d31f-8635-4a97-8c07-16e52fd70895'],16,,,,,,,,,,,,,,,,,Torino,241,00:02:16.568,Pass,
,,,,,,,,,,,,,,,,1.437276,,,,,,,,,,,,,,,65b294d3-6626-41bb-be14-f27c0fec21a1,82,,"[54.8, 18.1]",3879687,2,,,,,-0.99882734,,Right Foot,,,,"[65.1, 2.1]",,Ground Pass,,19.028662,,,Cristian Molinaro,7479.0,,,,,,,1,From Throw In,Emiliano Moretti,7476.0,Left Center Back,6,Torino,241,['7c188d8c-1421-433c-bab5-4c97ac0d6e9c'],19,,,,,,,,,,,,,,,,,Torino,241,00:02:19.504,Pass,
