50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.649876,,,,,,,,,,,,586cb9cf-024f-4a3a-ac64-717680dfe4a2,41,,"[100.2, 72.7]",3879593,0,,,,,-1.2956071,,Right Foot,,,,"[102.6, 64.2]",,Low Pass,8.832327,,Incomplete,,,,,,,,,1,From Throw In,Luca Rigoni,7461.0,Right Center Midfield,3,Palermo,2256,"['75009807-3bc7-445f-b35e-ecd83f5846e7', 'feae8455-5a79-40a3-846c-72283996af11']",56,,,,,,,,,,,,,,,,,Palermo,2256,00:00:56.537,Pass,True
,,,,,,,,,,,,,,,,,,0.858787,,,,,,,,,,,,feae8455-5a79-40a3-846c-72283996af11,42,,"[17.5, 15.9]",3879593,0,,,,,0.25080383,,Right Foot,,,,"[29.6, 19.0]",,Ground Pass,12.490797,,,,Gonzalo Gerardo Higuaín,5497.0,,,,,Recovery,1,From Throw In,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,3,Palermo,2256,"['586cb9cf-024f-4a3a-ac64-717680dfe4a2', 'd39cd9ed-ab36-4cd6-86d7-3c0d8350d920']",58,,,,,,,,,,,,,,,,,Napoli,227,00:00:58.187,Pass,
,,,,,,,,,,,,,,,,,,4.745385,,,,,,,,,,,,b7c3a6ec-2d26-40d4-8e2f-1ca9497dadb1,46,,"[27.7, 26.2]",3879593,1,,,,,1.1365747,,Right Foot,,,,"[52.0, 78.6]",,High Pass,57.76028,,Out,,Elseid Hysaj,7031.0,,True,,,,1,From Throw In,Gonzalo Gerardo Higuaín,5497.0,Center Forward,3,Palermo,2256,"['31a124b4-caa1-43c1-8f23-e1de6354d62f', 'b095b183-0f2e-4a68-b3f5-2a43479d3e77']",0,,,,,,,,,,,,,,,,,Napoli,227,00:01:00.625,Pass,True
,,,,,,,,,,,,,,,,,,1.736781,,,,,,,,,,,,7c22d528-e6c5-4ad5-aef0-7360791dbc57,50,,"[69.3, 0.1]",3879593,1,,,,,0.6272366,,,,,,"[92.2, 16.7]",,High Pass,28.283741,,,,Franco Damián Vázquez,6719.0,,,,,Throw-in,1,From Throw In,Achraf Lazaar,10032.0,Left Wing Back,4,Palermo,2256,['0801dbf8-8608-4625-a678-dd90ebd85f61'],13,,,,,,,,,,,,,,,,,Palermo,2256,00:01:13.492,Pass,
,,,,,,,,,,,,,,,,,,1.091313,,,,,,,,,,,,dd1e482b-3f49-4657-bb90-98e4c71521d2,52,,"[91.5, 16.7]",3879593,1,,,,,-1.6036792,,Head,,,,"[91.0, 1.5]",,High Pass,15.208221,,Out,,Oscar Hiljemark,5605.0,,,,,,1,From Throw In,Franco Damián Vázquez,6719.0,Center Attacking Midfield,4,Palermo,2256,['3d54a951-9ab6-4b5c-b0db-64e484b1c33b'],15,,,,,,,,,,,,,,,,,Palermo,2256,00:01:15.229,Pass,
,,,,,,,,,,,,,,,,,,1.376632,,,,,,,,,,,,00e4a3fd-57f7-40bc-a46a-2093158fd20a,54,,"[26.5, 80.0]",3879593,1,,,,,-0.7853982,,,,,,"[40.2, 66.3]",,High Pass,19.374725,,,,José María Callejón Bueno,7029.0,,,,,Throw-in,1,From Throw In,Elseid Hysaj,7031.0,Right Back,5,Napoli,227,['e2588299-e326-46bb-b359-77a9f148d936'],21,,,,,,,,,,,,,,,,,Napoli,227,00:01:21.618,Pass,
,,,,,,,,,,,,,,,,,,0.72605,,,,,,,,,,,,bb1fd524-506a-4eff-a53e-05e98bccf2af,57,,"[40.2, 66.3]",3879593,1,,,,,-1.735945,,Right Foot,,,,"[39.0, 59.1]",,Low Pass,7.299315,,,,David López Silva,6754.0,,,,,,1,From Throw In,José María Callejón Bueno,7029.0,Right Wing,5,Napoli,227,['f016b1ef-bed2-4281-9dfd-5b94e40a45e7'],23,,,,,,,,,,,,,,,,,Napoli,227,00:01:23.013,Pass,
,,,,,,,,,,,,,,,,,,0.939906,,,,,,,,,,,,b674579f-ddd2-4c39-ba96-0f05fb33069a,60,,"[39.0, 59.1]",3879593,1,,,,,-1.0666304,,Right Foot,,,,"[43.8, 50.4]",,Ground Pass,9.936297,,Incomplete,,Marek Hamšík,7025.0,,,,,,1,From Throw In,David López Silva,6754.0,Right Center Midfield,5,Napoli,227,"['d86f1f8c-d7df-4e94-beae-705826b1e50d', 'd920ab56-042a-47bc-a2dd-785823fd5847']",24,,,,,,,,,,,,,,,,,Napoli,227,00:01:24.368,Pass,
,,,,,,,,,,,,,,,,,,0.834318,,,,,,,,,,,,03d8c61c-ff6a-4363-acde-b6750263a040,65,,"[67.8, 27.8]",3879593,1,,,,,-1.6428365,,Right Foot,,,,"[67.1, 18.1]",,Ground Pass,9.7252245,,,,Achraf Lazaar,10032.0,,,,,,1,Regular Play,Luca Rigoni,7461.0,Right Center Midfield,6,Palermo,2256,"['b6e698ea-7c29-4206-ae1f-58c506e305c8', 'db877116-e7f3-4489-9615-d07a03f677ee']",26,,,,,,,,,,,,,,,,,Palermo,2256,00:01:26.541,Pass,True
,,,,,,,,,,,,,,,,,,0.595294,,,,,,,,,,,,98f99e4d-44ca-465d-a45c-fa10472c01ee,69,,"[66.4, 18.1]",3879593,1,,,,,1.0705159,,Left Foot,,,,"[70.5, 25.6]",,Ground Pass,8.547514,,,,Luca Rigoni,7461.0,,,,,,1,Regular Play,Achraf Lazaar,10032.0,Left Wing Back,6,Palermo,2256,"['7382460b-5cb8-4479-8acd-b1bf747d64d4', 'c0e117ab-a485-406c-8747-2aa3bfde987f']",27,,,,,,,,,,,,,,,,,Palermo,2256,00:01:27.996,Pass,True
,,,,,,,,,,,,,,,,,,0.916501,,,,,,,,,,,,647e9037-55d9-4782-a4a9-3292aa8e9684,71,,"[70.5, 25.6]",3879593,1,,,,,-1.0636978,,Right Foot,,,,"[78.0, 12.1]",,Ground Pass,15.443445,,Incomplete,,Oscar Hiljemark,5605.0,,,,,,1,Regular Play,Luca Rigoni,7461.0,Right Center Midfield,6,Palermo,2256,"['128d0ea2-17f0-4d33-ab44-6c0c1fe6efd7', 'c972c975-7de6-4cf9-87eb-a8f2afd60741']",28,,,,,,,,,,,,,,,,,Palermo,2256,00:01:28.591,Pass,
