50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[25.4, 20.2]",,,,,,,,,,,,2.140418,,,,,,,,,,,39811c3c-b6a1-435a-bbf2-69cbefacf65d,640,,"[16.9, 17.4]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alex Nicolao Telles,11183.0,Left Back,27,Inter Milan,238,"['23740cf1-afd2-4356-980e-b3fa98f7187d', 'ae3684a3-f534-4101-a63e-f837765057da', 'c2cb39ef-ac96-4fd7-85e0-befdf35fd0d2']",34,,,,,,,,,,,,,,,,,Inter Milan,238,00:14:34.724,Carry,True
,,,,,,"[49.8, 22.3]",,,,,,,,,,,,1.715238,,,,,,,,,,,ce801224-4dce-4634-be45-97d6722dbd97,644,,"[42.0, 25.6]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rodrigo Sebastián Palacio,7165.0,Left Center Forward,27,Inter Milan,238,"['0e4441bd-b9d2-4545-8461-62b8ad093bdb', '70c3da1f-a954-45a7-8a8f-c2ec2e3f1d91']",37,,,,,,,,,,,,,,,,,Inter Milan,238,00:14:37.982,Carry,
,,,,,,"[63.6, 77.7]",,,,,,,,,,,,0.5376,,,,,,,,,,,4c6ea9c4-0b17-48d4-bd53-53dd0afe6dd1,656,,"[63.3, 77.7]",3879704,14,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Perišić,5474.0,Right Midfield,28,Inter Milan,238,"['3262c57f-3a99-4920-ad35-9a42e60622a7', 'ddd51df6-d375-4e12-88b7-e4d1b7ece2de']",59,,,,,,,,,,,,,,,,,Inter Milan,238,00:14:59.687,Carry,
,,,,,,"[67.0, 65.7]",,,,,,,,,,,,0.822208,,,,,,,,,,,c8383c67-7c51-4426-8a3c-34bced9eee9f,659,,"[64.5, 64.6]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Felipe Melo de Carvalho,25430.0,Left Defensive Midfield,28,Inter Milan,238,"['2f8591e4-4790-4275-8022-03b9efae2370', '3f6a7348-dd28-4617-be60-752f34c6ba4d']",1,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:01.245,Carry,
,,,,,,"[59.8, 73.2]",,,,,,,,,,,,2.029248,,,,,,,,,,,c8a12dcd-bfd0-4df1-818d-5bfb7c55e8e8,665,,"[57.5, 74.3]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivan Perišić,5474.0,Right Midfield,29,Inter Milan,238,"['3a17c2bb-e6af-4a70-9b13-2c1b10387e1d', '9da716cf-6020-47ea-b0ec-a006d21c1d32', 'a9e76026-3259-402d-ba71-8eaa1a329b54']",9,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:09.436,Carry,True
,,,,,,"[28.7, 25.2]",,,,,,,,,,,,3.80064,,,,,,,,,,,9a4c38e5-c210-4576-8bd7-bbf0bbaed62d,671,,"[34.4, 47.7]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Juan Guilherme Nunes Jesus,6969.0,Left Center Back,29,Inter Milan,238,"['40f373c0-6caa-4fcb-9ffb-66dba094b8a9', '983d9655-1837-42d4-bfa6-f0699ad3c316']",14,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:14.907,Carry,
,,,,,,"[31.7, 27.6]",,,,,,,,,,,,1.277737,,,,,,,,,,,d6709b34-1048-42d3-8536-9d5e7b4f8dc8,691,,"[31.2, 24.1]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marcelo Brozović,5469.0,Right Defensive Midfield,31,Inter Milan,238,"['03f84af1-60d0-4cbc-9a03-6e9ae4c3b5d4', '11b28c2a-d328-40ae-8f1f-e5140615cae6']",35,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:35.260,Carry,
,,,,,,"[50.3, 66.8]",,,,,,,,,,,,1.173737,,,,,,,,,,,079a0078-3916-4d78-a038-bf27548f6e4c,694,,"[41.1, 64.5]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Martín Montoya Torralbo,6593.0,Right Back,31,Inter Milan,238,"['10712fe8-deda-4ac2-87f8-1c2644879b29', '2a281b7c-a930-4562-b61e-515ae0893dd7']",38,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:38.705,Carry,
,,,,,,"[90.0, 76.8]",,,,,,,,,,,,3.015663,,,,,,,,,,,19b724c1-aa3c-4ea8-aced-fc470ac20085,697,,"[71.7, 77.3]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ivan Perišić,5474.0,Right Midfield,31,Inter Milan,238,"['086a6213-0595-40da-b733-16decd993306', 'f78b3fd8-9b86-4196-89a8-22fdb8d7398b']",41,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:41.817,Carry,
,,,,,,"[85.1, 44.9]",,,,,,,,,,,,3.529556,,,,,,,,,,,9910cd05-471c-4161-a29b-44cc77bc0dfa,704,,"[81.5, 49.5]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Marcelo Brozović,5469.0,Right Defensive Midfield,32,Inter Milan,238,"['d9eb064e-cf6e-47bc-87a2-e857904fbb19', 'ff060c21-8da7-4ed6-b519-66a7b5b7cf00']",54,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:54.153,Carry,
,,,,,,"[91.2, 15.2]",,,,,,,,,,,,1.670402,,,,,,,,,,,c63a0b14-2a81-4f2a-bc3e-06780caf3ff4,707,,"[85.3, 18.1]",3879704,15,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alex Nicolao Telles,11183.0,Left Back,32,Inter Milan,238,"['4ca44823-de3b-4dea-96bc-b555ff2f8d20', 'd410e519-e237-4820-adda-2d6a891d5d39']",59,,,,,,,,,,,,,,,,,Inter Milan,238,00:15:59.322,Carry,
