50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[55.9, 37.0]",,,,,,,,,,,,,0.039999,,,,,,,,,,,2d9ed932-257b-4a9b-b692-2fcede4d0d82,457,,"[55.9, 37.0]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Mauricio Ricardo Pinilla Ferreira,36770.0,Center Forward,30,Atalanta,228,"['41e4c0de-4ae2-495e-8f8c-59d19115691e', 'deeb3aaf-5377-4e2a-897d-e7a941843828']",44,,,,,,,,,,,,,,,,Atalanta,228,00:09:44.235,Carry,
,,,,,,"[52.1, 36.1]",,,,,,,,,,,,,0.716439,,,,,,,,,,,020dded2-cb84-4639-a488-9116028a2362,460,,"[50.5, 31.0]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marten de Roon,6994.0,Center Defensive Midfield,30,Atalanta,228,"['135c4212-970c-4c1b-a984-6a8975617181', '6735a583-e5d6-4ca9-a10d-a25ff288f823']",44,,,,,,,,,,,,,,,,Atalanta,228,00:09:44.958,Carry,
,,,,,,"[49.3, 59.6]",,,,,,,,,,,,,1.322827,,,,,,,,,,,7c799cd5-a8cc-46bc-bcaf-ab51be6db22a,463,,"[51.7, 62.7]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessandro Diamanti,19847.0,Right Wing,30,Atalanta,228,"['6e7e960e-a368-4124-821b-5f0e0bf5b243', 'f2ee75de-45f6-4b1f-98f7-a8912148e8c0']",47,,,,,,,,,,,,,,,,Atalanta,228,00:09:47.991,Carry,
,,,,,,"[42.2, 24.8]",,,,,,,,,,,,,2.707139,,,,,,,,,,,02bf430f-f82e-4803-a302-1252b45924a3,466,,"[42.2, 24.8]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Andrea Masiello,6992.0,Left Center Back,30,Atalanta,228,"['3759f34c-801f-44e4-9137-fcc35cb1f804', 'aaba9eae-51d8-4d61-8a7a-c6aaa3763759']",50,,,,,,,,,,,,,,,,Atalanta,228,00:09:50.785,Carry,
,,,,,,"[97.6, 5.1]",,,,,,,,,,,,,7.764285,,,,,,,,,,,879576bb-448f-4a4e-b266-e36bceebeec6,469,,"[54.1, 4.5]",3879744,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Boukary Dramé,11722.0,Left Back,30,Atalanta,228,"['1ec66b62-ef7b-48fb-baea-b16dd2ca68a9', '3eb92b07-56a3-413a-8f0d-d835567da386', 'f5d91bda-e25e-47d3-9c6a-5b0837673182']",54,,,,,,,,,,,,,,,,Atalanta,228,00:09:54.692,Carry,True
,,,,,,"[18.8, 56.1]",,,,,,,,,,,,,1.356788,,,,,,,,,,,fe860a4c-ed8a-4e2b-99c4-7bb55aa62262,475,,"[18.8, 55.9]",3879744,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Fernando Lucas Martins,16586.0,Center Defensive Midfield,31,Sampdoria,234,"['2cf9bcd7-72b7-4632-8714-a74325774b7d', 'd14ee9bb-0a88-4fad-a386-0f7cd5196134']",4,,,,,,,,,,,,,,,,Sampdoria,234,00:10:04.350,Carry,
,,,,,,"[12.1, 32.2]",,,,,,,,,,,,,7.98195,,,,,,,,,,,25081aac-9a3e-49e5-9e55-cc2383915960,482,,"[7.6, 42.7]",3879744,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Goal Kick,Emiliano Viviano,7018.0,Goalkeeper,32,Sampdoria,234,"['68e8e0e3-91af-4e97-b91d-f2b774c9021a', 'b18e855f-ed06-479d-9377-e9870bf58fb1']",30,,,,,,,,,,,,,,,,Sampdoria,234,00:10:30.142,Carry,
,,,,,,"[60.7, 59.9]",,,,,,,,,,,,,2.588946,,,,,,,,,,,ca27c23e-c3b2-4039-9702-fd011f4ab300,491,,"[63.2, 64.0]",3879744,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Alessandro Diamanti,19847.0,Right Wing,33,Atalanta,228,"['3ed694f9-991c-4fbe-aa47-52a6a4ffda6b', '88c37161-3358-4791-b876-f9d15de1bfce', 'f6816929-82c2-473b-bbd1-480101c6db0e']",45,,,,,,,,,,,,,,,,Atalanta,228,00:10:45.341,Carry,True
,,,,,,"[95.6, 72.7]",,,,,,,,,,,,,1.200778,,,,,,,,,,,8447525b-4f61-4047-94e8-736c10b1fc6d,503,,"[96.3, 72.9]",3879744,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alessandro Diamanti,19847.0,Right Wing,34,Atalanta,228,"['1e93c987-4c03-4b97-aa84-4edaab0d0691', 'c5f2fe03-2657-4fc2-8dfb-c9b83c0c39a1']",3,,,,,,,,,,,,,,,,Atalanta,228,00:11:03.777,Carry,
,,,,,,"[116.4, 35.3]",,,,,,,,,,,,,0.079999,,,,,,,,,,,bdf8123b-14ac-49e7-8c5f-437ec0d49fa0,506,,"[116.4, 35.3]",3879744,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Alejandro Darío Gómez,7006.0,Left Wing,34,Atalanta,228,"['c1e6ac89-b2e6-415b-9b34-c004d3afdc87', 'efa393fe-10e2-4fc0-ab33-00e70aed65e6']",7,,,,,,,,,,,,,,,,Atalanta,228,00:11:07.034,Carry,
