50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.13258,,,,,,,,,,,,,3ee1ec15-d031-4a06-a4d8-539f38fc03df,3780,,,"[56.4, 66.9]",3879812,92,,,,-1.0943289,,Right Foot,,,,"[62.8, 54.5]",,Ground Pass,,13.954211,,,,,Lucas Rodrigo Biglia,5510.0,,,,,,2,From Free Kick,Milan Biševac,3103.0,Right Center Back,196,Lazio,236,['7814d43d-7530-4241-a820-d4eed5c0e9b9'],58,,,,,,,,,,,,,,,,,,Lazio,236,00:47:58.326,Pass,
,,,,,,,,,,,,,,,,0.868001,,,,,,,,,,,,,9054158c-601c-48f6-97f6-836004953f65,3783,,,"[69.4, 57.2]",3879812,93,,,,0.12970254,,Right Foot,,,,"[85.5, 59.3]",,Ground Pass,,16.23638,,,,,Filip Đorđević,11427.0,,,,,,2,From Free Kick,Lucas Rodrigo Biglia,5510.0,Center Defensive Midfield,196,Lazio,236,['1f595f2f-53d8-4b27-a3d4-ae673c7d6640'],1,,,,,,,,,,,,,,,,,,Lazio,236,00:48:01.876,Pass,
,,,,,,,,,,,,,,,,0.861401,,,,,,,,,,,,,07d900c8-93d4-4ebd-bc7f-b42026c3b554,3786,,,"[85.5, 59.3]",3879812,93,,,,-0.6692565,0b78a782-51dc-46c0-ba63-ba76b85e13f7,Left Foot,,,,"[98.9, 48.7]",,Ground Pass,,17.085667,,,,,Ogenyi Eddy Onazi,33311.0,True,,,,,2,From Free Kick,Filip Đorđević,11427.0,Center Forward,196,Lazio,236,['51e3e04d-ddca-4cdd-af6a-74590643a189'],3,,,,,,,,,,,,,,,,,,Lazio,236,00:48:03.507,Pass,
,,,,,,,,,,,,,,,,3.211715,,,,,,,,,,,,,f1043736-433e-450f-ad1d-b428004ddd5b,3791,,,"[7.0, 36.1]",3879812,93,,,,-0.06873214,,Right Foot,,,,"[62.2, 32.3]",,High Pass,,55.330643,,,Incomplete,,Aleksandar Trajkovski,30512.0,,,,,Goal Kick,2,From Goal Kick,Stefano Sorrentino,7055.0,Goalkeeper,197,Palermo,2256,"['8c3a8e9d-f054-49e7-8678-49759ae50818', 'b52b5b69-99b7-4ae0-b38b-5b264e22e3b6']",20,,,,,,,,,,,,,,,,,,Palermo,2256,00:48:20.079,Pass,
,,,,,,,,,,,,,,,,2.990109,,,,,,,,,,,,,ca518225-c9e3-4e36-9e9f-eeef971fa666,3794,,,"[45.7, 19.9]",3879812,93,,,,0.24342667,,Left Foot,,,,"[91.2, 31.2]",,High Pass,,46.882195,,,Incomplete,,Alberto Gilardino,38389.0,,,,,Recovery,2,From Goal Kick,Giuseppe Pezzella,7792.0,Left Back,197,Palermo,2256,"['181fa0aa-09eb-43c1-aa57-47f2db66e5d1', 'b4634a7a-a63b-4f15-9764-093ed22d8656']",24,,,,,,,,,,,,,,,,,,Palermo,2256,00:48:24.475,Pass,
,,,,,,,,,,,,,,,,1.932982,,,,,,,,,,,,,181fa0aa-09eb-43c1-aa57-47f2db66e5d1,3796,,,"[28.9, 48.9]",3879812,93,,,,-3.1133516,,Head,,,,"[11.2, 48.4]",,Low Pass,,17.70706,,,,,Federico Marchetti,12491.0,,,,,Recovery,2,Regular Play,Santiago Juan Gentiletti Selak,8847.0,Left Center Back,198,Lazio,236,"['4c57774c-6f12-4ce9-be34-b3c74fc6cb89', 'ca518225-c9e3-4e36-9e9f-eeef971fa666']",27,,,,,,,,,,,,,,,,,,Lazio,236,00:48:27.465,Pass,
,,,,,,,,,,,,,,,,1.164582,,,,,,,,,,,,,c797eb12-8664-42e5-b16e-ed415fd7dcfe,3800,,,"[8.8, 49.1]",3879812,93,,,,-1.5002613,,Right Foot,,,,"[10.1, 30.7]",,Ground Pass,,18.445868,,,,,Santiago Juan Gentiletti Selak,8847.0,,,,,,2,Regular Play,Federico Marchetti,12491.0,Goalkeeper,198,Lazio,236,"['d34dbade-27d9-459a-8f76-93f455b2da6c', 'e5c78b8d-649a-47a8-9374-6700108e450d']",31,,,,,,,,,,,,,,,,,,Lazio,236,00:48:31.693,Pass,True
,,,,,,,,,,,,,,,,1.874015,,,,,,,,,,,,,b8c8547f-5862-4437-b064-643c34624cda,3803,,,"[12.2, 21.7]",3879812,93,,,,-0.83535653,,Left Foot,,,,"[29.3, 2.8]",,Ground Pass,,25.487644,,,,,Patricio Gabarrón Gil,8190.0,,,,,,2,Regular Play,Santiago Juan Gentiletti Selak,8847.0,Left Center Back,198,Lazio,236,['bc9c7f24-f440-418b-b176-21d990d9e474'],34,,,,,,,,,,,,,,,,,,Lazio,236,00:48:34.608,Pass,
,,,,,,,,,,,,,,,,1.382906,,,,,,,,,,,,,aa25ffb4-39e6-46ce-9d32-8c9e63ea066a,3805,,,"[29.3, 2.7]",3879812,93,,,,2.353155,,Left Foot,,,,"[12.9, 19.2]",,Ground Pass,,23.26392,,,,,Santiago Juan Gentiletti Selak,8847.0,,,,,,2,Regular Play,Patricio Gabarrón Gil,8190.0,Left Back,198,Lazio,236,['7b0c87fa-ed43-479d-9d2d-527dd00f8a88'],36,,,,,,,,,,,,,,,,,,Lazio,236,00:48:36.482,Pass,
,,,,,,,,,,,,,,,,2.005107,,,,,,,,,,,,,cafa8918-1714-4dee-9f00-a1b1114c1dbf,3808,,,"[22.0, 23.5]",3879812,93,,,,1.597554,,Left Foot,,,,"[20.9, 64.6]",,Low Pass,,41.11472,,,,,Milan Biševac,3103.0,,,True,,,2,Regular Play,Santiago Juan Gentiletti Selak,8847.0,Left Center Back,198,Lazio,236,['3b9adcb9-6902-49ca-bd66-2d88ac049d2f'],41,,,,,,,,,,,,,,,,,,Lazio,236,00:48:41.844,Pass,
