ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.029915,,,,,,,,,,,,,348a9bc6-747a-4643-b89a-17543d3a021a,74,,"[43.3, 55.3]",3879860,1,,,,,0.9034902,,Right Foot,,,"[56.3, 71.8]",Ground Pass,,21.00595,,,,Federico Bernardeschi,7777.0,,,,,,1,Regular Play,Gonzalo Javier Rodríguez,25931.0,Right Center Back,6,Fiorentina,239,['88feca76-d8c0-49bd-bac9-dc6dbdf5ccef'],37,,,,,,,,,,,,,,,,Fiorentina,239,00:01:37.166,Pass,
,,,,,,,,,,,,,,,,0.466209,,,,,,,,,,,,,5f39f889-0286-498a-85f2-62891d3bb32e,77,,"[55.6, 69.1]",3879860,1,,,,,0.722544,,Left Foot,,,"[63.2, 75.8]",Ground Pass,,10.131634,,,,Josip Iličić,7139.0,,,,,,1,Regular Play,Federico Bernardeschi,7777.0,Right Wing,6,Fiorentina,239,['28e534df-99a9-4451-9230-5e307b1e7983'],39,,,,,,,,,,,,,,,,Fiorentina,239,00:01:39.100,Pass,
,,,,,,,,,,,,,,,,0.656194,,,,,,,,,,,,,b4b17009-4567-406c-9f23-dd41434fd432,80,,"[63.7, 75.1]",3879860,1,,,,,-1.0545657,,Left Foot,,,"[70.0, 64.0]",Ground Pass,,12.763228,,,,Federico Bernardeschi,7777.0,,,,,,1,Regular Play,Josip Iličić,7139.0,Center Attacking Midfield,6,Fiorentina,239,['a76a5c0c-db0d-4b49-8833-b1b9168a43a5'],40,,,,,,,,,,,,,,,,Fiorentina,239,00:01:40.604,Pass,
,,,,,,,,,,,,,,,,0.39958,,,,,,,,,,,,,87b677f6-50fd-4e50-9519-ee0dda69f24c,84,,"[76.8, 69.9]",3879860,1,,,,,1.5323538,,Left Foot,,,"[77.1, 77.7]",Ground Pass,,7.805767,,,,Josip Iličić,7139.0,,,,,,1,Regular Play,Federico Bernardeschi,7777.0,Right Wing,6,Fiorentina,239,"['0064921f-a098-4a05-add5-1ba2b5fb89db', '9179447b-d97b-4955-b82e-f1b9f0f0354e']",42,,,,,,,,,,,,,,,,Fiorentina,239,00:01:42.975,Pass,True
,,,,,,,,,,,,,,,,1.219385,,,,,,,,,,,,,972a984d-ae0a-4071-9703-2142242d022a,86,,"[77.1, 77.7]",3879860,1,,,,,-2.2066348,,Left Foot,,,"[67.8, 65.1]",High Pass,,15.6604595,,,,Milan Badelj,6305.0,,,,,,1,Regular Play,Josip Iličić,7139.0,Center Attacking Midfield,6,Fiorentina,239,['f55bec08-98c7-4e3b-ac77-9632241ab41c'],43,,,,,,,,,,,,,,,,Fiorentina,239,00:01:43.375,Pass,
,,,,,,,,,,,,,,,,0.629863,,,,,,,,,,,,,913ce157-105f-4545-8f46-7f8bc9fcd1ff,89,,"[76.6, 65.5]",3879860,1,,,,,-0.60895765,,Right Foot,,,"[84.2, 60.2]",Ground Pass,,9.265528,,,,Josip Iličić,7139.0,,,,,,1,Regular Play,Milan Badelj,6305.0,Right Defensive Midfield,6,Fiorentina,239,['183508a4-014a-44c0-a49c-56c00acd8553'],46,,,,,,,,,,,,,,,,Fiorentina,239,00:01:46.271,Pass,
,,,,,,,,,,,,,,,,1.487373,,,,,,,,,,,,,811a8700-ddeb-4155-ab68-32e80dc12621,92,,"[77.1, 55.2]",3879860,1,,,,,-1.7774795,,Left Foot,,,"[70.6, 24.2]",Ground Pass,,31.674122,,,,Manuel Pasqual,11516.0,,,,,,1,Regular Play,Josip Iličić,7139.0,Center Attacking Midfield,6,Fiorentina,239,['0bfb1dcb-358f-4eb2-bf22-65b804a15ca3'],49,,,,,,,,,,,,,,,,Fiorentina,239,00:01:49.598,Pass,
,,,,,,,,,,,,,,,,1.511726,,,,,,,,,,,,,9bff962b-5eab-4aac-a92e-928d185d541e,95,,"[77.5, 19.4]",3879860,1,,,,,0.721732,,Left Foot,,,"[106.7, 45.1]",High Pass,,38.89897,,Pass Offside,,Nikola Kalinić,7033.0,,,Through Ball,True,,1,Regular Play,Manuel Pasqual,11516.0,Left Back,6,Fiorentina,239,['4dfd8e3b-d76b-46dc-89d0-94f90c931c10'],52,,,,,,,,,,,,,,,,Fiorentina,239,00:01:52.902,Pass,
,,,,,,,,,,,,,,,,4.161762,,,,,,,,,,,,,95fbcd21-a443-4d15-85f6-65c5288431ca,97,,"[16.8, 35.1]",3879860,2,,,,,-0.5610163,,Right Foot,,,"[72.5, 0.1]",High Pass,,65.78366,,Out,,Michel Morganella,31268.0,,,,,Free Kick,1,From Free Kick,Stefano Sorrentino,7055.0,Goalkeeper,7,Palermo,2256,['57bade79-e664-4771-8516-43f29033337b'],23,,,,,,,,,,,,,,,,Palermo,2256,00:02:23.398,Pass,
,,,,,,,,,,,,,,,,1.258984,,,,,,,,,,,,,8f0d0189-1cd8-4cca-8c98-b7c96f02692d,99,,"[55.4, 80.0]",3879860,2,,True,,,-2.8333852,,,,,"[28.7, 71.5]",Low Pass,,28.02035,,,,Gonzalo Javier Rodríguez,25931.0,,,,,Throw-in,1,From Throw In,Facundo Sebastián Roncaglia,6830.0,Right Back,8,Fiorentina,239,['a9709d93-f92a-4d9d-8387-7a1c0142a949'],32,,,,,,,,,,,,,,,,Fiorentina,239,00:02:32.450,Pass,
