ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.493924,,,,,,,,,,,,,8c8f3a81-a180-40ca-a6ab-57dd97e4d3f9,48,,"[62.4, 27.0]",3749465,0,,,,,-0.21979508,,Left Foot,,,,"[90.6, 20.7]",High Pass,,28.895155,,Incomplete,,,,,,,,,1,Regular Play,Martin Andresen,40397.0,Left Midfield,4,Blackburn Rovers,98,"['5a4d662f-9f59-4307-b1de-5c47955e099e', 'ea7b991d-6d25-4be3-b493-55a9319a6a63']",38,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:00:38.641,Pass,True
,,,,,,,,,,,,,,,,,,1.339615,,,,,,,,,,,,,ea7b991d-6d25-4be3-b493-55a9319a6a63,49,,"[29.5, 59.4]",3749465,0,,,,,1.5707964,,Right Foot,,,,"[29.5, 72.6]",Low Pass,,13.2,,,,Laureano Bisan-Etame Mayer,40222.0,,,,,Recovery,1,Regular Play,Kolo Habib Touré,38412.0,Right Center Back,5,Arsenal,1,"['8c8f3a81-a180-40ca-a6ab-57dd97e4d3f9', 'b65f2958-6192-487f-a7a1-d821ac7a8ced']",41,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:41.135,Pass,
,,,,,,,,,,,,,,,,,,0.8983,,,,,,,,,,,,,f1ff977f-3548-4d90-bd22-454623b3d106,53,,"[27.1, 70.2]",3749465,0,,,,,-0.3413559,,Right Foot,,,,"[42.3, 64.8]",Ground Pass,,16.130716,,,,Patrick Vieira,15515.0,,,,,,1,Regular Play,Laureano Bisan-Etame Mayer,40222.0,Right Back,5,Arsenal,1,"['692a228e-f0e3-40d4-9a0c-3c35823d6103', '9f618f98-fa5a-42e7-8d27-b6344f903ba2']",42,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:42.513,Pass,True
,,,,,,,,,,,,,,,,,,0.062722,,,,,,,,,,,,,537e89ea-91bf-4bb3-840c-b2b3e54e5eac,58,,"[44.4, 65.0]",3749465,0,,,,,0.8969334,,Right Foot,,,,"[55.5, 78.9]",Ground Pass,,17.788198,,Out,,,,,,,,,1,Regular Play,Patrick Vieira,15515.0,Left Defensive Midfield,5,Arsenal,1,,44,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:44.538,Pass,
,,,,,,,,,,,,,,,,,,2.079015,,,,,,,,,,,,,595b3d80-4d85-440b-83ab-cfd87c43787a,59,,"[47.2, 80.0]",3749465,0,,True,,,-0.95835155,,,,,,"[60.9, 60.5]",Low Pass,,23.831491,,,,Patrick Vieira,15515.0,,,,,Throw-in,1,From Throw In,Laureano Bisan-Etame Mayer,40222.0,Right Back,6,Arsenal,1,['1fceb2c2-342f-4f6a-b8bc-886f9b074aac'],54,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:54.750,Pass,
,,,,,,,,,,,,,,,,,,2.036625,,,,,,,,,,,,,148addae-b449-485a-b67f-135f746073e5,61,,"[63.7, 59.4]",3749465,0,,,,,-0.34566095,,Right Foot,,,,"[97.3, 47.3]",High Pass,,35.712322,,Pass Offside,,Thierry Henry,15516.0,,,,,,1,From Throw In,Patrick Vieira,15515.0,Left Defensive Midfield,6,Arsenal,1,['70166996-b258-4838-8d7c-3414cac75f11'],57,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:57.898,Pass,
,,,,,,,,,,,,,,,,,,5.159841,,,,,,,,,,,,,f70aac01-8150-4945-b533-5df893ad8760,63,,"[10.9, 36.1]",3749465,1,,True,,,0.291924,,Right Foot,,,,"[69.8, 53.8]",High Pass,,61.502033,,Incomplete,,,,,,,,Free Kick,1,From Free Kick,Brad Friedel,38464.0,Goalkeeper,7,Blackburn Rovers,98,['93a487db-2de2-43ad-8e9d-ccd7648a6b64'],6,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:01:06.780,Pass,
,,,,,,,,,,,,,,,,,,2.863212,,,,,,,,,,,,,42693127-3422-48fe-9d4a-09044c510cd2,66,,"[27.8, 9.8]",3749465,1,,,,,2.168159,,Right Foot,,,,"[7.8, 39.2]",Ground Pass,,35.55784,,,,Jens Lehmann,20015.0,,,,,,1,Regular Play,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,8,Arsenal,1,['3a54fdf4-2e0e-4612-9b03-9ff4ac899f25'],12,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:12.833,Pass,
,,,,,,,,,,,,,,,,,,1.490803,,,,,,,,,,,,,3da156e2-fc7f-45b9-9a7b-9de6e56bebfb,70,,"[8.7, 41.4]",3749465,1,,,,,0.8421274,,Right Foot,,,,"[27.8, 62.8]",Ground Pass,,28.683968,,,,Laureano Bisan-Etame Mayer,40222.0,,,,,,1,Regular Play,Jens Lehmann,20015.0,Goalkeeper,8,Arsenal,1,"['5730250f-62fa-47b6-9f81-e2dbcb123db5', 'fcc6db54-5abc-4746-b877-7266cdb6e8bf']",16,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:16.901,Pass,True
,,,,,,,,,,,,,,,,,,1.401645,,,,,,,,,,,,,f3d9992f-6597-40dd-8651-340abc99bcf3,73,,"[34.5, 61.1]",3749465,1,,,,,-0.4401915,,Right Foot,,,,"[48.3, 54.6]",Ground Pass,,15.25418,,,,Patrick Vieira,15515.0,,,,,,1,Regular Play,Laureano Bisan-Etame Mayer,40222.0,Right Back,8,Arsenal,1,['f76f843e-d4b4-440a-9c26-618f9e1ce32d'],20,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:20.325,Pass,
,,,,,,,,,,,,,,,,,,1.263335,,,,,,,,,,,,,681e3b84-eb92-46d1-9278-1bfe813edfa6,76,,"[50.3, 54.6]",3749465,1,,,,,-0.8793457,,Right Foot,,,,"[65.2, 36.6]",Ground Pass,,23.366858,,,,Robert Pirès,19312.0,,,,,,1,Regular Play,Patrick Vieira,15515.0,Left Defensive Midfield,8,Arsenal,1,['442d2acb-831a-4b4b-92f9-30bbac313af6'],22,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:22.985,Pass,
,,,,,,,,,,,,,,,,,,0.645214,,,,,,,,,,,,,25f1797d-807f-4b3b-80a1-c4c6e85f8b8f,78,,"[65.2, 36.6]",3749465,1,,,,,1.3703978,,Left Foot,,,,"[67.8, 49.4]",Ground Pass,,13.061394,,Incomplete,,,,,,,,,1,Regular Play,Robert Pirès,19312.0,Right Midfield,8,Arsenal,1,['9651be6f-a9a9-4b14-b7df-486472a4621b'],24,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:24.248,Pass,
,,,,,,,,,,,,,,,,,,1.375544,,,,,,,,,,,,,92792576-6eb7-4bec-8702-a711a9768a39,81,,"[59.9, 40.9]",3749465,1,,,,,0.7099477,,Right Foot,,,,"[84.8, 62.3]",Low Pass,,32.832455,,Incomplete,,Matt Jansen,40396.0,,,,,,1,Regular Play,Brett Emerton,40357.0,Left Defensive Midfield,9,Blackburn Rovers,98,"['03ff1f8f-1ebf-4f55-b110-b66e610fa9e1', 'bca78515-8f4e-4ae2-b4c1-9c1a14cd1654']",28,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:01:28.473,Pass,
,,,,,,,,,,,,,,,,,,1.22856,,,,,,,,,,,,,d06e9446-2288-490d-bd86-205dacc931d6,90,,"[88.0, 58.0]",3749465,1,,,,,1.035239,b95388ee-a2eb-4ca6-86d2-4a87d45a898d,Left Foot,,,,"[93.4, 67.1]",Ground Pass,,10.581588,,,,Matt Jansen,40396.0,True,,,,,1,Regular Play,Tugay Kerimoğlu,15095.0,Right Defensive Midfield,9,Blackburn Rovers,98,['95f02759-4baf-4015-9017-49263ed43441'],32,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:01:32.528,Pass,
,,,,,,,,,,,,,,,,,,1.517038,,,,,,,,,,,,,2a9158db-f6a4-464d-94e5-c482980a4c87,99,,"[84.8, 51.7]",3749465,1,,,,,1.2679114,,Right Foot,,,,"[91.3, 72.5]",Ground Pass,,21.791971,,,,Lucas Neill,40354.0,,,,,,1,Regular Play,Brett Emerton,40357.0,Left Defensive Midfield,9,Blackburn Rovers,98,"['36b45379-7a58-49ad-9322-cd5a7ad255dc', '3aca1381-cdd2-498e-a9c9-38d2ed89b898']",38,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:01:38.662,Pass,True
,,,,,,,,,,,,,,,,,,0.770777,,,,,,,,,,,,,2fef9aed-d70e-46ba-ad1f-e04ddbc927ac,101,,"[91.3, 72.5]",3749465,1,,,,,-1.6459235,,Right Foot,,,,"[90.6, 63.2]",Ground Pass,,9.326307,,,,Brett Emerton,40357.0,,,,,,1,Regular Play,Lucas Neill,40354.0,Right Back,9,Blackburn Rovers,98,['5ed3539b-5eb1-473b-80a9-d8dcd5280a39'],40,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:01:40.179,Pass,
,,,,,,,,,,,,,,,,,,0.273064,,,,,,,,,,,,,7ae54145-c02a-4acc-90fb-31708d892a6a,105,,"[94.3, 77.9]",3749465,1,,,,,-0.4636476,,Left Foot,,,,"[96.5, 76.8]",Ground Pass,,2.4596748,,Incomplete,,Lucas Neill,40354.0,,,,,,1,Regular Play,Brett Emerton,40357.0,Left Defensive Midfield,9,Blackburn Rovers,98,"['9342d3b7-995c-4aa6-971f-55211020b907', '9724d628-872d-4664-99a7-590a347503e2', 'c1fc9339-41c7-4433-8ba9-591d80be79fb']",43,,,,,,,,,,,,,,,,,,Blackburn Rovers,98,00:01:43.959,Pass,True
,,,,,,,,,,,,,,,,,,1.014416,,,,,,,,,,,,,3c4f5627-1971-4557-a160-b634f10ba9a3,109,,"[23.0, 3.3]",3749465,1,,,,,0.5362471,,Left Foot,,,,"[33.6, 9.6]",Ground Pass,,12.330855,,,,José Antonio Reyes Calderón,23816.0,,,,,Recovery,1,Regular Play,Eduardo César Daude Gaspar,26014.0,Left Midfield,10,Arsenal,1,['a9e328ac-8e36-4dca-839e-a3d5e852ace6'],45,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:45.546,Pass,
,,,,,,,,,,,,,,,,,,0.958855,,,,,,,,,,,,,70759d30-f260-42ff-9c5a-cc076cc3780f,111,,"[33.6, 9.6]",3749465,1,,,,,-1.2525793,,Left Foot,,,,"[36.4, 1.1]",Low Pass,,8.949302,,,,Robert Pirès,19312.0,,,,,,1,Regular Play,José Antonio Reyes Calderón,23816.0,Right Center Forward,10,Arsenal,1,['1dea4b32-aa33-4de1-983f-4d9aac42ebf5'],46,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:46.560,Pass,
