ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.401645,,,,,,,,,,,,,,64bab2f4-916f-4b19-bc3d-2f03d0612340,54,,"[27.5, 38.5]",3749403,0,,,,,-1.2432077,,Right Foot,,,,"[39.7, 2.6]",,Low Pass,,37.916355,,,,Ashley Cole,12529.0,,,,,,1,Regular Play,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,4,Arsenal,1,['b38375b2-20d0-469b-b832-7a0a3772c068'],39,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:39.455,Pass,
,,,,,,,,,,,,,,,2.03695,,,,,,,,,,,,,,095f020e-e863-4d96-b485-3e5d281d9b4e,57,,"[46.3, 3.9]",3749403,0,,,,,-0.02083032,,Left Foot,,,,"[84.7, 3.1]",,High Pass,,38.408333,,,,Thierry Henry,15516.0,,,,,,1,Regular Play,Ashley Cole,12529.0,Left Back,4,Arsenal,1,['5ec8afdf-ebde-4867-b42e-a8a68b4e7180'],42,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:42.518,Pass,
,,,,,,,,,,,,,,,1.956261,,,,,,,,,,,,,,3f3900c6-ec60-4704-83f0-3804120eedc5,65,,"[84.7, 5.3]",3749403,0,,,,,1.1048392,,Right Foot,True,,,"[102.1, 39.9]",,Low Pass,,38.7288,,Incomplete,,,,,,,,,1,Regular Play,Thierry Henry,15516.0,Left Center Forward,4,Arsenal,1,"['7ad42371-64ce-4d5e-aad8-73669fee7635', 'eb7f7d75-f4ca-46d2-ba2c-a658a797a7a9']",47,,,,,,,,,,,,,,,,,,Arsenal,1,00:00:47.148,Pass,True
,,,,,,,,,,,,,,,0.964055,,,,,,,,,,,,,,22264767-34bf-4739-b72d-d565efa69559,67,,"[35.9, 78.4]",3749403,0,,,,,-1.7983638,,Head,,,,"[33.7, 68.9]",,High Pass,,9.7514105,,,,Kevin Nolan,21540.0,,,,,Recovery,1,Regular Play,Stylianos Giannakopoulos,19772.0,Right Wing,5,Bolton Wanderers,328,['f592297d-ede7-47bb-86c8-c8d368deae33'],51,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:51.696,Pass,
,,,,,,,,,,,,,,,3.40196,,,,,,,,,,,,,,3303f4bd-3817-44e6-9915-dd8341dc1ebf,69,,"[33.7, 68.9]",3749403,0,,,,,2.4932606,,Head,,,,"[20.5, 78.9]",,Low Pass,,16.560194,,,,Stylianos Giannakopoulos,19772.0,,,,,,1,Regular Play,Kevin Nolan,21540.0,Right Center Midfield,5,Bolton Wanderers,328,['75cd4782-be2b-402d-aab8-bc965c5fafa2'],52,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:52.660,Pass,
,,,,,,,,,,,,,,,1.035509,,,,,,,,,,,,,,e7b9ae84-f4c2-42c0-bd33-01e4d92411a6,72,,"[22.5, 78.4]",3749403,0,,,,,-1.0018132,,Right Foot,,,,"[28.0, 69.8]",,Ground Pass,,10.20833,,,,Kevin Nolan,21540.0,,,,,,1,Regular Play,Stylianos Giannakopoulos,19772.0,Right Wing,5,Bolton Wanderers,328,['59414a10-fa20-40b3-a3df-378d186ebe6e'],57,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:57.758,Pass,
,,,,,,,,,,,,,,,1.175696,,,,,,,,,,,,,,456f612d-ee74-4658-90e7-46d7a03afd79,75,,"[27.5, 70.4]",3749403,0,,,,,0.15379114,,Right Foot,,,,"[60.4, 75.5]",,High Pass,,33.292942,,Incomplete,,Stylianos Giannakopoulos,19772.0,,,,,,1,Regular Play,Kevin Nolan,21540.0,Right Center Midfield,5,Bolton Wanderers,328,"['3a5c6299-c8a1-46dc-9d07-30ea10e71840', '5fdc8bb4-b77e-463e-a680-45b7016db23c']",58,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:00:58.874,Pass,
,,,,,,,,,,True,,,,,0.736635,,,,,,,,,,,,,,d60f820c-64af-41e9-b86a-59cccf053f03,82,,"[50.8, 6.3]",3749403,1,,,,,-0.39852244,,Left Foot,,,,"[56.5, 3.9]",,Ground Pass,,6.1846585,,,,Ashley Cole,12529.0,,,,,Interception,1,Regular Play,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Left Center Back,6,Arsenal,1,['0cf07362-66c1-4395-b1c2-daecb155f1a9'],3,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:03.140,Pass,
,,,,,,,,,,,,,,,0.636239,,,,,,,,,,,,,,c697cdbe-e7ea-4000-a986-8b3030f855f2,86,,"[57.0, 3.7]",3749403,1,,,,,0.5070985,,Left Foot,,,,"[62.4, 6.7]",,Ground Pass,,6.177378,,,,Robert Pirès,19312.0,,,,,,1,Regular Play,Ashley Cole,12529.0,Left Back,6,Arsenal,1,"['2f53db59-8423-4abb-bcab-27f9efc64e7d', '8116db60-4597-4aa0-b268-f8df3122ca14']",4,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:04.875,Pass,True
,,,,,,,,,,,,,,,2.208194,,,,,,,,,,,,,,34f978fd-5e19-4f34-90a0-bce56e82a351,90,,"[62.8, 6.3]",3749403,1,,,,,-0.64136434,,Left Foot,,,,"[70.3, 0.7]",,Ground Pass,,9.360022,,Incomplete,,Ashley Cole,12529.0,,,,,,1,Regular Play,Robert Pirès,19312.0,Left Midfield,6,Arsenal,1,"['3511ff38-ff04-470b-b14f-0a1200d68efe', 'b4858748-1b93-4f07-96ac-6d5d7b9787a5', 'dfabfb23-98be-4c47-a02c-0fefe873efdf']",5,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:05.591,Pass,True
,,,,,,,,,,,,,,,2.853005,,,,,,,,,,,,,,f16a4fa5-9695-42e4-85ff-734b3d5680a5,94,,"[54.6, 79.4]",3749403,1,,,,,-0.5539094,,Right Foot,,,,"[106.5, 47.3]",,High Pass,,61.02475,,Incomplete,,Henrik Pedersen,40387.0,,,,,,1,Regular Play,Stylianos Giannakopoulos,19772.0,Right Wing,6,Arsenal,1,"['498ee999-80a1-4939-aa24-a3a99e13cbbf', '70e2847b-1cc6-405a-a8e6-cd5f3f2e56ef']",9,,,,,,,,,,,,,,,,,,Bolton Wanderers,328,00:01:09.902,Pass,
,,,,,,,,,,,,,,,1.60605,,,,,,,,,,,,,,ffe94f0f-5b2f-4567-afc0-76eaa11769ac,98,,"[15.0, 33.1]",3749403,1,,,,,-0.033967514,,Keeper Arm,,,,"[35.6, 32.4]",,Ground Pass,,20.611889,,,,Eduardo César Daude Gaspar,26014.0,,,,,,1,Regular Play,Jens Lehmann,20015.0,Goalkeeper,6,Arsenal,1,['8fec2c74-1062-4e06-b621-b5c831279153'],15,,,,,,,,,,,,,,,,,,Arsenal,1,00:01:15.481,Pass,
