50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.458138,,,,,,,,,,,,,,,6cc0ed3d-7aee-4cd8-9502-522d73e4423b,48,,"[28.5, 31.2]",3749153,1,,,,,0.7351611,,Right Foot,,,"[37.9, 39.7]",,Ground Pass,,12.6732,,,,Gilberto Aparecido da Silva,40221.0,,,,,,1,From Throw In,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Right Center Back,6,Arsenal,1,['d9eda03c-3beb-490d-affa-7b555622465c'],38,,,,,,,,,,,,,,,,,Arsenal,1,00:01:38.260,Pass,
,,,,,,,,,,,,,,,,,,1.360995,,,,,,,,,,,,,,,b7b57cba-e19d-4cc6-a059-397376d80440,50,,"[38.1, 40.6]",3749153,1,,,,,1.7417015,,Right Foot,,,"[34.7, 60.3]",,Ground Pass,,19.991247,,,,Laureano Bisan-Etame Mayer,40222.0,,,,,,1,From Throw In,Gilberto Aparecido da Silva,40221.0,Left Defensive Midfield,6,Arsenal,1,['b3ea40ba-db46-4861-8030-880178f33d1b'],39,,,,,,,,,,,,,,,,,Arsenal,1,00:01:39.718,Pass,
,,,,,,,,,,,,,,,,,,1.308108,,,,,,,,,,,,,,,a9a6e667-ce5d-49b2-9f1f-13a8ba8a4fef,54,,"[35.1, 61.8]",3749153,1,,,,,0.50617516,,Right Foot,,,"[53.5, 72.0]",,Ground Pass,,21.038061,,,,Fredrik Ljungberg,15754.0,,,,,,1,From Throw In,Laureano Bisan-Etame Mayer,40222.0,Right Back,6,Arsenal,1,"['6aad47ea-82ad-47f1-9fc8-cd0f0a7ba11e', '8097d858-8b1a-42a0-9827-dd0d93a0663b']",41,,,,,,,,,,,,,,,,,Arsenal,1,00:01:41.683,Pass,True
,,,,,,,,,,,,,,,,,,1.246033,,,,,,,,,,,,,,,0d0da618-bafd-4f41-8b6d-ce6c419c08ab,60,,"[35.4, 71.6]",3749153,1,,,,,-2.0969682,,Right Foot,,,"[22.1, 48.7]",,Ground Pass,,26.482069,,,,Sulzeer Jeremiah ''Sol' Campbell,15637.0,,,,,Free Kick,1,From Free Kick,Laureano Bisan-Etame Mayer,40222.0,Right Back,7,Arsenal,1,['2515839f-92ac-4f8c-b698-4f13a4fde3fb'],55,,,,,,,,,,,,,,,,,Arsenal,1,00:01:55.988,Pass,
,,,,,,,,,,,,,,,,,,1.195182,,,,,,,,,,,,,,,b4dc49c9-8e28-4fa7-86ce-304bd6977d4b,63,,"[21.9, 47.8]",3749153,1,,,,,-1.1972563,,Left Foot,,,"[32.6, 20.5]",,Ground Pass,,29.322006,,,,Pascal Cygan,26194.0,,,,,,1,From Free Kick,Sulzeer Jeremiah ''Sol' Campbell,15637.0,Right Center Back,7,Arsenal,1,['f956ef46-9ee5-4e89-9d1c-99519ecab943'],58,,,,,,,,,,,,,,,,,Arsenal,1,00:01:58.217,Pass,
,,,,,,,,,,,,,,,,,,3.754797,,,,,,,,,,,,,,,455ee889-93bc-46e6-a5b6-49d3ebab02fe,66,,"[54.8, 12.3]",3749153,2,,,,,-0.123284616,,Left Foot,,,"[100.8, 6.6]",,High Pass,,46.351807,,,,Ashley Cole,12529.0,,,,,,1,From Free Kick,Pascal Cygan,26194.0,Left Center Back,7,Arsenal,1,['d1dddd84-380f-4823-8bcb-2698c6c254a1'],3,,,,,,,,,,,,,,,,,Arsenal,1,00:02:03.317,Pass,
,,,,,,,,,,,,,,,,,,0.728316,,,,,,,,,,,,,,,22685d9d-2e20-4ae2-9127-05b4c0b8831a,69,,"[104.7, 7.4]",3749153,2,,,,,1.625955,,Left Foot,,,"[103.8, 23.7]",,Low Pass,,16.324827,,Incomplete,,Thierry Henry,15516.0,,,,,,1,From Free Kick,Ashley Cole,12529.0,Left Back,7,Arsenal,1,"['5b1529fc-af6d-4c22-9bff-c5dc06c578d9', '8605e791-5c7f-4c8c-91af-2c739e3d5a28']",7,,,,,,,,,,,,,,,,,Arsenal,1,00:02:07.072,Pass,
,,,,,,,,,,,,,,,,,,1.142105,,,,,,,,,,,,,,,9cad62f0-8212-48c5-9193-01447da423ad,76,,"[120.0, 80.0]",3749153,2,,,,,-1.6753857,,Right Foot,,,"[116.2, 43.8]",,High Pass,,36.398903,,Incomplete,True,,,,,Outswinging,,Corner,1,From Corner,Robert Pirès,19312.0,Left Midfield,8,Arsenal,1,['78a2f3f7-696b-40c3-9a90-11731f68900c'],31,,,,,,,,,,,,,,,,,Arsenal,1,00:02:31.835,Pass,
,,,,,,,,,,,,,,,,,,2.139989,,,,,,,,,,,,,,,8faee6f3-c5e0-4a96-85f9-436f2f186f6a,78,,"[86.7, 43.1]",3749153,2,,,,,1.5580581,,Right Foot,,,"[86.9, 58.8]",,Low Pass,,15.701274,,,,Fredrik Ljungberg,15754.0,,,,,Recovery,1,From Corner,Patrick Vieira,15515.0,Right Defensive Midfield,8,Arsenal,1,['8f4f0905-2523-4905-8564-82fbaf9a80fa'],35,,,,,,,,,,,,,,,,,Arsenal,1,00:02:35.452,Pass,
,,,,,,,,,,,,,,,,,,0.644132,,,,,,,,,,,,,,,25ee2955-88ef-480e-abd0-aad5f7197f28,81,,"[81.3, 72.0]",3749153,2,,,,,0.1923956,,Right Foot,,,"[89.0, 73.5]",,Ground Pass,,7.8447433,,,,Robert Pirès,19312.0,,,,,,1,From Corner,Fredrik Ljungberg,15754.0,Right Midfield,8,Arsenal,1,['51013a67-a83c-4780-9b2b-47761ca892c1'],40,,,,,,,,,,,,,,,,,Arsenal,1,00:02:40.125,Pass,
