50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.7641,,,,,,,,,,,,,,,,e75f7223-fbd7-43ad-bf4e-edd529829bc1,47,,"[52.4, 69.6]",3890277,0,,,,,0.12812856,,Right Foot,,,"[101.3, 75.9]",,High Pass,49.304157,,,,Adelino André Vieira Freitas,10790.0,,,,,1,Regular Play,Christian Träsch,23266.0,Right Back,3,Wolfsburg,179,['2ef66cee-6e4e-432a-8f47-25d1607f4e4a'],38,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:38.567,Pass,
,,,,,,,,,,,,,,,,,0.101396,,,,,,,,,,,,,,,,ae4b9dec-6320-453d-810b-04a484043f21,51,,"[104.8, 79.7]",3890277,0,,,,,-1.5707964,,Right Foot,,,"[104.8, 76.7]",,Ground Pass,3.0,,Incomplete,,Max Kruse,8386.0,,,,,1,Regular Play,Adelino André Vieira Freitas,10790.0,Right Wing,3,Wolfsburg,179,"['48acc9b5-ac6a-495a-93a3-490535116448', '75aaddb5-6460-4d30-b7d0-e1b621055ea7']",43,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:43.400,Pass,
,,,,,,,,,,,,,,,,,0.85558,,,,,,,,,,,,,,,,3bfb5665-a796-4ebc-ade0-b2b7ca17c555,54,,"[99.1, 80.0]",3890277,0,,,,,-2.216372,,,,,"[93.3, 72.3]",,Low Pass,9.64002,,,,Josuha Guilavogui,8230.0,,,,Throw-in,1,From Throw In,Christian Träsch,23266.0,Right Back,4,Wolfsburg,179,['a62fabdc-68fc-4acf-be5b-1c110ea2b015'],50,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:50.653,Pass,
,,,,,,,,,,,,,,,,,1.039519,,,,,,,,,,,,,,,,334680b6-85ef-4857-bf13-9588ae5f58e1,56,,"[93.3, 72.3]",3890277,0,,,,,1.2877005,,Right Foot,,,"[94.9, 77.8]",,Ground Pass,5.7280016,,,,Christian Träsch,23266.0,,,,,1,From Throw In,Josuha Guilavogui,8230.0,Right Defensive Midfield,4,Wolfsburg,179,['873978db-f4e8-4e0b-b387-331de612cd66'],51,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:51.508,Pass,
,,,,,,,,,,,,,,,,,1.722998,,,,,,,,,,,,,,,,ea534301-e1f2-4899-aa42-ae3b68d64ace,59,,"[94.9, 77.8]",3890277,0,,,,,-0.04234755,,Right Foot,,,"[106.7, 77.3]",,Ground Pass,11.810589,,,,Josuha Guilavogui,8230.0,,,,,1,From Throw In,Christian Träsch,23266.0,Right Back,4,Wolfsburg,179,['6df01be0-b3c9-479a-97b4-1dad8518a7b4'],53,,,,,,,,,,,,,,,,,Wolfsburg,179,00:00:53.584,Pass,
,,,,,,,,,,,,,,,,,0.272813,,,,,,,,,,,,,,,,c6fa8ef2-ed4c-49b1-9f18-a56e2dc53cb3,69,,"[116.0, 78.6]",3890277,1,,,,,-1.3352513,,Right Foot,,,"[116.6, 76.1]",,Low Pass,2.570992,,Incomplete,,Max Kruse,8386.0,,,,,1,From Throw In,Adelino André Vieira Freitas,10790.0,Right Wing,4,Wolfsburg,179,"['e0cdb9e1-b8f4-41f1-938e-449f6fbb9373', 'e3cc15d9-7dc9-40c2-ad93-6c8943905d0c']",1,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:01.688,Pass,
,,,,,,,,,,,,,,,,,2.2104,,,,,,,,,,,,,,,,8e9fd4b9-065f-4f37-b878-75a618ef2057,72,,"[114.6, 80.0]",3890277,1,,,,,-1.7789185,,,,,"[107.8, 47.8]",,High Pass,32.91018,,Incomplete,,Bas Dost,10594.0,,,,Throw-in,1,From Throw In,Christian Träsch,23266.0,Right Back,5,Wolfsburg,179,"['14a303e8-4e64-4463-a760-d2f4d936226c', 'cb2bd887-da03-4f8f-a9e5-6f269170105b']",17,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:17.266,Pass,
,,,,,,,,,,,,,,,,,2.45925,,,,,,,,,,,,,,,,a4ed6b1b-97a6-4517-8ec6-9b29b669a6e5,77,,"[42.6, 53.2]",3890277,1,,,,,-2.9540095,,Right Foot,,,"[21.0, 49.1]",,Ground Pass,21.985678,,,,Koen Casteels,8240.0,,,,Recovery,1,From Throw In,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,5,Wolfsburg,179,['76de6548-8241-4286-8126-c2e6e09aed47'],24,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:24.910,Pass,
,,,,,,,,,,,,,,,,,1.351699,,,,,,,,,,,,,,,,0f639197-f111-4a55-811c-f74e0298073c,79,,"[21.0, 49.1]",3890277,1,,,,,0.91322404,,Left Foot,,,"[34.9, 67.1]",,Ground Pass,22.742252,,,,Ronaldo Aparecido Rodrigues,8516.0,,,,,1,From Throw In,Koen Casteels,8240.0,Goalkeeper,5,Wolfsburg,179,['7b81e081-879a-41ed-8cec-4c68c0d7a205'],27,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:27.370,Pass,
,,,,,,,,,,,,,,,,,2.368416,,,,,,,,,,,,,,,,69b76df4-7853-4efb-92f0-61d3c959ce24,82,,"[35.3, 64.6]",3890277,1,,,,,-1.5796653,,Right Foot,,,"[34.9, 19.5]",,Ground Pass,45.101772,,,,Timm Klose,9461.0,,True,,,1,From Throw In,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,5,Wolfsburg,179,['e4afb0a9-fa98-4b4b-8f8a-9b65829e668d'],32,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:32.127,Pass,
,,,,,,,,,,,,,,,,,1.316872,,,,,,,,,,,,,,,,a5450c8a-4736-4f7c-8f8a-a34bc9d25c3c,85,,"[35.0, 19.3]",3890277,1,,,,,-0.8216517,,Right Foot,,,"[44.3, 9.3]",,Ground Pass,13.656135,,,,Ricardo Iván Rodríguez Araya,5544.0,,,,,1,From Throw In,Timm Klose,9461.0,Left Center Back,5,Wolfsburg,179,['220a87b1-3093-4849-b04d-034f4916568e'],35,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:35.697,Pass,
,,,,,,,,,,,,,,,,,0.61452,,,,,,,,,,,,,,,,ad96191e-9d0a-4f9b-9e42-9213e9a71ec5,88,,"[44.3, 9.3]",3890277,1,,,,,1.455242,,Left Foot,,,"[45.6, 20.5]",,Ground Pass,11.275194,,,,Luiz Gustavo Dias,3545.0,,,,,1,From Throw In,Ricardo Iván Rodríguez Araya,5544.0,Left Back,5,Wolfsburg,179,['bc97f743-4766-4b42-bbaf-8d5bd899287c'],37,,,,,,,,,,,,,,,,,Wolfsburg,179,00:01:37.571,Pass,
