50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.034746,,,,,,,,,,,,,,746b1276-a504-4af2-aa6e-651957adb429,2006,,"[33.3, 21.0]",3890361,53,,,,,0.6301939,,Right Foot,,,"[41.8, 27.2]",,Ground Pass,,10.520931,,,Danny Latza,8539.0,,,,,,2,From Free Kick,Niko Bungert,13319.0,Left Center Back,105,FSV Mainz 05,177,['d24cb3a1-ca1f-404d-91fc-7149b8b9f765'],31,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:08:31.304,Pass,
,,,,,,,,,,,,,,,,1.379387,,,,,,,,,,,,,,00c745b4-70a8-4d4c-b618-3abb1fa21435,2009,,"[41.8, 27.0]",3890361,53,,,,,-2.819842,,Right Foot,,,"[33.1, 24.1]",,Ground Pass,,9.170606,,,Niko Bungert,13319.0,,,,,,2,From Free Kick,Danny Latza,8539.0,Right Defensive Midfield,105,FSV Mainz 05,177,['1c03e42c-2b39-449f-9ff8-59ef28c763e5'],32,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:08:32.379,Pass,
,,,,,,,,,,,,,,,,2.934113,,,,,,,,,,,,,,5dd0ee09-1884-4edc-838f-bd3c96a64541,2012,,"[29.8, 23.7]",3890361,53,,,,,2.2876453,,Right Foot,,,"[14.2, 41.6]",,Ground Pass,,23.743841,,,Loris Karius,3630.0,,,,,,2,From Free Kick,Niko Bungert,13319.0,Left Center Back,105,FSV Mainz 05,177,['b93d1854-db58-4060-bf74-6e838a678aad'],33,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:08:33.858,Pass,
,,,,,,,,,,,,,,,,2.151184,,,,,,,,,,,,,,46230769-b409-426f-ab07-f165d3203bb1,2015,,"[14.2, 41.9]",3890361,53,,,,,0.9961263,,Right Foot,,,"[28.9, 64.6]",,Ground Pass,,27.044039,,,Leon Aderemi Balogun,5467.0,,,,,,2,From Free Kick,Loris Karius,3630.0,Goalkeeper,105,FSV Mainz 05,177,['635a7177-d1ee-4845-9ebc-b4ed3fb9c132'],36,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:08:36.832,Pass,
,,,,,,,,,,,,,,,,2.285909,,,,,,,,,,,,,,af96497c-ea9a-4469-91e3-ff72d4201823,2018,,"[44.7, 71.6]",3890361,53,,,,,-0.25605574,,Right Foot,,,"[91.3, 59.4]",,High Pass,,48.170532,,,Yoshinori Muto,6337.0,,,,,,2,From Free Kick,Leon Aderemi Balogun,5467.0,Right Center Back,105,FSV Mainz 05,177,['23fcea09-ab80-4f3b-aae6-a7b80822983d'],41,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:08:41.584,Pass,
,,,,,,,,,,,,,,,,2.956973,,,,,,,,,,,,,,5f68a5af-081e-4f70-8b14-d9fe35197071,2021,,"[91.5, 59.3]",3890361,53,,,,True,1.9774791,,,,,"[82.8, 79.5]",,High Pass,,21.993862,Out,,Pablo Ezequiel De Blasis,8555.0,,,,,,2,From Free Kick,Yoshinori Muto,6337.0,Left Center Forward,105,FSV Mainz 05,177,"['65575068-39b9-43a3-90a2-d8efefc7e968', '9466576b-e335-4b33-be97-be9daf05390b']",43,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:08:43.870,Pass,True
,,,,,,,,,,,,,,,,1.198073,,,,,,,,,,,,,,22eba226-3f5c-4095-92d6-0be748b3afcf,2023,,"[43.9, 0.1]",3890361,54,,,,,0.9189272,,,,,"[55.5, 15.3]",,Low Pass,,19.12067,,,Maximilian Arnold,8235.0,,,,,Throw-in,2,From Throw In,Ricardo Iván Rodríguez Araya,5544.0,Left Back,106,Wolfsburg,179,['724c096a-0ecf-4e5e-824e-2c6cd33bb3e7'],3,,,,,,,,,,,,,,,,,Wolfsburg,179,00:09:03.032,Pass,
,,,,,,,,,,,,,,,,0.927349,,,,,,,,,,,,,,6c783abd-33e9-4d09-9838-45da510f1812,2027,,"[55.6, 15.5]",3890361,54,,,,,-1.2774934,,Left Foot,,,"[60.1, 0.6]",,Ground Pass,,15.564704,Out,,Daniel Caligiuri,8521.0,,,,,,2,From Throw In,Maximilian Arnold,8235.0,Center Attacking Midfield,106,Wolfsburg,179,['98e24dc7-41e5-4b0d-9aa9-1d4098a85f58'],4,,,,,,,,,,,,,,,,,Wolfsburg,179,00:09:04.447,Pass,
,,,,,,,,,,,,,,,,1.668112,,,,,,,,,,,,,,56905be9-8fee-4b01-a2b7-2a3e4d6e0222,2029,,"[58.4, 80.0]",3890361,54,,,,,-0.9652517,,,,,"[75.5, 55.3]",,High Pass,,30.041637,,,Danny Latza,8539.0,,,,,Throw-in,2,From Throw In,Daniel Brosinski,8548.0,Right Back,107,FSV Mainz 05,177,['4483a5e5-3529-48c3-b37c-a916b7fa8711'],10,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:09:10.806,Pass,
,,,,,,,,,,,,,,,,0.472604,,,,,,,,,,,,,,17fb9ded-4138-4c26-9307-73731bf09d64,2036,,"[37.6, 32.8]",3890361,54,,,,,1.3521274,,Right Foot,,,"[38.8, 38.2]",,Ground Pass,,5.531727,,,Adelino André Vieira Freitas,10790.0,,,,,Recovery,2,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,108,Wolfsburg,179,['ed7fcf63-50d8-4830-9fca-f66923756581'],15,,,,,,,,,,,,,,,,,Wolfsburg,179,00:09:15.070,Pass,
,,,,,,,,,,,,,,,,1.297516,,,,,,,,,,,,,,f56395fa-85d8-4798-9fc0-d39bc7a3b059,2039,,"[35.7, 34.9]",3890361,54,,,,,-1.0191413,,Right Foot,,,"[48.5, 14.1]",,Ground Pass,,24.42294,,,Daniel Caligiuri,8521.0,,,,,,2,Regular Play,Adelino André Vieira Freitas,10790.0,Right Wing,108,Wolfsburg,179,['94bbe406-a971-4d4d-98fd-44aca12f529c'],17,,,,,,,,,,,,,,,,,Wolfsburg,179,00:09:17.522,Pass,
,,,,,,,,,,,,,,,,1.068335,,,,,,,,,,,,,,2c1c8c15-30cc-40e6-823b-14e2f34f4d87,2043,,"[47.0, 16.3]",3890361,54,,,,,0.71819186,,Right Foot,,,"[58.1, 26.0]",,Ground Pass,,14.741099,Incomplete,,Josuha Guilavogui,8230.0,,,,,,2,Regular Play,Daniel Caligiuri,8521.0,Left Wing,108,Wolfsburg,179,"['03baa1d7-1b10-4a1f-82bb-6ff70143d672', '55c66e31-c135-4f61-8168-d48d8c69b296', 'efbc76ca-3b86-42a3-a9ff-aeed2af251ef']",20,,,,,,,,,,,,,,,,,Wolfsburg,179,00:09:20.376,Pass,True
,,,,,,,,,,,,,,,,0.898225,,,,,,,,,,,,,,8de4a2e8-00fe-4e17-95dd-25988e7dbb49,2048,,"[48.0, 51.3]",3890361,54,,,,,1.1345809,,Right Foot,,,"[54.2, 64.6]",,Ground Pass,,14.674127,,,Daniel Brosinski,8548.0,,,,,,2,Regular Play,Leon Aderemi Balogun,5467.0,Right Center Back,109,FSV Mainz 05,177,['38c54fa5-0c12-461f-ae2a-151cb3c8cc6c'],23,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:09:23.987,Pass,
,,,,,,,,,,,,,,,,0.240971,,,,,,,,,,,,,,36eebf40-7614-4f16-8236-938b2229766e,2052,,"[54.4, 67.6]",3890361,54,,,,,0.09966865,,Right Foot,,,"[57.4, 67.9]",,Ground Pass,,3.0149627,Incomplete,,Pablo Ezequiel De Blasis,8555.0,,,,,,2,Regular Play,Daniel Brosinski,8548.0,Right Back,109,FSV Mainz 05,177,"['668d7a78-5a8b-4174-b930-4cfac532b688', 'c4bfcf28-212e-4b79-bfc7-082b080d6c8d']",25,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:09:25.419,Pass,
,,,,,,,,,,,,,,,,1.195483,,,,,,,,,,,,,,f0d3815c-833a-4de1-bd0b-3ddfd5e28eab,2055,,"[59.3, 80.0]",3890361,54,,,,,-1.171691,,,,,"[69.0, 57.0]",,High Pass,,24.961771,,,Pablo Ezequiel De Blasis,8555.0,,,,,Throw-in,2,From Throw In,Daniel Brosinski,8548.0,Right Back,110,FSV Mainz 05,177,['ba935f0c-734f-4aa9-b383-00ac077c50d7'],38,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:09:38.363,Pass,
