50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[58.1, 36.1]",,,,,,,,,,,,4.836135,,,,,,,,,,,,,ef772c9b-4c32-47ee-b527-212b5bbbf5ae,1065,,"[46.5, 47.5]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dante Bonfim da Costa Santos,3197.0,Left Center Back,49,Wolfsburg,179,"['5c727a25-40d8-44e6-8059-5400dffdedee', '7317a26c-d1e7-4c69-a4e1-d7e1fd4c9435']",9,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:09.360,Carry,
,,,,,"[55.1, 58.2]",,,,,,,,,,,,0.799998,,,,,,,,,,,,,3c7a1fed-b4b7-4af7-918c-1ee6ca599568,1068,,"[55.7, 54.1]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,49,Wolfsburg,179,"['4ae962d2-206a-4003-ba11-c5d74a0ba595', 'dcf425a5-8f5b-470d-b46c-d023bd790f1e']",15,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:15.954,Carry,
,,,,,"[79.3, 62.0]",,,,,,,,,,,,0.039999,,,,,,,,,,,,,b62ba92a-1c56-4773-98e4-835ea86c57eb,1072,,"[80.7, 61.3]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Daniel Caligiuri,8521.0,Right Midfield,49,Wolfsburg,179,"['257f3dfc-e8af-4b8c-956c-abf1d10190e2', '7d0fc4c3-6d4d-43e3-a742-1e9794d30ebd', 'eea804ac-4b86-4543-a496-9a18257f77b2']",17,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:17.678,Carry,True
,,,,,"[4.8, 36.5]",,,,,,,,,,,,0.47299,,,,,,,,,,,,,b50c5396-88ed-400e-823f-e55bd3f71cc8,1076,,"[4.8, 36.5]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marwin Hitz,8314.0,Goalkeeper,49,Wolfsburg,179,"['3c6dbdd0-272e-4233-b729-9a5ffa12330b', 'c5ba0d23-b1e5-4464-ad3d-d7b04f2af153']",22,,,,,,,,,,,,,,,,,Augsburg,172,00:23:22.006,Carry,
,,,,,"[53.5, 45.4]",,,,,,,,,,,,0.119999,,,,,,,,,,,,,2e74722f-4275-4ac2-8ff1-fda603c282f4,1087,,"[53.5, 45.4]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,49,Wolfsburg,179,"['6eff79de-57ac-4204-84c0-43d55dbd072d', 'e83145bc-d1bc-4a9e-9448-96ff7942192c']",31,,,,,,,,,,,,,,,,,Wolfsburg,179,00:23:31.291,Carry,
,,,,,"[49.6, 14.4]",,,,,,,,,,,,2.776621,,,,,,,,,,,,,62e4216b-9cc8-4203-b6dc-6a02ee7f0ec6,1090,,"[52.1, 14.8]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philipp Max,8319.0,Left Back,50,Augsburg,172,"['d4251bf9-ea8b-4282-ad2b-7fa2c6639495', 'f8ca2c31-a9d6-42d7-8df8-654373b7736a']",33,,,,,,,,,,,,,,,,,Augsburg,172,00:23:33.938,Carry,
,,,,,"[34.5, 21.3]",,,,,,,,,,,,1.354972,,,,,,,,,,,,,8bb273c9-c763-454c-bcae-5ad14d8d6b38,1093,,"[34.5, 21.3]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ragnar Klavan,4174.0,Left Center Back,50,Augsburg,172,"['23067018-3a94-45e3-b55b-3a48593f901d', '27508fef-a36c-4fa9-9aa1-5a0fb816fffb']",37,,,,,,,,,,,,,,,,,Augsburg,172,00:23:37.704,Carry,
,,,,,"[15.6, 42.2]",,,,,,,,,,,,1.098501,,,,,,,,,,,,,da26e179-3182-4fb1-aa75-995f95bd8f82,1096,,"[15.6, 42.3]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Marwin Hitz,8314.0,Goalkeeper,50,Augsburg,172,"['2d71619f-28a0-4e27-901f-974f993c9904', '8f181756-18fe-48c8-9c18-797eb2fd3029']",41,,,,,,,,,,,,,,,,,Augsburg,172,00:23:41.381,Carry,
,,,,,"[29.3, 56.4]",,,,,,,,,,,,3.335695,,,,,,,,,,,,,020acf75-6ca8-4083-88a1-1f753c59d154,1099,,"[27.0, 54.6]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Jeffrey Gouweleeuw,8318.0,Right Center Back,50,Augsburg,172,"['53f7340f-1904-42a5-8f36-9be464039b09', 'c24ac5be-3fc9-4686-aa05-89e65849742b', 'f855b87d-4b43-42fc-9a69-1e44ec1836d6']",43,,,,,,,,,,,,,,,,,Augsburg,172,00:23:43.774,Carry,True
,,,,,"[55.6, 72.7]",,,,,,,,,,,,0.247676,,,,,,,,,,,,,5deef795-1b35-4b51-a167-315180e138c6,1103,,"[55.4, 72.7]",3890535,23,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Daniel Tawiah Opare,9400.0,Right Midfield,50,Augsburg,172,"['1f0f7e05-7e97-4a60-a74d-eaa9d60b3d70', 'c76dc364-8c73-49b4-8307-bbe92a47a0b4']",48,,,,,,,,,,,,,,,,,Augsburg,172,00:23:48.243,Carry,
