50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.800099,,,,,,,,,,,,,,,,525b7f04-b199-44dc-8d3a-b80d67d2417a,55,,"[41.8, 54.7]",3890278,0,,,,,1.819759,,Right Foot,,,,"[38.8, 66.5]",,Ground Pass,,12.175385,,,,Philipp Lahm,19295.0,,,,,,Recovery,1,Regular Play,David Olatukunbo Alaba,8220.0,Center Back,5,Bayern Munich,169,"['19a9bec5-7dab-4b7e-ab8a-8a4183256e43', 'bab18060-a74b-4867-a6fe-de2841d3550d', 'ca05db55-2490-404a-b04d-fb9fe98f5a94']",53,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:53.454,Pass,True
,,,,,,,,,,,,,,,,2.40773,,,,,,,,,,,,,,,,77cb3e5f-80f6-48f6-8cd3-6233e8a8619b,58,,"[38.8, 66.5]",3890278,0,,,,,-2.573143,,Right Foot,,,,"[12.5, 49.7]",,Ground Pass,,31.207851,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,Philipp Lahm,19295.0,Right Center Back,5,Bayern Munich,169,['9da3bb20-6d7b-49d4-9915-d8a83850f587'],54,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:54.525,Pass,
,,,,,,,,,,,,,,,,1.362855,,,,,,,,,,,,,,,,7f79459f-8fc5-42f7-adf1-9b8d9e33171a,61,,"[10.8, 44.0]",3890278,0,,,,,1.1216404,,Left Foot,,,,"[17.5, 57.9]",,Ground Pass,,15.43049,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,5,Bayern Munich,169,['d12d61f6-3bea-4ce3-b7e7-4e68ae68fe51'],58,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:58.541,Pass,
,,,,,,,,,,,,,,,,0.929332,,,,,,,,,,,,,,,,cf649484-f1d3-466b-839d-29cc14fff809,64,,"[20.6, 58.6]",3890278,1,,,,,1.1859326,,Left Foot,,,,"[27.0, 74.4]",,Ground Pass,,17.046993,,,,Philipp Lahm,19295.0,,,,,,,1,Regular Play,David Olatukunbo Alaba,8220.0,Center Back,5,Bayern Munich,169,['a2b438d6-1614-4933-9d83-ae3215fcb33e'],1,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:01.347,Pass,
,,,,,,,,,,,,,,,,1.344721,,,,,,,,,,,,,,,,edae733f-b918-4690-8be1-f71d2c219422,67,,"[27.0, 74.3]",3890278,1,,,,,-1.5755132,,Right Foot,,,,"[26.9, 53.1]",,Ground Pass,,21.200235,,,,Thiago Alcântara do Nascimento,5208.0,,,,,,,1,Regular Play,Philipp Lahm,19295.0,Right Center Back,5,Bayern Munich,169,['236c58f7-837f-4cd3-a7e6-a091d1b47e4c'],3,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:03.455,Pass,
,,,,,,,,,,,,,,,,1.647298,,,,,,,,,,,,,,,,4b5dd0ba-54ce-4818-b01f-65af77363612,71,,"[22.2, 56.6]",3890278,1,,,,,-2.3996453,,Left Foot,,,,"[7.8, 43.4]",,Ground Pass,,19.534584,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,5,Bayern Munich,169,"['9fb79688-977b-48fd-8a0d-f209737fb925', 'e354f126-7f04-42e5-ba3f-42177fbcc6c7']",6,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:06.093,Pass,True
,,,,,,,,,,,,,,,,1.337617,,,,,,,,,,,,,,,,8c06e12f-573a-443a-8786-7e8226892806,74,,"[7.8, 43.4]",3890278,1,,,,,-0.9652517,,Right Foot,,,,"[16.8, 30.4]",,Ground Pass,,15.811388,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,5,Bayern Munich,169,['c0e5723c-9eef-4e71-8d27-e3b84d291d5f'],7,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:07.960,Pass,
,,,,,,,,,,,,,,,,1.059852,,,,,,,,,,,,,,,,34319702-39f9-49b7-b6c2-8db069ccf062,78,,"[16.2, 30.3]",3890278,1,,,,,2.464934,,Left Foot,,,,"[3.5, 40.5]",,Ground Pass,,16.288954,,,,Manuel Neuer,5570.0,,,,,,,1,Regular Play,David Olatukunbo Alaba,8220.0,Center Back,5,Bayern Munich,169,"['31450103-cb3e-44f8-8548-c69f42c487a5', '3fb87d60-893c-4c17-8c39-2f3c7267c9cd']",9,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:09.307,Pass,True
,,,,,,,,,,,,,,,,1.842856,,,,,,,,,,,,,,,,7e0e9943-c310-4fbe-9084-79d04ad0555f,82,,"[5.7, 38.1]",3890278,1,,,,,-1.0253837,,Right Foot,,,,"[25.3, 5.8]",,High Pass,,37.78161,,,,Juan Bernat Velasco,15651.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,5,Bayern Munich,169,"['1b80845c-22d6-4513-aeba-55a5ffd159d7', '3c28b9b0-025f-47ef-af76-15f23fb38998']",11,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:11.316,Pass,True
,,,,,,,,,,,,,,,,0.92993,,,,,,,,,,,,,,,,38d735a6-9f35-4994-a000-7208a5af061c,85,,"[25.3, 5.0]",3890278,1,,,,,3.0707893,,Left Foot,,,,"[11.2, 6.0]",,Ground Pass,,14.135417,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,Regular Play,Juan Bernat Velasco,15651.0,Left Center Back,5,Bayern Munich,169,['14e5719a-55cd-4340-b985-4e02aec8421a'],14,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:14.536,Pass,
,,,,,,,,,,,,,,,,2.212993,,,,,,,,,,,,,,,,d53ad7ba-4c85-44e3-bc09-220fef4b3aed,89,,"[15.4, 4.7]",3890278,1,,,,,0.22483292,,Left Foot,,,,"[60.0, 14.9]",,High Pass,,45.751503,,Incomplete,,Robert Lewandowski,5668.0,,,,,,,1,Regular Play,David Olatukunbo Alaba,8220.0,Center Back,5,Bayern Munich,169,"['2a943115-3f83-4c1f-ac84-bd583ded10b1', '5d851674-9e33-41d6-8cd3-d1a73460fa91']",16,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:16.319,Pass,
,,,,,,,,,,,,,,,,0.136926,,,,,,,,,,,,,,,,48177f35-0d49-4096-980d-af58c271e2b1,96,,"[112.6, 12.9]",3890278,1,,,,,2.0516837,,Left Foot,,,,"[111.4, 15.2]",,Ground Pass,,2.5942245,,Incomplete,,Thomas Müller,5562.0,,,,,,,1,Regular Play,Douglas Costa de Souza,5837.0,Left Wing Back,5,Bayern Munich,169,"['24c00005-9ae6-4f5e-88c2-6940be4dd170', '9552c917-7545-45ab-a7b6-f2b8ff384112', 'f37a7fbf-4414-4689-9394-7307b27c3606']",24,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:24.489,Pass,True
,,,,,,,,,,,,,,,,1.725995,,,,,,,,,,,,,,,,6e8d7875-8985-4e3d-ba69-3cb265a57419,99,,"[120.0, 0.1]",3890278,1,,,,,1.6444722,,Right Foot,,,,"[116.9, 42.1]",,High Pass,True,42.11425,,Incomplete,,Robert Lewandowski,5668.0,,,True,Inswinging,,Corner,1,From Corner,Thiago Alcântara do Nascimento,5208.0,Left Center Midfield,6,Bayern Munich,169,"['6a43ae01-da04-427d-a16f-cbbcba85b224', '8b4c90ac-643a-4eaf-a4b9-7421f722e079']",59,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:59.570,Pass,
,,,,,,,,,,,,,,,,5.692017,,,,,,,,,,,,,,,,a9cea5ca-021e-4b07-9e29-89f5067e148a,103,,"[13.9, 35.9]",3890278,2,,,,,-0.09261726,,Right Foot,,,,"[96.8, 28.2]",,High Pass,,83.25683,,Incomplete,,Stefan Kießling,11394.0,,,,,,,1,From Keeper,Bernd Leno,15581.0,Goalkeeper,7,Bayer Leverkusen,904,"['058fb5cf-e1d1-4813-adbc-c261df51148b', '6a42397e-6994-45db-96e9-78f6ae808cf2']",12,,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:02:12.907,Pass,
,,,,,,,,,,,,,,,,1.198997,,,,,,,,,,,,,,,,058fb5cf-e1d1-4813-adbc-c261df51148b,105,,"[23.3, 51.9]",3890278,2,,,,,-3.1337802,,Head,,,,"[10.5, 51.8]",,Low Pass,,12.80039,,,,Manuel Neuer,5570.0,,,,,,Recovery,1,Regular Play,David Olatukunbo Alaba,8220.0,Center Back,8,Bayern Munich,169,"['a9cea5ca-021e-4b07-9e29-89f5067e148a', 'c914703e-b4ce-4d63-a59d-5d2d33cdc99a']",18,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:02:18.599,Pass,
,,,,,,,,,,,,,,,,1.091997,,,,,,,,,,,,,,,,a79835d4-a706-4d85-9ab5-370a312ea3ab,108,,"[12.8, 47.4]",3890278,2,,,,,-0.91580147,,Keeper Arm,,,,"[18.1, 40.5]",,Ground Pass,,8.700575,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,Regular Play,Manuel Neuer,5570.0,Goalkeeper,8,Bayern Munich,169,['d985705b-d1ca-4a7d-9a8b-7af7dc4f8adc'],22,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:02:22.553,Pass,
,,,,,,,,,,,,,,,,1.57823,,,,,,,,,,,,,,,,76acdd26-9457-436e-baaf-7c3f3cfe52d4,111,,"[23.3, 37.3]",3890278,2,,,,,1.6529157,,Left Foot,,,,"[21.3, 61.6]",,Ground Pass,,24.382166,,,,Philipp Lahm,19295.0,,,,,,,1,Regular Play,David Olatukunbo Alaba,8220.0,Center Back,8,Bayern Munich,169,['f0942e32-f19c-4de4-b162-7a352af31df6'],27,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:02:27.861,Pass,
,,,,,,,,,,,,,,,,1.059417,,,,,,,,,,,,,,,,b0ddd2c0-efda-4c5e-ada3-ec4e0bdc94bd,114,,"[21.6, 60.9]",3890278,2,,,,,0.89909256,,Right Foot,,,,"[34.4, 77.0]",,Ground Pass,,20.56818,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,,1,Regular Play,Philipp Lahm,19295.0,Right Center Back,8,Bayern Munich,169,['f17f8b0e-83f7-4034-b1b2-cd75559726dc'],29,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:02:29.985,Pass,
