bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,1.519999,,,,,,,,,,,,,1bf1b63e-0091-4d44-a85e-ead54fa4d060,54,,"[18.6, 65.9]",3890467,1,,,,,-2.3045163,,Left Foot,,,,"[7.6, 53.7]",,Ground Pass,,16.426807,,,,Ramazan Özcan,12319.0,,,,,Recovery,1,Regular Play,Marvin Matip,9106.0,Right Center Back,7,Ingolstadt,189,['aeebaa05-4547-4a9c-9fe7-1930b0c0d26e'],22,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:22.640,Pass,
,,,,,,,,,,,,,,,3.687134,,,,,,,,,,,,,76066d73-66cd-4688-be29-a1cf2eaac467,58,,"[7.8, 49.5]",3890467,1,,,,,-0.551655,,Left Foot,,,,"[65.0, 14.3]",,High Pass,,67.163086,,Incomplete,,Mathew Leckie,5481.0,,,,,,1,Regular Play,Ramazan Özcan,12319.0,Goalkeeper,7,Ingolstadt,189,"['23c87778-8bd4-424d-b53d-272a6df7134d', '576a566d-ab5f-4adb-b3f8-9c0002b97d19', '6cacd872-b804-42c0-aada-e00b0496cfa3']",25,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:25.840,Pass,True
,,,,,,,,,,,,,,,2.017107,,,,,,,,,,,,,576a566d-ab5f-4adb-b3f8-9c0002b97d19,60,,"[55.1, 65.8]",3890467,1,,,,True,-0.10117619,,,,,,"[74.8, 63.8]",,High Pass,,19.801262,,Incomplete,,Anthony Modeste,23486.0,,,,,Recovery,1,Regular Play,Frederik Hillesborg Sørensen,8829.0,Right Back,7,Ingolstadt,189,"['35805d68-bae6-49e7-ab12-e06e05e48197', '76066d73-66cd-4688-be29-a1cf2eaac467', '8fade6fc-52cd-47f6-a4fb-b7178b47e4f5', 'd5eefd40-28cf-4ee2-b639-119e504c36e0']",29,,,,,,,,,,,,,,,,,FC Köln,186,00:01:29.528,Pass,True
,,,,,,,,,,,,,,,1.079999,,,,,,,,,,,,,35805d68-bae6-49e7-ab12-e06e05e48197,63,,"[45.3, 16.3]",3890467,1,,,,,1.8063413,,Head,,,,"[42.9, 26.3]",,High Pass,,10.283968,,,,Roger de Oliveira Bernardo,40459.0,,,,,Interception,1,Regular Play,Robert Bauer,8394.0,Left Back,7,Ingolstadt,189,"['576a566d-ab5f-4adb-b3f8-9c0002b97d19', 'a7d4ee34-b6b2-480c-a1fe-b96c9f33bc49']",31,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:31.545,Pass,
,,,,,,,,,,,,,,,3.068416,,,,,,,,,,,,,65327b49-f97b-4f15-a7cf-9a4d64d71d7f,67,,"[43.4, 25.4]",3890467,1,,,,,-0.11967849,,Left Foot,,,,"[75.0, 21.6]",,High Pass,,31.827662,,Incomplete,,Dario Lezcano,9113.0,,,,,,1,Regular Play,Roger de Oliveira Bernardo,40459.0,Center Defensive Midfield,7,Ingolstadt,189,"['314a7ad3-272b-420e-95e0-075820da3f72', 'fa3dfe69-c29f-4571-a34d-6f4d60c760cd', 'fe64356b-1874-43dd-8d20-6cd924e2c262']",33,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:33.305,Pass,True
,,,,,,,,,,,,,,,1.336416,,,,,,,,,,,,,fe64356b-1874-43dd-8d20-6cd924e2c262,70,,"[45.1, 58.5]",3890467,1,,,,True,-0.057080783,,,,,,"[62.6, 57.5]",,High Pass,,17.528547,,Incomplete,,Anthony Modeste,23486.0,,,,,Recovery,1,Regular Play,Dominik Maroh,11286.0,Right Center Back,7,Ingolstadt,189,"['65327b49-f97b-4f15-a7cf-9a4d64d71d7f', 'c9c1b470-2140-4619-8f2b-53c5b69c079c', 'c9e70a1e-0f14-4ed9-b700-5ce29db3194f', 'd5f7b115-107d-4b62-a378-dd9dab00f0db']",36,,,,,,,,,,,,,,,,,FC Köln,186,00:01:36.373,Pass,True
,,,,,,,,,,,,,,,1.079999,,,,,,,,,,,,,c9c1b470-2140-4619-8f2b-53c5b69c079c,72,,"[57.5, 22.6]",3890467,1,,,,,-0.59045357,,Other,,,,"[66.9, 16.3]",,Low Pass,,11.315918,,,,Mathew Leckie,5481.0,,,,,Recovery,1,Regular Play,Almog Cohen,20485.0,Left Center Midfield,7,Ingolstadt,189,"['ca3e2f94-91d8-4cde-8b3c-26a412b78fae', 'fe64356b-1874-43dd-8d20-6cd924e2c262']",37,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:37.710,Pass,
,,,,,,,,,,,,,,,1.119999,,,,,,,,,,,,,de127cca-1175-4133-8c8f-e8fc2e346387,76,,"[64.2, 15.7]",3890467,1,,,,,2.2881181,,Right Foot,,,,"[51.9, 29.8]",,Ground Pass,,18.710958,,,,Roger de Oliveira Bernardo,40459.0,,,,,,1,Regular Play,Mathew Leckie,5481.0,Left Wing,7,Ingolstadt,189,"['0751026f-efab-433e-bd38-5c14c4b0c1ba', '4a64fc66-e909-4b84-9b13-e3554ee913e8']",39,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:39.510,Pass,True
,,,,,,,,,,,,,,,2.48,,,,,,,,,,,,,8fdc5d83-3efc-4040-8501-5d29935c4ce4,79,,"[46.1, 32.1]",3890467,1,,,,,1.6058697,,Right Foot,,,,"[45.3, 54.9]",,Ground Pass,,22.814032,,,,Marvin Matip,9106.0,,,,,,1,Regular Play,Roger de Oliveira Bernardo,40459.0,Center Defensive Midfield,7,Ingolstadt,189,['e2ee9ecd-c33b-4392-84f2-e368371a89c4'],43,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:43.990,Pass,
,,,,,,,,,,,,,,,1.639998,,,,,,,,,,,,,ed817e3a-aef2-480a-b005-021072ef69e8,82,,"[55.8, 73.8]",3890467,1,,,,,-0.61542934,,Left Foot,,,,"[81.4, 55.7]",,High Pass,,31.352352,,,,Dario Lezcano,9113.0,,,,,,1,Regular Play,Marvin Matip,9106.0,Right Center Back,7,Ingolstadt,189,['76240e78-20d5-4c72-a717-6b877d76b151'],49,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:49.750,Pass,
,,,,,,,,,,,,,,,1.52,,,,,,,,,,,,,537bc664-5e49-46a6-b6cd-8867aee899f0,86,,"[70.9, 55.4]",3890467,1,,,,,3.0589411,,Left Foot,,,,"[54.0, 56.8]",,Ground Pass,,16.95789,,,,Roger de Oliveira Bernardo,40459.0,,,,,,1,Regular Play,Dario Lezcano,9113.0,Center Forward,7,Ingolstadt,189,['9b54f782-5c8c-4ae0-9812-7b43e95d3aee'],53,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:53.310,Pass,
,,,,,,,,,,,,,,,1.84,,,,,,,,,,,,,de7734c6-4319-4dd0-a9a4-64c43f07518c,89,,"[54.5, 55.4]",3890467,1,,,,,1.9855139,,Left Foot,,,,"[47.5, 71.3]",,Ground Pass,,17.372679,,,,Marvin Matip,9106.0,,,,,,1,Regular Play,Roger de Oliveira Bernardo,40459.0,Center Defensive Midfield,7,Ingolstadt,189,"['2e11629f-eeab-4085-ab6f-40f538717a91', '7e72fc63-4c27-48ce-aef4-2f16c7d52dd1']",54,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:54.830,Pass,True
