50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.677977,,,,,,,,,,,,,,,c0e2ba3d-5bcc-4ad2-9998-84dd66f9de63,45,,"[77.3, 46.3]",3890341,0,,,,,-1.1801893,,Right Foot,,,"[94.1, 5.5]",,High Pass,,44.123463,,,Douglas Costa de Souza,5837.0,,,True,,,,1,From Kick Off,Jérôme Boateng,5578.0,Right Center Back,2,Bayern Munich,169,['2c211a3e-8c63-464d-b9e2-9118c56c04e9'],34,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:34.046,Pass,
,,,,,,,,,,,,,,,,,,,1.90513,,,,,,,,,,,,,,,1d7a5581-68b0-46ad-8520-915ba5947d76,48,,"[100.5, 9.4]",3890341,0,,,,,0.2812322,,Left Foot,,,"[118.5, 14.6]",,Ground Pass,,18.736061,,,Márcio Rafael Ferreira de Souza,8209.0,,,,,,,1,From Kick Off,Douglas Costa de Souza,5837.0,Left Midfield,2,Bayern Munich,169,['88b49bc5-e616-46fa-8c3c-788dd761b5ce'],38,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:38.929,Pass,
,,,,,,,,,,,,,,,,,,,0.743503,,,,,,,,,,,,,,,d3a6d473-b2a9-4041-b64b-0111604d505e,50,,"[118.3, 15.7]",3890341,0,,,,,1.815775,,Left Foot,True,,"[114.0, 32.9]",,Ground Pass,,17.729355,Incomplete,,Thomas Müller,5562.0,,,,,,,1,From Kick Off,Márcio Rafael Ferreira de Souza,8209.0,Left Back,2,Bayern Munich,169,"['600acfbf-69ce-477a-9bce-5bd5edeb3f98', 'a67f3359-d7da-4c08-b5b8-751f51f9f1f4']",40,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:40.834,Pass,
,,,,,,,,,,,,,,,,,,,0.982506,,,,,,,,,,,,,,,2d85a74e-2530-4398-9044-2eb1db431222,56,,"[97.7, 41.6]",3890341,0,,,,,1.3258177,,Right Foot,,,"[101.2, 55.6]",,Low Pass,,14.43087,,,Kingsley Coman,8217.0,,,,,,,1,From Kick Off,Philipp Lahm,19295.0,Right Back,2,Bayern Munich,169,"['13fece69-6a51-41fa-a807-9cb8fcaa2110', 'd4773493-b8a9-4387-b1a7-47429dff1dac']",43,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:43.958,Pass,True
,,,,,,,,,,,,,,,,,,,1.731626,,,,,,,,,,,,,,,1ce2e2e6-3b9b-4bc9-a8db-fd044e8e62b8,59,,"[102.0, 55.7]",3890341,0,,,,,-0.94487154,,Right Foot,,,"[114.0, 39.1]",,High Pass,,20.483164,Unknown,,Thomas Müller,5562.0,,,,,,,1,From Kick Off,Kingsley Coman,8217.0,Right Midfield,2,Bayern Munich,169,['14f50707-8bd9-483f-bd17-67d08c47baf4'],46,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:46.561,Pass,
,,,,,,,,,,,,,,,,,,,3.617429,,,,,,,,,,,,,,,20a25dbd-6a1d-4c03-b866-9246d2e1a67a,63,,"[11.8, 44.6]",3890341,1,,,,,-0.54064643,,Left Foot,,,"[76.6, 5.7]",,High Pass,,75.57943,,,Yannick Gerhardt,8231.0,,,,,,Free Kick,1,From Free Kick,Timo Horn,8821.0,Goalkeeper,3,FC Köln,186,['f0bc330c-619a-4bfa-8557-3bb44434aaaf'],23,,,,,,,,,,,,,,,,,FC Köln,186,00:01:23.924,Pass,
,,,,,,,,,,,,,,,,,,,1.984093,,,,,,,,,,,,,,,27bcd35c-25d7-4949-982f-bc03b624954c,67,,"[75.4, 4.3]",3890341,1,,,,,-3.1071236,,Right Foot,,,"[63.8, 3.9]",,Low Pass,,11.6068945,,,Jonas Hector,6040.0,,,,,,,1,From Free Kick,Yannick Gerhardt,8231.0,Left Wing,3,FC Köln,186,"['157aac81-aa09-40b7-87da-33b491c18b82', 'bd07b504-4148-4be8-8ff9-de8238170e35']",28,,,,,,,,,,,,,,,,,FC Köln,186,00:01:28.554,Pass,True
,,,,,,,,,,,,,,,,,,,0.838356,,,,,,,,,,,,,,,49524a34-eb27-4405-af4a-afa8a4a5f3e0,71,,"[52.1, 3.9]",3890341,1,,,,,1.5186697,,Left Foot,,,"[52.7, 15.4]",,Ground Pass,,11.515641,,,Yannick Gerhardt,8231.0,,,,,,,1,From Free Kick,Jonas Hector,6040.0,Left Wing Back,3,FC Köln,186,['d4625476-976b-4a24-b293-158d8869c4bf'],34,,,,,,,,,,,,,,,,,FC Köln,186,00:01:34.555,Pass,
,,,,,,,,,,,,,,,,,,,1.203585,,,,,,,,,,,,,,,dddae07b-3ce1-40d4-872f-28fab6970bdb,75,,"[50.7, 14.7]",3890341,1,,,,,-2.9889433,,Left Foot,,,"[33.8, 12.1]",,Ground Pass,,17.098831,,,Dominique Heintz,8828.0,,,,,,,1,From Free Kick,Yannick Gerhardt,8231.0,Left Wing,3,FC Köln,186,"['1f40e9de-cc01-46b4-84a1-f53dfad16383', 'd61c1c6e-bcea-469e-ae5c-1f76389e7812']",38,,,,,,,,,,,,,,,,,FC Köln,186,00:01:38.975,Pass,True
,,,,,,,,,,,,,,,,,,,1.955515,,,,,,,,,,,,,,,be9d3591-9648-45d1-93d2-83857ab058d4,78,,"[22.4, 17.3]",3890341,1,,,,,2.2174897,,Right Foot,,,"[7.3, 37.3]",,Ground Pass,,25.060127,,,Timo Horn,8821.0,,,,,,,1,From Free Kick,Dominique Heintz,8828.0,Left Center Back,3,FC Köln,186,['a6433b58-b57b-45d7-95f2-e84ae7abf060'],41,,,,,,,,,,,,,,,,,FC Köln,186,00:01:41.985,Pass,
