50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.471111,,,,,,,,,,,,,d45e7730-ee22-47a0-8b53-ba952a19fab0,1102,,,"[68.5, 65.2]",3890445,32,,,,,0.9738853,,Right Foot,,,,"[75.5, 75.5]",,Ground Pass,,12.453513,,,,,Sebastian Jung,24919.0,,,,,,,1,Regular Play,Adelino André Vieira Freitas,10790.0,Right Wing,78,Wolfsburg,179,"['8b31dc2e-823a-4ca5-9fd2-b92e80f93f72', 'b7561025-b91c-4c9f-a2a6-f2b5d61e75c6']",48,,,,,,,,,,,,,,,,,Wolfsburg,179,00:32:48.722,Pass,True
,,,,,,,,,,,,,,,,,,1.147783,,,,,,,,,,,,,83908371-23be-4b63-b4aa-bb9686628482,1105,,,"[76.7, 75.2]",3890445,32,,,,,-1.4337301,,Right Foot,,,,"[79.5, 54.9]",,Ground Pass,,20.492193,,,Incomplete,,Julian Draxler,3186.0,,,,,,,1,Regular Play,Sebastian Jung,24919.0,Right Back,78,Wolfsburg,179,"['a9c0ac6d-c1b4-4ba9-9df8-4d4d594c3448', 'e4289923-6596-45eb-babb-d95d14387362']",50,,,,,,,,,,,,,,,,,Wolfsburg,179,00:32:50.256,Pass,
,,,,,,,,,,,,,,,,,,2.306404,,,,,,,,,,,,,551edc5c-d22f-43b9-b4e8-6456003c4170,1110,,,"[32.2, 23.3]",3890445,32,,,,,2.650608,,Right Foot,,,,"[12.0, 34.1]",,Ground Pass,,22.905895,,,,,Ramazan Özcan,12319.0,,,,,,,1,Regular Play,Roger de Oliveira Bernardo,40459.0,Center Defensive Midfield,79,Ingolstadt,189,['590e095c-655f-44c4-9380-46f76e3d6901'],53,,,,,,,,,,,,,,,,,Ingolstadt,189,00:32:53.964,Pass,
,,,,,,,,,,,,,,,,,,1.808955,,,,,,,,,,,,,32decb90-835e-4cbd-aab2-9971e670180c,1113,,,"[15.7, 31.9]",3890445,32,,,,,-1.0132895,,Left Foot,,,,"[31.1, 7.2]",,Ground Pass,,29.10756,,,,,Robert Bauer,8394.0,,,,,,,1,Regular Play,Ramazan Özcan,12319.0,Goalkeeper,79,Ingolstadt,189,['13e335ae-ac38-4b46-9b70-143b81820009'],59,,,,,,,,,,,,,,,,,Ingolstadt,189,00:32:59.997,Pass,
,,,,,,,,,,,,,,,,,,1.641364,,,,,,,,,,,,,c4dc8d4b-fd14-421e-a744-96a4ab900a82,1116,,,"[27.8, 9.4]",3890445,33,,,,,2.7519853,,Left Foot,,,,"[12.7, 15.6]",,Ground Pass,,16.323296,,,,,Ramazan Özcan,12319.0,,,,,,,1,Regular Play,Robert Bauer,8394.0,Left Back,79,Ingolstadt,189,['27503134-c0e3-4bab-b32c-6fcfd9fa1475'],2,,,,,,,,,,,,,,,,,Ingolstadt,189,00:33:02.726,Pass,
,,,,,,,,,,,,,,,,,,2.354318,,,,,,,,,,,,,6afb4811-8147-46b6-b3ab-6027851ebac0,1119,,,"[12.9, 15.6]",3890445,33,,,,,0.42616516,,Left Foot,,,,"[61.8, 37.8]",,High Pass,,53.70335,,,,,Pascal Groß,3097.0,,,,,,,1,Regular Play,Ramazan Özcan,12319.0,Goalkeeper,79,Ingolstadt,189,['db899d88-0bb8-4c6e-88b7-080ab8a254a7'],4,,,,,,,,,,,,,,,,,Ingolstadt,189,00:33:04.407,Pass,
,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,b61dbdd2-e52f-4daa-b982-56a0cbccaf30,1124,,,"[62.0, 45.1]",3890445,33,,,,True,-1.3134726,,,,,,"[62.5, 43.2]",,Low Pass,,1.9646883,,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Christian Träsch,23266.0,Right Defensive Midfield,79,Ingolstadt,189,"['92f0cbf7-d884-4860-a3ab-d93e71346fe7', 'e7c8aac2-9c7e-435f-ba84-fd78dc8623e7']",9,,,,,,,,,,,,,,,,,Wolfsburg,179,00:33:09.155,Pass,True
,,,,,,,,,,,,,,,,,,2.97913,,,,,,,,,,,,,5ef1c02e-178b-4711-ad99-63451f8e3e21,1126,,,"[47.8, 40.8]",3890445,33,,,,,-0.45005012,,Right Foot,,,,"[86.3, 22.2]",,High Pass,,42.757572,,,Incomplete,,Dario Lezcano,9113.0,,,,,,Recovery,1,Regular Play,Marvin Matip,9106.0,Right Center Back,79,Ingolstadt,189,"['042cd602-a691-4618-a834-53dfc762d3ce', '2f28e08b-dbf6-4e79-9fe9-76e64ac1c389']",11,,,,,,,,,,,,,,,,,Ingolstadt,189,00:33:11.592,Pass,
,,,,,,,,,,,,,,,,,,1.037274,,,,,,,,,,,,,cb591c06-b7e8-4355-a01a-6452ec4c3f25,1130,,,"[84.6, 6.8]",3890445,33,,,,,0.76825696,,Head,,,,"[93.5, 15.4]",,High Pass,,12.376186,,,Incomplete,,Dario Lezcano,9113.0,,,,,,Recovery,1,Regular Play,Maurice Multhaup,20959.0,Left Wing,79,Ingolstadt,189,"['b6c96001-9fcc-4c93-9578-5717969aa287', 'ec0fc636-a013-44dd-a039-71949a91674c']",16,,,,,,,,,,,,,,,,,Ingolstadt,189,00:33:16.710,Pass,
,,,,,,,,,,,,,,,,,,0.851186,,,,,,,,,,,,,ec0fc636-a013-44dd-a039-71949a91674c,1133,,,"[26.6, 64.7]",3890445,33,,,,True,-0.5247958,,,,,,"[34.2, 60.3]",,High Pass,,8.781799,,,,,Luiz Gustavo Dias,3545.0,,,,,,Recovery,1,Regular Play,Ronaldo Aparecido Rodrigues,8516.0,Right Center Back,80,Wolfsburg,179,"['704c8a8a-3933-4dfb-b59e-8dfbfb799813', 'cb591c06-b7e8-4355-a01a-6452ec4c3f25', 'f941e012-407b-40bd-88a5-9c18a2fb6aae']",17,,,,,,,,,,,,,,,,,Wolfsburg,179,00:33:17.747,Pass,True
