bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.921427,,,,,,,,,,,f938885d-67ee-4683-8398-b7e12b18da04,1166,,,"[60.6, 17.9]",3890404,29,,,,,0.9791966,,Head,,,"[64.9, 24.3]",High Pass,,7.7103825,,Incomplete,,Aaron Hunt,8308.0,,,,,,Recovery,1,From Goal Kick,Lewis Harry Holtby,8891.0,Left Defensive Midfield,60,Hamburger SV,171,"['23fb5a36-47d9-4665-8fe4-b95ce29f0108', '575617fa-01df-4a7a-bdc9-2f2205a74e62', 'e176d5db-ca3f-4c87-9f41-30df7d137da2']",1,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:29:01.811,Pass,
,,,,,,,,,,,,,,,,,1.25379,,,,,,,,,,,e176d5db-ca3f-4c87-9f41-30df7d137da2,1169,,,"[55.2, 55.8]",3890404,29,,,,True,0.37221274,,,,,"[69.8, 61.5]",Low Pass,,15.673225,,,,Raúl Marcelo Bobadilla,8807.0,,,,,,Recovery,1,Regular Play,Markus Feulner,40480.0,Right Defensive Midfield,61,Augsburg,172,"['916735d7-61eb-4efb-b463-5b45d2a3df7a', 'a6c5be80-cc70-454f-8a2f-211f16e073eb', 'f938885d-67ee-4683-8398-b7e12b18da04']",3,,,,,,,,,,,,,,,,,,Augsburg,172,00:29:03.732,Pass,True
,,,,,,,,,,,,,,,,,4.469867,,,,,,,,,,,27ccd38d-b439-4e2e-a68c-e7b39c4ccd23,1173,,,"[69.4, 61.5]",3890404,29,,,,,0.24925214,,Right Foot,,,"[113.4, 72.7]",High Pass,,45.403084,,,,Alexander Esswein,8574.0,,,,,,,1,Regular Play,Raúl Marcelo Bobadilla,8807.0,Center Forward,61,Augsburg,172,"['07d1d7b5-658b-4486-a67b-9bc7005dab21', 'cdb6cb69-1f1f-42c2-97e4-821eff6128ef']",5,,,,,,,,,,,,,,,,,,Augsburg,172,00:29:05.391,Pass,True
,,,,,,,,,,,,,,,,,1.576113,,,,,,,,,,,06717039-5492-42be-b233-08a8a58dce86,1176,,,"[111.3, 71.4]",3890404,29,,,,,-1.5583746,3675bed6-abff-454f-9468-b829f2b0a05a,Left Foot,True,,"[111.7, 39.2]",High Pass,,32.202484,,,,Caiuby Francisco da Silva,8303.0,True,,,,,,1,Regular Play,Alexander Esswein,8574.0,Right Wing,61,Augsburg,172,['87c7cad7-0146-44b0-ba47-dc2e5144afd9'],12,,,,,,,,,,,,,,,,,,Augsburg,172,00:29:12.733,Pass,
,,,,,,,,,,,,,,,,,2.589073,,,,,,,,,,,f3238588-9aa6-4b81-931e-1063527aa0d5,1181,,,"[7.0, 36.1]",3890404,29,,True,,,-0.99926066,,Right Foot,,,"[23.4, 10.6]",Ground Pass,,30.318476,,,,Lewis Harry Holtby,8891.0,,,,,,Goal Kick,1,From Goal Kick,René Adler,8560.0,Goalkeeper,62,Hamburger SV,171,['815fefcd-6223-4cf3-842a-76c1013a703e'],50,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:29:50.863,Pass,
,,,,,,,,,,,,,,,,,2.955869,,,,,,,,,,,384b52f7-3ccf-41eb-863f-31546d0cabd0,1183,,,"[22.9, 11.1]",3890404,29,,,,,2.0258358,,Left Foot,,,"[9.2, 39.1]",Ground Pass,,31.171942,,,,René Adler,8560.0,,,,,,,1,From Goal Kick,Lewis Harry Holtby,8891.0,Left Defensive Midfield,62,Hamburger SV,171,['69319119-2f7e-4f37-93b6-62ee2d57ae92'],53,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:29:53.453,Pass,
,,,,,,,,,,,,,,,,,4.884979,,,,,,,,,,,774c9b9d-3585-4ebf-ba5d-c154e3f85424,1186,,,"[12.9, 48.7]",3890404,29,,,,,-0.5295362,,Right Foot,,,"[80.9, 8.9]",High Pass,,78.791115,,Unknown,,Ivo Iličević,24740.0,,,,,,,1,From Goal Kick,René Adler,8560.0,Goalkeeper,62,Hamburger SV,171,['fc6e1bb6-a17d-4131-91fc-e82c844b06ee'],59,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:29:59.494,Pass,
,,,,,,,,,,,,,,,,,2.70816,,,,,,,,,,,ae99fefe-ca74-40cd-aa8d-a17ab38c3ad6,1191,,,"[79.8, 8.5]",3890404,30,,,,,0.92309797,,Left Foot,,,"[114.3, 54.1]",High Pass,,57.180504,,,,Johan Danon Djourou-Gbadjere,6359.0,,,True,,,Free Kick,1,From Free Kick,Lewis Harry Holtby,8891.0,Left Defensive Midfield,63,Hamburger SV,171,['1a30ab0d-b59d-4a93-9d57-6ad4780f6bfd'],41,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:30:41.563,Pass,
,,,,,,,,,,,,,,,,,1.460096,,,,,,,,,,,d964271c-d6db-4f84-a7e3-6916d0afa7b8,1194,,,"[114.3, 54.1]",3890404,30,,,,True,-2.599674,d38f7d1f-dc8f-4999-b457-be8a6b767c9f,,True,,"[104.5, 48.2]",High Pass,,11.438969,,,,Nicolai Müller,8302.0,True,,,,,,1,From Free Kick,Johan Danon Djourou-Gbadjere,6359.0,Right Center Back,63,Hamburger SV,171,"['34526471-7e4e-402a-b642-1b05c49e13c8', 'ef69021f-ffba-41b8-babb-d69cd6b3c190']",44,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:30:44.271,Pass,True
,,,,,,,,,,,,,,,,,1.601306,,,,,,,,,,,0dcac5bb-d2a6-4368-9ebc-eb27412040e7,1202,,,"[86.9, 58.6]",3890404,30,,,,,-0.925184,,Right Foot,,,"[104.0, 35.9]",High Pass,,28.420063,,Pass Offside,,Gideon Jung,8323.0,,,,,,,1,From Free Kick,Gotoku Sakai,6339.0,Right Back,63,Hamburger SV,171,['7f7bd4ba-d8c4-490f-a3d7-eab2cd78a0f9'],49,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:30:49.417,Pass,
