50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,"[62.8, 9.2]",,,,,,,,,,,2.256669,,,,,,,,,,,,0e45dbcd-074c-4d7f-8b17-059334d372b7,493,,,"[63.4, 5.4]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julian Draxler,3186.0,Left Midfield,26,Wolfsburg,179,"['0699ebdd-5dec-4314-b1a6-50766b6ed3dc', '1a351930-01a0-4e5d-b554-81c08914c615']",31,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:31.643,Carry,
,,,,,"[56.4, 29.1]",,,,,,,,,,,2.069153,,,,,,,,,,,,1d0418ee-dd93-40fc-9180-12af69c3530f,498,,,"[56.3, 23.9]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julian Draxler,3186.0,Left Midfield,26,Wolfsburg,179,"['8c59bd9b-f5df-468d-9a52-c08319463f92', 'b7b5e997-c4d3-412a-9e9f-4556d40dd421']",36,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:36.590,Carry,
,,,,,"[68.1, 66.7]",,,,,,,,,,,1.646772,,,,,,,,,,,,47043d50-3016-4164-8533-4e8fde61f109,501,,,"[63.4, 64.4]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Josuha Guilavogui,8230.0,Right Defensive Midfield,26,Wolfsburg,179,"['af51f5c2-5579-4d81-a2d3-fe7d586191ce', 'b81199de-3d95-411c-97ca-17fbf1569a71']",40,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:40.180,Carry,
,,,,,"[69.0, 51.1]",,,,,,,,,,,2.852178,,,,,,,,,,,,4359d7d0-8c55-46b2-a18c-1e18acca580c,505,,,"[82.7, 63.3]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Adelino André Vieira Freitas,10790.0,Right Midfield,26,Wolfsburg,179,"['287b44ad-5da9-4b87-a708-65c6fa94004d', '891f1601-988b-41e6-a143-72afee63f745', 'b374411b-f17f-4969-a6fb-f98510fe329b']",43,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:43.003,Carry,True
,,,,,"[64.0, 26.1]",,,,,,,,,,,2.788103,,,,,,,,,,,,23dca714-94f9-4a37-9c3a-183cc2fb5555,508,,,"[64.0, 35.9]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,26,Wolfsburg,179,"['1ffccea4-3fab-4a72-b5ca-26e4cbba5ddb', '659bf040-c1ae-4854-8eaa-0a910189e289', 'ae2e877e-b861-4541-94d2-d592cf968ee2']",46,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:46.934,Carry,True
,,,,,"[52.3, 29.5]",,,,,,,,,,,0.434334,,,,,,,,,,,,9f0d8987-6ed8-4a30-89bc-0195cb9433fb,512,,,"[53.1, 30.7]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Dante Bonfim da Costa Santos,3197.0,Left Center Back,26,Wolfsburg,179,"['032471d8-c915-46b4-988a-6595e2b7c88a', '7ab61b5c-94c6-4339-98d8-40c15dbc0d4d']",50,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:50.508,Carry,
,,,,,"[64.0, 19.3]",,,,,,,,,,,1.270946,,,,,,,,,,,,e6e7baa7-3ccd-4ad5-ab2a-34c80740f5cb,515,,,"[57.9, 19.1]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Luiz Gustavo Dias,3545.0,Left Defensive Midfield,26,Wolfsburg,179,"['532f47a9-f640-4aee-bf36-b04a7d171a33', '9966d9f7-57da-41f5-9b06-6f2fb41915ca']",52,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:52.441,Carry,
,,,,,"[73.9, 35.9]",,,,,,,,,,,4.324405,,,,,,,,,,,,ea0ad185-1987-4034-beef-286041286e43,518,,,"[63.2, 26.6]",3890342,11,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Julian Draxler,3186.0,Left Midfield,26,Wolfsburg,179,"['24a00b47-9db4-48c6-803b-269063ff69b3', 'ab95aec7-87a4-44d5-a670-7a0555918442']",55,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:11:55.113,Carry,
,,,,,"[81.7, 30.7]",,,,,,,,,,,0.84635,,,,,,,,,,,,abb407e3-85e5-4ec6-a0ee-fc1b4c8973c7,521,,,"[82.4, 28.8]",3890342,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Max Kruse,8386.0,Left Center Forward,26,Wolfsburg,179,"['1c1921e8-a072-4fe5-92c5-89d00633a07b', 'fc1e8d50-ccae-4346-be9b-b5308da76710']",0,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:12:00.429,Carry,
,,,,,"[118.1, 25.2]",,,,,,,,,,,0.50863,,,,,,,,,,,,5640c58d-6bdd-40a4-b648-fdce76fc1a84,524,,,"[117.8, 24.8]",3890342,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Ricardo Iván Rodríguez Araya,5544.0,Left Back,26,Wolfsburg,179,"['4f0a4378-04c2-447d-adf1-5b863ffd5c1b', 'e4357612-1169-453b-9b52-b028134ef3c1']",4,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:12:04.207,Carry,
,,,,,"[20.9, 43.1]",,,,,,,,,,,0.725237,,,,,,,,,,,,9e8336d0-0de3-4be1-9357-c6e55e9d6123,531,,,"[18.8, 45.1]",3890342,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Diego Orlando Benaglio,4600.0,Goalkeeper,28,Wolfsburg,179,"['f37e0094-4085-47a5-bf2f-f709a0f9ff4d', 'fbc22451-7905-4700-84e3-1616535f77c1']",38,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:12:38.046,Carry,
,,,,,"[34.1, 22.3]",,,,,,,,,,,1.863655,,,,,,,,,,,,293cb3b0-0efb-4cb2-ac80-d0a4e7ecbc3d,534,,,"[28.4, 27.2]",3890342,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Dante Bonfim da Costa Santos,3197.0,Left Center Back,28,Wolfsburg,179,"['39f4273c-a097-4c8f-83a1-0186c29ce046', '3e3c8639-c222-46c5-8a11-a2e664f8f6d7']",40,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:12:40.177,Carry,
,,,,,"[45.2, 9.9]",,,,,,,,,,,0.779676,,,,,,,,,,,,25d4af5e-99c0-4b14-9f96-1d092509bc66,537,,,"[44.6, 10.6]",3890342,12,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ricardo Iván Rodríguez Araya,5544.0,Left Back,28,Wolfsburg,179,"['2c3f6e54-f865-4484-8c62-8b63c015f9e6', '437858bf-edc0-44a6-8d57-2fcaa66af331']",43,,,,,,,,,,,,,,,,,,Wolfsburg,179,00:12:43.531,Carry,
