50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.717346,,,,,,,,,,,,,49c107a2-9971-4b93-8c11-c662faec8938,44,,"[85.1, 78.2]",3890405,0,,,,,-1.6137806,,Left Foot,,,,"[84.7, 68.9]",,Ground Pass,,9.3085985,,,Haris Seferović,5543.0,,,,,,1,Regular Play,Stefan Aigner,21156.0,Right Midfield,6,Eintracht Frankfurt,184,['02bd4d00-12a3-4b7a-b4b9-e3cea43d2f4b'],49,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:49.950,Pass,
,,,,,,,,,,,,,,,,,,0.499338,,,,,,,,,,,,,0422fdbc-82fa-4389-b715-8410dad10cb6,49,,"[78.0, 71.2]",3890405,0,,,,,-1.4898922,,Left Foot,,,,"[78.6, 63.8]",,Ground Pass,,7.4242845,,,Makoto Hasebe,5681.0,,,,,,1,Regular Play,Haris Seferović,5543.0,Right Center Forward,6,Eintracht Frankfurt,184,"['5493980b-eebe-4abd-b63c-6c35f09bc545', 'efa31539-d70f-42de-8a80-d59b0a58c09a']",52,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:52.342,Pass,True
,,,,,,,,,,,,,,,,,,1.749154,,,,,,,,,,,,,ba27059f-0d9b-438f-9f44-7005fe2e225e,55,,"[77.4, 65.5]",3890405,1,,,,,-0.7406006,3b0c1783-4c9b-4752-bd77-57bc0d5ebdd7,Right Foot,,,,"[107.7, 37.8]",,High Pass,,41.05338,,,Haris Seferović,5543.0,True,,,,Free Kick,1,From Free Kick,Marc Stendera,10896.0,Right Defensive Midfield,7,Eintracht Frankfurt,184,['9ceb328e-f4d9-43fd-888f-7d9b5841cfe6'],30,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:30.664,Pass,
,,,,,,,,,,,,,,,,,,3.973857,,,,,,,,,,,,,fafdbe28-2109-47a1-9439-f56f4f0cccf0,63,,"[15.8, 4.7]",3890405,1,,,,,0.43755463,,Left Foot,,,,"[74.8, 32.3]",,High Pass,,65.136475,Incomplete,,Levin Mete Öztunali,8554.0,,,,,,1,Regular Play,Philipp Bargfrede,8390.0,Left Defensive Midfield,8,Werder Bremen,176,"['36b3050c-7242-4949-9728-e61cd3cbb4c1', '3dd225ee-0a8a-49cb-b546-442005588272', 'ecf18e65-ac71-4067-a035-0b9cb4db97a5']",38,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:38.676,Pass,True
,,,,,,,,,,,,,,,,,,2.137468,,,,,,,,,,,,,e949fe48-952d-4b46-855f-63f30da9716f,67,,"[46.7, 43.5]",3890405,1,,,,,-0.37930012,,Head,,,,"[61.0, 37.8]",,High Pass,,15.394155,Incomplete,,,,,,,,Recovery,1,Regular Play,Bastian Oczipka,8504.0,Left Back,8,Werder Bremen,176,['97e1a52f-3eae-4268-951e-62388ebc99f1'],44,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:44.558,Pass,
,,,,,,,,,,,,,,,,,,0.970706,,,,,,,,,,,,,97e1a52f-3eae-4268-951e-62388ebc99f1,68,,"[59.1, 42.3]",3890405,1,,,,,1.1987286,,Head,,,,"[63.9, 54.6]",,High Pass,,13.203408,,,Claudio Miguel Pizarro Bossio,11132.0,,,,,Recovery,1,Regular Play,Clemens Fritz,20010.0,Right Defensive Midfield,8,Werder Bremen,176,"['6fdb6e9d-b9df-4386-8674-453d90dc5512', 'e949fe48-952d-4b46-855f-63f30da9716f']",46,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:46.696,Pass,
,,,,,,,,,,,,,,,,,,0.754772,,,,,,,,,,,,,ab399c7d-1371-42ec-894d-9ceff5ac8247,72,,"[61.8, 42.0]",3890405,1,,,,,-0.27829966,,Right Foot,,,,"[85.6, 35.2]",,Ground Pass,,24.752373,,,Florian Grillitsch,11396.0,,,,,,1,Regular Play,Claudio Miguel Pizarro Bossio,11132.0,Left Center Forward,8,Werder Bremen,176,['0aba7f33-4d36-44f6-bfd6-3b7df38bf056'],50,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:50.931,Pass,
,,,,,,,,,,,,,,,,,,2.945747,,,,,,,,,,,,,321fb38a-c8cb-42d8-8dac-4da6d1ff9316,76,,"[87.0, 36.9]",3890405,1,,,,,0.7447701,,Right Foot,,,,"[106.2, 54.6]",,Ground Pass,,26.113789,Incomplete,,Anthony Ujah,12624.0,,,,,,1,Regular Play,Florian Grillitsch,11396.0,Left Midfield,8,Werder Bremen,176,"['6b5ad263-f704-4cf8-8a9a-139d40a452be', '99f8bc2d-3d65-431c-b70b-f866f4b485ef', 'f92c1761-e85e-4dae-b973-7c549584a13e']",51,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:51.725,Pass,True
,,,,,,,,,,,,,,,,,,2.867614,,,,,,,,,,,,,c04e93a2-95da-4845-a7f1-f0c00cdde323,81,,"[15.6, 28.5]",3890405,2,,,,,0.43091714,,Drop Kick,,,,"[75.2, 55.9]",,High Pass,,65.59665,Incomplete,,,,,,,,,1,From Keeper,Lukáš Hrádecký,8667.0,Goalkeeper,9,Eintracht Frankfurt,184,['7a2ee87e-47c3-4951-a9ba-461c1e6f279b'],3,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:02:03.343,Pass,
,,,,,,,,,,,,,,,,,,2.592692,,,,,,,,,,,,,7a2ee87e-47c3-4951-a9ba-461c1e6f279b,82,,"[44.9, 24.2]",3890405,2,,,,,0.0784901,,Head,,,,"[62.7, 25.6]",,High Pass,,17.85497,Incomplete,,Philipp Bargfrede,8390.0,,,,,Recovery,1,From Keeper,Janek Sternberg,40479.0,Left Back,9,Eintracht Frankfurt,184,"['0fd798b1-c14b-4993-9b47-9304bd11e043', '477e9a86-6458-43de-848a-c613e92c1d30', 'c04e93a2-95da-4845-a7f1-f0c00cdde323']",6,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:06.210,Pass,
