50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.842982,,,,,,,,,,,,,5707229c-f347-4329-b1e7-f1d16b3d0144,50,,"[16.7, 38.0]",3890299,0,,,,-0.31263226,,Right Foot,,,,"[26.6, 34.8]",,Ground Pass,10.404326,,,,Granit Xhaka,3500.0,,,,,,1,From Free Kick,Yann Sommer,5550.0,Goalkeeper,3,Borussia Mönchengladbach,185,['691a5a82-8f4c-447a-a49f-ba4ce5ec76e6'],43,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:43.744,Pass,
,,,,,,,,,,,,,,,,1.724457,,,,,,,,,,,,,2d84f519-beb6-4e16-b4e0-80f4adac7753,53,,"[32.8, 35.9]",3890299,0,,,,-1.2587543,,Left Foot,,,,"[38.8, 17.3]",,Ground Pass,19.543797,,,,Andreas Christensen,3959.0,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Right Defensive Midfield,3,Borussia Mönchengladbach,185,['c2e13ff7-2869-49a0-a41f-d8751e9d0fb0'],48,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:48.064,Pass,
,,,,,,,,,,,,,,,,1.077264,,,,,,,,,,,,,ac80bd38-b411-416e-876a-ada48dc1cbea,56,,"[65.1, 6.1]",3890299,0,,,,-0.2222553,,Right Foot,,,,"[82.8, 2.1]",,Ground Pass,18.146349,,,,Oscar Wendt,8809.0,,,,,,1,From Free Kick,Andreas Christensen,3959.0,Left Center Back,3,Borussia Mönchengladbach,185,['d97babb5-b887-46e2-8de4-f28527d32c0c'],54,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:00:54.816,Pass,
,,,,,,,,,,,,,,,,0.496685,,,,,,,,,,,,,ebc7b177-5e79-47ee-89cc-6eef80c69c22,61,,"[98.0, 2.5]",3890299,1,,,,2.7610862,,Left Foot,,,,"[89.0, 6.1]",,Ground Pass,9.693296,,,,Josip Drmic,5835.0,,,,,,1,From Free Kick,Oscar Wendt,8809.0,Left Back,3,Borussia Mönchengladbach,185,['2d577bba-171d-4a31-94df-93ea7343a1b6'],0,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:00.686,Pass,
,,,,,,,,,,,,,,,,1.222066,,,,,,,,,,,,,ce2c6fd2-dd74-4483-9ce9-61ad8db0e142,64,,"[88.6, 7.0]",3890299,1,,,,2.2926962,,Right Foot,,,,"[80.5, 16.2]",,Ground Pass,12.25765,,,,Granit Xhaka,3500.0,,,,,,1,From Free Kick,Josip Drmic,5835.0,Left Center Forward,3,Borussia Mönchengladbach,185,['f7946583-1780-4316-8315-6f8797eb491f'],2,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:02.333,Pass,
,,,,,,,,,,,,,,,,0.451629,,,,,,,,,,,,,7d1a813e-fb66-449b-a380-11da2f450fec,67,,"[80.5, 16.2]",3890299,1,,,,-1.2732346,,Left Foot,,,,"[82.8, 8.7]",,Ground Pass,7.8447433,,,,Josip Drmic,5835.0,,,,,,1,From Free Kick,Granit Xhaka,3500.0,Right Defensive Midfield,3,Borussia Mönchengladbach,185,['dbe8fdc4-a2f0-4cda-9301-16cee8b1f35f'],4,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:04.140,Pass,
,,,,,,,,,,,,,,,,0.899349,,,,,,,,,,,,,79ce777f-6ff8-4202-978b-e251cb36b48a,70,,"[83.5, 10.0]",3890299,1,,,,1.6715182,,Right Foot,,,,"[81.6, 28.8]",,Ground Pass,18.895767,,,,Thorgan Hazard,5632.0,,,,,,1,From Free Kick,Josip Drmic,5835.0,Left Center Forward,3,Borussia Mönchengladbach,185,['b51d814f-f22d-454f-99f2-a636f241fc5a'],5,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:05.250,Pass,
,,,,,,,,,,,,,,,,1.958036,,,,,,,,,,,,,c48a9253-9628-47a8-afc1-56265e83f62c,74,,"[74.3, 37.4]",3890299,1,,,,1.6717181,,Right Foot,,,,"[71.1, 69.0]",,Ground Pass,31.761612,,,,Tony Jantschke,12320.0,,,,,,1,From Free Kick,Thorgan Hazard,5632.0,Left Midfield,3,Borussia Mönchengladbach,185,"['98ef3974-8902-4185-8732-b7601c0c551b', 'd3c17f66-c48d-4834-aa21-feb1752e7df8']",8,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:08.125,Pass,True
,,,,,,,,,,,,,,,,1.460955,,,,,,,,,,,,,a5895427-7416-4ed9-a730-89bdfa4f01fc,77,,"[71.9, 69.2]",3890299,1,,,,0.4847925,,Left Foot,,,,"[85.0, 76.1]",,Ground Pass,14.80608,,,,Ibrahima Traoré,11285.0,,,,,,1,From Free Kick,Tony Jantschke,12320.0,Right Back,3,Borussia Mönchengladbach,185,['9627e08d-2d1f-40cc-886c-1f14fb3e5a10'],10,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:01:10.273,Pass,
,,,,,,,,,,,,,,,,1.517841,,,,,,,,,,,,,26b64902-044c-41e2-a7b3-7eb5aed9163b,85,,"[9.9, 4.4]",3890299,1,,,,1.6865555,,Left Foot,,,,"[8.4, 17.3]",,Ground Pass,12.986917,,,,Dominique Heintz,8828.0,,,,,,1,Regular Play,Jonas Hector,6040.0,Left Back,4,FC Köln,186,['8301b30e-353b-4266-a4cc-addd79cd0a5e'],17,,,,,,,,,,,,,,,,,FC Köln,186,00:01:17.380,Pass,
