50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.119999,,,,,,,,,,,,,,,5652ce23-0453-4a14-8612-2cb6f7c8ba7f,48,,"[39.1, 5.3]",3890280,0,,,,2.325747,,Left Foot,,,,"[20.0, 25.6]",,Ground Pass,,27.872927,,,,,René Adler,8560.0,,,,,,,1,Regular Play,Matthias Ostrzolek,8547.0,Left Back,3,Hamburger SV,171,['4d99ffd6-79af-4a75-8b29-b53c19e8c0c6'],46,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:46.668,Pass,
,,,,,,,,,,,,,,,,,1.888999,,,,,,,,,,,,,,,91c70c3d-6e62-4fa4-b89c-d3479c2d37d6,51,,"[23.1, 28.7]",3890280,0,,,,1.361411,,Left Foot,,,,"[29.9, 60.7]",,Ground Pass,,32.714523,,,,,Cleber Janderson Pereira Reis,40468.0,,,,,,,1,Regular Play,René Adler,8560.0,Goalkeeper,3,Hamburger SV,171,['89dde4f3-c1c6-4cf6-8106-4b08c864cde2'],50,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:50.473,Pass,
,,,,,,,,,,,,,,,,,1.2979,,,,,,,,,,,,,,,7c4f2728-beb0-4a90-a99d-fd4cc168160f,54,,"[34.9, 61.8]",3890280,0,,,,0.9930875,,Right Foot,,,,"[45.2, 77.6]",,Ground Pass,,18.860806,,,,,Dennis Diekmeier,8316.0,,,,,,,1,Regular Play,Cleber Janderson Pereira Reis,40468.0,Right Center Back,3,Hamburger SV,171,['9c46bbca-9058-4506-b510-a53c51233c89'],53,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:53.848,Pass,
,,,,,,,,,,,,,,,,,1.0682,,,,,,,,,,,,,,,d3d69db4-e2cf-447d-8cef-ad4caabfef33,57,,"[44.6, 77.2]",3890280,0,,,,-1.6128768,,Right Foot,,,,"[44.2, 67.7]",,Ground Pass,,9.508417,,,,,Gideon Jung,8323.0,,,,,,,1,Regular Play,Dennis Diekmeier,8316.0,Right Back,3,Hamburger SV,171,['b7b66ea9-46d5-4f64-95b4-b12e938fd11b'],55,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:55.277,Pass,
,,,,,,,,,,,,,,,,,0.7324,,,,,,,,,,,,,,,cfebdb6c-3fc2-494c-9f99-03dbe9268dd6,60,,"[44.4, 68.3]",3890280,0,,,,0.4027474,,Right Foot,,,,"[61.3, 75.5]",,Ground Pass,,18.369812,,,,,Michael Gregoritsch,8309.0,,,,,,,1,Regular Play,Gideon Jung,8323.0,Right Defensive Midfield,3,Hamburger SV,171,['efa482e5-e8a6-4e9e-aaa1-26c96b7949ba'],56,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:56.425,Pass,
,,,,,,,,,,,,,,,,,0.7617,,,,,,,,,,,,,,,f97d8d9c-e0ec-491c-a25d-db33c0f75fc5,64,,"[61.7, 75.5]",3890280,0,,,,1.9631364,,Left Foot,,,,"[60.5, 78.4]",,Low Pass,,3.138471,,,,,Dennis Diekmeier,8316.0,,,,,,,1,Regular Play,Michael Gregoritsch,8309.0,Right Midfield,3,Hamburger SV,171,"['707bb9c6-cd1f-464c-a5e3-9f91646bab00', 'be3d9766-3c9b-4a15-9e3a-3e94717de694']",57,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:57.198,Pass,True
,,,,,,,,,,,,,,,,,1.708866,,,,,,,,,,,,,,,7e17e545-66ef-43b2-92c1-88bf30525869,67,,"[62.4, 76.6]",3890280,0,,,,-0.15545201,,Left Foot,,,,"[75.8, 74.5]",,High Pass,,13.563554,,,Incomplete,,Lewis Harry Holtby,8891.0,,,,,,,1,Regular Play,Dennis Diekmeier,8316.0,Right Back,3,Hamburger SV,171,"['8530359f-8e12-474d-8228-ae0949c6eebf', '93fd77b8-6949-4a02-918f-b18a68a6052d']",58,,,,,,,,,,,,,,,,Hamburger SV,171,00:00:58.000,Pass,
,,,,,,,,,,,,,,,,,1.399033,,,,,,,,,,,,,,,93fd77b8-6949-4a02-918f-b18a68a6052d,70,,"[44.3, 5.6]",3890280,0,,,True,-0.10014236,,,,,,"[65.2, 3.5]",,Low Pass,,21.005238,,,Incomplete,,Leonardo Bittencourt,8826.0,,,,,,Interception,1,Regular Play,Dominique Heintz,8828.0,Left Center Back,3,Hamburger SV,171,"['0a22d2bf-e6d1-4b3f-b7db-ed77645784b4', '7e17e545-66ef-43b2-92c1-88bf30525869', '95270290-7145-4c24-a736-b2c2956f7537', 'c7e4496f-4473-4778-9753-576bfca6a636']",59,,,,,,,,,,,,,,,,FC Köln,186,00:00:59.708,Pass,True
,,,,,,,,,,,,,,,,,1.031799,,,,,,,,,,,,,,,7ecab369-d8fa-4524-8774-b81c66fee209,75,,"[51.6, 76.6]",3890280,1,,,,3.0466409,,Left Foot,,,,"[41.1, 77.6]",,Ground Pass,,10.547511,,,,,Cleber Janderson Pereira Reis,40468.0,,,,,,,1,Regular Play,Gideon Jung,8323.0,Right Defensive Midfield,3,Hamburger SV,171,"['39dbb55c-fd9f-4183-a879-8db8a3e04229', 'd1f603d0-09f6-411a-bcfe-ee31e52248c6']",3,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:03.519,Pass,True
,,,,,,,,,,,,,,,,,0.222694,,,,,,,,,,,,,,,001d63ff-7fef-47f3-a651-3ab52cc13fd8,78,,"[44.8, 77.6]",3890280,1,,,,-0.13706617,,Right Foot,,,,"[50.6, 76.8]",,Ground Pass,,5.8549123,,,Incomplete,,Michael Gregoritsch,8309.0,,,,,,,1,Regular Play,Cleber Janderson Pereira Reis,40468.0,Right Center Back,3,Hamburger SV,171,"['0251b840-ce2e-479c-bd40-e00347f437d5', '51f15521-db2f-4161-80df-112a8794c950']",6,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:06.356,Pass,
