50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,True,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,,,f092adcd-be8c-4402-af4a-7079b1013683,170,,,"[47.6, 5.1]",3890285,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Patrick Herrmann,8813.0,Right Midfield,11,Werder Bremen,176,['0a60f356-24d8-4887-b7fb-dc82f98f8c6f'],13,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:04:13.162,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,130c78cf-cb76-4818-8fb0-19b57081bc0b,191,,,"[59.4, 5.3]",3890285,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Anthony Ujah,12624.0,Left Center Forward,13,Werder Bremen,176,['ac4d220f-2453-4c8f-af96-d70a4ec7217b'],47,,,,,,,,,,,,,,,,,Werder Bremen,176,00:04:47.954,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,f8707b7d-9cfe-4ed5-874a-681b263d0b2e,247,,,"[83.4, 3.7]",3890285,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Oscar Wendt,8809.0,Left Back,15,Werder Bremen,176,['0d827493-2dd4-4283-b7f2-ae1a38812125'],49,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:05:49.394,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.060046,,,,,,,,,,,,,,,33e093b4-95fe-47d1-b7d1-b6876fd6841c,279,,,"[47.9, 77.6]",3890285,6,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Tony Jantschke,12320.0,Right Back,17,Borussia Mönchengladbach,185,['15348114-3c5e-4c52-a660-b23a6d93c57b'],29,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:06:29.514,Duel,True
,,,,,,,,,,,True,,,Lost Out,Tackle,0.0,,,,,,,,,,,,,,,8de242a6-3a55-4988-9c78-b9172d4fc0b4,430,,,"[49.6, 5.8]",3890285,9,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Santiago García,26359.0,Left Back,28,Borussia Mönchengladbach,185,['cf10683c-e32e-4b86-8ff3-8297b1a066e8'],46,,,,,,,,,,,,,,,,,Werder Bremen,176,00:09:46.761,Duel,True
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,bdaf94c9-5ccc-4a81-b5b0-abb0cb672ac8,490,,,"[16.8, 31.2]",3890285,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Philipp Bargfrede,8390.0,Center Defensive Midfield,29,Borussia Mönchengladbach,185,['25ee31b5-7b73-4670-ba34-1f9cfe448d2b'],45,,,,,,,,,,,,,,,,,Werder Bremen,176,00:10:45.059,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,1fdbf26c-df3a-4bba-bda3-d355255a9446,505,,,"[63.5, 70.7]",3890285,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Thorgan Hazard,5632.0,Right Midfield,30,Borussia Mönchengladbach,185,['a434de35-ee42-4725-acff-14417203043c'],19,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:11:19.325,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,c1635688-f738-4c61-98e9-4a448bd00551,507,,,"[86.1, 12.8]",3890285,11,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Aron Jóhannsson,8402.0,Right Center Forward,30,Borussia Mönchengladbach,185,['2bde8942-e60b-444e-860a-c1af4a4390a3'],21,,,,,,,,,,,,,,,,,Werder Bremen,176,00:11:21.506,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,b432339a-9642-411d-96a0-7885287373fb,562,,,"[45.6, 20.0]",3890285,12,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Granit Xhaka,3500.0,Left Defensive Midfield,33,Werder Bremen,176,['979afce4-d360-43d3-b9b5-e641a509a68c'],25,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:12:25.210,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,0be84a8c-e239-4a7f-87b5-a3cf778d5de5,572,,,"[112.2, 31.4]",3890285,13,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Theodor Gebre Selassie,8396.0,Right Back,34,Werder Bremen,176,['b7e45638-21a5-40b7-b5d0-eded69a50d2b'],14,,,,,,,,,,,,,,,,,Werder Bremen,176,00:13:14.696,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,6cda9c24-d798-47aa-a25e-4fe6dc9b93f4,616,,,"[89.9, 40.6]",3890285,15,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Anthony Ujah,12624.0,Left Center Forward,38,Werder Bremen,176,['450939c9-5463-4c99-a6e3-ba6b967a8a33'],3,,,,,,,,,,,,,,,,,Werder Bremen,176,00:15:03.701,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,499cb4c9-2238-4176-983a-4e35b4e3a596,655,,,"[51.4, 53.2]",3890285,16,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Roel Brouwers,400654.0,Right Center Back,40,Werder Bremen,176,['cc2eef49-63bf-4852-bcc6-a1f8d30b5856'],23,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:16:23.822,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,be696f17-0879-43a2-a493-cd20ecd6989b,717,,,"[110.5, 25.1]",3890285,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Lars Edi Stindl,8806.0,Right Center Forward,42,Borussia Mönchengladbach,185,['129282fa-adac-4945-955a-2d9b55af6e57'],27,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:17:27.273,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,9b6fcf77-a555-46f9-9447-b7d92aba35b6,727,,,"[95.4, 41.1]",3890285,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anthony Ujah,12624.0,Left Center Forward,43,Werder Bremen,176,['1bc46d72-dd62-4902-8e95-f2768825376f'],37,,,,,,,,,,,,,,,,,Werder Bremen,176,00:17:37.722,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,814fdaa5-f85f-4092-b7f0-271cc709edb6,738,,,"[112.6, 48.6]",3890285,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Anthony Ujah,12624.0,Left Center Forward,43,Werder Bremen,176,['b208ec0d-f608-40b4-ab6e-34539e60c5a3'],45,,,,,,,,,,,,,,,,,Werder Bremen,176,00:17:45.992,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,2466f954-a3ff-4236-9365-2ab60127bafe,856,,,"[66.5, 66.3]",3890285,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Philipp Bargfrede,8390.0,Center Defensive Midfield,51,Borussia Mönchengladbach,185,['b2b323ac-49bc-40c7-9124-795838b22b23'],45,,,,,,,,,,,,,,,,,Werder Bremen,176,00:21:45.320,Duel,True
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,b191314e-cc05-46eb-9b72-fd7d0278f303,862,,,"[42.5, 51.4]",3890285,21,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Assani Lukimya-Mulongoti,51388.0,Right Center Back,52,Borussia Mönchengladbach,185,['c088fe01-4f07-41f7-931a-7ff315877a60'],57,,,,,,,,,,,,,,,,,Werder Bremen,176,00:21:57.880,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,667d4369-7f6b-417b-89e0-6605789b404b,868,,,"[83.3, 28.5]",3890285,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Anthony Ujah,12624.0,Left Center Forward,53,Werder Bremen,176,['f8d3112c-4caa-424b-9371-b855678faa5d'],25,,,,,,,,,,,,,,,,,Werder Bremen,176,00:22:25.364,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,bb0e0eef-e600-4cc0-bf4c-d52047da6617,870,,,"[77.1, 31.4]",3890285,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Zlatko Junuzović,8762.0,Center Attacking Midfield,53,Werder Bremen,176,['665a6734-0538-474f-9755-15a9873e7e4b'],27,,,,,,,,,,,,,,,,,Werder Bremen,176,00:22:27.540,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,d68ccad4-51cb-4b31-8bf8-928b40b78129,941,,,"[9.7, 50.9]",3890285,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Roel Brouwers,400654.0,Right Center Back,58,Werder Bremen,176,['3bd978d2-01d8-46e7-9e4e-27d2ec959e3b'],33,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:25:33.021,Duel,True
,,,,,,,,,,,,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,69448d89-79b4-4dd8-9be6-2a263418486d,951,,,"[14.8, 1.0]",3890285,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Patrick Herrmann,8813.0,Left Midfield,59,Werder Bremen,176,['108a27d7-08a1-4e7c-8424-4defdd8752fa'],55,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:25:55.804,Duel,True
,,,,,,,,,,,True,,,Success In Play,Tackle,0.0,,,,,,,,,,,,,,,d4dc3654-0cb3-4d0b-8873-cd85279089eb,956,,,"[102.4, 78.6]",3890285,25,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,59,Werder Bremen,176,['b97952c9-393d-4f3f-a910-d4e12c51f0ae'],57,,,,,,,,,,,,,,,,,Werder Bremen,176,00:25:57.623,Duel,True
,,,,,,,,,,,,,,,Aerial Lost,0.0,,,,,,,,,,,,,,,7e31adaa-ca79-4d37-a030-08f4af0dac25,977,,,"[7.1, 40.3]",3890285,26,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Granit Xhaka,3500.0,Left Defensive Midfield,59,Werder Bremen,176,['079cf7ad-5b8b-4c56-9045-e81d46199365'],19,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:26:19.197,Duel,True
