50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[73.4, 39.5]",,,,,,,,,,,,3.073324,,,,,,,,,,,,,,e3269223-59b9-4065-a307-520303e59745,2512,,,"[68.9, 20.5]",3890366,69,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Daniel Baier,8317.0,Left Defensive Midfield,149,Augsburg,172,"['0d43e8ba-e346-4817-bc9e-073f6d5bd1e0', 'd21e4cf3-899c-4225-bce9-863a48dc8482']",41,,,,,,,,,,,,,,,,,,Augsburg,172,00:24:41.726,Carry,
,,,,,,"[82.6, 52.6]",,,,,,,,,,,,0.079999,,,,,,,,,,,,,,c47a5067-a004-420d-b18a-20b13fae27b1,2515,,,"[82.4, 51.7]",3890366,69,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dong-Won Ji,12302.0,Right Center Forward,149,Augsburg,172,"['049fea7d-fae7-4f09-a1bb-27ea29c9707f', '3fb311df-66e4-40a0-9672-27f21963c1af']",46,,,,,,,,,,,,,,,,,,Augsburg,172,00:24:46.067,Carry,
,,,,,,"[70.4, 61.8]",,,,,,,,,,,,1.303202,,,,,,,,,,,,,,b39e4a50-c8a2-4090-9eab-ce5a4eec8dcd,2518,,,"[67.2, 57.7]",3890366,69,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Jan-Ingwer Callsen-Bracker,22826.0,Right Center Back,149,Augsburg,172,"['2ce5b32c-3014-4b6c-9b7a-cbb972f24a33', '5b61954e-243d-4a8f-9b2a-4a5bc3780d18']",47,,,,,,,,,,,,,,,,,,Augsburg,172,00:24:47.445,Carry,
,,,,,,"[85.4, 78.2]",,,,,,,,,,,,0.896611,,,,,,,,,,,,,,5a59f12c-0e8c-47a0-a77e-b109d8f4b0a9,2521,,,"[85.4, 78.7]",3890366,69,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Paul Verhaegh,8237.0,Right Back,149,Augsburg,172,"['70a10433-3cfc-4fec-9d0c-e9e8b11080f1', 'dcadbb94-a270-4db8-bc85-36888f61348a']",50,,,,,,,,,,,,,,,,,,Augsburg,172,00:24:50.119,Carry,
,,,,,,"[110.0, 75.9]",,,,,,,,,,,,0.721246,,,,,,,,,,,,,,fa19e687-b639-4526-af26-25a4bd5d4602,2524,,,"[101.6, 76.3]",3890366,69,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Alexander Esswein,8574.0,Right Midfield,149,Augsburg,172,"['c21f37e1-fb95-4eb2-812f-61604ac49871', 'dc59fa23-b466-4b2b-b056-23271bd52fb6']",52,,,,,,,,,,,,,,,,,,Augsburg,172,00:24:52.579,Carry,
,,,,,,"[56.7, 65.0]",,,,,,,,,,,,0.964246,,,,,,,,,,,,,,b8e7c430-57e9-4431-865a-a106b761b179,2537,,,"[56.5, 65.0]",3890366,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Dong-Won Ji,12302.0,Right Center Forward,150,Werder Bremen,176,"['68d8251b-67c5-4028-899e-212f0423a1ad', '9f428114-90a1-4392-ac25-7f8146720e2c', 'c520d461-6f23-4eca-8c51-7a1df3f4829f']",36,,,,,,,,,,,,,,,,,,Augsburg,172,00:25:36.020,Carry,True
,,,,,,"[79.2, 16.8]",,,,,,,,,,,,1.361899,,,,,,,,,,,,,,43ca56ea-5bae-4f45-a91b-92ea7e52714f,2556,,,"[78.6, 11.7]",3890366,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Felix Kroos,9178.0,Left Center Midfield,151,Werder Bremen,176,"['41261e1b-ebe6-4d6c-b0d6-39d9416db04c', 'b21ac0ec-cea7-4765-8435-bd657798d630']",57,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:25:57.943,Carry,
,,,,,,"[34.7, 60.9]",,,,,,,,,,,,1.862186,,,,,,,,,,,,,,58982a06-e450-434a-b362-bcedeb0b4ad0,2560,,,"[29.8, 60.1]",3890366,70,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Daniel Baier,8317.0,Left Defensive Midfield,151,Werder Bremen,176,"['256e4357-a46e-46ec-a247-a8bf1e5eaceb', '63bd88b4-cc30-4a56-b8a6-07cdc0bb70b0', 'e6a161f4-8245-4965-ad63-6181c937a0d8']",59,,,,,,,,,,,,,,,,,,Augsburg,172,00:25:59.715,Carry,True
,,,,,,"[49.9, 0.6]",,,,,,,,,,,,1.644391,,,,,,,,,,,,,,9954009c-ee3e-47e3-ac8d-46b6fd153333,2565,,,"[52.3, 8.9]",3890366,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Jannik Vestergaard,8815.0,Left Center Back,151,Werder Bremen,176,"['5341b6b2-7cef-4677-80a1-9ab178ca4859', '864f21c4-3fad-441d-9a8f-e806e4ef27d3', 'aadc3624-0c53-471d-9434-ff8ab8c1a2c2']",3,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:26:03.253,Carry,True
,,,,,,"[68.1, 11.9]",,,,,,,,,,,,1.307077,,,,,,,,,,,,,,8e740feb-571f-47ff-8937-f5bf3e61bbbe,2572,,,"[71.1, 20.9]",3890366,71,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Fin Bartels,8389.0,Right Midfield,152,Werder Bremen,176,"['5722af9f-6fe6-4074-b08f-6d791ed91adb', '708828b7-ee7e-4169-a3b2-c393ce003705', 'b83f6513-c92b-46b1-a11b-4ebd64cbcad1']",17,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:26:17.471,Carry,True
