50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.244537,,,,,,,,,,,,,,,,,20045aa9-d3a6-40ba-8e4e-4cceba1c5d08,60,,"[111.9, 0.1]",3890265,1,,,,1.3323642,,,,,"[115.4, 14.5]",Low Pass,,14.819244,,,Salomon Armand Magloire Kalou,8575.0,,,,,Throw-in,1,From Throw In,Marvin Plattenhardt,5569.0,Left Back,6,Hertha Berlin,173,['d4fd9603-d4d7-40ba-9b45-d0bb62d357af'],6,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:06.973,Pass,
,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,,af8d3e94-a622-41f9-97bd-af1a2455be41,63,,"[115.4, 14.5]",3890265,1,,,,-2.0111923,,Right Foot,,,"[111.3, 5.8]",Ground Pass,,9.617692,,,Marvin Plattenhardt,5569.0,,,,,,1,From Throw In,Salomon Armand Magloire Kalou,8575.0,Center Forward,6,Hertha Berlin,173,['3b43ff69-868a-451c-8ab6-a484c0aa66ef'],8,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:08.282,Pass,
,,,,,,,,,,,,,,,,,1.059369,,,,,,,,,,,,,,,,,dfa2db7e-8b8b-490d-a58f-919facd15e64,67,,"[115.2, 6.0]",3890265,1,,,,1.541393,,Left Foot,True,,"[116.0, 33.2]",High Pass,,27.211761,Incomplete,,,,,,,,,1,From Throw In,Marvin Plattenhardt,5569.0,Left Back,6,Hertha Berlin,173,"['651b91dc-a044-4162-8687-81e25f9b2816', 'e04d7651-4389-43bd-9702-21d8d1f038f7']",12,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:12.032,Pass,True
,,,,,,,,,,,,,,,,,1.289915,,,,,,,,,,,,,,,,,db042d1d-d9b1-4499-8f8d-6d9de2be3adf,69,,"[120.0, 0.1]",3890265,1,,,,1.6516254,,Right Foot,,,"[117.1, 35.9]",High Pass,True,35.917267,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Vladimír Darida,8579.0,Right Center Midfield,7,Hertha Berlin,173,['06071438-e12b-4842-a59f-510becbed237'],34,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:34.180,Pass,
,,,,,,,,,,,,,,,,,1.738235,,,,,,,,,,,,,,,,,22905d1f-9cd8-48a1-a3d8-7337a422d111,72,,"[8.5, 38.9]",3890265,1,,,,1.3784475,,Left Foot,,,"[13.7, 65.6]",Ground Pass,,27.201654,,,Jeong-Ho Hong,40543.0,,,,,Free Kick,1,From Free Kick,Marwin Hitz,8314.0,Goalkeeper,8,Augsburg,172,['8f6a8cbf-d458-4c3c-a3c3-4c0b04171136'],56,,,,,,,,,,,,,,,,,,Augsburg,172,00:01:56.604,Pass,
,,,,,,,,,,,,,,,,,0.40131,,,,,,,,,,,,,,,,,3149bc05-76f3-45ee-bfca-cb1336167263,76,,"[13.4, 71.2]",3890265,1,,,,-0.1798535,,Right Foot,,,"[15.6, 70.8]",Ground Pass,,2.236068,Incomplete,,Paul Verhaegh,8237.0,,,,,,1,From Free Kick,Jeong-Ho Hong,40543.0,Right Center Back,8,Augsburg,172,"['5293ea4f-4a06-40f4-be1b-b762096589f8', '635d0489-9ac7-4cd2-bcc1-6c49e4e4f69e', 'ddb85d38-8223-428a-93ef-78ee5f2cc21e']",59,,,,,,,,,,,,,,,,,,Augsburg,172,00:01:59.589,Pass,True
,,,,,,,,,,,,,,,,,3.628268,,,,,,,,,,,,,,,,,205fca49-c732-4dca-9132-5bf55dd56731,79,,"[16.2, 80.0]",3890265,2,,,,-0.26060238,,,,,"[50.7, 70.8]",High Pass,,35.7056,Unknown,,Raúl Marcelo Bobadilla,8807.0,,,,,Throw-in,1,From Throw In,Paul Verhaegh,8237.0,Right Back,9,Augsburg,172,['235a779f-9c0e-4304-b872-8055a9b573bb'],17,,,,,,,,,,,,,,,,,,Augsburg,172,00:02:17.318,Pass,
,,,,,,,,,,,,,,,,,2.4,,,,,,,,,,,,,,,,,26419a68-979b-419c-a8b4-23e697ee0c74,83,,"[70.8, 9.9]",3890265,2,True,,,2.2893572,,Right Foot,,,"[47.8, 36.2]",Ground Pass,,34.938374,,,Sebastian Langkamp,8580.0,,,,,Free Kick,1,From Free Kick,Per Ciljan Skjelbred,8578.0,Center Defensive Midfield,10,Hertha Berlin,173,['f6f6f2bf-20a7-44d8-92fc-9d298f68e5dd'],31,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:31.284,Pass,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,be5bdf9b-4082-43dc-b82a-97b98a5f719f,85,,"[47.8, 36.2]",3890265,2,,,,-1.8906349,,Right Foot,,,"[42.6, 20.5]",Ground Pass,,16.538742,,,Fabian Lustenberger,8965.0,,,,,,1,From Free Kick,Sebastian Langkamp,8580.0,Right Center Back,10,Hertha Berlin,173,['3ce91c4d-9b9c-4430-bef0-bb990439b8e9'],36,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:36.271,Pass,
,,,,,,,,,,,,,,,,,1.6,,,,,,,,,,,,,,,,,1c969956-866c-48ab-8d51-1f266285dc62,88,,"[42.6, 20.5]",3890265,2,,,,2.585494,,Right Foot,,,"[13.8, 38.4]",Ground Pass,,33.90944,,,Thomas Kraft,17313.0,,,,,,1,From Free Kick,Fabian Lustenberger,8965.0,Left Center Back,10,Hertha Berlin,173,['db51a036-b2ca-451d-b7a4-065661483ec7'],39,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:39.160,Pass,
,,,,,,,,,,,,,,,,,2.255775,,,,,,,,,,,,,,,,,c29a117f-c0e9-4fcc-948f-77b5c47c8510,91,,"[22.1, 32.3]",3890265,2,,,,-0.17662965,,Left Foot,,,"[65.8, 24.5]",High Pass,,44.39065,,,Jens Hegeler,40474.0,,,,,,1,From Free Kick,Thomas Kraft,17313.0,Goalkeeper,10,Hertha Berlin,173,['38ce040e-eda8-4109-a16e-835874129a16'],45,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:45.170,Pass,
,,,,,,,,,,,,,,,,,2.013631,,,,,,,,,,,,,,,,,839e3db1-f735-4ba6-b1a8-28c0a5bc280e,94,,"[65.8, 24.5]",3890265,2,,,True,0.13365224,,,,,"[77.7, 26.1]",High Pass,,12.007081,,,Valentin Stocker,9721.0,,,,,,1,From Free Kick,Jens Hegeler,40474.0,Left Center Midfield,10,Hertha Berlin,173,"['1d2c3750-f2b9-4b3f-aedd-ab4a0f6c4a21', 'e3ed92bf-24a4-40eb-a482-5d08c41aef8d']",47,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:47.506,Pass,True
,,,,,,,,,,,,,,,,,1.612264,,,,,,,,,,,,,,,,,957f29f1-890a-42c7-b3fe-9428024da21a,97,,"[77.7, 26.1]",3890265,2,,,True,0.089049585,,,,,"[88.9, 27.1]",High Pass,,11.2445545,Incomplete,,Salomon Armand Magloire Kalou,8575.0,,,,,,1,From Free Kick,Valentin Stocker,9721.0,Left Midfield,10,Hertha Berlin,173,"['0c2e1865-aeb7-41eb-8c97-c5d248ea031c', '7ec14ebf-400d-43dd-96f4-8c1dc62eb40f', 'bbab7919-ee66-4bd2-8e5a-dd5ce6037f25']",49,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:49.520,Pass,True
,,,,,,,,,,,,,,,,,1.906347,,,,,,,,,,,,,,,,,bbab7919-ee66-4bd2-8e5a-dd5ce6037f25,100,,"[31.2, 53.0]",3890265,2,,,True,0.84781694,,,,,"[43.2, 66.6]",High Pass,,18.137255,,,Alexander Esswein,8574.0,,,,,Recovery,1,From Free Kick,Ragnar Klavan,4174.0,Left Center Back,10,Hertha Berlin,173,"['07158dc9-8ad0-41f9-9ed7-164cf2051fe7', '594d73f8-75ee-458e-9d18-7d562537940f', '957f29f1-890a-42c7-b3fe-9428024da21a']",51,,,,,,,,,,,,,,,,,,Augsburg,172,00:02:51.132,Pass,True
,,,,,,,,,,,,,,,,,0.68546,,,,,,,,,,,,,,,,,49ee1b44-2a90-4b53-82fd-b179a6f8411d,105,,"[84.5, 15.3]",3890265,2,,,,-1.3854483,,Right Foot,,,"[85.1, 12.1]",Ground Pass,,3.255764,,,Jens Hegeler,40474.0,,,,,Recovery,1,From Free Kick,Marvin Plattenhardt,5569.0,Left Back,10,Hertha Berlin,173,"['48660f7a-835a-45ad-afa6-10b3e6283c2d', 'd6e4fd08-b15c-4021-97a6-14ff5a1b11d4']",53,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:53.962,Pass,True
,,,,,,,,,,,,,,,,,1.204931,,,,,,,,,,,,,,,,,2bb957ca-72f7-43a1-b4b5-3562be974955,109,,"[85.9, 10.5]",3890265,2,,,,-0.2148154,,Right Foot,,,"[91.4, 9.3]",Ground Pass,,5.6293874,,,Marvin Plattenhardt,5569.0,,,,,,1,From Free Kick,Jens Hegeler,40474.0,Left Center Midfield,10,Hertha Berlin,173,"['6b588c71-1b6b-42d6-a2b5-a68a0ae8d989', 'bee6217f-de2f-4b1c-ac78-9dfac78b9dad']",55,,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:02:55.631,Pass,True
