bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.127552,,,,,,,,,,,512afc85-017f-45ff-b350-54f2c03d85dd,46,,,"[39.8, 13.9]",3890414,0,,,,,0.07677189,,Left Foot,,,,"[42.4, 14.1]",Low Pass,,2.607681,Incomplete,,,,,,,,,1,Regular Play,Dong-Won Ji,12302.0,Center Attacking Midfield,3,Augsburg,172,"['73e3d441-abe0-4d03-b91f-a4f2b78866e1', 'dd4382fd-bf3e-4ff1-8cec-925f4f39d21b']",33,,,,,,,,,,,,,,,,,Augsburg,172,00:00:33.432,Pass,True
,,,,,,,,,,,,,,,,,1.112169,,,,,,,,,,,356a8c35-086a-4054-b7ef-7de4dbcf37f6,48,,,"[36.0, 13.6]",3890414,0,,,,,1.5220544,,Head,,,,"[36.4, 21.8]",High Pass,,8.20975,,,Daniel Baier,8317.0,,,,,Recovery,1,Regular Play,Dong-Won Ji,12302.0,Center Attacking Midfield,3,Augsburg,172,['88dcb278-9d72-4f01-ac84-9fed548d6070'],35,,,,,,,,,,,,,,,,,Augsburg,172,00:00:35.316,Pass,
,,,,,,,,,,,,,,,,,1.732398,,,,,,,,,,,af3bab40-d6f5-4594-82a4-347e03764972,52,,,"[39.0, 22.8]",3890414,0,,,,,-2.212269,,Right Foot,,,,"[27.2, 7.0]",Low Pass,,19.720041,,,Philipp Max,8319.0,,,,,,1,Regular Play,Daniel Baier,8317.0,Left Defensive Midfield,3,Augsburg,172,"['bfd9969c-6628-4135-a8ac-0fa0592724e3', 'e6677f91-2bdd-4ed7-a6fe-621df94e4140']",36,,,,,,,,,,,,,,,,,Augsburg,172,00:00:36.929,Pass,True
,,,,,,,,,,,,,,,,,2.412383,,,,,,,,,,,5eba7543-32bb-4db8-b571-b413db2b4dea,56,,,"[28.5, 2.5]",3890414,0,,,,,-0.073460646,,Left Foot,,,,"[51.6, 0.8]",High Pass,,23.16247,Out,,,,,,,,,1,Regular Play,Philipp Max,8319.0,Left Back,3,Augsburg,172,['6c97a347-1132-46d6-9695-44fa2fc80da9'],38,,,,,,,,,,,,,,,,,Augsburg,172,00:00:38.877,Pass,True
,,,,,,,,,,,,,,,,,0.861838,,,,,,,,,,,b2d32419-d25d-4048-9b5c-29362cbb9058,57,,,"[70.0, 80.0]",3890414,0,,,,,-1.7174628,,,,,,"[68.7, 71.2]",Low Pass,,8.895505,,,Per Ciljan Skjelbred,8578.0,,,,,Throw-in,1,From Throw In,Mitchell Weiser,8576.0,Right Back,4,Hertha Berlin,173,['20ce8b6f-52e7-4bc8-8df9-7e4d0f39fffb'],47,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:47.646,Pass,
,,,,,,,,,,,,,,,,,1.039731,,,,,,,,,,,749bb6e1-250f-4f22-bc4b-adf134b00ec3,60,,,"[68.7, 71.4]",3890414,0,,,,,1.3494819,,Right Foot,,,,"[69.6, 75.4]",Ground Pass,,4.1,,,Mitchell Weiser,8576.0,,,,,,1,From Throw In,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,4,Hertha Berlin,173,['bacd234c-f47d-4248-8c26-424d2154d95e'],48,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:48.584,Pass,
,,,,,,,,,,,,,,,,,0.729966,,,,,,,,,,,5339787d-aab5-495b-bfeb-878ef5ee8a5d,63,,,"[70.0, 75.7]",3890414,0,,,,,-2.0344439,,Right Foot,,,,"[65.9, 67.5]",Ground Pass,,9.167879,,,Per Ciljan Skjelbred,8578.0,,,,,,1,From Throw In,Mitchell Weiser,8576.0,Right Back,4,Hertha Berlin,173,['e49e0df7-a3bc-4c16-a3c4-ba824cd62c75'],50,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:50.217,Pass,
,,,,,,,,,,,,,,,,,2.130164,,,,,,,,,,,5d31cf05-2253-46a5-a026-2d325b0853e2,66,,,"[62.7, 63.2]",3890414,0,,,,,-2.9196465,,Right Foot,,,,"[40.1, 58.1]",Ground Pass,,23.168297,,,Sebastian Langkamp,8580.0,,,,,,1,From Throw In,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,4,Hertha Berlin,173,['fade106a-06e5-4d2a-8cd8-40a864ca7565'],52,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:52.772,Pass,
,,,,,,,,,,,,,,,,,1.429759,,,,,,,,,,,9375949b-3776-42ca-b770-8ff02c72bf3b,69,,,"[40.1, 57.7]",3890414,0,,,,,-0.7123576,,Right Foot,,,,"[55.5, 44.4]",Ground Pass,,20.348219,,,Per Ciljan Skjelbred,8578.0,,,,,,1,From Throw In,Sebastian Langkamp,8580.0,Right Center Back,4,Hertha Berlin,173,['41c77eda-76b7-4f9c-888e-4f5dfd449361'],57,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:57.352,Pass,
,,,,,,,,,,,,,,,,,1.763806,,,,,,,,,,,9e028e01-f114-45b8-b41c-c9af2c9a82ae,72,,,"[55.5, 44.4]",3890414,0,,,,,2.28398,,Right Foot,,,,"[44.6, 57.0]",Ground Pass,,16.660433,,,Sebastian Langkamp,8580.0,,,,,,1,From Throw In,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,4,Hertha Berlin,173,['f2d8708e-2318-415e-8468-408139ddade1'],59,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:59.385,Pass,
,,,,,,,,,,,,,,,,,2.441085,,,,,,,,,,,7a9dce1f-aa14-49ce-8a15-af6816127f04,75,,,"[47.3, 60.0]",3890414,1,,,,,-1.1164078,,Right Foot,,,,"[68.5, 16.6]",High Pass,,48.30114,Incomplete,,Marvin Plattenhardt,5569.0,,True,,,,1,From Throw In,Sebastian Langkamp,8580.0,Right Center Back,4,Hertha Berlin,173,"['10f70da4-6ff4-4e4e-be7b-7ae3f0de08c2', 'ac4eb898-bb83-4751-ab48-61ee94a289df']",2,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:02.552,Pass,
,,,,,,,,,,,,,,,,,1.201902,,,,,,,,,,,ac4eb898-bb83-4751-ab48-61ee94a289df,77,,,"[51.6, 63.5]",3890414,1,,,,,-0.17021193,,Head,,,,"[64.4, 61.3]",Low Pass,,12.987686,,,Raúl Marcelo Bobadilla,8807.0,,,,,Recovery,1,From Throw In,Alexander Esswein,8574.0,Right Wing,4,Hertha Berlin,173,"['7a9dce1f-aa14-49ce-8a15-af6816127f04', '9584bb6e-799b-4a9b-9975-457ec996ed7f']",4,,,,,,,,,,,,,,,,,Augsburg,172,00:01:04.993,Pass,
,,,,,,,,,,,,,,,,,2.048968,,,,,,,,,,,3ebb329d-2ab5-49d4-91c1-b68cb4a93721,84,,,"[41.6, 14.1]",3890414,1,,,,,2.6885972,,Right Foot,,,,"[11.4, 28.8]",Low Pass,,33.587646,,,Rune Almenning Jarstein,8577.0,,,,,Recovery,1,From Throw In,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,4,Hertha Berlin,173,"['a68905fb-08b3-4e2a-8077-b49290fcdc28', 'f3dbae99-b443-4fb9-847e-3ed0a625d225']",8,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:08.288,Pass,True
,,,,,,,,,,,,,,,,,2.171572,,,,,,,,,,,d05a5b28-5df7-4b4c-8651-e3ed865215f8,88,,,"[3.1, 35.9]",3890414,1,,,,,-1.2128143,,Right Foot,,,,"[13.5, 8.1]",Ground Pass,,29.681644,,,Per Ciljan Skjelbred,8578.0,,,,,,1,From Throw In,Rune Almenning Jarstein,8577.0,Goalkeeper,4,Hertha Berlin,173,"['255cc8b4-ab17-4a03-907d-cac07e4c0dc1', 'fa72d969-dfb8-4af6-9ca8-baf04884d6fe']",12,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:12.684,Pass,True
,,,,,,,,,,,,,,,,,1.070491,,,,,,,,,,,3afa680f-96c1-4363-9b95-d9b9b460e04b,91,,,"[13.1, 11.1]",3890414,1,,,,,0.82384074,,Right Foot,,,,"[20.6, 19.2]",Ground Pass,,11.0390215,,,John Anthony Brooks,12327.0,,,,,,1,From Throw In,Per Ciljan Skjelbred,8578.0,Left Defensive Midfield,4,Hertha Berlin,173,['14682ab6-25ca-4db2-91df-e53bb33a31bd'],15,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:01:15.690,Pass,
