50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.208122,,,,,,,,,,,,,891494df-36f4-4e14-947c-2ca90df38a53,2544,,"[26.2, 75.4]",3890444,84,,,,True,0.10379234,,,,,,"[40.6, 76.9]",,High Pass,,14.477914,,Incomplete,,Marcel Heller,9401.0,,,,,Recovery,2,From Free Kick,Florian Jungwirth,12383.0,Right Back,174,Bayer Leverkusen,904,"['25125909-e976-494a-845e-2ba87d42aed7', '4c192d9e-717f-42e1-96a9-5f4e04896b08', 'be9ee8bc-849e-4b72-9c29-39c212753423', 'd1878a25-3183-4d9a-8f01-622e5c0ca30b']",24,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:39:24.698,Pass,True
,,,,,,,,,,,,,,,,,1.36422,,,,,,,,,,,,,47963a00-2c2b-4fa4-a8e8-2a4cf9ceac59,2550,,"[80.8, 3.2]",3890444,85,,,,,2.462179,,Right Foot,,,,"[75.6, 7.4]",,Ground Pass,,6.68431,,,,Kevin Kampl,8222.0,,,,,Free Kick,2,From Free Kick,Hakan Çalhanoğlu,7039.0,Right Attacking Midfield,175,Bayer Leverkusen,904,['c136e041-b417-4224-ba63-1ce4a1687e5e'],15,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:15.769,Pass,
,,,,,,,,,,,,,,,,,1.017356,,,,,,,,,,,,,9d7c9716-5e5e-43ef-9ea2-9e54600e1151,2553,,"[75.6, 7.4]",3890444,85,,,,,-0.34788838,,Right Foot,,,,"[84.7, 4.1]",,Ground Pass,,9.679876,,,,Hakan Çalhanoğlu,7039.0,,,,,,2,From Free Kick,Kevin Kampl,8222.0,Left Attacking Midfield,175,Bayer Leverkusen,904,['8e8fcf15-9a2f-419b-8750-9e5f329cf193'],17,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:17.625,Pass,
,,,,,,,,,,,,,,,,,1.193433,,,,,,,,,,,,,08175a00-3eb8-4042-b5b8-98610fc4edee,2567,,"[71.4, 80.0]",3890444,85,,,,,-0.58173966,,,,,,"[82.5, 72.7]",,High Pass,,13.28533,,,,Felix Platte,22017.0,,,,,Throw-in,2,From Throw In,Marcel Heller,9401.0,Right Midfield,176,Darmstadt 98,872,['91c5f861-9f13-44a2-8241-d65adb31cff1'],27,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:40:27.200,Pass,
,,,,,,,,,,,,,,,,,2.152074,,,,,,,,,,,,,9cb1ab2b-4874-4483-8f48-1f60b184b152,2571,,"[34.1, 0.1]",3890444,85,,,,,0.38624027,,,,,,"[49.1, 6.2]",,High Pass,,16.1929,,,,André Ramalho Silva,9363.0,,,,,Throw-in,2,From Throw In,Wendell Nascimento Borges,8212.0,Left Back,177,Bayer Leverkusen,904,['e7ae38d6-da37-4e1e-bea0-d0d91b494e3b'],48,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:48.424,Pass,
,,,,,,,,,,,,,,,,,1.867058,,,,,,,,,,,,,f3c3c06e-fee2-4b76-bcec-82352e7fcf94,2573,,"[49.3, 4.5]",3890444,85,,,,,0.07047135,,Head,,,,"[57.8, 5.1]",,High Pass,,8.521151,,Incomplete,,,,,,,,,2,From Throw In,André Ramalho Silva,9363.0,Left Defensive Midfield,177,Bayer Leverkusen,904,['8205e69e-62e1-45f0-8376-5038a96f6228'],50,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:50.576,Pass,
,,,,,,,,,,,,,,,,,2.26904,,,,,,,,,,,,,8205e69e-62e1-45f0-8376-5038a96f6228,2574,,"[62.3, 75.0]",3890444,85,,,,,-0.5642682,,Head,,,,"[70.2, 70.0]",,High Pass,,9.349332,,Incomplete,,,,,,,,Recovery,2,From Throw In,Florian Jungwirth,12383.0,Right Back,177,Bayer Leverkusen,904,"['c33e81b6-3289-4bd1-ba66-03c9c1bad993', 'f3c3c06e-fee2-4b76-bcec-82352e7fcf94']",52,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:40:52.443,Pass,
,,,,,,,,,,,,,,,,,1.554939,,,,,,,,,,,,,c33e81b6-3289-4bd1-ba66-03c9c1bad993,2575,,"[49.9, 10.1]",3890444,85,,,,,-0.14767733,,Head,,,,"[62.0, 8.3]",,Low Pass,,12.233151,,Incomplete,,Stefan Kießling,11394.0,,,,,Recovery,2,From Throw In,André Ramalho Silva,9363.0,Left Defensive Midfield,177,Bayer Leverkusen,904,"['29b14d02-1f63-406d-8987-e32a570aab36', '8205e69e-62e1-45f0-8376-5038a96f6228', 'b89d719a-f8ac-4d0c-8508-f8a47cb28c41']",54,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:54.712,Pass,
,,,,,,,,,,,,,,,,,3.627171,,,,,,,,,,,,,29b14d02-1f63-406d-8987-e32a570aab36,2577,,"[58.1, 71.8]",3890444,85,,,,,-1.0427219,,Right Foot,,,,"[77.0, 39.4]",,High Pass,,37.509598,,Incomplete,,Sandro Wagner,9723.0,,,,,Recovery,2,From Throw In,Florian Jungwirth,12383.0,Right Back,177,Bayer Leverkusen,904,"['c33e81b6-3289-4bd1-ba66-03c9c1bad993', 'dd255b3e-2a0e-4bc7-bd15-3e9763135626', 'fc6ec782-7f9a-4485-b316-14859238ffe0']",56,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:40:56.267,Pass,
,,,,,,,,,,,,,,,,,0.549655,,,,,,,,,,,,,dd255b3e-2a0e-4bc7-bd15-3e9763135626,2580,,"[43.1, 40.7]",3890444,85,,,,,-1.9936502,,Left Foot,,,,"[40.4, 34.7]",,Low Pass,,6.5795135,,,,Kyriakos Papadopoulos,8313.0,,,,,Recovery,2,From Throw In,Tin Jedvaj,6309.0,Right Back,177,Bayer Leverkusen,904,"['28c75d0e-92e8-4a56-bd30-32c79b2ee512', '29b14d02-1f63-406d-8987-e32a570aab36', 'b9aba298-0aa2-40ce-8aa0-67b4a135623a']",59,,,,,,,,,,,,,,,,,Bayer Leverkusen,904,00:40:59.895,Pass,True
