50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.625687,,,,,,,,,,,,,,07270aff-ca12-4080-8981-d02f6b14269f,14,,"[70.6, 80.0]",3890449,0,,,,,-0.22446318,,,,,"[92.5, 75.0]",High Pass,,22.463526,Incomplete,,Anthony Ujah,12624.0,,,,,Throw-in,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,3,Werder Bremen,176,"['4441ed1a-6e50-4cae-be27-303d9a344a34', '93cb9e22-40a6-4084-a873-b643bf303204']",16,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:16.016,Pass,
,,,,,,,,,,,,,,,,2.320932,,,,,,,,,,,,,,9c21a8d8-2be9-4868-b772-0c731dd31b2a,19,,"[78.1, 64.7]",3890449,0,,,,,-1.5579765,,Right Foot,,,"[78.3, 49.1]",Ground Pass,,15.601282,Incomplete,,Florian Grillitsch,11396.0,,,,,Recovery,1,From Throw In,Claudio Miguel Pizarro Bossio,11132.0,Center Attacking Midfield,3,Werder Bremen,176,"['21cd2d74-bac7-4e3f-8e1e-387d7857c72c', '68650473-538a-42bc-a545-3436b3cb7b61', '8b20e345-e149-4836-96eb-0fd93abe126f']",19,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:19.433,Pass,True
,,,,,,,,,,,,,,,,1.829285,,,,,,,,,,,,,,21cd2d74-bac7-4e3f-8e1e-387d7857c72c,21,,"[41.8, 31.0]",3890449,0,,,,,-0.17356068,,Right Foot,,,"[72.6, 25.6]",High Pass,,31.269794,Incomplete,,Moritz Hartmann,40464.0,,,,,Recovery,1,From Throw In,Pascal Groß,3097.0,Right Center Midfield,3,Werder Bremen,176,"['16fb5c93-bbd5-42cc-9527-9bcc2a4a504d', '92b64f57-6efa-43b2-a2db-2e83a1571d73', '9c21a8d8-2be9-4868-b772-0c731dd31b2a']",21,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:00:21.754,Pass,
,,,,,,,,,,,,,,,,2.153972,,,,,,,,,,,,,,16fb5c93-bbd5-42cc-9527-9bcc2a4a504d,23,,"[47.5, 54.5]",3890449,0,,,,,0.8785345,,Right Foot,,,"[64.0, 74.4]",High Pass,,25.850725,,,Levin Mete Öztunali,8554.0,,,,,Recovery,1,From Throw In,Alejandro Gálvez Jimena,6924.0,Right Center Back,3,Werder Bremen,176,"['1e5e2cf4-97ac-4381-8923-690767a97c7a', '21cd2d74-bac7-4e3f-8e1e-387d7857c72c']",23,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:23.583,Pass,
,,,,,,,,,,,,,,,,1.033581,,,,,,,,,,,,,,cb2b4422-4d3b-40f5-81db-9ad1cc425a0b,27,,"[65.7, 73.1]",3890449,0,,,,,-0.98279375,,Right Foot,,,"[74.1, 60.5]",Low Pass,,15.143315,,,Anthony Ujah,12624.0,,,,,,1,From Throw In,Levin Mete Öztunali,8554.0,Right Wing,3,Werder Bremen,176,['a2aa8475-63e6-40b4-a983-62be50f5c776'],26,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:26.308,Pass,
,,,,,,,,,,,,,,,,2.838096,,,,,,,,,,,,,,010eea23-877e-4372-937c-5710071b09cb,33,,"[76.9, 59.2]",3890449,0,,,,,-0.7024788,,Right Foot,,,"[117.3, 25.0]",High Pass,,52.932034,,,Papiss Mison Djilobodji,3774.0,,,,,Free Kick,1,From Free Kick,Florian Grillitsch,11396.0,Left Wing,4,Werder Bremen,176,['ad1956de-6cd5-4aea-8a91-de3a204a5ce6'],59,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:59.576,Pass,
,,,,,,,,,,,,,,,,1.059823,,,,,,,,,,,,,,063bd35a-f9b7-4645-affb-b07daae5582d,35,,"[117.1, 25.8]",3890449,1,,,,,1.4601392,,Head,True,,"[118.1, 34.8]",High Pass,,9.055386,Incomplete,,Anthony Ujah,12624.0,,,,,,1,From Free Kick,Papiss Mison Djilobodji,3774.0,Left Center Back,4,Werder Bremen,176,"['560e298a-3e54-4c16-821e-36add305d0af', 'a8f14298-a56a-4a96-ba61-eed002577f17']",2,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:02.414,Pass,
,,,,,,,,,,,,,,,,2.771439,,,,,,,,,,,,,,2affe68e-aad6-49dc-8c1d-b565aa4103fd,39,,"[15.4, 45.7]",3890449,1,,,,,0.23024759,,Keeper Arm,,,"[68.3, 58.1]",High Pass,,54.333874,Incomplete,,Dario Lezcano,9113.0,,,,,,1,From Keeper,Ramazan Özcan,12319.0,Goalkeeper,5,Ingolstadt,189,"['b0452c08-fa3e-48e2-a6d2-3ba799761f4c', 'fcab1910-050e-493e-847e-f9b7f8556c3f']",7,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:07.020,Pass,
,,,,,,,,,,,,,,,,1.225295,,,,,,,,,,,,,,b0452c08-fa3e-48e2-a6d2-3ba799761f4c,41,,"[51.8, 22.0]",3890449,1,,,,True,0.031239834,,,,,"[58.2, 22.2]",High Pass,,6.4031243,Incomplete,,Levin Mete Öztunali,8554.0,,,,,Recovery,1,From Keeper,Alejandro Gálvez Jimena,6924.0,Right Center Back,5,Ingolstadt,189,"['2affe68e-aad6-49dc-8c1d-b565aa4103fd', '2d5f5051-f48a-4c8c-9020-0adc8970f43b', '6d9fc832-a59c-417a-8133-80e1e5b6e029', '9e94cb67-d819-4d57-9d6c-170e047edb85']",9,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:09.791,Pass,True
,,,,,,,,,,,,,,,,1.126107,,,,,,,,,,,,,,2d5f5051-f48a-4c8c-9020-0adc8970f43b,44,,"[61.9, 57.9]",3890449,1,,,,,0.38050637,,Head,,,"[70.4, 61.3]",Low Pass,,9.15478,,,Dario Lezcano,9113.0,,,,,Recovery,1,From Keeper,Pascal Groß,3097.0,Right Center Midfield,5,Ingolstadt,189,"['0950e986-9dc0-4a1c-84e1-75bee4735507', 'b0452c08-fa3e-48e2-a6d2-3ba799761f4c']",11,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:11.017,Pass,
,,,,,,,,,,,,,,,,1.063472,,,,,,,,,,,,,,ca641e1a-c148-423e-8532-386468a0ce6c,47,,"[70.4, 61.3]",3890449,1,,,,,-2.108081,,Other,,,"[67.6, 56.6]",Low Pass,,5.470832,,,Pascal Groß,3097.0,,,,,,1,From Keeper,Dario Lezcano,9113.0,Center Forward,5,Ingolstadt,189,['c3961a82-c940-46c8-afd3-0187dd8e403b'],12,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:12.237,Pass,
,,,,,,,,,,,,,,,,1.71181,,,,,,,,,,,,,,32c6cfef-13f7-4f96-a863-0c9cee3fd345,49,,"[67.6, 56.6]",3890449,1,,,,,1.406488,,Right Foot,,,"[70.8, 75.9]",Low Pass,,19.563486,,,Mathew Leckie,5481.0,,,,,,1,From Keeper,Pascal Groß,3097.0,Right Center Midfield,5,Ingolstadt,189,['b44d1564-59b3-437b-a37f-6d3427b546bc'],13,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:13.300,Pass,
,,,,,,,,,,,,,,,,4.483863,,,,,,,,,,,,,,817f7152-b50d-4d62-8a9a-2edd5d5054da,56,,"[90.3, 75.5]",3890449,1,,,,,-1.2510498,,Right Foot,True,,"[115.1, 0.6]",High Pass,,78.89899,Out,,Dario Lezcano,9113.0,,True,,,,1,From Keeper,Mathew Leckie,5481.0,Left Wing,5,Ingolstadt,189,['0e8beebe-0c19-42a4-8c40-63defbac1da7'],18,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:18.900,Pass,
,,,,,,,,,,,,,,,,1.642557,,,,,,,,,,,,,,e624c121-a3bf-4506-a30f-91eda51797e6,58,,"[7.3, 80.0]",3890449,1,,,,,-0.2852704,,,,,"[28.1, 73.9]",High Pass,,21.676023,,,Lukas Fröde,9257.0,,,,,Throw-in,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,6,Werder Bremen,176,['b2f7b289-aa19-4a76-a238-12f1d61ee82e'],39,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:39.516,Pass,
,,,,,,,,,,,,,,,,0.522781,,,,,,,,,,,,,,3fa33f63-7aa8-4123-a0bc-c6328083fbf0,60,,"[28.1, 73.9]",3890449,1,,,,True,0.0,,,,,"[33.6, 73.9]",Low Pass,,5.5,Incomplete,,Anthony Ujah,12624.0,,,,,,1,From Throw In,Lukas Fröde,9257.0,Right Defensive Midfield,6,Werder Bremen,176,"['2d38785d-7348-4762-ade8-27714bb6e044', '5c89442a-61de-421b-b126-cf372486a7cd', 'f5036231-62e0-42df-851b-d8579d183e0b']",41,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:41.159,Pass,True
,,,,,,,,,,,,,,,,1.161087,,,,,,,,,,,,,,48233f38-096b-4c11-8b6f-dddb50d8e461,65,,"[86.0, 7.0]",3890449,1,,,,,0.54184604,,Left Foot,,,"[96.3, 13.2]",High Pass,,12.022063,,,Moritz Hartmann,40464.0,,,,,,1,Regular Play,Robert Bauer,8394.0,Left Back,7,Ingolstadt,189,['3ee80520-531d-4738-9f2d-27f403a98cd9'],42,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:42.214,Pass,
,,,,,,,,,,,,,,,,1.205727,,,,,,,,,,,,,,06ffd916-4286-4994-b7a6-ad9800709b07,68,,"[96.3, 13.2]",3890449,1,,,,True,1.1550825,,,,,"[101.2, 24.3]",Low Pass,,12.133425,Incomplete,,Mathew Leckie,5481.0,,,,,,1,Regular Play,Moritz Hartmann,40464.0,Right Wing,7,Ingolstadt,189,"['13b9facc-9eaa-41e1-b67e-3e73f286b5e2', '7cb60dff-43e9-4b10-9f8e-444465586d7d', '97c1bd04-ec76-4103-ac06-fb032a0a6dcd']",43,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:43.375,Pass,True
,,,,,,,,,,,,,,,,2.904704,,,,,,,,,,,,,,5ede51ba-96a1-41cd-bddf-6a264aa4db5d,73,,"[50.3, 7.7]",3890449,1,,,,,2.4425354,,Other,,,"[20.8, 32.5]",Low Pass,,38.53946,,,Ramazan Özcan,12319.0,,,,,Recovery,1,Regular Play,Marvin Matip,9106.0,Right Center Back,7,Ingolstadt,189,['a8673684-1fb0-45a2-8402-217c03f7dc8f'],49,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:49.182,Pass,
,,,,,,,,,,,,,,,,2.006272,,,,,,,,,,,,,,1622eea0-b574-4dfb-bfbf-6aa3584e7d24,76,,"[25.1, 32.3]",3890449,1,,,,,1.0329608,,Left Foot,,,"[35.3, 49.4]",Ground Pass,,19.911053,,,Marvin Matip,9106.0,,,,,,1,Regular Play,Ramazan Özcan,12319.0,Goalkeeper,7,Ingolstadt,189,['36f26665-eac2-45fa-94cb-a94685555d1f'],55,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:55.892,Pass,
,,,,,,,,,,,,,,,,1.065256,,,,,,,,,,,,,,69ab3463-cf8d-4ddd-99b9-11f446737a6e,79,,"[43.0, 54.5]",3890449,2,,,,,0.41080013,,Right Foot,,,"[59.3, 61.6]",Ground Pass,,17.779202,,,Pascal Groß,3097.0,,,,,,1,Regular Play,Marvin Matip,9106.0,Right Center Back,7,Ingolstadt,189,['4ac5c54c-b446-41e7-8d5f-ba0c4f258c31'],0,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:00.975,Pass,
,,,,,,,,,,,,,,,,1.151972,,,,,,,,,,,,,,a0085152-6f30-413e-9477-298ebabe9216,81,,"[59.3, 61.6]",3890449,2,,,,,-2.9340963,,Right Foot,,,"[46.0, 58.8]",Ground Pass,,13.591541,,,Marvin Matip,9106.0,,,,,,1,Regular Play,Pascal Groß,3097.0,Right Center Midfield,7,Ingolstadt,189,['cf21a9ff-f9fd-4ea2-8c1b-06e09c221be5'],2,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:02.040,Pass,
,,,,,,,,,,,,,,,,1.225898,,,,,,,,,,,,,,b8acbe07-cf47-450d-81e9-0ce0e3e3a368,84,,"[46.0, 58.8]",3890449,2,,,,,0.9515539,,Right Foot,,,"[52.7, 68.2]",Ground Pass,,11.543396,,,Pascal Groß,3097.0,,,,,,1,Regular Play,Marvin Matip,9106.0,Right Center Back,7,Ingolstadt,189,['2667e44f-4ee4-4e28-8200-84b1152b8e2f'],4,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:04.049,Pass,
,,,,,,,,,,,,,,,,3.320666,,,,,,,,,,,,,,3735e0b0-80ac-42dd-ae74-755cc521e498,87,,"[52.7, 71.0]",3890449,2,,,,,0.06643828,,Right Foot,,,"[103.8, 74.4]",High Pass,,51.212986,,,Mathew Leckie,5481.0,,,,,,1,Regular Play,Pascal Groß,3097.0,Right Center Midfield,7,Ingolstadt,189,['ed503bc7-0ff4-49cf-bd6d-80a026a18eb6'],7,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:07.125,Pass,
,,,,,,,,,,,,,,,,1.467079,,,,,,,,,,,,,,362eea0e-3ec9-46d1-a4f2-f4f640f5509f,93,,"[103.1, 80.0]",3890449,2,,,,,-1.9201407,,,,,"[98.0, 66.0]",Low Pass,,14.9,Incomplete,,Pascal Groß,3097.0,,,,,Throw-in,1,From Throw In,Danny Vieira da Costa,8676.0,Right Back,8,Ingolstadt,189,"['42c858a9-5d99-4855-96ab-497bd431b487', '7a6e3028-2505-4cb5-8251-df8902dc0b79']",23,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:23.594,Pass,
,,,,,,,,,,,,,,,,1.843261,,,,,,,,,,,,,,2a0e140e-3e70-45b6-96d7-64ac435bc213,98,,"[44.1, 2.9]",3890449,2,,,,,-0.13841274,,Left Foot,,,"[64.2, 0.1]",Low Pass,,20.294088,Out,,Florian Grillitsch,11396.0,,,,,,1,From Throw In,Jannik Vestergaard,8815.0,Left Defensive Midfield,8,Ingolstadt,189,['ae427047-0bb0-461c-94f2-ee76685bdc20'],29,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:29.473,Pass,
,,,,,,,,,,,,,,,,0.89195,,,,,,,,,,,,,,50271765-715c-463e-874e-2e5ac4af73d0,100,,"[69.1, 80.0]",3890449,2,,,,,-1.8361284,,,,,"[66.6, 70.8]",Low Pass,,9.533625,,,Pascal Groß,3097.0,,,,,Throw-in,1,From Throw In,Danny Vieira da Costa,8676.0,Right Back,9,Ingolstadt,189,['91c23d61-2f4b-4b16-8d4c-33cbe0195319'],41,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:41.233,Pass,
,,,,,,,,,,,,,,,,1.432506,,,,,,,,,,,,,,37a8d5f3-aec1-4c2e-a8bb-6046d4e268c1,102,,"[66.6, 70.8]",3890449,2,,,,,-0.18432441,,Right Foot,,,"[84.3, 67.5]",High Pass,,18.005,Incomplete,,Moritz Hartmann,40464.0,,,,,,1,From Throw In,Pascal Groß,3097.0,Right Center Midfield,9,Ingolstadt,189,"['3533cf31-7645-4b2c-b64a-420d8a88fd41', 'bf373bba-7f4e-4e10-ab63-6d8336852c43']",42,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:42.125,Pass,
,,,,,,,,,,,,,,,,1.990758,,,,,,,,,,,,,,bf373bba-7f4e-4e10-ab63-6d8336852c43,104,,"[35.8, 12.6]",3890449,2,,,,True,0.35691193,,,,,"[53.5, 19.2]",High Pass,,18.890474,Incomplete,,Claudio Miguel Pizarro Bossio,11132.0,,,,,Recovery,1,From Throw In,Papiss Mison Djilobodji,3774.0,Left Center Back,9,Ingolstadt,189,"['37a8d5f3-aec1-4c2e-a8bb-6046d4e268c1', '6dd2a66c-c03c-4c77-850f-b587eda390ca', '8b9f6f85-f0af-4bbb-9c32-6a9fdf042d34', 'bd75cc36-c20d-4b55-a4e2-e52067447ce6']",43,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:43.557,Pass,True
,,,,,,,,,,,,,,,,2.304289,,,,,,,,,,,,,,bee5414d-04d2-410c-8a9a-33ab17ab3e55,111,,"[40.5, 28.4]",3890449,2,,,,,1.8085346,,Right Foot,,,"[33.4, 57.7]",Ground Pass,,30.147968,,,Theodor Gebre Selassie,8396.0,,,,,,1,Regular Play,Anthony Ujah,12624.0,Center Forward,10,Werder Bremen,176,"['5aee831b-ed9b-4eef-b319-4e5479206337', '64e75c0f-7719-4b94-8f23-8ba6806fc8fa']",47,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:47.854,Pass,True
,,,,,,,,,,,,,,,,2.462726,,,,,,,,,,,,,,2389a298-3eb3-40d4-8d61-c3bf217699bc,113,,"[33.4, 57.7]",3890449,2,,,,,0.43395337,,Right Foot,,,"[66.2, 72.9]",Ground Pass,,36.150795,,,Levin Mete Öztunali,8554.0,,,,,,1,Regular Play,Theodor Gebre Selassie,8396.0,Right Back,10,Werder Bremen,176,['f1e28b2e-0555-4ec9-8eee-b728c9889e8d'],50,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:50.159,Pass,
,,,,,,,,,,,,,,,,2.362405,,,,,,,,,,,,,,286b7b8e-977e-4ac2-8f5e-f763ed96708b,117,,"[63.6, 0.1]",3890449,3,,,,,0.47240013,,,,,"[81.8, 9.4]",High Pass,,20.438444,,,Dario Lezcano,9113.0,,,,,Throw-in,1,From Throw In,Robert Bauer,8394.0,Left Back,11,Ingolstadt,189,['75167e9d-64d9-4cbb-a10b-44ef5cb258d2'],16,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:03:16.782,Pass,
