50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.986012,,,,,,,,,,,,,,,0dee41e6-b6ca-4803-bdb2-769c1b7b022b,63,,,"[98.3, 55.9]",3890279,0,,,,,-1.482025,6fcd5e72-72fa-4423-984f-4e35ff116813,Right Foot,,,"[100.0, 36.8]",,Ground Pass,,19.175505,,,Marc Stendera,10896.0,True,,,,,1,From Free Kick,Stefan Aigner,21156.0,Right Midfield,4,Eintracht Frankfurt,184,['fc02953a-a60c-40bf-954e-855e8dfd5647'],57,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:57.366,Pass,
,,,,,,,,,,,,,,,,,3.618863,,,,,,,,,,,,,,,a6870732-fcce-4959-bbf8-717f4ee4e0a5,68,,,"[20.8, 43.8]",3890279,1,,,,,0.32070124,,Drop Kick,,,"[78.0, 62.8]",,High Pass,,60.273045,Incomplete,,Martin Harnik,8557.0,,,,,,1,From Keeper,Przemysław Tytoń,9082.0,Goalkeeper,6,VfB Stuttgart,174,"['592fcdbe-4c97-41e4-bae7-4eba43d10a8d', '5bbbe223-df6e-46e5-a4db-34c81d13c893']",17,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:17.598,Pass,
,,,,,,,,,,,,,,,,,2.123328,,,,,,,,,,,,,,,592fcdbe-4c97-41e4-bae7-4eba43d10a8d,71,,,"[42.1, 17.3]",3890279,1,,,,True,-1.1354431,,,,,"[50.1, 0.1]",,Low Pass,,18.96945,Out,,Marc Stendera,10896.0,,,,,Recovery,1,From Keeper,Marco Russ,8812.0,Left Center Back,6,VfB Stuttgart,174,"['0d0221ec-d4b3-4392-94ac-4d20617383d7', '3e326a1b-3329-4eff-b26f-116cf4c2336b', 'a6870732-fcce-4959-bbf8-717f4ee4e0a5']",21,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:21.217,Pass,True
,,,,,,,,,,,,,,,,,0.848629,,,,,,,,,,,,,,,b22e8a59-6a9d-4028-bc7e-b1c6c13031d0,73,,,"[70.0, 80.0]",3890279,1,,,,,-1.6792797,,,,,"[68.9, 69.9]",,Low Pass,,10.159724,,,Christian Gentner,8959.0,,,,,Throw-in,1,From Throw In,Daniel Schwaab,8270.0,Right Back,7,VfB Stuttgart,174,['7f122ea5-4cc1-4f3b-ad2c-28a222625eb8'],28,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:28.315,Pass,
,,,,,,,,,,,,,,,,,1.17274,,,,,,,,,,,,,,,156be5df-0f5d-4b98-a644-792aeb5847f4,76,,,"[69.1, 69.9]",3890279,1,,,,,-0.26472223,,Right Foot,,,"[85.7, 65.4]",,High Pass,,17.199127,Unknown,,Daniel Ginczek,9409.0,,,,,,1,From Throw In,Christian Gentner,8959.0,Right Defensive Midfield,7,VfB Stuttgart,174,['9721f43b-eb6e-44b0-b232-7a22af89f32c'],29,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:29.195,Pass,
,,,,,,,,,,,,,,,,,1.401864,,,,,,,,,,,,,,,6ef6a00c-f372-49eb-8115-281156066b6a,80,,,"[29.9, 15.7]",3890279,1,,,,,-1.0659349,,Right Foot,,,"[34.1, 8.1]",,Ground Pass,,8.683317,,,Stefan Reinartz,400619.0,,,,,Free Kick,1,From Free Kick,Marco Russ,8812.0,Left Center Back,8,Eintracht Frankfurt,184,['8a9744b9-01f8-46b1-adc5-a7293b057433'],39,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:39.819,Pass,
,,,,,,,,,,,,,,,,,0.975369,,,,,,,,,,,,,,,7da9304d-513d-461a-bcca-03397d8f341d,84,,,"[36.7, 6.9]",3890279,1,,,,,-0.6994039,,Right Foot,,,"[43.0, 1.6]",,Ground Pass,,8.232861,,,Bastian Oczipka,8504.0,,,,,,1,From Free Kick,Stefan Reinartz,400619.0,Left Defensive Midfield,8,Eintracht Frankfurt,184,"['2cae8fb9-bae4-4981-a1fe-25409c8da857', 'bce1f3b7-0dd1-45d4-8dcd-3929a2c1e383']",42,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:42.196,Pass,True
,,,,,,,,,,,,,,,,,1.292826,,,,,,,,,,,,,,,e2753b48-575c-4ebe-812e-1d3b734381e0,90,,,"[45.8, 0.1]",3890279,1,,,,,0.44030553,,,,,"[56.2, 5.0]",,High Pass,,11.496521,,,Marc Stendera,10896.0,,,,,Throw-in,1,From Throw In,Bastian Oczipka,8504.0,Left Back,9,Eintracht Frankfurt,184,['6e590ae7-ffaa-4161-9083-6838f2d22f06'],49,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:49.244,Pass,
,,,,,,,,,,,,,,,,,0.58087,,,,,,,,,,,,,,,8172122c-bbfa-4553-86e4-38453b787cf8,99,,,"[74.0, 72.5]",3890279,1,,,,,-0.38307706,,Left Foot,,,"[80.7, 69.8]",,Ground Pass,,7.2235727,,,Daniel Ginczek,9409.0,,,,,,1,Regular Play,Christian Gentner,8959.0,Right Defensive Midfield,10,VfB Stuttgart,174,['31cbaa7b-b81b-4b84-9fe5-d832396969db'],52,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:52.374,Pass,
,,,,,,,,,,,,,,,,,1.349019,,,,,,,,,,,,,,,cb14ec9b-4ca0-41b5-922d-8a3e807c2fb8,102,,,"[87.0, 66.3]",3890279,1,,,,,-1.226717,,Right Foot,,,"[91.3, 54.3]",,Ground Pass,,12.747156,Incomplete,,Martin Harnik,8557.0,,,,,,1,Regular Play,Daniel Ginczek,9409.0,Left Center Forward,10,VfB Stuttgart,174,"['2ac44880-e7fb-4b2a-8b39-5c26a68caa38', '5d1b0ba0-b811-4897-a5cd-1adf0f21a12b']",54,,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:54.262,Pass,
