50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.681697,,,,,,,,,,,,,,,b4052d44-23be-48db-9d40-2351ae4d805c,46,,"[41.6, 58.3]",3890387,0,,,,,0.7575573,,Right Foot,,,,"[61.9, 77.5]",,Ground Pass,,27.941545,,,,Robert Lewandowski,5668.0,,,,,,,1,Regular Play,Xabier Alonso Olano,20133.0,Center Defensive Midfield,5,Bayern Munich,169,['433204ed-a7c5-46e8-bf20-ee89e5fa6f21'],36,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:36.582,Pass,
,,,,,,,,,,,,,,,,,1.627457,,,,,,,,,,,,,,,f266fbdd-bbce-4101-a574-93b902017243,50,,"[61.9, 77.5]",3890387,0,,,,,-0.18192819,,Right Foot,,,,"[83.1, 73.6]",,Ground Pass,,21.555742,,Incomplete,,Thomas Müller,5562.0,,,,,,,1,Regular Play,Robert Lewandowski,5668.0,Center Forward,5,Bayern Munich,169,"['55b7c2ff-e44f-4af9-a7ea-44549e224db9', 'd03d7cca-10bb-42a2-812e-8bf0fc018603']",38,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:38.466,Pass,
,,,,,,,,,,,,,,,,,1.972679,,,,,,,,,,,,,,,34d004d9-fc9c-40f0-9479-d4633d72c4d8,53,,"[86.3, 80.0]",3890387,0,,,,,-2.945322,,,,,,"[69.2, 76.6]",,Low Pass,,17.434736,,,,Arturo Erasmo Vidal Pardo,8206.0,,,,,,Throw-in,1,From Throw In,Thomas Müller,5562.0,Right Wing,6,Bayern Munich,169,['3e9f0429-a8f0-4f05-9750-7045ee1b7d9a'],46,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:46.117,Pass,
,,,,,,,,,,,,,,,,,2.125407,,,,,,,,,,,,,,,802bb409-111c-4163-8f5f-35a099c502c2,57,,"[69.2, 76.6]",3890387,0,,,,,-3.0405555,,Right Foot,,,,"[47.5, 74.4]",,High Pass,,21.811235,,,,Jérôme Boateng,5578.0,,,,,,,1,From Throw In,Arturo Erasmo Vidal Pardo,8206.0,Right Center Midfield,6,Bayern Munich,169,"['2f00ffee-3e45-42c6-bef0-cde81e93c51c', '45eeef9c-41e4-4073-a58b-0fbea3595d55']",48,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:48.130,Pass,True
,,,,,,,,,,,,,,,,,1.034583,,,,,,,,,,,,,,,f306d4b0-2534-43f9-88f5-334d74b4256f,60,,"[45.7, 72.4]",3890387,0,,,,,0.5420889,,Right Foot,,,,"[54.5, 77.7]",,Ground Pass,,10.272779,,,,Philipp Lahm,19295.0,,,,,,,1,From Throw In,Jérôme Boateng,5578.0,Right Center Back,6,Bayern Munich,169,['8777bd0f-7e0c-44d0-a30d-a66e40d8f5aa'],51,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:51.672,Pass,
,,,,,,,,,,,,,,,,,3.035753,,,,,,,,,,,,,,,2c97e77f-788b-4565-89c6-c179c54c049e,63,,"[52.4, 72.0]",3890387,0,,,,,-2.1273434,,Right Foot,,,,"[33.3, 41.3]",,High Pass,,36.156605,,,,Medhi Amine El Mouttaqi Benatia,5244.0,,,,,,,1,From Throw In,Philipp Lahm,19295.0,Right Back,6,Bayern Munich,169,['15bbb4dd-6879-4dad-8553-2d3986b32034'],55,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:55.001,Pass,
,,,,,,,,,,,,,,,,,1.669841,,,,,,,,,,,,,,,cd92cea5-a819-4ed0-8309-71947f205016,66,,"[33.9, 35.1]",3890387,0,,,,,-1.1274947,,Right Foot,,,,"[47.1, 7.3]",,Ground Pass,,30.774666,,,,Márcio Rafael Ferreira de Souza,8209.0,,,,,,,1,From Throw In,Medhi Amine El Mouttaqi Benatia,5244.0,Left Center Back,6,Bayern Munich,169,['8f2be552-ceff-4bd5-9cf3-a3a75cc8c15e'],58,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:58.950,Pass,
,,,,,,,,,,,,,,,,,0.774857,,,,,,,,,,,,,,,5ae66b07-9952-476d-8fe6-db52a77c5e73,69,,"[50.4, 9.6]",3890387,1,,,,,1.3614728,,Right Foot,,,,"[54.5, 28.9]",,Ground Pass,,19.730686,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Throw In,Márcio Rafael Ferreira de Souza,8209.0,Left Back,6,Bayern Munich,169,['5ed26431-8f85-4677-9c3b-7e799f716ada'],2,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:02.469,Pass,
,,,,,,,,,,,,,,,,,1.3098,,,,,,,,,,,,,,,0832d427-5fb1-44aa-a17d-8030049b1f8a,71,,"[54.5, 28.9]",3890387,1,,,,,-0.734161,,Right Foot,,,,"[79.1, 6.7]",,Ground Pass,,33.13608,,,,Kingsley Coman,8217.0,,,,,,,1,From Throw In,Xabier Alonso Olano,20133.0,Center Defensive Midfield,6,Bayern Munich,169,['85ff7990-be40-407b-a451-c7f8533413da'],3,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:03.244,Pass,
,,,,,,,,,,,,,,,,,0.353097,,,,,,,,,,,,,,,4be889f5-15ca-42d5-bf1a-3a101bda6406,74,,"[93.2, 12.2]",3890387,1,,,,,0.99503803,,Right Foot,,,,"[96.9, 17.9]",,Low Pass,,6.7955866,,Incomplete,,Robert Lewandowski,5668.0,,,,,,,1,From Throw In,Kingsley Coman,8217.0,Left Wing,6,Bayern Munich,169,"['d8292b67-6dde-4c84-9662-a85b1fdd2c3a', 'ef4a505c-58e2-4d3d-b21e-504fc985f7e6']",8,,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:08.947,Pass,
