50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.308592,,,,,,,,,,,,9ad536cd-1ffa-4cf4-8712-2a6d3d96b8df,47,,"[82.2, 61.8]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Alexander Meier,23268.0,Center Attacking Midfield,2,Hamburger SV,171,"['0da645e9-6d1c-4c5c-a14a-0f7e9b3c127f', 'a7f9dd35-9be4-45c4-99a7-4d82e4dd9a0c']",30,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:30.252,Pressure,
,,,,,,,,,,,,,,,,,1.133483,,,,,,,,,,,,def7a7fa-4898-4d90-bc66-4f864ffcd65d,51,,"[98.8, 42.0]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Alexander Meier,23268.0,Center Attacking Midfield,2,Hamburger SV,171,"['4e6668c8-e46c-48a9-898f-011ec7e94714', '7b1c213e-4ebb-494b-be00-eaa3e727ba08']",34,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:34.006,Pressure,
,,,,,,,,,,,,,,,,,0.209286,,,,,,,,,,,,48b1682d-ebbf-43a6-aa3a-e491b6306fc6,60,,"[46.8, 20.3]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Makoto Hasebe,5681.0,Right Center Midfield,2,Hamburger SV,171,['b40595f1-9396-4e62-8e9e-38dff8e9f991'],42,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:42.697,Pressure,
,,,,,,,,,,,,,,,,,1.686086,,,,,,,,,,,,a829a1a2-cdf6-4d2a-a9b1-5a60ad651cd5,70,,"[34.8, 73.5]",3890297,0,,,,,,,,,,,,,,,,,,,,,,,,1,From Kick Off,Marc Stendera,10896.0,Left Center Midfield,2,Hamburger SV,171,"['29a872a7-195b-4c23-84a1-8b24dcd4b486', 'ec24e6b4-cf26-491f-ad62-3975f57530b6']",53,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:53.296,Pressure,
,,,,,,,,,,,,,,,,,0.266913,,,,,,,,,,,,06dd5f4c-3ab2-4d43-a8f1-26e571dbdd33,94,,"[47.3, 22.3]",3890297,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Emir Spahić,26791.0,Left Center Back,3,Eintracht Frankfurt,184,,29,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:29.511,Pressure,
,,,,,,,,,,,,True,,,,,0.296921,,,,,,,,,,,,38afe5f8-3b36-40cc-bf81-85e96be9362f,100,,"[85.4, 60.9]",3890297,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Makoto Hasebe,5681.0,Right Center Midfield,4,Hamburger SV,171,"['0833d569-186c-4f25-868b-548241fbba5a', '80a0c0dd-aa9e-4066-9df0-5c627ec259c0']",32,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:32.343,Pressure,
,,,,,,,,,,,,True,,,,,0.591273,,,,,,,,,,,,b9e28649-6d79-477e-8aa9-54f93bbb68db,109,,"[48.4, 66.1]",3890297,1,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Aleksandar Ignjovski,9134.0,Right Back,4,Hamburger SV,171,"['ce32992f-6c8e-41b0-8825-687d55510955', 'd0951c36-b279-4e6c-b0cd-bb003059a0a9']",36,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:36.359,Pressure,
,,,,,,,,,,,,,,,,,0.251517,,,,,,,,,,,,9e1f436d-1bb0-4c07-9815-487811200a0f,119,,"[41.3, 60.8]",3890297,1,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Marco Russ,8812.0,Right Center Back,5,Hamburger SV,171,['4d94ba90-c194-40bd-acb9-e93a06f714e3'],57,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:57.938,Pressure,
,,,,,,,,,,,,,,,,,0.280346,,,,,,,,,,,,00f5d073-44a7-4540-8829-4f7eb854dea4,139,,"[25.0, 75.1]",3890297,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aleksandar Ignjovski,9134.0,Right Back,7,Hamburger SV,171,"['3fbf42fe-5e2e-45dd-b97d-b1778121a903', '97d03e48-0e5d-46bf-85d2-f7538693a29a']",51,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:02:51.713,Pressure,
,,,,,,,,,,,,,,,,,0.229461,,,,,,,,,,,,d425d6c4-ce22-4af7-b389-69229ea13423,143,,"[19.8, 71.2]",3890297,2,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aleksandar Ignjovski,9134.0,Right Back,7,Hamburger SV,171,"['278c8d53-e18a-4bbe-bc06-b0d91fba21f1', '64eee1dd-fb7c-4f35-bfbf-ceb501974a90']",53,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:02:53.534,Pressure,
,,,,,,,,,,,,True,,,,,0.23759,,,,,,,,,,,,1d6a77db-d97c-4ec8-8480-58aa716b12da,151,,"[105.1, 13.5]",3890297,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Ivo Iličević,24740.0,Left Wing,7,Hamburger SV,171,"['214ba80b-e98c-438e-a9ba-26ff4ceaee48', 'b1f2c2bf-c20b-48eb-9dad-6cac862d7939']",0,,,,,,,,,,,,,,,,Hamburger SV,171,00:03:00.394,Pressure,
,,,,,,,,,,,,,,,,,0.290849,,,,,,,,,,,,af500075-d860-4ee3-812f-846d2263217d,156,,"[40.5, 57.0]",3890297,3,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Aleksandar Ignjovski,9134.0,Right Back,7,Hamburger SV,171,,7,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:03:07.415,Pressure,
