50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.107533,,,,,,,,,,,,,,f10fe4c8-c2b7-4ab8-be03-381ff5030408,61,,"[25.3, 59.9]",3890355,1,,,,,-0.2843848,,Right Foot,,,"[38.3, 56.1]",,Ground Pass,,13.544003,,,Leon Goretzka,6324.0,,,,,,1,From Goal Kick,Benedikt Höwedes,7016.0,Right Center Back,4,Schalke 04,181,['e7fe92c9-f77f-4968-997d-87cd4ef65814'],14,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:14.906,Pass,
,,,,,,,,,,,,,,,,1.346191,,,,,,,,,,,,,,aa733f68-560c-4195-b139-1b176c09bccd,63,,"[38.3, 56.1]",3890355,1,,,,,2.8857841,,Right Foot,,,"[25.3, 59.5]",,Ground Pass,,13.437262,,,Benedikt Höwedes,7016.0,,,,,,1,From Goal Kick,Leon Goretzka,6324.0,Right Defensive Midfield,4,Schalke 04,181,['46df1276-486e-475d-8b56-94e8de1b1024'],16,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:16.014,Pass,
,,,,,,,,,,,,,,,,2.159411,,,,,,,,,,,,,,008af721-4439-4af6-9355-8e15399001c7,66,,"[25.7, 58.8]",3890355,1,,,,,-1.4741088,,Right Foot,,,"[28.6, 28.9]",,Ground Pass,,30.040306,,,Joël Andre Job Matip,3502.0,,,,,,1,From Goal Kick,Benedikt Höwedes,7016.0,Right Center Back,4,Schalke 04,181,['348a7d78-2607-463b-80bf-c9729aa279bc'],19,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:19.143,Pass,
,,,,,,,,,,,,,,,,1.170408,,,,,,,,,,,,,,e345f1b6-6d96-48a3-a363-2a70770d30cc,70,,"[55.6, 20.4]",3890355,1,,,,,-0.104876935,,Right Foot,,,"[76.5, 18.2]",,Ground Pass,,21.01547,Incomplete,,Klaas-Jan Huntelaar,8060.0,,,,,,1,From Goal Kick,Joël Andre Job Matip,3502.0,Left Center Back,4,Schalke 04,181,"['5024d4f0-0d86-4381-a4bd-b5201948e9b3', 'cdd9dac0-f863-48bd-83c9-12ceca05417e', 'cf6656ca-149e-41f1-9402-6f7ac982ff4b']",24,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:24.668,Pass,True
,,,,,,,,,,,,,,,,0.712417,,,,,,,,,,,,,,0f21d335-56a6-40cc-871b-de7b30b1da9e,75,,"[43.0, 55.9]",3890355,1,,,,,-1.0349851,,Right Foot,,,"[48.7, 46.3]",,Ground Pass,,11.164677,,,Pascal Groß,3097.0,,,,,,1,From Goal Kick,Tobias Levels,40460.0,Right Back,4,Schalke 04,181,"['425e15c7-1f55-4027-9d01-fab34bc0a0cb', '7007bf2a-f294-47ec-b041-0ddb249df1e6']",26,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:26.958,Pass,True
,,,,,,,,,,,,,,,,1.421003,,,,,,,,,,,,,,75c3a75c-9bf5-4d31-9df0-318a9aeea772,77,,"[48.9, 46.3]",3890355,1,,,,,0.7786415,,Right Foot,,,"[63.8, 61.0]",,Ground Pass,,20.930838,Incomplete,,Moritz Hartmann,40464.0,,,,,,1,From Goal Kick,Pascal Groß,3097.0,Left Center Midfield,4,Schalke 04,181,"['4c54fb44-4165-4b4c-9e2d-5d1e21ee1c82', 'd67b8bc1-3b36-4695-834f-0403886d8ef3']",27,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:01:27.670,Pass,
,,,,,,,,,,,,,,,,1.027519,,,,,,,,,,,,,,4c54fb44-4165-4b4c-9e2d-5d1e21ee1c82,79,,"[56.3, 19.1]",3890355,1,,,,,-0.2843848,,Right Foot,,,"[75.8, 13.4]",,Ground Pass,,20.316004,,,Dennis Aogo,8958.0,,,,,Recovery,1,From Goal Kick,Joël Andre Job Matip,3502.0,Left Center Back,4,Schalke 04,181,"['75c3a75c-9bf5-4d31-9df0-318a9aeea772', '790ab87c-e6a2-434e-8041-e7204cd7cf14']",29,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:29.091,Pass,
,,,,,,,,,,,,,,,,2.53594,,,,,,,,,,,,,,db05acdf-738c-4dda-87a7-92adfa69ca9b,82,,"[79.8, 13.6]",3890355,1,,,,,0.8494994,d22d0fda-8fe9-4d8e-bc80-964172542f11,Left Foot,,,"[107.5, 45.1]",,High Pass,,41.946873,,,Klaas-Jan Huntelaar,8060.0,True,,,,,1,From Goal Kick,Dennis Aogo,8958.0,Left Back,4,Schalke 04,181,['df67668a-2864-4023-87b3-a804fa2d212a'],31,,,,,,,,,,,,,,,,,,Schalke 04,181,00:01:31.643,Pass,
,,,,,,,,,,,,,,,,3.653981,,,,,,,,,,,,,,10601fe3-29bd-4958-8f4a-17cd6205f873,86,,"[6.0, 36.0]",3890355,2,,,,,-0.05998382,,Left Foot,,,"[77.6, 31.7]",,High Pass,,71.729004,Incomplete,,Elias Kachunga,2968.0,,,,,Goal Kick,1,From Goal Kick,Ramazan Özcan,12319.0,Goalkeeper,5,Ingolstadt,189,"['573ecd32-bf3e-4e3d-a284-501b0eee0bdc', 'f9c46386-b8f1-495a-8754-c0dd45d965a7']",4,,,,,,,,,,,,,,,,,,Ingolstadt,189,00:02:04.005,Pass,
,,,,,,,,,,,,,,,,1.854194,,,,,,,,,,,,,,573ecd32-bf3e-4e3d-a284-501b0eee0bdc,88,,"[42.5, 48.4]",3890355,2,,,,True,-0.45231664,,,,,"[56.7, 41.5]",,High Pass,,15.787653,Incomplete,,Franco Matías Di Santo,8512.0,,,,,Recovery,1,From Goal Kick,Leon Goretzka,6324.0,Right Defensive Midfield,5,Ingolstadt,189,"['10601fe3-29bd-4958-8f4a-17cd6205f873', '18324dfd-c7d7-47cc-9f32-df547ba454c3', '2fb88e25-b9f5-4a29-925a-7259e98a8897', 'fcf5a460-726d-4d8e-9b9d-6e48781dca00']",7,,,,,,,,,,,,,,,,,,Schalke 04,181,00:02:07.659,Pass,True
