50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.773351,,,,,,,,,,,,,,8507e291-a7d9-4964-a305-bc5e8c9444e6,51,,,"[30.3, 26.6]",3890329,0,,,,2.6184914,,Right Foot,,,,"[14.0, 36.0]",,Ground Pass,,18.816216,,,,Manuel Neuer,5570.0,,,,,,1,From Throw In,Javier Martínez Aginaga,9399.0,Center Back,4,Bayern Munich,169,"['df62a665-d01c-4a44-ba1d-574f9488d940', 'e84b1e03-07d5-4897-9b51-99bd204fd805']",45,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:45.995,Pass,True
,,,,,,,,,,,,,,,,2.103354,,,,,,,,,,,,,,6d98767c-fdec-414d-a305-fa6814cd5882,54,,,"[14.0, 36.0]",3890329,0,,,,-1.0878938,,Right Foot,,,,"[29.1, 7.2]",,Ground Pass,,32.518456,,,,David Olatukunbo Alaba,8220.0,,,,,,1,From Throw In,Manuel Neuer,5570.0,Goalkeeper,4,Bayern Munich,169,['0baf0679-cce0-4116-a3cc-66182c333f48'],47,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:47.768,Pass,
,,,,,,,,,,,,,,,,2.398848,,,,,,,,,,,,,,905e1252-5894-4891-b508-ab4a5752247a,57,,,"[48.3, 7.7]",3890329,0,,,,0.9136108,,Left Foot,,,,"[85.8, 56.3]",,High Pass,,61.385746,,Incomplete,,Thomas Müller,5562.0,,True,,,,1,From Throw In,David Olatukunbo Alaba,8220.0,Left Center Back,4,Bayern Munich,169,"['1d120ec4-aecf-4a22-8680-0aba864265de', 'f1da23ae-6ba5-4cb7-9372-26de87ca7c8f']",53,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:53.312,Pass,
,,,,,,,,,,,,,,,,1.924164,,,,,,,,,,,,,,1d120ec4-aecf-4a22-8680-0aba864265de,59,,,"[34.3, 23.8]",3890329,0,,,True,-0.09251862,,,,,,"[44.0, 22.9]",,Low Pass,,9.741663,,Incomplete,,Gonzalo Castro Randon,8233.0,,,,,Recovery,1,From Throw In,Łukasz Piszczek,5658.0,Left Back,4,Bayern Munich,169,"['3a27ec90-b38e-4f3b-b4d5-139792fe729c', '905e1252-5894-4891-b508-ab4a5752247a', 'ec199139-6c19-42af-adfe-036115bee9e6', 'fa54c5b5-a714-431e-89d9-3c0ed8cec092']",55,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:55.710,Pass,True
,,,,,,,,,,,,,,,,2.232631,,,,,,,,,,,,,,ec199139-6c19-42af-adfe-036115bee9e6,62,,,"[76.1, 57.2]",3890329,0,,,,0.93784493,,Right Foot,,,,"[91.8, 78.6]",,Low Pass,,26.541477,,,,Mario Götze,8227.0,,,,,Recovery,1,From Throw In,Philipp Lahm,19295.0,Right Center Midfield,4,Bayern Munich,169,"['1d120ec4-aecf-4a22-8680-0aba864265de', 'acaa1b73-4840-4141-b979-6275c3382ef6']",57,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:57.635,Pass,
,,,,,,,,,,,,,,,,1.541779,,,,,,,,,,,,,,30e3151d-d715-4ab7-8b59-ed78bf7f16da,65,,,"[107.0, 78.0]",3890329,1,,,,-1.4061204,,Right Foot,True,,,"[112.7, 43.7]",,High Pass,,34.77039,,Incomplete,,Robert Lewandowski,5668.0,,,,,,1,From Throw In,Mario Götze,8227.0,Right Wing Back,4,Bayern Munich,169,"['0c06bbd2-685e-4adb-bdf7-7fee51f1ecb7', '89d8335f-46b0-4c04-810a-1e1e4cf4d10c']",3,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:03.552,Pass,
,,,,,,,,,,,,,,,,2.653671,,,,,,,,,,,,,,ec374261-bc98-4f39-86d0-0dd4c14d6c08,71,,,"[35.7, 24.7]",3890329,1,,,,-0.26361507,,Right Foot,,,,"[64.6, 16.9]",,High Pass,,29.934093,,,,Henrikh Mkhitaryan,3275.0,,,,,,1,Regular Play,Shinji Kagawa,5684.0,Center Attacking Midfield,5,Borussia Dortmund,180,['5bb78c62-cdca-4334-9bf3-04ed819aa736'],9,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:09.178,Pass,
,,,,,,,,,,,,,,,,0.417509,,,,,,,,,,,,,,1fff72ca-10e0-4057-b64c-8fd2ba45e5ce,74,,,"[75.2, 18.6]",3890329,1,,,,1.294128,,Right Foot,,,,"[77.5, 26.7]",,High Pass,,8.420214,,Incomplete,,,,,,,,,1,Regular Play,Henrikh Mkhitaryan,3275.0,Left Center Forward,5,Borussia Dortmund,180,['f9f017c7-c328-4cea-a5e9-0d9bdde9557b'],13,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:13.413,Pass,
,,,,,,,,,,,,,,,,2.400526,,,,,,,,,,,,,,3fc17318-c7f2-4c8b-aec2-f0b6cfb9986f,76,,,"[40.9, 58.0]",3890329,1,,,,-0.48624262,,Head,,,,"[54.9, 50.6]",,High Pass,,15.835403,,Incomplete,,,,,,,,Recovery,1,Regular Play,Javier Martínez Aginaga,9399.0,Center Back,5,Borussia Dortmund,180,['87c41618-ed04-4f05-a64c-2e8e5c3edca3'],15,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:15.136,Pass,
,,,,,,,,,,,,,,,,0.878756,,,,,,,,,,,,,,0d56ffcf-ceb2-453d-b075-2a5372b784f8,79,,,"[64.3, 32.3]",3890329,1,,,,1.176861,,Right Foot,,,,"[71.2, 48.9]",,Ground Pass,,17.976929,,,,İlkay Gündoğan,10287.0,,,,,,1,Regular Play,Julian Weigl,8816.0,Center Defensive Midfield,5,Borussia Dortmund,180,['42286f26-563f-4789-9444-f5fdef776095'],18,,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:18.191,Pass,
