50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.917555,,,,,,,,,,,,,,cc249167-2038-4967-95c5-1ed32af196a1,3449,,"[116.1, 72.1]",3890494,85,,,,,-1.5464956,,Right Foot,True,,"[116.8, 43.3]",,High Pass,,28.808506,Incomplete,,Pablo Ezequiel De Blasis,8555.0,,,,,,2,Regular Play,Daniel Brosinski,8548.0,Right Back,192,FSV Mainz 05,177,"['645bfc7b-a42d-4f3f-98af-12fc6d39f342', 'b2707633-6dee-466e-9cca-28f6c54d3ea9']",59,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:40:59.043,Pass,
,,,,,,,,,,,,,,,,,3.457011,,,,,,,,,,,,,,f610e69a-c954-496b-a7cc-7ae0165f3c9f,3452,,"[5.5, 35.9]",3890494,86,,,,,-0.4356403,,Right Foot,,,"[38.8, 20.4]",,High Pass,,36.73064,Incomplete,,Anthony Ujah,12624.0,,,,,Recovery,2,Regular Play,Theodor Gebre Selassie,8396.0,Right Back,192,FSV Mainz 05,177,"['5b5922bf-2e1e-4f26-b5c0-c72a97a3076f', '9cb88200-fcff-494b-bc8d-abde2cb7190e']",1,,,,,,,,,,,,,,,,,Werder Bremen,176,00:41:01.279,Pass,
,,,,,,,,,,,,,,,,,1.846683,,,,,,,,,,,,,,b8c04a62-1689-49c2-866e-38d41e89692c,3458,,"[65.1, 61.9]",3890494,86,,,,,-1.9905921,,Right Foot,,,"[57.2, 44.2]",,Ground Pass,,19.382982,,,Alexander Hack,15847.0,,,,,,2,Regular Play,Danny Latza,8539.0,Left Defensive Midfield,192,FSV Mainz 05,177,['b7d29c8b-cdf5-476a-a41f-f8fd74158572'],9,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:09.768,Pass,
,,,,,,,,,,,,,,,,,2.512333,,,,,,,,,,,,,,8ae36544-96ee-4183-9872-1d7741129f2b,3461,,"[64.2, 43.1]",3890494,86,,,,,1.2896278,,Left Foot,,,"[73.5, 75.3]",,High Pass,,33.516117,,,Danny Latza,8539.0,,,,,,2,Regular Play,Alexander Hack,15847.0,Left Center Back,192,FSV Mainz 05,177,['b0facc12-2dc4-43b7-8b9a-920e8e9e256f'],13,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:13.560,Pass,
,,,,,,,,,,,,,,,,,0.739415,,,,,,,,,,,,,,8356be2f-2878-43bb-ab52-40da1babf3c7,3464,,"[75.4, 75.5]",3890494,86,,,,,-1.439969,,Right Foot,,,"[76.4, 67.9]",,Ground Pass,,7.6655073,,,Yunus Mallı,8679.0,,,,,,2,Regular Play,Danny Latza,8539.0,Left Defensive Midfield,192,FSV Mainz 05,177,['f327c04d-4e9c-4766-a8db-812b4b385db1'],17,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:17.775,Pass,
,,,,,,,,,,,,,,,,,1.065296,,,,,,,,,,,,,,82a6c4a2-c17a-4f2a-975b-ad89d7fe44d2,3467,,"[76.0, 67.7]",3890494,86,,,,,-1.5940479,,Right Foot,,,"[75.8, 59.1]",,Ground Pass,,8.602325,,,Julian Baumgartlinger,20037.0,,,,,,2,Regular Play,Yunus Mallı,8679.0,Center Attacking Midfield,192,FSV Mainz 05,177,['184b45f2-096b-48ec-b93b-afd423ecdc58'],19,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:19.827,Pass,
,,,,,,,,,,,,,,,,,1.275935,,,,,,,,,,,,,,8f84a939-85a0-4430-bb12-2306537df20e,3469,,"[75.8, 59.1]",3890494,86,,,,,2.4712617,,Left Foot,,,"[64.7, 67.9]",,Ground Pass,,14.165098,,,Danny Latza,8539.0,,,,,,2,Regular Play,Julian Baumgartlinger,20037.0,Right Defensive Midfield,192,FSV Mainz 05,177,['65df8ca7-9370-485f-bc59-6ca259ffddf8'],20,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:20.892,Pass,
,,,,,,,,,,,,,,,,,1.21013,,,,,,,,,,,,,,178291c9-8208-4cf8-8064-69fbfbd29099,3472,,"[66.1, 65.5]",3890494,86,,,,,1.82812,,Left Foot,,,"[63.6, 75.0]",,Ground Pass,,9.8234415,,,Stefan Bell,8559.0,,,,,,2,Regular Play,Danny Latza,8539.0,Left Defensive Midfield,192,FSV Mainz 05,177,['00790d56-d2ea-4969-ae68-9b8af07fb949'],27,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:27.020,Pass,
,,,,,,,,,,,,,,,,,1.847257,,,,,,,,,,,,,,ac2f0e56-f88e-4f45-b648-c934efba6dfe,3475,,"[60.0, 73.7]",3890494,86,,,,,-1.735002,,Left Foot,,,"[54.3, 39.3]",,Ground Pass,,34.86904,,,Alexander Hack,15847.0,,,,,,2,Regular Play,Stefan Bell,8559.0,Right Center Back,192,FSV Mainz 05,177,['347bf7e5-c7c4-4094-9433-8c2ca6174e23'],29,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:29.477,Pass,
,,,,,,,,,,,,,,,,,1.012361,,,,,,,,,,,,,,c3cbe316-1ab0-4078-8ba8-bcb6a807230e,3478,,"[54.3, 39.3]",3890494,86,,,,,-0.010988569,,Right Foot,,,"[72.5, 39.1]",,Ground Pass,,18.2011,,,Julian Baumgartlinger,20037.0,,,,,,2,Regular Play,Alexander Hack,15847.0,Left Center Back,192,FSV Mainz 05,177,['7adc8005-e896-4e58-8b6d-e78ea530d2b2'],33,,,,,,,,,,,,,,,,,FSV Mainz 05,177,00:41:33.406,Pass,
