50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.152303,,,,,,,,,,,,,,,92ce5e24-2b23-48d4-8446-f551df070f9a,50,,"[44.2, 80.0]",3890412,0,,True,,,-2.0996196,,,,,,"[34.5, 63.4]",Low Pass,19.226284,,,,Holger Badstuber,9406.0,,,,,,Throw-in,1,From Throw In,Philipp Lahm,19295.0,Right Back,3,Bayern Munich,169,['64ad5a45-31c2-456b-b280-40fe83587445'],52,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:52.042,Pass,
,,,,,,,,,,,,,,,,,,1.243506,,,,,,,,,,,,,,,176eb577-df92-4f25-802c-0c116b3d129f,52,,"[33.2, 59.7]",3890412,0,,,,,-1.4632319,,Left Foot,,,,"[37.8, 17.1]",Ground Pass,42.847637,,,,David Olatukunbo Alaba,8220.0,,,True,,,,1,From Throw In,Holger Badstuber,9406.0,Left Center Back,3,Bayern Munich,169,['8d970961-6e90-448b-9ea6-836f5a32e740'],55,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:00:55.299,Pass,
,,,,,,,,,,,,,,,,,,1.082444,,,,,,,,,,,,,,,625d95fe-c3e1-4e2d-aea4-aa58ba8748a1,56,,"[48.8, 9.4]",3890412,1,,,,,2.23778,,Left Foot,,,,"[35.1, 26.8]",Ground Pass,22.146105,,,,Holger Badstuber,9406.0,,,,,,,1,From Throw In,David Olatukunbo Alaba,8220.0,Left Back,3,Bayern Munich,169,"['39fbd92b-f305-4b17-a5eb-1284b8524821', '5f8b7d98-c311-4b49-94ae-25318c942885']",3,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:03.457,Pass,True
,,,,,,,,,,,,,,,,,,1.8964,,,,,,,,,,,,,,,1a2ef991-b821-4a22-b74f-860a104a016d,60,,"[33.2, 27.3]",3890412,1,,,,,2.2977653,,Left Foot,,,,"[16.3, 46.3]",Ground Pass,25.428528,,,,Manuel Neuer,5570.0,,,,,,,1,From Throw In,Holger Badstuber,9406.0,Left Center Back,3,Bayern Munich,169,"['2fcba1c3-72d7-4fe8-af37-2af9fa8c2ffc', '56de0872-bf3b-4cd7-b651-5a75696468b1']",5,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:05.802,Pass,True
,,,,,,,,,,,,,,,,,,1.206943,,,,,,,,,,,,,,,9bfdeb25-6b81-41b9-abce-d5129c133b8a,63,,"[17.6, 44.4]",3890412,1,,,,,0.08522023,,Right Foot,,,,"[37.5, 46.1]",Ground Pass,19.97248,,,,Philipp Lahm,19295.0,,,,,,,1,From Throw In,Manuel Neuer,5570.0,Goalkeeper,3,Bayern Munich,169,['680b639a-1cc9-4a2a-b57a-c41c524bf2ac'],11,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:11.409,Pass,
,,,,,,,,,,,,,,,,,,1.455354,,,,,,,,,,,,,,,2e916890-5592-4f54-af47-a07ca2183cd7,66,,"[37.4, 46.7]",3890412,1,,,,,3.100891,,Right Foot,,,,"[15.3, 47.6]",Ground Pass,22.118319,,,,Manuel Neuer,5570.0,,,,,,,1,From Throw In,Philipp Lahm,19295.0,Right Back,3,Bayern Munich,169,['6997c1cf-09c6-47ad-afe9-3cfd2145cc11'],12,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:12.824,Pass,
,,,,,,,,,,,,,,,,,,0.722974,,,,,,,,,,,,,,,24217c51-b4be-4761-ae93-f0ea386c6b9e,69,,"[17.9, 43.7]",3890412,1,,,,,-0.0155026335,,Right Foot,,,,"[30.8, 43.5]",Ground Pass,12.90155,,,,Philipp Lahm,19295.0,,,,,,,1,From Throw In,Manuel Neuer,5570.0,Goalkeeper,3,Bayern Munich,169,['48bc8f1d-0f1b-49a4-a0a9-2c824d496057'],17,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:17.088,Pass,
,,,,,,,,,,,,,,,,,,1.699884,,,,,,,,,,,,,,,d42de2b7-e8c1-41dd-a931-d659f02708eb,72,,"[28.5, 49.9]",3890412,1,,,,,-2.6135182,,Left Foot,,,,"[11.7, 40.1]",Ground Pass,19.44942,,,,Manuel Neuer,5570.0,,,,,,,1,From Throw In,Philipp Lahm,19295.0,Right Back,3,Bayern Munich,169,['274abbe5-05cf-45df-ab83-4028dbe5a929'],19,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:19.762,Pass,
,,,,,,,,,,,,,,,,,,1.473477,,,,,,,,,,,,,,,d39930da-fa55-4fa0-a874-c0d40f9bdfaa,75,,"[11.6, 37.6]",3890412,1,,,,,-1.2288465,,Right Foot,,,,"[22.1, 8.1]",Ground Pass,31.312937,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,From Throw In,Manuel Neuer,5570.0,Goalkeeper,3,Bayern Munich,169,['092ac43a-f11d-4a72-8535-a2b2a4691aed'],21,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:21.671,Pass,
,,,,,,,,,,,,,,,,,,0.630904,,,,,,,,,,,,,,,4211ed42-c11a-43bb-8e0b-2a62f3b62398,79,,"[27.2, 2.5]",3890412,1,,,,,-0.11773258,,Left Foot,,,,"[36.5, 1.4]",Ground Pass,9.364828,,,,Kingsley Coman,8217.0,,,,,,,1,From Throw In,David Olatukunbo Alaba,8220.0,Left Back,3,Bayern Munich,169,['bd188a6a-c9b0-4411-b31c-d9b2287972aa'],29,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:29.745,Pass,
,,,,,,,,,,,,,,,,,,0.502199,,,,,,,,,,,,,,,503d08a8-7b3b-4f88-b48b-1b5635c8857d,83,,"[37.8, 1.4]",3890412,1,,,,,1.9447383,,Right Foot,,,,"[34.7, 9.3]",Ground Pass,8.48646,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Throw In,Kingsley Coman,8217.0,Left Wing,3,Bayern Munich,169,['3a3d608e-7ca9-45aa-88c4-f43011520016'],32,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:32.056,Pass,
,,,,,,,,,,,,,,,,,,0.6871,,,,,,,,,,,,,,,627eb2b4-4ce5-4159-8c20-7b19f503f6b7,86,,"[34.7, 9.4]",3890412,1,,,,,-1.9638543,,Right Foot,,,,"[31.3, 1.2]",Low Pass,8.876936,,,,David Olatukunbo Alaba,8220.0,,,,,,,1,From Throw In,Xabier Alonso Olano,20133.0,Center Defensive Midfield,3,Bayern Munich,169,['94d4ba94-b75f-4733-8a0b-cdf966e708fd'],32,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:32.645,Pass,
,,,,,,,,,,,,,,,,,,1.186411,,,,,,,,,,,,,,,fe6695fe-df61-4ab6-87b2-9ce291634455,90,,"[30.8, 1.9]",3890412,1,,,,,2.6605387,,Left Foot,,,,"[10.3, 12.6]",Low Pass,23.124447,,,,Holger Badstuber,9406.0,,,,,,,1,From Throw In,David Olatukunbo Alaba,8220.0,Left Back,3,Bayern Munich,169,['46f87926-602d-432b-b72a-2833684007a1'],33,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:33.457,Pass,
,,,,,,,,,,,,,,,,,,0.526306,,,,,,,,,,,,,,,6c44d62b-a936-4ce1-84ac-6cf0288e04d2,93,,"[26.0, 17.8]",3890412,1,,,,,1.4422948,,Left Foot,,,,"[28.3, 35.6]",Ground Pass,17.94798,,,,Xabier Alonso Olano,20133.0,,,,,,,1,From Throw In,Holger Badstuber,9406.0,Left Center Back,3,Bayern Munich,169,['9aa7ce9c-0a9c-4f4b-9047-9c033dcc34aa'],38,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:38.810,Pass,
,,,,,,,,,,,,,,,,,,1.489784,,,,,,,,,,,,,,,8b192c0b-68e4-4156-ad38-ccde7f8d4503,97,,"[27.2, 37.5]",3890412,1,,,,,1.4392847,,Right Foot,,,,"[32.2, 75.3]",Ground Pass,38.129253,,,,Jérôme Boateng,5578.0,,,,,,,1,From Throw In,Xabier Alonso Olano,20133.0,Center Defensive Midfield,3,Bayern Munich,169,"['c2149ab3-6a70-46a5-acae-aabfab06dd20', 'e30e1bbe-4049-4fec-9eee-a5bf2f7f0e87']",40,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:40.677,Pass,True
,,,,,,,,,,,,,,,,,,2.280813,,,,,,,,,,,,,,,915d9a78-8a16-42a5-b5ce-4271246adb21,101,,"[33.4, 76.1]",3890412,1,,,,,-0.4036782,,Right Foot,,,,"[73.2, 59.1]",High Pass,43.278633,,Incomplete,,Thomas Müller,5562.0,,,,,,,1,From Throw In,Jérôme Boateng,5578.0,Right Center Back,3,Bayern Munich,169,"['36363bc3-baa5-4c25-bd26-686fb7819198', '8b9d47f1-f616-46b1-a94e-ea1cbee54e50', 'e4e0a540-4494-43e9-8884-bf7dc084bb1f']",43,,,,,,,,,,,,,,,,,,,Bayern Munich,169,00:01:43.329,Pass,True
,,,,,,,,,,,,,,,,,,0.213404,,,,,,,,,,,,,,,0b001657-ee2f-4438-88dd-0968294af106,105,,"[49.5, 12.2]",3890412,1,,,,,-0.13255154,,Left Foot,,,,"[52.5, 11.8]",High Pass,3.026549,,Incomplete,,Pierre-Michel Lasogga,8895.0,,,,,,,1,Regular Play,Cleber Janderson Pereira Reis,40468.0,Left Center Back,4,Hamburger SV,171,"['6e5764c4-4435-4125-b2c0-f19790e6397b', '96da1c49-5d18-46bc-a2d5-4c21aab9af6f', 'bea0743b-17cc-48ba-abb6-e25faa711fcc']",47,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:47.921,Pass,True
,,,,,,,,,,,,,,,,,,0.782915,,,,,,,,,,,,,,,7abfcb34-b612-4619-b36c-cde1003a6958,112,,"[63.8, 3.4]",3890412,1,,,,,2.6696465,,Right Foot,,,,"[54.2, 8.3]",Ground Pass,10.778219,,Incomplete,,Matthias Ostrzolek,8547.0,,,,,,,1,Regular Play,Ivo Iličević,24740.0,Left Wing,4,Hamburger SV,171,"['6c4d9cab-c7d8-4d31-a594-69a21544cd4a', 'c3799dd2-3628-419b-873e-1f12025614d6']",51,,,,,,,,,,,,,,,,,,,Hamburger SV,171,00:01:51.695,Pass,
