bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_redirect,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.842337,,,,,,,,,,,,,,b2bcf2ff-fde2-49f2-9bd7-47f261f2bf0f,64,,"[14.4, 51.5]",3890557,0,,,,,-0.018205272,,Right Foot,,,,"[85.8, 50.2]",High Pass,,71.411835,,,Incomplete,,Haris Seferović,5543.0,,,,,,1,Regular Play,Lukáš Hrádecký,8667.0,Goalkeeper,5,Eintracht Frankfurt,184,"['9a945b58-2e0f-4e64-9e3e-a179e010b03b', 'b8b267ce-c234-48cb-81e9-d4d5d3c9d5c9']",54,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:54.633,Pass,
,,,,,,,,,,,,,,,,,,1.288021,,,,,,,,,,,,,,b8b267ce-c234-48cb-81e9-d4d5d3c9d5c9,66,,"[34.3, 29.9]",3890557,0,,,,,0.63040143,,Head,,,,"[45.4, 38.0]",High Pass,,13.7411785,,,Incomplete,,Clemens Fritz,20010.0,,,,,Recovery,1,Regular Play,Papiss Mison Djilobodji,3774.0,Left Center Back,5,Eintracht Frankfurt,184,"['1e71dd83-6c11-45a2-b6cf-23052a55a694', 'b2bcf2ff-fde2-49f2-9bd7-47f261f2bf0f', 'b7671cf1-4aee-4bc8-8351-bd0b52b208ab']",57,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:00:57.476,Pass,
,,,,,,,,,,,,,,,,,,1.594484,,,,,,,,,,,,,,562801c0-1ec9-4acf-9c9a-45b1b3d3123d,73,,"[120.0, 80.0]",3890557,1,,,,,-1.8238293,0517dcb4-80a0-40d3-8029-f2da435170d0,Left Foot,,,,"[110.2, 42.1]",High Pass,True,39.14652,,,,,Änis Ben-Hatira,35240.0,True,,Inswinging,,Corner,1,From Corner,Tohouri Zahoui Constant Djakpa,400621.0,Left Wing,6,Eintracht Frankfurt,184,['d87d1a4e-ab3e-4cad-a4a4-1a1c26f739e4'],35,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:35.896,Pass,
,,,,,,,,,,,,,,,,,,2.668907,,,,,,,,,,,,,,dcb1f838-8d07-49ae-9fa8-6c4495c88e5e,79,,"[115.1, 22.6]",3890557,1,,,,,1.3723558,,Left Foot,True,,,"[118.8, 41.0]",High Pass,,18.768324,,,Out,,,,,,,,Recovery,1,From Corner,Haris Seferović,5543.0,Center Forward,6,Eintracht Frankfurt,184,['674c2ef7-424f-42ca-a836-dec7f13035e7'],40,,,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:40.625,Pass,True
,,,,,,,,,,,,,,,,,,2.50061,,,,,,,,,,,,,,f661c111-5f2a-49f2-98cd-1b1afc500925,80,,"[6.0, 44.0]",3890557,2,,,,,0.704888,,Left Foot,,,,"[28.1, 62.8]",Ground Pass,,29.014652,,,,,Theodor Gebre Selassie,8396.0,,,,,Goal Kick,1,From Goal Kick,Felix Wiedwald,23269.0,Goalkeeper,7,Werder Bremen,176,['d9682db7-66e6-41d6-a5bb-8358bf5699d4'],10,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:10.967,Pass,
,,,,,,,,,,,,,,,,,,1.352175,,,,,,,,,,,,,,99e6302c-24cd-4276-ab12-8f74fdec847c,83,,"[33.4, 67.3]",3890557,2,,,,,-1.867217,,Right Foot,,,,"[27.2, 47.0]",Ground Pass,,21.225693,,,,,Jannik Vestergaard,8815.0,,,,,,1,From Goal Kick,Theodor Gebre Selassie,8396.0,Right Back,7,Werder Bremen,176,['6441c347-0323-4275-aeaa-4724bd9a199f'],15,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:15.679,Pass,
,,,,,,,,,,,,,,,,,,0.965547,,,,,,,,,,,,,,65625f1c-5f05-44fe-9397-1e207390184c,86,,"[27.2, 47.0]",3890557,2,,,,,0.018516403,,Right Foot,,,,"[48.8, 47.4]",Ground Pass,,21.603703,,,,,Florian Grillitsch,11396.0,,,,,,1,From Goal Kick,Jannik Vestergaard,8815.0,Right Center Back,7,Werder Bremen,176,['b12f33b9-dacd-4d58-879e-4bfe8eb1359b'],18,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:18.357,Pass,
,,,,,,,,,,,,,,,,,,1.467828,,,,,,,,,,,,,,7f4de949-bf5d-45de-86fe-d404bddfc822,89,,"[48.4, 47.6]",3890557,2,,,,,-2.634494,,Right Foot,,,,"[34.9, 40.1]",Ground Pass,,15.443445,,,,,Jannik Vestergaard,8815.0,,,,,,1,From Goal Kick,Florian Grillitsch,11396.0,Left Defensive Midfield,7,Werder Bremen,176,['4035b3b3-2cee-4305-a92f-5ad3c1e482fc'],19,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:19.516,Pass,
,,,,,,,,,,,,,,,,,,1.267787,,,,,,,,,,,,,,9708037e-c2a9-40d9-bb7c-ae16bb041871,92,,"[34.9, 40.4]",3890557,2,,,,,-1.5472158,,Right Foot,,,,"[35.4, 19.2]",Ground Pass,,21.205894,,,,,Papiss Mison Djilobodji,3774.0,,,,,,1,From Goal Kick,Jannik Vestergaard,8815.0,Right Center Back,7,Werder Bremen,176,['3defcc8c-5d51-4972-ae1b-14ffbbb2391c'],21,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:21.068,Pass,
,,,,,,,,,,,,,,,,,,0.864868,,,,,,,,,,,,,,8ed35ad6-9527-48ba-965b-cebb8d41b0ef,96,,"[40.9, 14.5]",3890557,2,,,,,-0.27708754,,Left Foot,,,,"[62.7, 8.3]",Low Pass,,22.664509,,,Incomplete,,Santiago García,26359.0,,,,,,1,From Goal Kick,Papiss Mison Djilobodji,3774.0,Left Center Back,7,Werder Bremen,176,"['c516f5d3-57ce-43f3-a72f-09538d89e70f', 'ea335ff8-aeda-4948-9da4-58f31163721f', 'f96e3c75-08c7-470c-b563-e80990f62adf']",24,,,,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:24.185,Pass,True
