50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.066172,,,,,,,,,,,e954905b-bf2a-4cb4-8acd-b7b043e05b96,48,,,"[58.7, 14.1]",3890531,1,,,,-0.6395224,,Left Foot,,,"[70.8, 5.1]",,Ground Pass,,15.080119,,,Filip Mladenović,7993.0,,,,,,1,From Free Kick,Jonas Hector,6040.0,Left Defensive Midfield,6,FC Köln,186,['9dbec44b-db47-4a0f-806c-199a0323133e'],54,,,,,,,,,,,,,,,,,,FC Köln,186,00:01:54.110,Pass,
,,,,,,,,,,,,,,,,,1.749415,,,,,,,,,,,92cc4b0e-51f7-4f9b-b846-4517e5679d7b,52,,,"[69.6, 7.9]",3890531,1,,,,3.0959623,,Left Foot,,,"[47.7, 8.9]",,Ground Pass,,21.92282,,,Jonas Hector,6040.0,,,,,,1,From Free Kick,Filip Mladenović,7993.0,Left Back,6,FC Köln,186,"['6dcba52f-efbe-4823-950b-27b0f0d5a5af', 'd43fbcd7-52dc-42d3-8381-95228683dce4']",56,,,,,,,,,,,,,,,,,,FC Köln,186,00:01:56.304,Pass,True
,,,,,,,,,,,,,,,,,1.791737,,,,,,,,,,,bd859d02-d39d-4c7a-90b9-a1dcc7fda0bd,55,,,"[50.7, 23.3]",3890531,2,,,,1.7529646,,Left Foot,,,"[43.7, 61.3]",,Ground Pass,,38.63936,,,Dominik Maroh,11286.0,,,,,,1,From Free Kick,Jonas Hector,6040.0,Left Defensive Midfield,6,FC Köln,186,['4bcd4547-d4d8-4bc5-a70c-f409cd4aabdc'],3,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:03.560,Pass,
,,,,,,,,,,,,,,,,,1.42235,,,,,,,,,,,d12e191f-604a-4bda-9fbd-0939f1932ba2,58,,,"[43.9, 64.1]",3890531,2,,,,0.80667156,,Right Foot,,,"[55.4, 76.1]",,Ground Pass,,16.62077,,,Frederik Hillesborg Sørensen,8829.0,,,,,,1,From Free Kick,Dominik Maroh,11286.0,Right Center Back,6,FC Köln,186,['e2de2a8f-2874-40c0-84cb-7edf2d45ade5'],6,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:06.548,Pass,
,,,,,,,,,,,,,,,,,1.092762,,,,,,,,,,,846b6580-64bc-4e02-a2c3-77831368b293,61,,,"[55.0, 75.7]",3890531,2,,,,-2.730968,,Right Foot,,,"[40.3, 69.3]",,Ground Pass,,16.03278,,,Dominik Maroh,11286.0,,,,,,1,From Free Kick,Frederik Hillesborg Sørensen,8829.0,Right Back,6,FC Köln,186,['2dca75d4-e291-4a08-bd4d-fdbb9c666ff7'],8,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:08.056,Pass,
,,,,,,,,,,,,,,,,,1.287957,,,,,,,,,,,8af3613e-c64e-4679-8516-863ed51a8827,64,,,"[37.9, 68.4]",3890531,2,,,,-0.9583733,,Right Foot,,,"[49.0, 52.6]",,Ground Pass,,19.309324,,,Jonas Hector,6040.0,,,,,,1,From Free Kick,Dominik Maroh,11286.0,Right Center Back,6,FC Köln,186,['eac3f3da-47a8-43ff-88f0-cf9b168288bf'],10,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:10.756,Pass,
,,,,,,,,,,,,,,,,,1.502948,,,,,,,,,,,982fd199-10c9-4a83-92a3-a57e70d1e1af,67,,,"[49.5, 54.1]",3890531,2,,,,2.377112,,Left Foot,,,"[37.3, 65.8]",,Ground Pass,,16.90355,,,Dominik Maroh,11286.0,,,,,,1,From Free Kick,Jonas Hector,6040.0,Left Defensive Midfield,6,FC Köln,186,"['024a008d-16f3-4aae-8b43-552440d30da8', 'f878a3aa-cb9d-49c3-80c2-e952f4b62fbb']",12,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:12.044,Pass,True
,,,,,,,,,,,,,,,,,1.661634,,,,,,,,,,,246765b5-3b63-4477-a2a3-be16079ae8bc,70,,,"[34.9, 65.6]",3890531,2,,,,0.79615045,,Right Foot,,,"[44.1, 75.0]",,Ground Pass,,13.152946,,,Matthias Lehmann,8827.0,,,,,,1,From Free Kick,Dominik Maroh,11286.0,Right Center Back,6,FC Köln,186,['35960f65-06b5-447e-97ce-3e129d2c234f'],13,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:13.782,Pass,
,,,,,,,,,,,,,,,,,2.031027,,,,,,,,,,,1b728988-ef51-47c5-8123-ef84248f2cb4,73,,,"[36.2, 75.9]",3890531,2,,,,-2.0155783,,Right Foot,,,"[31.1, 65.2]",,Ground Pass,,11.85327,,,Dominik Maroh,11286.0,,,,,,1,From Free Kick,Matthias Lehmann,8827.0,Right Defensive Midfield,6,FC Köln,186,['e6d77bb7-3f20-4744-b4d6-d564837d409f'],17,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:17.769,Pass,
,,,,,,,,,,,,,,,,,1.271828,,,,,,,,,,,206dff5b-f090-4b6a-a330-428b74a4e0bd,76,,,"[37.3, 62.0]",3890531,2,,,,1.1218536,,Left Foot,,,"[43.9, 75.7]",,Ground Pass,,15.206906,,,Frederik Hillesborg Sørensen,8829.0,,,,,,1,From Free Kick,Dominik Maroh,11286.0,Right Center Back,6,FC Köln,186,['ff09f7c0-e21c-4455-b1b7-4711f88279f1'],21,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:21.138,Pass,
,,,,,,,,,,,,,,,,,1.415838,,,,,,,,,,,03bea368-e26d-49ba-9c15-2b208af44018,79,,,"[44.7, 75.2]",3890531,2,,,,-1.2966288,,Right Foot,,,"[50.1, 56.0]",,Ground Pass,,19.944923,,,Jonas Hector,6040.0,,,,,,1,From Free Kick,Frederik Hillesborg Sørensen,8829.0,Right Back,6,FC Köln,186,['1731bb98-efc9-4b07-93c1-f4c4a35d790e'],23,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:23.334,Pass,
,,,,,,,,,,,,,,,,,0.713555,,,,,,,,,,,8307e687-a495-43e3-bed4-fc9202b250c5,86,,,"[70.0, 24.5]",3890531,2,,,,-2.2917676,,Left Foot,,,"[64.2, 17.9]",,Ground Pass,,8.786353,,,Mario Vrančić,13675.0,,,,,,1,Regular Play,Fabian Holland,9222.0,Left Defensive Midfield,7,Darmstadt 98,872,['b2667937-1e3d-4698-858d-29c514b5d415'],29,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:29.202,Pass,
,,,,,,,,,,,,,,,,,1.291728,,,,,,,,,,,1b7eb57a-d7a6-4628-bd55-a0f524b9fa92,89,,,"[64.2, 17.9]",3890531,2,,,,2.225367,,Left Foot,,,"[57.6, 26.5]",,Ground Pass,,10.840664,,,Júnior Enrique Díaz Campbell,108336.0,,,,,,1,Regular Play,Mario Vrančić,13675.0,Center Attacking Midfield,7,Darmstadt 98,872,['26515203-600a-4b34-b80c-bb5a65bfb6fd'],30,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:30.352,Pass,
,,,,,,,,,,,,,,,,,1.784107,,,,,,,,,,,6fb6aed7-bb04-46a5-a79c-cc78683ed5de,92,,,"[60.8, 27.7]",3890531,2,,,,0.9206829,,Left Foot,,,"[84.6, 59.0]",,High Pass,,39.320858,,,Jérôme Gondorf,8388.0,,,,,,1,Regular Play,Júnior Enrique Díaz Campbell,108336.0,Left Back,7,Darmstadt 98,872,['5a6ceaff-0a95-43ed-a6f2-329e6828c8bd'],32,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:32.568,Pass,
,,,,,,,,,,,,,,,,,1.703597,,,,,,,,,,,f5a72c81-cc0c-492d-8a17-666fb9d2b56c,99,,,"[93.5, 66.9]",3890531,2,,,,2.0860412,,Right Foot,,,"[88.8, 75.2]",,Ground Pass,,9.538343,,,Jérôme Gondorf,8388.0,,,,,,1,Regular Play,Marcel Heller,9401.0,Right Wing,7,Darmstadt 98,872,['d1e06e18-4d88-46f7-a43f-9a0e1c46f519'],39,,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:02:39.409,Pass,
,,,,,,,,,,,,,,,,,1.28822,,,,,,,,,,,0b7ef60c-231a-44fa-9e00-f1dcbce028b6,103,,,"[30.4, 7.4]",3890531,2,,,,1.0186434,,Right Foot,,,"[37.3, 18.6]",,Ground Pass,,13.154847,,,Yūya Ōsako,5679.0,,,,,Recovery,1,Regular Play,Matthias Lehmann,8827.0,Right Defensive Midfield,8,FC Köln,186,"['82db7c1a-f26e-4221-9851-475869cd6fdb', 'feb250e0-3470-4fb7-8db2-3f49d9d9c255']",42,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:42.128,Pass,True
,,,,,,,,,,,,,,,,,1.103343,,,,,,,,,,,27c2e979-9146-49a0-bda6-6250e2f26b06,106,,,"[50.9, 26.5]",3890531,2,,,,1.7645948,,Left Foot,,,"[48.8, 37.2]",,Ground Pass,,10.904128,,,Jonas Hector,6040.0,,,,,,1,Regular Play,Yūya Ōsako,5679.0,Center Attacking Midfield,8,FC Köln,186,['0228aa5e-3b25-4b12-9da5-5497451fec6a'],45,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:45.509,Pass,
,,,,,,,,,,,,,,,,,0.90625,,,,,,,,,,,17179fd9-c0cf-452b-ac87-43711c7bedd2,109,,,"[71.5, 48.5]",3890531,2,,,,-0.06241881,,Left Foot,,,"[81.1, 47.9]",,Ground Pass,,9.6187315,,,Yūya Ōsako,5679.0,,,,,,1,Regular Play,Jonas Hector,6040.0,Left Defensive Midfield,8,FC Köln,186,['a5d79722-0b0c-4e39-a401-67e88519cf22'],49,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:49.580,Pass,
,,,,,,,,,,,,,,,,,0.84086,,,,,,,,,,,e3b41798-3060-4848-a409-7375d82c099f,111,,,"[83.2, 48.1]",3890531,2,,,,-2.0437028,,Right Foot,,,"[78.8, 39.5]",,Ground Pass,,9.660228,,,Jonas Hector,6040.0,,,,,,1,Regular Play,Yūya Ōsako,5679.0,Center Attacking Midfield,8,FC Köln,186,['3ebd5a74-f561-4908-be0a-014703e9d3fe'],50,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:50.486,Pass,
,,,,,,,,,,,,,,,,,2.3974,,,,,,,,,,,aa286e5f-f054-40ff-9706-8c051f9419e2,115,,,"[79.8, 38.0]",3890531,2,,,,-1.1197267,,Left Foot,,,"[92.2, 12.4]",,Ground Pass,,28.445034,Incomplete,,Filip Mladenović,7993.0,,,,,,1,Regular Play,Jonas Hector,6040.0,Left Defensive Midfield,8,FC Köln,186,"['4855fa1b-3eaf-43ec-a342-18bd6041e5eb', '5ff80cf1-b4c2-4579-9ce0-2ca931252545', 'd7ab9620-3938-4085-9ada-ea9826ae629d']",52,,,,,,,,,,,,,,,,,,FC Köln,186,00:02:52.409,Pass,True
,,,,,,,,,,,,,,,,,1.834785,,,,,,,,,,,36565fc0-fc18-4e7e-9926-1c492e0747f7,118,,,"[99.3, 0.1]",3890531,3,,,,2.113643,,,,,"[84.7, 24.3]",,Low Pass,,28.26305,,,Matthias Lehmann,8827.0,,,,,Throw-in,1,From Throw In,Filip Mladenović,7993.0,Left Back,9,FC Köln,186,['99594c31-5997-4805-9073-9e606f6e1297'],3,,,,,,,,,,,,,,,,,,FC Köln,186,00:03:03.246,Pass,
