50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.173733,,,,,,,,,,,,,9bc8d22c-a99f-4a44-a0ed-122ddb3f2cae,52,,"[78.3, 58.8]",3890553,0,,,,0.22503829,,Right Foot,,,,"[111.5, 66.4]",,Ground Pass,,34.058773,,Incomplete,,Erik Durm,13206.0,,,,,,1,From Free Kick,Henrikh Mkhitaryan,3275.0,Right Center Midfield,3,Borussia Dortmund,180,"['990eb9e6-7a1c-47ef-a3ed-84e71b2743d9', 'c62e58f8-ea36-4ce4-8d3a-685276e874ec', 'df1642cf-858d-4acd-9dc1-d8ef563deb87']",44,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:00:44.110,Pass,True
,,,,,,,,,,,,,,,,0.891785,,,,,,,,,,,,,a1dd411a-544e-4d73-965f-864a95fe2338,57,,"[2.4, 8.0]",3890553,0,,,,-0.2534244,,Left Foot,,,,"[16.3, 4.4]",,Ground Pass,,14.358621,,,,Tohouri Zahoui Constant Djakpa,400621.0,,,,,,1,From Free Kick,Bastian Oczipka,8504.0,Left Center Back,3,Borussia Dortmund,180,"['8d9c2725-1130-4e31-8548-434ad0490861', 'd6376605-b688-479f-a56f-8fe449ac4682']",49,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:49.908,Pass,True
,,,,,,,,,,,,,,,,4.504674,,,,,,,,,,,,,0fd62f0e-9bf2-467b-8b46-37e9e0a6ae03,61,,"[15.2, 5.2]",3890553,0,,,,0.30669996,,Left Foot,,,,"[79.3, 25.5]",,High Pass,,67.23764,,Incomplete,,Stefan Aigner,21156.0,,,,,,1,From Free Kick,Tohouri Zahoui Constant Djakpa,400621.0,Left Wing Back,3,Borussia Dortmund,180,"['6985eb59-a225-4047-b49a-3aeb39ca59bf', '985d25d5-d506-4e80-8c27-36862eeec381']",52,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:00:52.323,Pass,
,,,,,,,,,,,,,,,,1.971999,,,,,,,,,,,,,8711d6d9-769d-47bc-b71a-5594411cbae9,65,,"[71.4, 0.1]",3890553,1,,,,0.24326046,,,,,,"[98.8, 6.9]",,High Pass,,28.231188,,Incomplete,,Luc Castaignos,7846.0,,,,,Throw-in,1,From Throw In,Tohouri Zahoui Constant Djakpa,400621.0,Left Wing Back,4,Eintracht Frankfurt,184,"['1e5ef3aa-544d-4a7d-a4ff-c9c9e57518f1', '98282f04-8c97-4813-870f-cbe45d79a104']",11,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:01:11.808,Pass,
,,,,,,,,,,,,,,,,1.544916,,,,,,,,,,,,,a0b5d834-129f-4394-bfef-4e8cc2ea4b80,70,,"[41.0, 74.6]",3890553,1,,,,0.1558682,,Right Foot,,,,"[55.0, 76.8]",,Ground Pass,,14.1718025,,,,Pierre-Emerick Aubameyang,3712.0,,,,,,1,Regular Play,Sven Bender,8216.0,Right Center Back,5,Borussia Dortmund,180,['a79a307b-584f-4241-8e91-b2f5abbc25ba'],17,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:17.026,Pass,
,,,,,,,,,,,,,,,,1.368028,,,,,,,,,,,,,8ba79040-5241-4b58-8103-9ae82a377cc1,72,,"[55.0, 76.8]",3890553,1,,,,-1.4610693,,Right Foot,,,,"[56.3, 65.0]",,Ground Pass,,11.871394,,,,Shinji Kagawa,5684.0,,,,,,1,Regular Play,Pierre-Emerick Aubameyang,3712.0,Right Center Forward,5,Borussia Dortmund,180,['9045994e-02bf-4590-a42f-cbaf0a03c519'],18,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:18.571,Pass,
,,,,,,,,,,,,,,,,2.878107,,,,,,,,,,,,,78f87a94-9492-424a-9f47-9bd2228a4856,76,,"[57.5, 65.6]",3890553,1,,,,0.31282222,,Right Foot,,,,"[91.2, 76.5]",,Low Pass,,35.418922,,,,Pierre-Emerick Aubameyang,3712.0,,,,,,1,Regular Play,Shinji Kagawa,5684.0,Center Attacking Midfield,5,Borussia Dortmund,180,['2164d0c6-908d-4a19-bcd6-44a042555f5e'],20,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:20.577,Pass,
,,,,,,,,,,,,,,,,2.787373,,,,,,,,,,,,,4c81f4e0-b4e0-42a6-82da-0e2679a149c8,82,,"[90.1, 80.0]",3890553,1,,,,-2.849787,,,,,,"[63.8, 72.1]",,Low Pass,,27.460882,,,,Sven Bender,8216.0,,,,,Throw-in,1,From Throw In,Erik Durm,13206.0,Right Back,6,Borussia Dortmund,180,['9a0c5a86-f8ca-4269-a785-d43ba768068d'],38,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:38.266,Pass,
,,,,,,,,,,,,,,,,2.247271,,,,,,,,,,,,,40b2da5e-6439-4936-aa19-0c9a51a4f3ac,85,,"[55.1, 71.6]",3890553,1,,,,-1.5588566,,Left Foot,,,,"[55.5, 38.1]",,Ground Pass,,33.502388,,,,Mats Hummels,5572.0,,,,,,1,From Throw In,Sven Bender,8216.0,Right Center Back,6,Borussia Dortmund,180,['5e023c7f-4cf5-4675-b1c5-d961fc39ea11'],41,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:41.740,Pass,
,,,,,,,,,,,,,,,,1.163267,,,,,,,,,,,,,56645ce5-fdd8-4280-b1bc-5b1433bfa524,88,,"[63.5, 33.8]",3890553,1,,,,-0.5028432,,Left Foot,,,,"[83.5, 22.8]",,Ground Pass,,22.825424,,,,Marco Reus,5559.0,,,,,,1,From Throw In,Mats Hummels,5572.0,Left Center Back,6,Borussia Dortmund,180,['97ea08db-5eac-40bf-b3ad-5c4354323349'],46,,,,,,,,,,,,,,,,,Borussia Dortmund,180,00:01:46.065,Pass,
