50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.735523,,,,,,,,,,,,,,,,018ab392-9d4e-4d88-be23-27f89baaff4a,54,,"[68.7, 8.7]",3890307,1,,,,,-0.8605253,,Right Foot,,,,"[73.0, 3.7]",,Ground Pass,,6.5946946,,,Konstantin Rausch,11134.0,,,,,Recovery,1,Regular Play,Jérôme Gondorf,8388.0,Left Defensive Midfield,5,Darmstadt 98,872,"['b7e8317f-b8ee-4ec8-9f29-f97caccabf42', 'c2a58ec5-f66d-470c-b881-8cee2302dec9']",13,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:13.079,Pass,True
,,,,,,,,,,,,,,,,,,0.313176,,,,,,,,,,,,,,,,43151cee-888a-4f7d-a387-a3fcea060eb6,58,,"[73.5, 3.7]",3890307,1,,,,,2.1910458,,Left Foot,,,,"[72.5, 5.1]",,Low Pass,,1.7204651,Incomplete,,Jérôme Gondorf,8388.0,,,,,,1,Regular Play,Konstantin Rausch,11134.0,Left Midfield,5,Darmstadt 98,872,"['3b1380ab-cb7a-40df-a00e-b7ab5b946af7', '5f996d27-604b-4507-8d6c-1fdfbf973ac2', '6221c308-7efe-41e1-88c9-5f878134f07c']",15,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:15.027,Pass,True
,,,,,,,,,,,,,,,,,,1.060056,,,,,,,,,,,,,,,,b1ce01b6-f8fd-40bf-927e-fc104f3b8217,61,,"[78.4, 0.1]",3890307,1,,,,,1.8275046,,,,,,"[76.3, 8.1]",,Low Pass,,8.271034,,,Sandro Wagner,9723.0,,,,,Throw-in,1,From Throw In,Konstantin Rausch,11134.0,Left Midfield,6,Darmstadt 98,872,['0f2748cd-ded5-4ef5-948b-0087134d4b81'],18,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:18.855,Pass,
,,,,,,,,,,,,,,,,,,1.343919,,,,,,,,,,,,,,,,c48c6a04-3de1-4ec4-b174-cb7c205a0b6e,67,,"[78.6, 0.1]",3890307,1,,,,,0.28693876,,,,,,"[96.9, 5.5]",,High Pass,,19.080095,Incomplete,,Sandro Wagner,9723.0,,,,,Throw-in,1,From Throw In,Fabian Holland,9222.0,Left Back,7,Darmstadt 98,872,"['b24ab54c-b1d9-4fb2-a80a-9e51a0c2263e', 'dda92025-5d45-4298-b895-57a943df2717']",30,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:30.570,Pass,
,,,,,,,,,,,,,,,,,,0.904023,,,,,,,,,,,,,,,,dda92025-5d45-4298-b895-57a943df2717,69,,"[23.2, 74.6]",3890307,1,,,,,0.30970293,,Head,,,,"[28.2, 76.2]",,Low Pass,,5.249762,,,Fin Bartels,8389.0,,,,,Recovery,1,From Throw In,Theodor Gebre Selassie,8396.0,Right Back,7,Darmstadt 98,872,"['29f62aee-b0c7-4d19-a9b9-ad22484f34af', 'c48c6a04-3de1-4ec4-b174-cb7c205a0b6e']",31,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:31.914,Pass,
,,,,,,,,,,,,,,,,,,2.062298,,,,,,,,,,,,,,,,0412adae-95ed-4c46-abe8-4d02fa00dcb6,72,,"[28.2, 76.2]",3890307,1,,,,,-0.6567017,,Right Foot,,,,"[52.2, 57.7]",,High Pass,,30.30264,Incomplete,,Aron Jóhannsson,8402.0,,,,,,1,From Throw In,Fin Bartels,8389.0,Right Midfield,7,Darmstadt 98,872,"['19a157da-512a-4cd6-8606-d17e323fd90e', '348afff3-bc81-4539-b986-45536fb394f8']",33,,,,,,,,,,,,,,,,,Werder Bremen,176,00:01:33.500,Pass,
,,,,,,,,,,,,,,,,,,2.744157,,,,,,,,,,,,,,,,3ff26c34-aa9a-4073-83f2-36eb01013bee,77,,"[67.2, 34.3]",3890307,1,,,,,0.5247958,,Right Foot,,,,"[91.9, 48.6]",,High Pass,,28.540848,Incomplete,,Marcel Heller,9401.0,,,,,Recovery,1,From Throw In,Aytac Sulu,9217.0,Right Center Back,7,Darmstadt 98,872,"['6fa6ebe5-cee0-4d84-8c1c-3dab1cc78e09', '83e1bc92-2a8e-429f-b73f-5da5779df1e6', 'dc974eba-e4ae-42de-8305-80ccc8a63c39']",37,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:37.473,Pass,True
,,,,,,,,,,,,,,,,,,2.956366,,,,,,,,,,,,,,,,ec8f2026-5947-4658-9cec-deb323a899df,80,,"[74.6, 32.4]",3890307,1,,,,,0.6922109,,Head,,,,"[86.3, 42.1]",,High Pass,,15.198027,,,Jan Rosenthal,40477.0,,,,,Recovery,1,From Throw In,Peter Niemeyer,40467.0,Right Defensive Midfield,7,Darmstadt 98,872,['26b0df0e-38f2-46a9-aa30-e2483a420c31'],41,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:41.330,Pass,
,,,,,,,,,,,,,,,,,,2.367351,,,,,,,,,,,,,,,,5cd5fdb0-9c87-43c7-bbde-2acb518c14eb,84,,"[90.6, 41.5]",3890307,1,,,,,0.14461444,,Right Foot,,,,"[111.2, 44.5]",,Low Pass,,20.8173,Incomplete,,Marcel Heller,9401.0,,,,,,1,From Throw In,Jan Rosenthal,40477.0,Center Attacking Midfield,7,Darmstadt 98,872,"['2ad48997-859e-44fc-8984-a6b3b73158b9', 'cb83ab5f-913b-41cd-b923-52c692623024', 'ded59467-05c8-491d-b3c1-c01a90cd1c12']",45,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:01:45.564,Pass,True
,,,,,,,,,,,,,,,,,,3.099578,,,,,,,,,,,,,,,,8a3efb56-975c-41f3-bad7-63af76791546,88,,"[12.4, 39.0]",3890307,2,,,,,-0.11794199,,Right Foot,,,,"[68.1, 32.4]",,High Pass,,56.08966,Incomplete,,Aron Jóhannsson,8402.0,,,,,,1,From Throw In,Felix Wiedwald,23269.0,Goalkeeper,7,Darmstadt 98,872,"['2b3250c1-7508-4964-b9e0-1e31ee51b2f3', 'f026be6b-4103-422e-93ac-c1ea35de5582']",0,,,,,,,,,,,,,,,,,Werder Bremen,176,00:02:00.731,Pass,
