50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a273c0a1-64b9-4dc2-bec9-51e97a89fe61,1624,,,"[61.2, 71.8]",3890426,47,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Raúl Marcelo Bobadilla,8807.0,Center Forward,106,Augsburg,172,"['56fb6fd1-e344-481e-b7ab-2397a671cc87', '98c31a6e-9058-4e46-830f-9b99afe92b3e']",49,,,,,,,,,,,,,,,,,,Augsburg,172,00:02:49.623,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bff01faa-a63a-46f6-a798-fb6f20ff23de,1658,,,"[70.6, 24.0]",3890426,49,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Szabolcs Huszti,18888.0,Left Wing,108,Eintracht Frankfurt,184,"['13095605-8cb9-4a4e-be97-691d3ed1e111', '5bc5875e-cb32-4b9e-8c0f-c59780021e4a', 'fb57c18b-5491-485e-921d-9c06003c1323']",35,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:04:35.824,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,True,,,,,,,780fb01e-be11-4ff8-82d2-fe796b97abcc,1915,,,"[43.2, 55.6]",3890426,57,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Carlos Augusto Zambrano Ochandarte,36359.0,Right Center Back,120,Eintracht Frankfurt,184,['8a9832d6-b047-44e9-aa2c-b9b0896c918e'],25,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:12:25.323,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ffd14b2b-13e6-4764-a0a7-8b867d871d7a,2106,,,"[35.5, 62.1]",3890426,63,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Paul Verhaegh,8237.0,Right Back,128,Augsburg,172,['c63949f6-b6ad-4270-8b43-123ce00f390b'],18,,,,,,,,,,,,,,,,,,Augsburg,172,00:18:18.197,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4a2f67b6-09ef-4aa9-8113-b87897d23446,2131,,,"[80.2, 60.0]",3890426,64,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Stefan Aigner,21156.0,Right Wing,130,Eintracht Frankfurt,184,['077b883a-3f7b-4005-881a-04667b66d29f'],30,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:19:30.193,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7c309a76-30b5-4180-bdcb-0d589d16df51,2416,,,"[92.0, 74.6]",3890426,69,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Raúl Marcelo Bobadilla,8807.0,Center Forward,140,Augsburg,172,"['37a612b8-a2ac-4578-85b0-855010b9dfd4', '94098136-83f9-43a3-86a6-89dbb8113be0']",45,,,,,,,,,,,,,,,,,,Augsburg,172,00:24:45.465,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2c58ee8e-9695-42a5-b71a-64b22d605227,2698,,,"[95.0, 12.6]",3890426,78,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Dong-Won Ji,12302.0,Left Wing,161,Augsburg,172,['14282328-822a-4057-9fda-1d3c4bf6464a'],22,,,,,,,,,,,,,,,,,,Augsburg,172,00:33:22.389,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,True,,,,,,,d1689701-df22-4d2a-8a83-6ebab3f5913c,2774,,,"[20.6, 63.4]",3890426,81,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Stefan Aigner,21156.0,Right Wing,167,Augsburg,172,['ab0f4dc2-0c17-471c-bd97-abdc1d9757c7'],49,,,,,,,,,,,,,,,,,,Eintracht Frankfurt,184,00:36:49.891,Foul Won,True
,,,,,,,,,,,,,,,,,0.0,,,,,,True,,,,,,,156e99a9-3c32-4b3b-aa7f-b6fa983b4aaf,2778,,,"[39.0, 33.4]",3890426,82,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,Dominik Kohr,8207.0,Left Defensive Midfield,168,Eintracht Frankfurt,184,['9c7fbc7a-45b5-4ef9-81a9-9ea61b706159'],18,,,,,,,,,,,,,,,,,,Augsburg,172,00:37:18.492,Foul Won,True
,,,,,,,,,,,,,,,,,0.603547,,,,,,,,,,,,,379bdeb5-26cc-462a-9f47-c51d72d6d759,73,,,"[105.6, 28.2]",3890426,1,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alexander Esswein,8574.0,Right Wing,7,Augsburg,172,"['219626a1-5ae4-4d4e-9a49-8636a0b4003b', '4e831430-5ad6-4915-9d11-b40d827649a3']",56,,Right Foot,,"[112.3, 35.6]",True,"[{'location': [113.0, 42.6], 'player': {'id': 5681, 'name': 'Makoto Hasebe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'teammate': False}, {'location': [111.9, 36.8], 'player': {'id': 8812, 'name': 'Marco Russ'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'teammate': False}, {'location': [105.4, 44.1], 'player': {'id': 21156, 'name': 'Stefan Aigner'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'teammate': False}, {'location': [107.1, 33.5], 'player': {'id': 8504, 'name': 'Bastian Oczipka'}, 'position': {'id': 6, 'name': 'Left Back'}, 'teammate': False}, {'location': [103.4, 44.1], 'player': {'id': 10896, 'name': 'Marc Stendera'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': False}, {'location': [110.7, 30.9], 'player': {'id': 8678, 'name': 'David Ángel Abraham'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': False}, {'location': [103.8, 39.4], 'player': {'id': 23268, 'name': 'Alexander Meier'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': False}, {'location': [98.7, 54.2], 'player': {'id': 18888, 'name': 'Szabolcs Huszti'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': False}, {'location': [96.2, 38.7], 'player': {'id': 6317, 'name': 'Marco Jhonfai Fabián De La Mora'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': False}, {'location': [118.3, 37.6], 'player': {'id': 8667, 'name': 'Lukáš Hrádecký'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'teammate': False}, {'location': [113.9, 36.7], 'player': {'id': 4174, 'name': 'Ragnar Klavan'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'teammate': True}, {'location': [110.7, 41.8], 'player': {'id': 40543, 'name': 'Jeong-Ho Hong'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': True}, {'location': [106.9, 44.9], 'player': {'id': 9408, 'name': 'Jan Morávek'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'teammate': True}, {'location': [108.0, 41.1], 'player': {'id': 8807, 'name': 'Raúl Marcelo Bobadilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'teammate': True}, {'location': [103.1, 32.8], 'player': {'id': 12302, 'name': 'Dong-Won Ji'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'teammate': True}, {'location': [111.4, 40.7], 'player': {'id': 36359, 'name': 'Carlos Augusto Zambrano Ochandarte'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'teammate': False}, {'location': [87.4, 55.9], 'player': {'id': 8317, 'name': 'Daniel Baier'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'teammate': True}]",0bb359d2-290d-4ca8-9200-b1ce4014b4d1,,Blocked,0.053463925,Volley,Open Play,,,,,,Augsburg,172,00:01:56.835,Shot,
