50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.346025,,,,,,,,,,,,62005197-3037-4a72-bc97-60963c23e44c,45,,,"[41.6, 7.9]",3890290,0,,,,2.0980833,,Left Foot,,,,"[32.4, 23.7]",,Ground Pass,,18.283325,,,,Fabian Lustenberger,8965.0,,,,,,1,Regular Play,Marvin Plattenhardt,5569.0,Left Back,3,Hertha Berlin,173,['03e95c9f-a4d1-4f15-8d00-49601d086265'],33,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:33.462,Pass,
,,,,,,,,,,,,,,,,,,,2.363142,,,,,,,,,,,,f69fa967-952a-4cf9-9d1e-104205371a3e,48,,,"[30.0, 28.3]",3890290,0,,,,1.462475,,Right Foot,,,,"[34.6, 70.6]",,Ground Pass,,42.54938,,,,Sebastian Langkamp,8580.0,,True,,,,1,Regular Play,Fabian Lustenberger,8965.0,Left Center Back,3,Hertha Berlin,173,['a665cb13-9da1-4b22-bb11-966bd81b42f4'],36,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:36.656,Pass,
,,,,,,,,,,,,,,,,,,,1.578402,,,,,,,,,,,,98f3ac76-e5a8-476e-8266-8a8284619628,51,,,"[36.5, 72.6]",3890290,0,,,,0.4266275,,Right Foot,,,,"[47.5, 77.6]",,Ground Pass,,12.083046,,,,Mitchell Weiser,8576.0,,,,,,1,Regular Play,Sebastian Langkamp,8580.0,Right Center Back,3,Hertha Berlin,173,['7ea08627-94f7-4b33-96a9-c5ea937f6057'],39,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:39.754,Pass,
,,,,,,,,,,,,,,,,,,,1.238173,,,,,,,,,,,,1b7d6c6e-fd18-4764-8f31-dfa67a0f0a46,54,,,"[45.9, 77.6]",3890290,0,,,,-2.6861415,,Right Foot,,,,"[31.2, 70.4]",,Ground Pass,,16.368567,,,,Sebastian Langkamp,8580.0,,,,,,1,Regular Play,Mitchell Weiser,8576.0,Right Back,3,Hertha Berlin,173,['e32564fd-7bd1-4f53-a641-1c21700b2786'],42,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:42.571,Pass,
,,,,,,,,,,,,,,,,,,,2.054027,,,,,,,,,,,,a957e324-1cb0-4dbd-9c66-26ae792583d6,57,,,"[31.2, 68.2]",3890290,0,,,,-1.4193337,,Right Foot,,,,"[37.0, 30.2]",,Ground Pass,,38.440083,,,,Fabian Lustenberger,8965.0,,,,,,1,Regular Play,Sebastian Langkamp,8580.0,Right Center Back,3,Hertha Berlin,173,['ec69953e-2ced-4e57-956e-d0ef9558209a'],45,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:45.297,Pass,
,,,,,,,,,,,,,,,,,,,1.813254,,,,,,,,,,,,5a48fc53-3a4d-48e7-85cc-20c69e0395d8,60,,,"[36.8, 32.6]",3890290,0,,,,1.6701248,,Right Foot,,,,"[33.9, 61.7]",,Ground Pass,,29.244144,,,,Sebastian Langkamp,8580.0,,,,,,1,Regular Play,Fabian Lustenberger,8965.0,Left Center Back,3,Hertha Berlin,173,['ce072176-3208-42d6-9562-51826222c2e8'],47,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:47.741,Pass,
,,,,,,,,,,,,,,,,,,,2.418176,,,,,,,,,,,,807647af-3810-4ddf-af09-14f7a3442795,63,,,"[42.1, 62.1]",3890290,0,,,,-0.31475767,,Right Foot,,,,"[89.4, 46.7]",,High Pass,,49.743843,,Incomplete,,Salomon Armand Magloire Kalou,8575.0,,,,,,1,Regular Play,Sebastian Langkamp,8580.0,Right Center Back,3,Hertha Berlin,173,"['9fc03f9c-769c-4505-94f1-6dcabf2510b3', 'd699f595-4334-49f9-adea-ea21f01def54']",51,,,,,,,,,,,,,,,,,Hertha Berlin,173,00:00:51.194,Pass,
,,,,,,,,,,,,,,,,,,,2.262819,,,,,,,,,,,,9fc03f9c-769c-4505-94f1-6dcabf2510b3,65,,,"[30.7, 33.4]",3890290,0,,,,-0.32748115,,Left Foot,,,,"[51.6, 26.3]",,High Pass,,22.073061,,,,Daniel Didavi,8243.0,,,,,Recovery,1,From Counter,Toni Šunjić,38172.0,Right Center Back,4,VfB Stuttgart,174,"['807647af-3810-4ddf-af09-14f7a3442795', 'd12aaf49-f463-4496-9b77-b48af010e183']",53,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:00:53.612,Pass,
,,,,,,,,,,,,,,,,,,,1.587843,,,,,,,,,,,,8a97644a-180d-4f1f-b1c9-bb111cfadf6e,71,,,"[60.5, 26.6]",3890290,1,,,,-2.7030795,,Right Foot,,,,"[46.0, 19.8]",,Ground Pass,,16.015305,,,,Adam Hloušek,4683.0,,,,,Free Kick,1,From Free Kick,Sereso Geoffroy Gonzaroua Dié,34558.0,Center Defensive Midfield,5,VfB Stuttgart,174,['ec90c68b-3454-4b16-9f8a-231742f6bcae'],10,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:10.787,Pass,
,,,,,,,,,,,,,,,,,,,1.331942,,,,,,,,,,,,f9e4b129-35d0-45a7-8f26-55e3bf44c30b,74,,,"[48.3, 23.5]",3890290,1,,,,1.6297443,,Left Foot,,,,"[46.5, 54.0]",,Ground Pass,,30.553068,,,,Toni Šunjić,38172.0,,,,,,1,From Free Kick,Adam Hloušek,4683.0,Left Center Back,5,VfB Stuttgart,174,['3aaf722a-8787-4497-bb3d-dee51521739a'],13,,,,,,,,,,,,,,,,,VfB Stuttgart,174,00:01:13.782,Pass,
