50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.40503,,,,,,,,,,,,,6523d6dc-0145-4934-8484-4a69d88fdc2f,2291,,,"[52.2, 74.8]",3890410,65,,,,,-2.8118637,,Right Foot,,,"[29.7, 67.1]",,Ground Pass,,23.781084,,,Andreas Christensen,3959.0,,,,,,2,From Free Kick,Julian Korb,8545.0,Right Back,127,Borussia Mönchengladbach,185,['992d129d-b89f-4985-9d1f-6e17be29e3d6'],35,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:35.167,Pass,
,,,,,,,,,,,,,,,,,2.270427,,,,,,,,,,,,,d3c4434c-7205-40f0-b908-615b25603fc0,2294,,,"[30.5, 66.8]",3890410,65,,,,,-2.1998718,,Right Foot,,,"[15.0, 45.5]",,Ground Pass,,26.342741,,,Yann Sommer,5550.0,,,,,,2,From Free Kick,Andreas Christensen,3959.0,Right Center Back,127,Borussia Mönchengladbach,185,['e9d80ec9-af14-4a1a-965f-10b6b1a7dd0a'],36,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:36.854,Pass,
,,,,,,,,,,,,,,,,,1.477676,,,,,,,,,,,,,93fa7fe5-c68a-4af3-b9d7-4472ed91661e,2296,,,"[15.0, 45.6]",3890410,65,,,,,-1.0729043,,Right Foot,,,"[28.1, 21.5]",,Low Pass,,27.430275,,,Nico Elvedi,8814.0,,,,,,2,From Free Kick,Yann Sommer,5550.0,Goalkeeper,127,Borussia Mönchengladbach,185,['50206fa8-044d-4f6e-8468-47507e90cda2'],39,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:39.124,Pass,
,,,,,,,,,,,,,,,,,1.440729,,,,,,,,,,,,,91af9667-5436-4440-a258-f3ff6d824504,2299,,,"[26.5, 21.1]",3890410,65,,,,,2.7512732,,Right Foot,,,"[9.0, 28.3]",,Ground Pass,,18.923265,,,Yann Sommer,5550.0,,,,,,2,From Free Kick,Nico Elvedi,8814.0,Left Center Back,127,Borussia Mönchengladbach,185,['bdeb2dcd-a03d-4081-ac46-ab866e4488f7'],43,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:43.614,Pass,
,,,,,,,,,,,,,,,,,3.265952,,,,,,,,,,,,,81061139-3250-45fa-807e-418a9f194614,2303,,,"[5.0, 14.1]",3890410,65,,,,,-0.3087108,,Left Foot,,,"[48.9, 0.1]",,High Pass,,46.078304,Out,,Oscar Wendt,8809.0,,,,,,2,From Free Kick,Yann Sommer,5550.0,Goalkeeper,127,Borussia Mönchengladbach,185,"['0e3e5af0-fdb5-4001-add5-60aff2b1772c', 'bd152503-e265-480e-b9c7-71da2f0d14da']",47,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:20:47.260,Pass,True
,,,,,,,,,,,,,,,,,4.425415,,,,,,,,,,,,,76b10300-b76a-4129-abb6-7523881e1cbb,2305,,,"[67.4, 80.0]",3890410,65,,True,,,-0.35064423,,,,,"[118.8, 61.2]",,Low Pass,,54.730247,Incomplete,,Sandro Wagner,9723.0,,,,,Throw-in,2,From Throw In,György Garics,20522.0,Right Back,128,Darmstadt 98,872,"['37bf16f8-0d79-4948-bb35-ebab15032100', '8ce39daa-77f5-47bf-a8d6-d0bf74aed7ef']",51,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:20:51.579,Pass,
,,,,,,,,,,,,,,,,,1.489553,,,,,,,,,,,,,a8540635-cd75-40e6-a5f5-79ab942f1f02,2308,,,"[120.0, 80.0]",3890410,66,,,,,-1.7350339,,Left Foot,,,"[114.1, 44.4]",,High Pass,True,36.085594,Incomplete,,,,,,Inswinging,,Corner,2,From Corner,Mario Vrančić,13675.0,Right Defensive Midfield,129,Darmstadt 98,872,['3215c26b-5b54-4d0b-a9f8-905246c0745f'],20,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:21:20.185,Pass,
,,,,,,,,,,,,,,,,,1.390959,,,,,,,,,,,,,d4bf5b2d-8785-46fc-a81a-05d0bc7b03f0,2312,,,"[98.8, 59.8]",3890410,66,,,,,-0.98897284,d7c65a96-8b57-4e6c-9047-ec47446e19ee,Right Foot,,,"[113.6, 37.3]",True,High Pass,,26.93121,,,Sandro Wagner,9723.0,,,,,,2,From Corner,Marcel Heller,9401.0,Right Wing,129,Darmstadt 98,872,['474e8f9a-c57e-478c-bed1-da09bbae8646'],26,,,,,,,,,,,,,,,,,Darmstadt 98,872,00:21:26.552,Pass,
,,,,,,,,,,,,,,,,,0.31253,,,,,,,,,,,,,15035a1f-f80f-4af2-873e-20db5afa3ebd,2316,,,"[61.0, 40.1]",3890410,67,,True,,,2.158799,,Right Foot,,,"[59.8, 41.9]",,Ground Pass,,2.1633308,,,Lars Edi Stindl,8806.0,,,,,Kick Off,2,From Kick Off,Raffael Caetano de Araújo,8810.0,Left Center Forward,130,Borussia Mönchengladbach,185,['a9094a3e-d454-4c00-822f-d1952ecec1c3'],26,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:26.563,Pass,
,,,,,,,,,,,,,,,,,0.974987,,,,,,,,,,,,,e9f15240-d041-4b7f-b3cb-655104dd0644,2318,,,"[59.8, 41.9]",3890410,67,,,,,3.1268878,,Right Foot,,,"[53.0, 42.0]",,Ground Pass,,6.8007355,,,Håvard Nordtveit,8395.0,,,,,,2,From Kick Off,Lars Edi Stindl,8806.0,Right Center Forward,130,Borussia Mönchengladbach,185,['5948aaeb-1d0b-4332-8c68-6f0dea308de6'],26,,,,,,,,,,,,,,,,,Borussia Mönchengladbach,185,00:22:26.876,Pass,
