50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.101082,,,,,,,,,,,,,412fa0b8-ed2c-40e1-b943-b8060d0bf964,49,,,"[74.2, 75.2]",3788750,0,,,,-2.8509934,,Right Foot,,,,"[63.5, 72.0]",Ground Pass,,11.168259,,,,Jorge Resurrección Merodio,5199.0,,,,,,1,Regular Play,Ferrán Torres García,6748.0,Right Wing,3,Spain,772,['03db528d-1030-4d76-bba7-f51a4bf911ed'],50,,,,,,,,,,,,,,,,,Spain,772,00:00:50.425,Pass,
,,,,,,,,,,,,,,,,,,,2.168244,,,,,,,,,,,,,0a5fdd19-a5ef-40b7-87bb-a0ed3da15ae3,52,,,"[63.5, 70.9]",3788750,0,,,,-2.2617395,,Right Foot,,,,"[50.6, 55.3]",Ground Pass,,20.242777,,,,Aymeric Laporte,4353.0,,,,,,1,Regular Play,Jorge Resurrección Merodio,5199.0,Right Center Midfield,3,Spain,772,['7bb5009e-3cde-4e59-a3d0-9520b9a28776'],52,,,,,,,,,,,,,,,,,Spain,772,00:00:52.673,Pass,
,,,,,,,,,,,,,,,,,,,2.302836,,,,,,,,,,,,,6f91d307-7890-4d12-90a1-6fdae4264ed3,55,,,"[51.0, 50.8]",3788750,0,,,,-1.4784083,,Left Foot,,,,"[53.9, 19.5]",Ground Pass,,31.434057,,,,Pau Francisco Torres,6892.0,,,,,,1,Regular Play,Aymeric Laporte,4353.0,Right Center Back,3,Spain,772,['57d3fe17-0652-4d0f-8a6d-abbbc2920f7f'],55,,,,,,,,,,,,,,,,,Spain,772,00:00:55.980,Pass,
,,,,,,,,,,,,,,,,,,,1.09867,,,,,,,,,,,,,91b52206-a2f0-4324-bca9-7deba75abc3b,58,,,"[54.7, 17.4]",3788750,0,,,,-0.81103355,,Left Foot,,,,"[69.9, 1.4]",Ground Pass,,22.068983,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Pau Francisco Torres,6892.0,Left Center Back,3,Spain,772,['b6bd6708-f954-43f3-a490-f2440a3c70dc'],59,,,,,,,,,,,,,,,,,Spain,772,00:00:59.016,Pass,
,,,,,,,,,,,,,,,,,,,0.857253,,,,,,,,,,,,,c4b8de80-8836-484b-9e98-d3bce33dc9d9,61,,,"[70.3, 1.8]",3788750,1,,,,1.3507346,,Left Foot,,,,"[72.0, 9.4]",Ground Pass,,7.787811,,,,Pedro González López,30486.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,['4e97fe9f-8c99-4957-af81-2d901c55c5d4'],1,,,,,,,,,,,,,,,,,Spain,772,00:01:01.199,Pass,
,,,,,,,,,,,,,,,,,,,0.787357,,,,,,,,,,,,,680dc381-4d17-4d70-8dc1-09195ff5ab56,65,,,"[71.1, 10.0]",3788750,1,,,,-1.821799,,Right Foot,,,,"[69.1, 2.2]",Ground Pass,,8.052329,,,,Jordi Alba Ramos,5211.0,,,,,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,3,Spain,772,['ab3bb8d9-4ac3-4972-90e4-d05d7060da93'],2,,,,,,,,,,,,,,,,,Spain,772,00:01:02.783,Pass,
,,,,,,,,,,,,,,,,,,,0.692992,,,,,,,,,,,,,68fe8a36-368c-47d6-8a41-e63d7b459e1f,68,,,"[69.1, 2.2]",3788750,1,,,,0.3663944,,Left Foot,,,,"[77.7, 5.5]",Ground Pass,,9.211406,,,,Pedro González López,30486.0,,,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,['aa40d574-7748-4c13-ad30-5556daa87eb9'],3,,,,,,,,,,,,,,,,,Spain,772,00:01:03.997,Pass,
,,,,,,,,,,,,,,,,,,,0.980632,,,,,,,,,,,,,9709f6d6-a6bb-4809-ac0f-0e58cef68591,72,,,"[84.9, 13.5]",3788750,1,,,,0.47411844,,Right Foot,,,,"[100.1, 21.3]",Ground Pass,,17.084496,,Incomplete,,Álvaro Borja Morata Martín,3477.0,,,Through Ball,True,,1,Regular Play,Pedro González López,30486.0,Left Center Midfield,3,Spain,772,"['2b1b1057-e980-4e4a-92cb-afd5df5c2639', 'ca33a38f-0ae1-48dc-969c-4f623ff40904']",6,,,,,,,,,,,,,,,,,Spain,772,00:01:06.682,Pass,
,,,,,,,,,,,,,,,,,,,1.336008,,,,,,,,,,,,,7d682f95-0523-4945-b522-53fef072b178,76,,,"[21.2, 58.5]",3788750,1,,,,1.6747152,,Right Foot,,,,"[19.5, 74.8]",Ground Pass,,16.38841,,,,Mikael Lustig,5612.0,,,,,,1,Regular Play,Victor Nilsson Lindelöf,3702.0,Right Center Back,3,Spain,772,['49e72f22-c758-46cf-8195-1bcb085adc13'],8,,,,,,,,,,,,,,,,,Sweden,790,00:01:08.888,Pass,
,,,,,,,,,,,,,,,,,,,1.310053,,,,,,,,,,,,,1eec4269-fced-4a17-8f89-5d7ee644ff5d,80,,,"[20.4, 76.2]",3788750,1,,,,-0.38050637,,Right Foot,,,,"[44.4, 66.6]",High Pass,,25.848791,,Incomplete,,Alexander Isak,8819.0,,,,,,1,Regular Play,Mikael Lustig,5612.0,Right Back,3,Spain,772,"['85473166-2c99-4be2-89dc-5373dbeadd0c', 'cb2a412e-b868-4c39-b194-8b310eafa30a', 'f1a1a142-26a4-457c-b51a-e4a2ebd52a56']",11,,,,,,,,,,,,,,,,,Sweden,790,00:01:11.147,Pass,True
,,,,,,,,,,,,,,,,,,,1.591337,,,,,,,,,,,,,cb2a412e-b868-4c39-b194-8b310eafa30a,82,,,"[75.7, 13.5]",3788750,1,,,,-0.8020633,,Other,,,,"[81.6, 7.4]",Low Pass,,8.48646,,,,Jordi Alba Ramos,5211.0,,,,,Recovery,1,Regular Play,Rodrigo Hernández Cascante,6765.0,Center Defensive Midfield,3,Spain,772,"['1eec4269-fced-4a17-8f89-5d7ee644ff5d', 'f4eab741-a4be-4325-8370-00c223fa403a']",12,,,,,,,,,,,,,,,,,Spain,772,00:01:12.457,Pass,
,,,,,,,,,,,,,,,,,,,2.280604,,,,,,,,,,,,,cde2d53e-923c-43e8-b92c-45cb364aef1c,85,,,"[79.8, 6.7]",3788750,1,,,,1.2602812,,Left Foot,,,,"[92.7, 46.9]",High Pass,,42.21907,,Incomplete,,Ferrán Torres García,6748.0,,True,,,,1,Regular Play,Jordi Alba Ramos,5211.0,Left Back,3,Spain,772,"['a9906269-7a42-4e11-b8c2-a90e507b11b2', 'c81c9820-1d73-4ee1-b7ca-87567b38aff9', 'e5a05ed2-3f23-4088-b0fb-b0e51e687cda']",14,,,,,,,,,,,,,,,,,Spain,772,00:01:14.049,Pass,True
