bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,2.26796,,,,,,,,,,,,,,,a4d44761-9f1a-4d2d-b8b7-469af1ffb358,67,,,"[35.3, 22.2]",3788755,0,,,,,2.0763137,,Right Foot,,,"[23.4, 43.7]",,Ground Pass,,24.573563,,,Chris Mepham,4767.0,,,,,,,1,Regular Play,Joe Allen,10931.0,Center Defensive Midfield,4,Wales,907,"['35c013c5-0029-4e22-b76f-77fa3cb39b6d', 'd0f497d0-ead2-488d-92e8-b5185c417b99']",52,,,,,,,,,,,,,,,,,,Wales,907,00:00:52.153,Pass,True
,,,,,,,,,,,,,,,1.666665,,,,,,,,,,,,,,,64354889-f5c4-4daf-90a8-e72d44eacd41,70,,,"[21.6, 46.7]",3788755,0,,,,,1.378544,,Right Foot,,,"[26.7, 72.9]",,Ground Pass,,26.69176,,,Connor Roberts,4774.0,,,,,,,1,Regular Play,Chris Mepham,4767.0,Right Center Back,4,Wales,907,"['807a3270-a208-4240-81ba-a5b30008af68', '979c6f9d-770d-495d-a4bf-bee48c347ddc']",54,,,,,,,,,,,,,,,,,,Wales,907,00:00:54.421,Pass,True
,,,,,,,,,,,,,,,1.551037,,,,,,,,,,,,,,,91324bda-22db-4d63-b481-2954b57c3bac,73,,,"[28.1, 75.1]",3788755,0,,,,,-2.4610715,,Right Foot,,,"[15.5, 64.9]",,Ground Pass,,16.211107,,,Chris Mepham,4767.0,,,,,,,1,Regular Play,Connor Roberts,4774.0,Right Back,4,Wales,907,['9dcd19bd-f550-495d-80b2-5ae138116e6b'],59,,,,,,,,,,,,,,,,,,Wales,907,00:00:59.175,Pass,
,,,,,,,,,,,,,,,2.96169,,,,,,,,,,,,,,,9f3f85f2-612f-4287-b8d5-3a1ced7e8f2d,77,,,"[16.0, 68.8]",3788755,1,,,,,-0.3427685,,Right Foot,,,"[65.6, 51.1]",,High Pass,,52.663555,,,Aaron Ramsey,3517.0,,,,,,,1,Regular Play,Chris Mepham,4767.0,Right Center Back,4,Wales,907,"['45c35626-4f94-426c-a438-ef065fa0cd92', '639fe1a6-8846-41f7-a813-54f52deb272e']",2,,,,,,,,,,,,,,,,,,Wales,907,00:01:02.041,Pass,True
,,,,,,,,,,,,,,,1.046604,,,,,,,,,,,,,,,68a44b01-e027-485b-9f07-4d2fe55aaca3,79,,,"[65.6, 51.1]",3788755,1,,,,,-0.309093,,Head,,,"[77.5, 47.3]",,Low Pass,,12.491998,Incomplete,,Kieffer Roberto Francisco Moore,3853.0,,,,,,,1,Regular Play,Aaron Ramsey,3517.0,Left Center Midfield,4,Wales,907,"['0385fbf1-ddbc-4fc0-97ad-7d5955fc43c1', '5b3482ff-f305-429c-a538-3993389a6cd1']",5,,,,,,,,,,,,,,,,,,Wales,907,00:01:05.002,Pass,
,,,,,,,,,,,,,,,2.308353,,,,,,,,,,,,,,,cf5d8147-e642-4e4a-a24c-aa9d15756c49,83,,,"[40.8, 29.3]",3788755,1,,,,,-1.5475447,,Right Foot,,,"[41.3, 7.8]",,Ground Pass,,21.505814,,,Cengiz Umut Meraş,31042.0,,,,,,,1,Regular Play,Kaan Ayhan,12293.0,Right Center Back,5,Turkey,909,['45edf424-815c-48ce-abb2-6d66cf453867'],7,,,,,,,,,,,,,,,,,,Turkey,909,00:01:07.025,Pass,
,,,,,,,,,,,,,,,0.860035,,,,,,,,,,,,,,,ad407d00-f8b3-4905-9d9a-b8145030a564,86,,,"[39.1, 7.2]",3788755,1,,,,,1.4442042,,Left Foot,,,"[40.5, 18.2]",,Ground Pass,,11.088733,,,Hakan Çalhanoğlu,7039.0,,,,,,,1,Regular Play,Cengiz Umut Meraş,31042.0,Left Back,5,Turkey,909,['e7452098-56e6-4643-9559-1f954f3b5497'],10,,,,,,,,,,,,,,,,,,Turkey,909,00:01:10.136,Pass,
,,,,,,,,,,,,,,,1.973797,,,,,,,,,,,,,,,5dd4334c-1af3-4e84-8a78-a67894027940,90,,,"[39.3, 22.3]",3788755,1,,,,,1.8860714,,Right Foot,,,"[28.7, 54.8]",,Ground Pass,,34.184937,,,Kaan Ayhan,12293.0,,,,,,,1,Regular Play,Hakan Çalhanoğlu,7039.0,Left Center Midfield,5,Turkey,909,"['4a1ce084-d13d-4beb-a4ab-6be79bfefb60', 'e1814b80-284f-4cb5-b48b-e276b053495d']",15,,,,,,,,,,,,,,,,,,Turkey,909,00:01:15.182,Pass,True
,,,,,,,,,,,,,,,1.471318,,,,,,,,,,,,,,,88ca5e5b-b9f9-4f57-b08b-eb00c41b6253,93,,,"[33.6, 57.1]",3788755,1,,,,,1.1484097,,Right Foot,,,"[41.6, 74.9]",,Ground Pass,,19.515121,,,Mehmet Zeki Çelik,10349.0,,,,,,,1,Regular Play,Kaan Ayhan,12293.0,Right Center Back,5,Turkey,909,['2af3763e-1bf4-42bd-920d-6a2bdf554748'],18,,,,,,,,,,,,,,,,,,Turkey,909,00:01:18.987,Pass,
,,,,,,,,,,,,,,,1.362885,,,,,,,,,,,,,,,84406a2c-fbe5-4402-901b-79bc6b5d8057,96,,,"[41.6, 74.9]",3788755,1,,,,,-0.1101514,,Right Foot,,,"[63.3, 72.5]",,Ground Pass,,21.832315,,,Cengiz Ünder,6971.0,,,,,,,1,Regular Play,Mehmet Zeki Çelik,10349.0,Right Back,5,Turkey,909,['be60ce88-59af-42df-8852-b51eece2a600'],21,,,,,,,,,,,,,,,,,,Turkey,909,00:01:21.564,Pass,
