50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.780762,,,,,,,,,,,,,,,9b29d1ca-0113-4580-a974-4bd1ceb3c1cf,60,,,"[18.3, 7.4]",3775570,1,,,,,2.545937,,Right Foot,,,,"[9.3, 13.5]",,Ground Pass,,10.872442,,,,Rikke Læntver Sevecke,15789.0,,,,,,1,From Throw In,Poppy Pattinson,17274.0,Left Back,4,Everton LFC,967,['213d153a-da0d-42a5-a643-865f28358053'],6,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:06.303,Pass,
,,,,,,,,,,,,,,,,1.169381,,,,,,,,,,,,,,,59b6bcc5-0b90-44d6-82b4-a64ada768fab,64,,,"[10.9, 12.6]",3775570,1,,,,,0.07042277,,Left Foot,,,,"[35.0, 14.3]",,Low Pass,,24.159883,,,Incomplete,,,,,,,,1,From Throw In,Rikke Læntver Sevecke,15789.0,Left Center Back,4,Everton LFC,967,"['2b8e07c0-e759-473e-b78b-252d03018214', '4ca602d2-e415-4a74-965a-e32786a96a77']",8,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:08.807,Pass,True
,,,,,,,,,,,,,,,,1.074506,,,,,,,,,,,,,,,ab46b67c-f338-412c-bcb3-41864372eda2,68,,,"[86.4, 65.8]",3775570,1,,,,,0.4811022,,Right Foot,,,,"[102.3, 74.1]",,Ground Pass,,17.935997,,,,Ellie Brazil,16393.0,,,,,,1,Regular Play,Emily Simpkins,23289.0,Right Defensive Midfield,5,Brighton & Hove Albion WFC,965,['0d5a1e08-4ebf-4689-8896-8edffda40e3b'],10,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:01:10.792,Pass,
,,,,,,,,,,,,,,,,1.079119,,,,,,,,,,,,,,,e8ba6864-bc15-4a22-b179-f9fe71c941cd,71,,,"[104.5, 72.7]",3775570,1,,,,,-2.45356,,Right Foot,,,,"[92.7, 63.0]",,Ground Pass,,15.275144,,,,Maya Le Tissier,22337.0,,,,,,1,Regular Play,Ellie Brazil,16393.0,Right Midfield,5,Brighton & Hove Albion WFC,965,['3d48e242-b494-4bc6-8322-ef17e876f41b'],16,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:01:16.761,Pass,
,,,,,,,,,,,,,,,,0.689626,,,,,,,,,,,,,,,21b4ce75-dbef-4139-8a7a-10f9c3174f35,74,,,"[93.1, 61.1]",3775570,1,,,,,-0.42178726,,Right Foot,,,,"[100.9, 57.6]",,Ground Pass,,8.549269,,,,Emily Simpkins,23289.0,,,,,,1,Regular Play,Maya Le Tissier,22337.0,Right Back,5,Brighton & Hove Albion WFC,965,"['0b501a43-45d0-4cea-9841-b3e840ad7fd5', 'e43f7c83-7231-4b89-9418-cfeb34e97cb2']",17,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:01:17.840,Pass,True
,,,,,,,,,,,,,,,,3.278101,,,,,,,,,,,,,,,82eee03a-4e4c-4a0f-8814-9f48ee5c82e3,76,,,"[101.0, 57.6]",3775570,1,,,,,0.624716,,Right Foot,,,,"[120.0, 71.3]",,Low Pass,,23.424133,,,Out,Ellie Brazil,16393.0,,,,,,1,Regular Play,Emily Simpkins,23289.0,Right Defensive Midfield,5,Brighton & Hove Albion WFC,965,['28e06680-1278-4b31-901d-dcd7b37f03de'],18,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:01:18.530,Pass,
,,,,,,,,,,,,,,,,1.670578,,,,,,,,,,,,,,,cded570e-32d7-43a5-aabb-1e692cbd59ef,78,,,"[6.0, 36.0]",3775570,1,,,,,-1.2490457,,Right Foot,,,,"[10.1, 23.7]",,Ground Pass,,12.965339,,,,Rikke Læntver Sevecke,15789.0,,,,,Goal Kick,1,From Goal Kick,Tinja-Riikka Tellervo Korpela,13857.0,Goalkeeper,6,Everton LFC,967,['c31a2e94-0637-4cd3-9156-6e62b8ae1e05'],36,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:36.532,Pass,
,,,,,,,,,,,,,,,,2.846729,,,,,,,,,,,,,,,b1159bc4-b261-4b9e-aa11-4911c1a8e826,81,,,"[22.8, 27.5]",3775570,1,,,,,1.4655528,,Left Foot,,,,"[25.8, 55.9]",,Ground Pass,,28.558012,,,,Megan Finnigan,18254.0,,,,,,1,From Goal Kick,Rikke Læntver Sevecke,15789.0,Left Center Back,6,Everton LFC,967,['8255c843-83ae-44a4-bfa6-35fecfbce7ea'],40,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:40.830,Pass,
,,,,,,,,,,,,,,,,1.931993,,,,,,,,,,,,,,,5137eab9-7b36-4708-89e0-4d1ee6ad0469,84,,,"[26.0, 55.9]",3775570,1,,,,,-2.396896,,Right Foot,,,,"[14.5, 45.3]",,Ground Pass,,15.640013,,,,Tinja-Riikka Tellervo Korpela,13857.0,,,,,,1,From Goal Kick,Megan Finnigan,18254.0,Right Center Back,6,Everton LFC,967,['99e1d42c-1e6e-4693-a0d1-16e52b498e88'],44,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:44.915,Pass,
,,,,,,,,,,,,,,,,1.535339,,,,,,,,,,,,,,,ce90ff9f-e6f4-4f6b-9047-f44beb6bf56e,87,,,"[18.3, 43.9]",3775570,1,,,,,-1.1194685,,Right Foot,,,,"[27.8, 24.3]",,Ground Pass,,21.780954,,,,Rikke Læntver Sevecke,15789.0,,,,,,1,From Goal Kick,Tinja-Riikka Tellervo Korpela,13857.0,Goalkeeper,6,Everton LFC,967,['ff40d78d-ad02-44ec-9167-1e070a8f4d6e'],48,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:48.210,Pass,
,,,,,,,,,,,,,,,,1.039939,,,,,,,,,,,,,,,287a855b-e8da-40d8-9ade-d569a66fc425,90,,,"[38.9, 19.9]",3775570,1,,,,,0.26625204,,Left Foot,,,,"[58.7, 25.3]",,High Pass,,20.523157,,,,Isobel Mary Christiansen,4645.0,,,,,,1,From Goal Kick,Rikke Læntver Sevecke,15789.0,Left Center Back,6,Everton LFC,967,['309babf5-0ca5-447d-a942-1a7df6f23a52'],52,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:52.745,Pass,
,,,,,,,,,,,,,,,,0.276685,,,,,,,,,,,,,,,9a17ad6f-1519-4d42-b8e8-4a84d70aed7b,99,,,"[62.7, 3.0]",3775570,1,,,,,0.39479113,,Right Foot,,,,"[65.1, 4.0]",,Ground Pass,,2.6,,,Incomplete,Poppy Pattinson,17274.0,,,,,,1,From Goal Kick,Abbey-Leigh Stringer,15573.0,Left Defensive Midfield,6,Everton LFC,967,"['52d22323-263a-4f8d-b609-de17f5dc2b0a', '901a100d-4210-495c-b393-ba5e86ef4f64', 'e4abaca7-c403-4189-840a-8ceb18ae50f5']",59,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:59.153,Pass,True
,,,,,,,,,,,,,,,,0.304393,,,,,,,,,,,,,,,f644b73e-1828-4fe1-84a1-4b050af90a80,105,,,"[111.1, 78.1]",3775570,2,,,,,-1.3258177,,Right Foot,,,,"[111.6, 76.1]",,Ground Pass,,2.0615528,,,Incomplete,,,,,,,,1,From Goal Kick,Ellie Brazil,16393.0,Right Midfield,6,Everton LFC,967,"['24cbb1a6-0358-4952-8457-558f5bfa812e', '94cebd43-86a1-4ecd-bfd6-e43c9cd93208']",8,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:02:08.760,Pass,True
,,,,,,,,,,,,,,,,2.169737,,,,,,,,,,,,,,,d501da34-8941-4070-b1c6-f8da8fb7a03b,107,,,"[111.6, 80.0]",3775570,2,,,,,-1.4491773,,,,,,"[114.9, 53.0]",,High Pass,,27.200918,,,Incomplete,Victoria Williams,16395.0,,,,,Throw-in,1,From Throw In,Maya Le Tissier,22337.0,Right Back,7,Brighton & Hove Albion WFC,965,"['0fce5048-807b-4106-9b83-038b3b06195b', '7ffef257-9fe5-4cb9-bd1d-51d4f331621c']",29,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:02:29.329,Pass,
,,,,,,,,,,,,,,,,2.26636,,,,,,,,,,,,,,,52bdc32f-3b84-466d-a510-c8b395ab3d66,113,,,"[14.7, 31.3]",3775570,2,,,,,-0.087007195,,Right Foot,,,,"[46.8, 28.5]",,Low Pass,,32.221886,,,Incomplete,,,,,,,,1,From Throw In,Jill Scott,10172.0,Right Defensive Midfield,7,Brighton & Hove Albion WFC,965,['bd3cec91-cf6b-4b98-b29f-c26a84b577e5'],33,,,,,,,,,,,,,,,,,Everton LFC,967,00:02:33.357,Pass,
,,,,,,,,,,,,,,,,3.75986,,,,,,,,,,,,,,,bd3cec91-cf6b-4b98-b29f-c26a84b577e5,114,,,"[73.3, 51.6]",3775570,2,,,,,-2.202418,,Right Foot,,,,"[56.4, 28.5]",,Low Pass,,28.622019,,,,Emma Wilhelmina Koivisto,32403.0,,,,,Recovery,1,From Throw In,Danique Kerkdijk,16383.0,Right Center Back,7,Brighton & Hove Albion WFC,965,"['52bdc32f-3b84-466d-a510-c8b395ab3d66', 'a0da7483-353b-4ea4-83ee-ea5e5e863878']",35,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:02:35.623,Pass,
