50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,"[9.6, 59.2]",,,,,,,,,,,,1.735431,,,,,,,,,,,,4d4f2030-7b08-43f2-978a-29404ebd8ac1,958,,"[10.0, 58.7]",3775578,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Keeper,Megan Finnigan,18254.0,Right Center Back,55,Everton LFC,967,"['8358a47c-e3ed-40c1-b767-2d7eb21528b3', 'a50fa1ea-e51a-4427-b54c-977f534e682a']",17,,,,,,,,,,,,,,,,,,Everton LFC,967,00:22:17.068,Carry,
,,,,,,"[10.0, 38.5]",,,,,,,,,,,,1.612953,,,,,,,,,,,,ec09ca6d-b6d1-490e-97e6-33d0314ad87e,961,,"[7.6, 43.4]",3775578,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Tinja-Riikka Tellervo Korpela,13857.0,Goalkeeper,56,Everton LFC,967,"['a393bec8-3c51-4d21-95d3-29990ea9e967', 'ca8f07f1-f819-407f-8bda-bdac6262f34b']",19,,,,,,,,,,,,,,,,,,Everton LFC,967,00:22:19.960,Carry,
,,,,,,"[14.0, 23.9]",,,,,,,,,,,,1.482476,,,,,,,,,,,,8bdba078-babf-40c3-8201-74e5af42eb8a,964,,"[14.0, 23.9]",3775578,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Rikke Læntver Sevecke,15789.0,Left Center Back,57,Everton LFC,967,"['2c829835-9d8d-48b8-99a3-115fa3e43b97', '9ccba807-ff47-4daf-a5cc-b699509e7506']",22,,,,,,,,,,,,,,,,,,Everton LFC,967,00:22:22.812,Carry,
,,,,,,"[25.5, 29.6]",,,,,,,,,,,,0.021919,,,,,,,,,,,,6f808fb0-9437-474e-969e-2882bab2c01d,967,,"[25.2, 29.0]",3775578,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Isobel Mary Christiansen,4645.0,Left Center Midfield,58,Everton LFC,967,"['199ce805-a2c2-463f-a3e5-a99afc9bd31b', 'fa2f22ea-02b5-48ee-bdf6-475b23445bda']",25,,,,,,,,,,,,,,,,,,Everton LFC,967,00:22:25.393,Carry,
,,,,,,"[90.3, 38.8]",,,,,,,,,,,,5.550283,,,,,,,,,,,,26657675-9aa5-40f6-a04b-b92b1302b179,978,,"[73.1, 23.7]",3775578,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Counter,Valérie Gauvin,25442.0,Center Forward,62,Everton LFC,967,"['39272abd-1dc6-4f11-9df3-5ee70b6f6cee', '5e0a9b5d-e270-45a1-8eb3-e689f18c8f09', '81045001-6343-4c95-b193-c01acc767978']",37,,,,,,,,,,,,,,,,,,Everton LFC,967,00:22:37.706,Carry,True
,,,,,,"[24.3, 52.1]",,,,,,,,,,,,1.173331,,,,,,,,,,,,ddf880fb-21e2-4edf-a886-9602c44362d9,983,,"[25.7, 51.1]",3775578,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Emma Mukandi,18998.0,Right Back,63,Reading WFC,974,"['742780e3-d71e-45aa-85aa-a4fb7e3ad145', 'c5992381-09ec-4390-a6ee-b8b8e8773145']",44,,,,,,,,,,,,,,,,,,Reading WFC,974,00:22:44.146,Carry,
,,,,,,"[41.8, 59.8]",,,,,,,,,,,,1.540366,,,,,,,,,,,,160f6db5-4533-4d40-aca0-74f686b8f57b,988,,"[41.8, 57.4]",3775578,22,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Amalie Vevle Eikeland,26570.0,Right Midfield,63,Reading WFC,974,"['12eb0df1-b824-413a-aaed-8f0b2ecd2019', '4121fbb9-710c-4c43-bc94-d41199f0eddc', 'e0737170-91c2-4f52-8a36-816324ac1fd4']",46,,,,,,,,,,,,,,,,,,Reading WFC,974,00:22:46.569,Carry,True
,,,,,,"[48.3, 72.1]",,,,,,,,,,,,1.61673,,,,,,,,,,,,ceadece0-5f4d-4312-ba1d-00dfe0cd8009,994,,"[46.5, 72.1]",3775578,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Angharad James,15577.0,Left Center Midfield,64,Reading WFC,974,"['c59f1152-ff19-47f2-92e2-e265e75b1884', 'ecb89bad-19bb-4578-aad9-e62370b35381']",20,,,,,,,,,,,,,,,,,,Reading WFC,974,00:23:20.633,Carry,
,,,,,,"[42.6, 69.0]",,,,,,,,,,,,1.918148,,,,,,,,,,,,19e97bfd-c2cd-43bd-8356-34a6e020c006,1002,,"[26.9, 63.2]",3775578,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Alisha Lehmann,18153.0,Right Wing,64,Reading WFC,974,"['4cf6c831-a7f5-4bc5-a3dc-87ecf66a7995', '7286ab6e-2507-4a9e-b6a4-185b94e7c09e']",32,,,,,,,,,,,,,,,,,,Everton LFC,967,00:23:32.722,Carry,
,,,,,,"[78.4, 17.6]",,,,,,,,,,,,1.287481,,,,,,,,,,,,d73d8c9e-17fe-45ef-bc3d-1348d7cb4cba,1006,,"[72.7, 22.3]",3775578,23,,,,,,,,,,,,,,,,,,,,,,,,,,1,From Free Kick,Angharad James,15577.0,Left Center Midfield,64,Reading WFC,974,"['288b4620-4a4e-43fb-bca7-a9b9909c2c23', '6689d544-dda4-4693-8f62-4becfef14c5a', 'f40a3f39-6b79-4edf-ae71-5c7f213c964f']",35,,,,,,,,,,,,,,,,,,Reading WFC,974,00:23:35.709,Carry,True
