ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.617984,,,,,,,,,,,,,7bc56831-f89a-4980-ae8a-b1e38f009792,55,,,"[76.8, 50.3]",2275122,1,,,,,-0.33832362,,Right Foot,,,,"[87.6, 46.5]",,Ground Pass,,11.449018,,,,,Angharad James,15577.0,,,,,,,1,From Free Kick,Jade Moore,10190.0,Center Defensive Midfield,4,Reading WFC,974,['4731c879-3294-49ed-bf2d-59e994f6dc1e'],1,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:01.455,Pass,
,,,,,,,,,,,,,,,,,1.263736,,,,,,,,,,,,,a5829dd2-1983-414b-9d9c-9dad2e4de4b3,62,,,"[77.9, 60.1]",2275122,1,,,,,2.3187788,,Left Foot,,,,"[68.9, 69.8]",,Ground Pass,,13.232158,,,,,Kristine Leine,31628.0,,,,,,,1,From Free Kick,Angharad James,15577.0,Right Center Midfield,4,Reading WFC,974,['91fb317f-b60b-4f8f-9913-c43111567d47'],6,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:06.972,Pass,
,,,,,,,,,,,,,,,,,1.186389,,,,,,,,,,,,,c4e72a7f-8409-42ae-ae21-9df6dfabd0b7,65,,,"[72.2, 71.8]",2275122,1,,,,,-0.9111054,,Right Foot,,,,"[88.1, 51.3]",,Ground Pass,,25.9434,,,,,Brooke Chaplen,15723.0,,,,,,,1,From Free Kick,Kristine Leine,31628.0,Right Center Back,4,Reading WFC,974,['413cae1d-232a-4925-a538-24f378df0a0a'],9,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:09.503,Pass,
,,,,,,,,,,,,,,,,,1.866358,,,,,,,,,,,,,a674c655-f3fe-4f7f-a097-22bc16466355,68,,,"[88.1, 55.3]",2275122,1,,,,,1.5591689,,Right Foot,,,True,"[88.3, 72.5]",,Ground Pass,,17.201162,,,,,Rachel Rowe,19780.0,,,,,,,1,From Free Kick,Brooke Chaplen,15723.0,Right Wing,4,Reading WFC,974,['6fb471d9-2616-4ac8-9f3c-fb52025ef498'],10,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:10.713,Pass,
,,,,,,,,,,,,,,,,,1.758028,,,,,,,,,,,,,b1507326-1be6-4c45-9500-b461ed0a0470,73,,,"[89.2, 75.6]",2275122,1,,,,,3.0102773,,Left Foot,,,,"[78.6, 77.0]",,Ground Pass,,10.692053,,,,,Kristine Leine,31628.0,,,,,,,1,From Free Kick,Rachel Rowe,19780.0,Right Back,4,Reading WFC,974,"['7e2604ec-67ba-463f-9141-f21e8563932c', 'bc2df680-2328-4272-b103-b2c71d99483c']",12,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:12.787,Pass,True
,,,,,,,,,,,,,,,,,2.130952,,,,,,,,,,,,,6912999d-1bd1-4af8-a1e2-02b3d1f35816,77,,,"[78.3, 76.8]",2275122,1,,,,,-0.096473776,,Right Foot,,,,"[100.0, 74.7]",,Low Pass,,21.801376,,,Pass Offside,,Brooke Chaplen,15723.0,,,,,,,1,From Free Kick,Kristine Leine,31628.0,Right Center Back,4,Reading WFC,974,"['6356b3cd-dffc-4bc3-bedd-6b5392e99da8', '7709ac13-1291-422e-85ac-dc2d2da9600a']",14,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:14.561,Pass,True
,,,,,,,,,,,,,,,,,3.011061,,,,,,,,,,,,,32cb7e28-8833-4b66-8320-3ff99eaef886,79,,,"[19.8, 9.6]",2275122,1,,,,,0.15660188,,Right Foot,,,,"[74.9, 18.3]",,High Pass,,55.782616,,,Incomplete,,,,,,,,,Free Kick,1,From Free Kick,Sophie Baggaley,16376.0,Goalkeeper,5,Bristol City WFC,973,['b0f84ca3-6857-49d0-8ffa-6bda77281fb5'],44,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:44.779,Pass,
,,,,,,,,,,,,,,,,,1.174441,,,,,,,,,,,,,b0f84ca3-6857-49d0-8ffa-6bda77281fb5,80,,,"[45.2, 61.8]",2275122,1,,,,,0.45857152,,Head,,,,"[61.0, 69.6]",,Low Pass,,17.620443,,,Incomplete,,Brooke Chaplen,15723.0,,,,,,Recovery,1,From Free Kick,Sophie Howard,15720.0,Left Center Back,5,Bristol City WFC,973,"['32cb7e28-8833-4b66-8320-3ff99eaef886', '4638e9ba-2550-415d-b16d-dd64514a5d3e', '4edb557f-0bc2-4948-9dde-7ee5f61d1e2b']",47,,,,,,,,,,,,,,,,,,Reading WFC,974,00:01:47.790,Pass,
,,,,,,,,,,,,,,,,,2.195397,,,,,,,,,,,,,70b7b280-ea89-406d-be4e-efca6dc64bc7,87,,,"[63.0, 10.6]",2275122,2,,,,,0.9688468,,Left Foot,,,,"[88.9, 48.3]",,High Pass,,45.73948,,,,,Ebony Salmon,31527.0,,,,,,Free Kick,1,From Free Kick,Gemma Evans,16381.0,Left Center Back,6,Bristol City WFC,973,['956b2507-8ba8-4ff4-bbd0-eb6105871d3e'],10,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:10.654,Pass,
,,,,,,,,,,,,,,,,,1.05273,,,,,,,,,,,,,218cca57-7db8-4904-a0e4-e251015a2085,90,,,"[88.9, 48.3]",2275122,2,,,,,-0.9132681,,Right Foot,,,,"[95.0, 40.4]",,Low Pass,,9.980982,,,Incomplete,,Abigail Harrison,23412.0,,,,,,,1,From Free Kick,Ebony Salmon,31527.0,Right Midfield,6,Bristol City WFC,973,"['cc8b27a4-b2d0-45bf-abf2-7af5984cae9d', 'd935027a-81dc-4f42-840a-ecea8d1cbeb8']",12,,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:02:12.890,Pass,
