bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.910592,,,,,,,,,,,731c24b1-3054-4b42-9c94-6d2ca3b2f1bb,52,,,"[54.4, 0.1]",2275054,0,,,,,0.67344224,,,,,,"[63.8, 7.6]",,Low Pass,,12.02539,,,Kirsty Linnett,19418.0,,,,,,Throw-in,1,From Throw In,Leigh-Anne Robe,15630.0,Left Back,6,Liverpool WFC,966,['2d565e10-a456-49df-b45f-85ac8cdea8b1'],43,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:43.967,Pass,
,,,,,,,,,,,,,,,,,0.845863,,,,,,,,,,,1bce5a10-5f47-4165-995a-a3343659eae1,56,,,"[64.4, 7.0]",2275054,0,,,,,1.8058085,,Right Foot,,,,"[62.7, 14.1]",,Ground Pass,,7.300685,,,Rachel Furness,15706.0,,,,,,,1,From Throw In,Kirsty Linnett,19418.0,Center Attacking Midfield,6,Liverpool WFC,966,"['6b1382e1-8722-4ae2-835d-376302b7c02d', 'f1756ac3-7199-4667-95bd-db1d144d1090']",45,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:45.774,Pass,True
,,,,,,,,,,,,,,,,,1.559622,,,,,,,,,,,00edaa59-10eb-4425-9516-39725c5f98dc,58,,,"[62.9, 13.8]",2275054,0,,,,,-0.2569644,,Left Foot,,,,"[76.6, 10.2]",,Ground Pass,,14.165098,,,Rinsola Babajide,15613.0,,,,,,,1,From Throw In,Rachel Furness,15706.0,Left Center Midfield,6,Liverpool WFC,966,['1d7cfdfc-bd13-4060-b3ed-2b7efbf54a2b'],46,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:46.620,Pass,
,,,,,,,,,,,,,,,,,1.198725,,,,,,,,,,,4e173a78-fe53-4194-8fbc-b77736c974d2,65,,,"[71.1, 6.4]",2275054,0,,,,,2.258243,,Right Foot,,,,"[55.5, 25.4]",,Ground Pass,,24.583735,,,Jade Bailey,21854.0,,,,,,,1,From Throw In,Niamh Charles,15631.0,Left Wing,6,Liverpool WFC,966,['517bf36c-d5e7-4b65-b8df-fc7af894fe45'],50,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:50.630,Pass,
,,,,,,,,,,,,,,,,,1.710968,,,,,,,,,,,f66b8515-690f-4710-b950-f2b04ca17116,68,,,"[56.1, 33.5]",2275054,0,,,,,1.5642174,,Right Foot,,,,"[56.3, 63.9]",,Ground Pass,,30.400658,,,Rebecca Jane,18144.0,,,,,,,1,From Throw In,Jade Bailey,21854.0,Right Center Midfield,6,Liverpool WFC,966,['4abf4759-1ee5-413c-bf33-fedeeb95e9e1'],53,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:53.970,Pass,
,,,,,,,,,,,,,,,,,2.76249,,,,,,,,,,,26603432-c488-455f-86a2-5578180ff2d4,71,,,"[64.9, 63.9]",2275054,0,,,,,-0.41602257,,Right Foot,,,,"[111.3, 43.4]",,High Pass,,50.726818,Incomplete,,Rinsola Babajide,15613.0,,,,,,,1,From Throw In,Rebecca Jane,18144.0,Right Back,6,Liverpool WFC,966,"['4fd549c0-0191-4fbb-812f-2fb0ffd55f80', 'd375342e-c440-4d01-b247-e38f0ff39f62']",58,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:00:58.576,Pass,
,,,,,,,,,,,,,,,,,6.655622,,,,,,,,,,,fd06905d-2ec8-4a4b-a5f3-5d9a746b881c,75,,,"[16.7, 27.8]",2275054,1,,,,,0.177208,,Drop Kick,,,,"[99.9, 42.7]",,High Pass,,84.52367,Incomplete,,Aileen Whelan,16374.0,,,,,,,1,From Throw In,Megan Walsh,15709.0,Goalkeeper,6,Liverpool WFC,966,"['266c5e97-f7b9-4875-b721-1b7062de6c24', 'd6db7924-e7df-4d4d-bcaf-301bb5fbed7c']",18,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:01:18.915,Pass,
,,,,,,,,,,,,,,,,,2.841735,,,,,,,,,,,d6db7924-e7df-4d4d-bcaf-301bb5fbed7c,77,,,"[20.2, 37.4]",2275054,1,,,,,-1.5232133,,Left Foot,,,,"[21.2, 16.4]",,Low Pass,,21.023796,,,Leigh-Anne Robe,15630.0,,,,,,Recovery,1,From Throw In,Niamh Fahey,19777.0,Left Center Back,6,Liverpool WFC,966,"['af01646a-fc45-46c2-888c-fc6029244e8d', 'fd06905d-2ec8-4a4b-a5f3-5d9a746b881c']",25,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:25.570,Pass,
,,,,,,,,,,,,,,,,,0.943756,,,,,,,,,,,f78e2a16-ecb1-4d11-b637-383ec97f6893,81,,,"[41.3, 3.8]",2275054,1,,,,,0.0,,Left Foot,,,,"[55.0, 3.8]",,Low Pass,,13.7,,,Niamh Charles,15631.0,,,,,,,1,From Throw In,Leigh-Anne Robe,15630.0,Left Back,6,Liverpool WFC,966,['17a1c471-5816-4162-812d-6e2119df6c2b'],32,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:32.497,Pass,
,,,,,,,,,,,,,,,,,0.199779,,,,,,,,,,,55ba10f6-2811-4e0b-a991-0af87505686a,84,,,"[55.0, 7.0]",2275054,1,,,,,2.2328568,,Left Foot,,,,"[49.7, 13.8]",,Ground Pass,,8.621485,Incomplete,,Jade Bailey,21854.0,,,,,,,1,From Throw In,Niamh Charles,15631.0,Left Wing,6,Liverpool WFC,966,"['3f796ac8-2325-4ea7-a9fd-4373ddc8eb83', 'b5456453-9f27-4194-9bd6-ece51b53ca81']",35,,,,,,,,,,,,,,,,,Liverpool WFC,966,00:01:35.406,Pass,
,,,,,,,,,,,,,,,,,1.388841,,,,,,,,,,,6628755a-f1f7-47bc-ad0f-6542a5303e2c,89,,,"[66.1, 70.8]",2275054,1,,,,,0.05258306,,Right Foot,,,,"[77.5, 71.4]",,Ground Pass,,11.415778,,,Kayleigh Green,16400.0,,,,,,,1,From Throw In,Danielle Buet,20034.0,Right Center Midfield,6,Liverpool WFC,966,['6c173764-1bce-4059-8359-3d67de118be9'],38,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:01:38.057,Pass,
,,,,,,,,,,,,,,,,,1.461197,,,,,,,,,,,e82298df-889e-473e-83b3-0dbf9abd3e64,92,,,"[85.0, 70.5]",2275054,1,,,,,-0.5470772,,Right Foot,,,,"[107.0, 57.1]",,Ground Pass,,25.759659,Incomplete,,Aileen Whelan,16374.0,,,,,,,1,From Throw In,Kayleigh Green,16400.0,Center Forward,6,Liverpool WFC,966,"['8cb6db1e-8540-47a6-8f45-0b33be7b9926', 'b295aef8-a1fe-4863-8700-dce0acede4c5']",40,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:01:40.432,Pass,
,,,,,,,,,,,,,,,,,1.788977,,,,,,,,,,,9c99a263-cb47-4542-9114-69bc2ab1e5ac,95,,,"[104.0, 80.0]",2275054,2,,,,,-1.145521,,,,,,"[114.1, 57.7]",,High Pass,,24.480604,Incomplete,,Kayleigh Green,16400.0,,,,,,Throw-in,1,From Throw In,Aileen Whelan,16374.0,Right Midfield,7,Brighton & Hove Albion WFC,965,"['40c576f3-024c-4119-9f22-0e1b5bfef6b6', 'a5b75ab8-fb5f-4d6a-a6c6-4e1469613751']",9,,,,,,,,,,,,,,,,,Brighton & Hove Albion WFC,965,00:02:09.071,Pass,
