50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.791825,,,,,,,,,,,,e34b3637-2ad5-428f-acf8-578897ee5231,54,,"[116.2, 55.8]",2275026,1,,,,1.8112158,,Left Foot,,,,"[112.4, 71.3]",,Ground Pass,,15.95901,,,Caroline Weir,10188.0,,,,,,,1,From Corner,Lauren Hemp,15555.0,Left Midfield,3,Manchester City WFC,746,"['724433ea-985f-462b-b9e4-f496aa9bea77', 'bc38d82b-ebe7-46d8-a57c-ca3dbb2c4046']",1,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:01.865,Pass,True
,,,,,,,,,,,,,,,,1.122607,,,,,,,,,,,,66c66ace-7460-4927-ada1-ebed97b10696,57,,"[112.2, 71.7]",2275026,1,,,,-1.4495305,,Left Foot,True,,,"[115.6, 43.8]",,Low Pass,,28.106405,,Incomplete,,,,,,,,,1,From Corner,Caroline Weir,10188.0,Right Center Midfield,3,Manchester City WFC,746,['f3216f4b-958d-4469-b90d-168ea1c7ede6'],3,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:03.697,Pass,
,,,,,,,,,,,,,,,,2.643531,,,,,,,,,,,,e4c8170c-d521-4067-89f9-3ff7d484db28,59,,"[78.3, 70.0]",2275026,1,,,,-2.2022812,,Left Foot,,,,"[55.7, 39.1]",,Low Pass,,38.282764,,,Demi Stokes,4651.0,,,,,,Recovery,1,From Corner,Caroline Weir,10188.0,Right Center Midfield,3,Manchester City WFC,746,['545abc82-8f6c-46fa-b90b-301299dba3b1'],9,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:09.127,Pass,
,,,,,,,,,,,,,,,,1.841394,,,,,,,,,,,,3d941cac-44a3-48b5-9b4b-309f796d8e14,62,,"[61.4, 33.4]",2275026,1,,,,-1.2819796,,Left Foot,,,,"[70.7, 2.1]",,Ground Pass,,32.652412,,,Jill Scott,10172.0,,,,,,,1,From Corner,Demi Stokes,4651.0,Left Back,3,Manchester City WFC,746,['080a3fea-641f-47fe-8ebc-d804aec66005'],13,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:13.571,Pass,
,,,,,,,,,,,,,,,,1.29728,,,,,,,,,,,,e395f8b9-6cd7-45a7-a35f-eb5299e5606d,65,,"[83.8, 8.7]",2275026,1,,,,-0.19739556,,Right Foot,,,,"[107.3, 4.0]",,Ground Pass,,23.965391,,,Lauren Hemp,15555.0,,,,,,,1,From Corner,Jill Scott,10172.0,Right Midfield,3,Manchester City WFC,746,['f0122314-5264-49c5-b6d1-f8c68d878c43'],17,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:17.953,Pass,
,,,,,,,,,,,,,,,,1.301999,,,,,,,,,,,,5b117b42-6c00-430a-bbf6-5d56c89f2d59,69,,"[115.8, 8.5]",2275026,1,,,,1.5253731,,Left Foot,True,,,"[117.2, 39.3]",,High Pass,,30.831802,,Incomplete,Ellen White,10180.0,,,,,,,1,From Corner,Lauren Hemp,15555.0,Left Midfield,3,Manchester City WFC,746,"['3ace7fba-675f-4945-82fa-9f087e83d9fb', 'f0df297e-227e-42c1-9000-520549371c8d']",22,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:22.751,Pass,
,,,,,,,,,,,,,,,,2.921635,,,,,,,,,,,,35b239ba-4dbd-4cb2-a35b-4bf40db9ee26,73,,"[21.0, 61.5]",2275026,1,,,,0.25040433,,Right Foot,,,,"[77.3, 75.9]",,High Pass,,58.112392,,Incomplete,Charlie Wellings,15563.0,,,,,,,1,From Keeper,Sophie Baggaley,16376.0,Goalkeeper,4,Bristol City WFC,973,"['48020c65-c869-49a3-a96b-9088719d043c', '7ab2f83d-d25a-43fd-a6b5-d2c9518075a6']",43,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:43.425,Pass,
,,,,,,,,,,,,,,,,1.417592,,,,,,,,,,,,48020c65-c869-49a3-a96b-9088719d043c,75,,"[42.8, 4.2]",2275026,1,,,,2.6054466,,Head,,,,"[35.9, 8.3]",,High Pass,,8.026207,,Incomplete,,,,,,,,Recovery,1,From Keeper,Demi Stokes,4651.0,Left Back,4,Bristol City WFC,973,"['297d49eb-abf9-452b-8b1d-ce2bfe5ac611', '35b239ba-4dbd-4cb2-a35b-4bf40db9ee26']",46,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:46.347,Pass,
,,,,,,,,,,,,,,,,0.878043,,,,,,,,,,,,ed1265e2-0d1b-46c7-bb9b-f1afc9abb64c,82,,"[92.5, 77.1]",2275026,1,,,,3.044675,,Right Foot,,,,"[85.3, 77.8]",,Ground Pass,,7.2339478,,Incomplete,Frankie Brown,10171.0,,,,,,,1,From Keeper,Katie Robinson,21059.0,Left Center Forward,4,Bristol City WFC,973,"['0c1ffa2b-35d7-497f-8975-184152936695', 'bf0fbbe3-acc1-4191-9b97-7e411a93e496']",50,,,,,,,,,,,,,,,,,Bristol City WFC,973,00:01:50.956,Pass,
,,,,,,,,,,,,,,,,0.675598,,,,,,,,,,,,9db9988c-b8b6-4c03-acde-765e0f456ffa,86,,"[35.6, 4.9]",2275026,1,,,,2.2757235,,Left Foot,,,,"[29.9, 11.6]",,Ground Pass,,8.79659,,,Caroline Weir,10188.0,,,,,,,1,Regular Play,Lauren Hemp,15555.0,Left Midfield,5,Manchester City WFC,746,['5f8ff5f8-5ade-4007-a277-7526cb8f9e04'],52,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:52.281,Pass,
