ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.704508,,,,,,,,,,,,,,3b73f818-c9d4-4963-b040-2bd4640717d7,52,,"[12.5, 47.0]",3775645,1,,,,,-1.4378946,,Keeper Arm,,,"[15.0, 28.3]",,Ground Pass,,18.866373,,,,Magdalena Lilly Eriksson,4633.0,,,,,,,1,Regular Play,Ann-Katrin Berger,15560.0,Goalkeeper,6,Chelsea FCW,971,['e722baa7-8e62-4f5c-95d5-b7e4dbe30c3d'],3,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:03.446,Pass,
,,,,,,,,,,,,,,,,,,0.913759,,,,,,,,,,,,,,f9868920-7c8c-442b-aa69-bfc4de7ddf60,55,,"[20.3, 14.9]",3775645,1,,,,,0.29635185,,Left Foot,,,"[33.4, 18.9]",,Ground Pass,,13.69708,,,,Sophie Louise Ingle,15549.0,,,,,,,1,Regular Play,Magdalena Lilly Eriksson,4633.0,Left Center Back,6,Chelsea FCW,971,['6f7c6070-f95c-4ee8-902a-8a6541bf93fd'],6,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:06.795,Pass,
,,,,,,,,,,,,,,,,,,2.078166,,,,,,,,,,,,,,0f10b3c5-e100-4495-a37a-833155565eb9,57,,"[33.4, 18.9]",3775645,1,,,,,-0.88998747,,Left Foot,,,"[41.5, 8.9]",,Ground Pass,,12.868955,,Incomplete,,Jonna Ann-Charlotte Andersson,10222.0,,,,,,,1,Regular Play,Sophie Louise Ingle,15549.0,Right Center Midfield,6,Chelsea FCW,971,"['353e729f-5f4a-472f-a5df-ed36073ca49f', 'b725b42e-d292-47bb-871c-c61bdfe561c7']",7,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:07.709,Pass,
,,,,,,,,,,,,,,,,,,2.047545,,,,,,,,,,,,,,3b28e54e-4812-4b71-8951-5a6124482878,61,,"[97.2, 70.1]",3775645,1,,,,,0.12095365,,Left Foot,,,"[115.3, 72.3]",,Ground Pass,,18.233212,,,,Nicoline Sørensen,10274.0,,,,,,,1,Regular Play,Isobel Mary Christiansen,4645.0,Right Defensive Midfield,7,Everton LFC,967,['98f673b3-f658-459c-9f01-74593007e7b3'],13,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:13.340,Pass,
,,,,,,,,,,,,,,,,,,1.164728,,,,,,,,,,,,,,b1d0ad00-f525-4cdd-9bca-3c0bd0df642a,64,,"[116.1, 72.4]",3775645,1,,,,,-1.5316007,,Right Foot,True,,"[117.3, 41.8]",,High Pass,,30.62352,,Incomplete,,,,,,,,,,1,Regular Play,Nicoline Sørensen,10274.0,Right Wing,7,Everton LFC,967,['6cfc5c08-006c-44a2-bb25-325365baa608'],15,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:15.403,Pass,
,,,,,,,,,,,,,,,,,,2.656691,,,,,,,,,,,,,,de65be19-bcd3-48e2-8230-4816fa3f0496,67,,"[27.2, 57.8]",3775645,1,,,,True,1.0456322,,,,,"[33.4, 68.5]",,High Pass,,12.366487,,Incomplete,,,,,,,,,Recovery,1,Regular Play,Pernille Mosegaard Harder,10108.0,Right Wing,7,Everton LFC,967,"['6ff1504d-9f74-4a6d-98a6-74de8817e641', 'a8ed2d59-f56e-46ed-b8a2-9f720c071bdb']",21,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:21.048,Pass,True
,,,,,,,,,,,,,,,,,,0.067187,,,,,,,,,,,,,,89c59f1f-55b5-4beb-8a5e-4a7c6cdca33d,72,,"[81.2, 4.6]",3775645,1,,,,,2.819842,,Right Foot,,,"[77.0, 6.0]",,Ground Pass,,4.427189,,Incomplete,,,,,,,,,,1,Regular Play,Hayley Emma Raso,6818.0,Left Wing,7,Everton LFC,967,['7a7ab1d2-e03f-473f-8315-a53626844895'],25,,,,,,,,,,,,,,,,,,,,Everton LFC,967,00:01:25.847,Pass,
,,,,,,,,,,,,,,,,,,1.452018,,,,,,,,,,,,,,ef3ef522-0be2-4127-9177-5bea283b12f1,77,,"[64.0, 71.1]",3775645,1,,,,,0.08984754,,Right Foot,,,"[86.2, 73.1]",,Ground Pass,,22.289907,,,,Bethany England,15550.0,,,,,,,1,Regular Play,Pernille Mosegaard Harder,10108.0,Right Wing,8,Chelsea FCW,971,"['64baa722-e63d-4891-8be0-be34760c580e', 'bf7b9c93-7de6-462e-a9dc-147cf1da9c11']",29,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:29.431,Pass,True
,,,,,,,,,,,,,,,,,,1.186369,,,,,,,,,,,,,,24c049dd-4e7b-486c-83ed-0ec8e72377f4,81,,"[78.1, 74.4]",3775645,1,,,,,-2.4149504,,Right Foot,,,"[70.0, 67.2]",,Ground Pass,,10.837435,,,,Melanie Leupolz,15648.0,,,,,,,1,Regular Play,Bethany England,15550.0,Center Forward,8,Chelsea FCW,971,"['a8329e33-c398-44a0-9766-d31ee85fbf2f', 'fbaf62e1-bea2-43cd-8c1b-19f92858a2aa']",32,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:32.982,Pass,True
,,,,,,,,,,,,,,,,,,2.190806,,,,,,,,,,,,,,66f523fd-4176-4fdc-a269-f892572e4fe9,84,,"[73.7, 66.6]",3775645,1,,,,,-1.1804118,,Right Foot,,,"[92.3, 21.4]",,High Pass,,48.8774,,,,Erin Cuthbert,4660.0,,,True,,,,1,Regular Play,Melanie Leupolz,15648.0,Center Defensive Midfield,8,Chelsea FCW,971,['34886401-305d-47cc-bbdb-2d26995bdf2d'],36,,,,,,,,,,,,,,,,,,,,Chelsea FCW,971,00:01:36.080,Pass,
