ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.114024,,,,,,,,,4ed9cb1f-c4f1-4e4e-810e-8aafec7ba01b,46,,,"[33.6, 4.5]",3775658,1,,,,1.9513026,,Right Foot,,,"[28.8, 16.5]",,Ground Pass,,12.924396,,,Georgia Stanway,4643.0,,,,,,Recovery,1,Regular Play,Ellen White,10180.0,Center Forward,6,Manchester City WFC,746,"['26531dc9-7e8a-4346-a125-48bfccc617a0', 'f22335f5-4d76-4ae9-9978-dcf58e32306d', 'f7a95ad1-b04a-4653-8ed1-336d93a94031']",14,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:14.458,Pass,True
,,,,,,,,,,,,,,,,0.856702,,,,,,,,,e8cfe863-5ddb-48c3-8932-bc51b8962e18,49,,,"[32.1, 22.0]",3775658,1,,,,2.6811502,,Right Foot,,,"[19.6, 28.2]",,Ground Pass,,13.9531355,,,Abby Dahlkemper,5081.0,,,,,,,1,Regular Play,Georgia Stanway,4643.0,Right Center Midfield,6,Manchester City WFC,746,['114f1075-7d50-4c3c-8670-f7640b77a210'],16,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:16.620,Pass,
,,,,,,,,,,,,,,,,1.983128,,,,,,,,,3799aba9-d226-47d0-988c-46652bcf7518,52,,,"[19.1, 35.2]",3775658,1,,,,0.58068746,,Right Foot,,,"[50.8, 56.0]",,High Pass,,37.914772,,,Chloe Kelly,15570.0,,,,,,,1,Regular Play,Abby Dahlkemper,5081.0,Left Center Back,6,Manchester City WFC,746,['32087004-26d4-44ea-a229-7749e1388dee'],18,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:18.836,Pass,
,,,,,,,,,,,,,,,,0.848754,,,,,,,,,bc3f6883-7e45-49bc-9eab-978e4d3ecda8,55,,,"[51.8, 55.6]",3775658,1,,,,-2.287338,,Right Foot,,,"[43.7, 46.3]",,Ground Pass,,12.332883,,,Georgia Stanway,4643.0,,,,,,,1,Regular Play,Chloe Kelly,15570.0,Right Wing,6,Manchester City WFC,746,['af135cab-f8c8-4b7d-9783-f49727303826'],21,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:21.891,Pass,
,,,,,,,,,,,,,,,,0.966069,,,,,,,,,70ce2cf2-c9eb-4c2f-9d3d-9cd68c68f853,58,,,"[43.7, 46.3]",3775658,1,,,,1.8550891,,Right Foot,,,"[39.2, 61.7]",,Ground Pass,,16.044003,,,Lucy Bronze,10178.0,,,,,,,1,Regular Play,Georgia Stanway,4643.0,Right Center Midfield,6,Manchester City WFC,746,['89212ff0-9365-445b-a82a-07892f891256'],23,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:23.565,Pass,
,,,,,,,,,,,,,,,,2.152163,,,,,,,,,270e0741-9f1c-40d0-85c1-6d8747f873e7,60,,,"[39.2, 61.7]",3775658,1,,,,3.1415927,,Right Foot,,,"[22.0, 61.7]",,Ground Pass,,17.2,,,Stephanie Houghton,10185.0,,,,,,,1,Regular Play,Lucy Bronze,10178.0,Right Back,6,Manchester City WFC,746,['183f324e-c5c8-4078-b8a7-0e3f6c9a16cb'],24,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:24.531,Pass,
,,,,,,,,,,,,,,,,2.036308,,,,,,,,,6f701fbe-e6a0-4c8d-9579-ddd4cdd5c7c0,63,,,"[22.0, 61.7]",3775658,1,,,,-2.1987345,,Right Foot,,,"[6.9, 40.9]",,Ground Pass,,25.703114,,,Ellie Roebuck,4637.0,,,,,,,1,Regular Play,Stephanie Houghton,10185.0,Right Center Back,6,Manchester City WFC,746,['3d098191-4efc-4731-a4a1-4af7da5e5ef6'],27,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:27.178,Pass,
,,,,,,,,,,,,,,,,1.991663,,,,,,,,,434a2613-9e70-410d-b0a5-bbe71f1e0404,66,,,"[7.5, 40.0]",3775658,1,,,,-1.0021002,,Right Foot,,,"[22.2, 17.0]",,Ground Pass,,27.296337,,,Abby Dahlkemper,5081.0,,,,,,,1,Regular Play,Ellie Roebuck,4637.0,Goalkeeper,6,Manchester City WFC,746,['eb00b6b1-467c-42de-92cc-0e5b92a8874b'],30,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:30.881,Pass,
,,,,,,,,,,,,,,,,4.216787,,,,,,,,,00e46911-3b50-464a-8b2c-2ff029a441a2,70,,,"[30.8, 9.3]",3775658,1,,,,0.043529656,,Left Foot,,,"[85.9, 11.7]",,High Pass,,55.152245,,Incomplete,Ellen White,10180.0,,,,,,,1,Regular Play,Abby Dahlkemper,5081.0,Left Center Back,6,Manchester City WFC,746,"['0f7838b8-20b4-4ff7-80bf-721fca3b8106', '2451d67d-6738-4561-99ca-23132f0d0dee']",34,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:01:34.576,Pass,
,,,,,,,,,,,,,,,,2.571812,,,,,,,,,0f7838b8-20b4-4ff7-80bf-721fca3b8106,72,,,"[34.2, 68.4]",3775658,1,,,,-2.5025332,,Right Foot,,,"[8.9, 49.6]",,High Pass,,31.520311,,,Mary Alexandra Earps,31538.0,,,,,,Recovery,1,Regular Play,Amy Turner,31533.0,Right Center Back,7,Manchester United,1475,"['00e46911-3b50-464a-8b2c-2ff029a441a2', 'd5de97cb-f573-4f4d-bd43-e6e4a55c91a0']",38,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:38.792,Pass,
,,,,,,,,,,,,,,,,1.976308,,,,,,,,,96b900a2-7a56-4d52-a845-13e9fca8ef9c,79,,,"[15.3, 48.0]",3775658,1,,,,-1.6381102,,Right Foot,,,"[14.1, 30.2]",,Ground Pass,,17.840405,,,Millie Turner,31536.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,7,Manchester United,1475,['db359416-795f-426c-a529-4a952e48c3af'],44,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:44.753,Pass,
,,,,,,,,,,,,,,,,1.732281,,,,,,,,,4628a04a-cc49-42fe-afbd-13f24633a0ae,83,,,"[20.3, 27.6]",3775658,1,,,,-0.5012239,,Right Foot,,,"[46.4, 13.3]",,Ground Pass,,29.760712,,,Leah Galton,31539.0,,,,,,,1,Regular Play,Millie Turner,31536.0,Left Center Back,7,Manchester United,1475,"['51dcd4e4-e500-4428-a832-48c1011a5139', 'a45f2364-885d-4e74-bbe9-a8c510af30ef']",47,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:47.813,Pass,True
,,,,,,,,,,,,,,,,1.460023,,,,,,,,,408ebb74-72fb-40f1-be49-9ba82632b2a2,85,,,"[46.4, 13.3]",3775658,1,,,,-1.5871882,,Left Foot,,,"[46.2, 1.1]",,Ground Pass,,12.201639,,Out,Ona Batlle Pascual,46639.0,,,,,,,1,Regular Play,Leah Galton,31539.0,Left Wing,7,Manchester United,1475,['82af3ec8-9850-41a3-9044-7cd8761b3a5a'],49,,,,,,,,,,,,,,,,,,Manchester United,1475,00:01:49.546,Pass,
,,,,,,,,,,,,,,,,1.033297,,,,,,,,,20f037a7-796f-4e2a-b362-8e7b3f8bf71e,87,,,"[77.3, 80.0]",3775658,2,,,,-0.9285973,,,,,"[86.5, 67.7]",,Low Pass,,15.360013,,,Georgia Stanway,4643.0,,,,,,Throw-in,1,From Throw In,Lucy Bronze,10178.0,Right Back,8,Manchester City WFC,746,['8453be5b-d24d-4422-9fb5-3a8ea0c1ce7c'],2,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:02.975,Pass,
,,,,,,,,,,,,,,,,1.211712,,,,,,,,,b4ae7263-cbeb-48bf-85ae-5d44cff74fa7,89,,,"[86.5, 67.7]",3775658,2,,,,2.6984901,,Right Foot,,,"[74.7, 73.3]",,Ground Pass,,13.061394,,,Lucy Bronze,10178.0,,,,,,,1,From Throw In,Georgia Stanway,4643.0,Right Center Midfield,8,Manchester City WFC,746,['beaaeaeb-f015-4907-ae71-6461e5e597c2'],4,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:04.009,Pass,
,,,,,,,,,,,,,,,,1.964303,,,,,,,,,b3ca724b-0a4a-46e7-878a-a4b1ec4c2f69,93,,,"[70.7, 68.8]",3775658,2,,,,-2.8876784,,Right Foot,,,"[41.8, 61.3]",,Ground Pass,,29.857327,,,Stephanie Houghton,10185.0,,,,,,,1,From Throw In,Lucy Bronze,10178.0,Right Back,8,Manchester City WFC,746,"['ad9baab8-a80e-4eed-ba08-7533308b3079', 'b88a4dc6-7429-4aa2-a225-7dd12d1c059e']",6,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:06.344,Pass,True
,,,,,,,,,,,,,,,,2.66203,,,,,,,,,c6d5444e-a0bb-4a67-9a8e-d52d1950c6f7,96,,,"[42.6, 57.5]",3775658,2,,,,-2.4751275,,Right Foot,,,"[24.8, 43.5]",,Ground Pass,,22.645971,,,Ellie Roebuck,4637.0,,,,,,,1,From Throw In,Stephanie Houghton,10185.0,Right Center Back,8,Manchester City WFC,746,['f2398af2-bf80-4384-a81e-454779fadc29'],12,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:12.905,Pass,
,,,,,,,,,,,,,,,,1.050164,,,,,,,,,31f3ef6b-fb09-4fd3-83f9-9b8f9ab8942c,99,,,"[24.8, 43.5]",3775658,2,,,,-0.87255543,,Right Foot,,,"[29.5, 37.9]",,Ground Pass,,7.3109508,,,Stephanie Houghton,10185.0,,,,,,,1,From Throw In,Ellie Roebuck,4637.0,Goalkeeper,8,Manchester City WFC,746,['8c6d8f10-7228-487e-8b50-bb9c52ffb916'],17,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:17.378,Pass,
,,,,,,,,,,,,,,,,1.610499,,,,,,,,,3c8be632-993c-48a2-b4a3-7fff4b27d002,102,,,"[31.2, 26.3]",3775658,2,,,,-1.6056081,,Right Foot,,,"[30.5, 6.2]",,Ground Pass,,20.112185,,,Abby Dahlkemper,5081.0,,,,,,,1,From Throw In,Stephanie Houghton,10185.0,Right Center Back,8,Manchester City WFC,746,['1ba4f154-95e5-453a-a4a9-bb6e0afb2a2e'],20,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:20.149,Pass,
,,,,,,,,,,,,,,,,2.260651,,,,,,,,,954a9814-9926-4435-8cd6-bc474a3ccd8d,105,,,"[30.5, 6.2]",3775658,2,,,,2.0281148,,Right Foot,,,"[14.9, 37.9]",,Ground Pass,,35.33058,,,Ellie Roebuck,4637.0,,,,,,,1,From Throw In,Abby Dahlkemper,5081.0,Left Center Back,8,Manchester City WFC,746,['7382ba11-5485-489a-b72f-bc9578213b93'],22,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:22.816,Pass,
,,,,,,,,,,,,,,,,2.043762,,,,,,,,,8f2931c2-662d-47f0-b4a5-e3646f0c0884,109,,,"[15.6, 37.8]",3775658,2,,,,1.1597317,,Right Foot,,,"[25.8, 61.2]",,Ground Pass,,25.526457,,,Keira Walsh,4658.0,,,,,,,1,From Throw In,Ellie Roebuck,4637.0,Goalkeeper,8,Manchester City WFC,746,"['0647999b-e0b6-49cb-a824-8eb64609ad8f', 'd5d38c05-7862-44fc-998c-cfb2f3195e09']",26,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:26.076,Pass,True
,,,,,,,,,,,,,,,,5.666326,,,,,,,,,554529e0-2abc-4890-9ce6-72d5a4950778,112,,,"[27.4, 63.2]",3775658,2,,,,0.05639176,,Right Foot,,,"[114.2, 68.1]",,High Pass,,86.938194,,,Chloe Kelly,15570.0,,,,,,,1,From Throw In,Keira Walsh,4658.0,Center Defensive Midfield,8,Manchester City WFC,746,['7e084954-6cd9-47ca-bae1-8d9a55c08c7b'],31,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:02:31.598,Pass,
,,,,,,,,,,,,,,,,1.002962,,,,,,,,,3dc599cc-e92f-4e64-b8ed-bd901924b4b0,117,,,"[5.0, 16.2]",3775658,2,,,,1.219082,,Right Foot,,,"[9.0, 27.1]",,Ground Pass,,11.610771,,,Hayley Ladd,19501.0,,,,,,Recovery,1,Regular Play,Ona Batlle Pascual,46639.0,Left Back,9,Manchester United,1475,"['23231718-0020-4f6a-997a-05559de02e2f', '4184ef3b-15b0-42b9-9d11-7569b452bbfd']",42,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:42.153,Pass,True
,,,,,,,,,,,,,,,,0.832684,,,,,,,,,4fd31952-591d-40fa-b67f-2d93808980c8,120,,,"[5.4, 26.9]",3775658,2,,,,1.8133478,,Right Foot,,,"[3.0, 36.6]",,Ground Pass,,9.992497,,,Mary Alexandra Earps,31538.0,,,,,,,1,Regular Play,Hayley Ladd,19501.0,Left Center Midfield,9,Manchester United,1475,['bb387de0-6e84-4369-bf58-9073c5eaf733'],44,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:44.654,Pass,
,,,,,,,,,,,,,,,,2.394433,,,,,,,,,78e49796-0bb1-4d6a-b521-05fb45a53d12,122,,,"[3.0, 36.6]",3775658,2,,,,-1.3842582,,Left Foot,,,"[9.7, 1.1]",,High Pass,,36.12672,,Out,,,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,9,Manchester United,1475,,45,,,,,,,,,,,,,,,,,,Manchester United,1475,00:02:45.487,Pass,
,,,,,,,,,,,,,,,,1.279462,,,,,,,,,5f39a7bf-28c6-4bc4-94e9-f27aafa3ab9f,123,,,"[110.4, 80.0]",3775658,3,True,,,-1.5804578,,,,,"[110.2, 59.3]",,Low Pass,,20.700966,,,Ellen White,10180.0,,,,,,Throw-in,1,From Throw In,Lucy Bronze,10178.0,Right Back,10,Manchester City WFC,746,['1f3c436c-21b0-4264-94b9-07d8b6d33ca7'],3,,,,,,,,,,,,,,,,,,Manchester City WFC,746,00:03:03.787,Pass,
