50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,"[63.9, 11.5]",,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,a4d66a62-d7c2-4242-b5db-8469b09934ed,2529,,,"[63.9, 11.5]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Abbey-Leigh Stringer,15573.0,Left Defensive Midfield,199,Everton LFC,967,"['460cd88e-4340-4434-8a71-13056869438d', '99586121-28e6-4167-b05c-f1ffe13043e7']",22,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:22.802,Carry,
,,,,"[41.5, 15.5]",,,,,,,,,,,,,1.870633,,,,,,,,,,,,,,,,34a56786-d5ea-412a-9547-4eb5fe81995c,2532,,,"[50.0, 11.7]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Gabrielle George,15575.0,Left Center Back,199,Everton LFC,967,"['d8df2929-0fb8-426c-9292-097a07ca4dd1', 'e2625897-1b96-4b3e-b0b1-b11e349ee4d4']",24,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:24.095,Carry,
,,,,"[24.2, 36.1]",,,,,,,,,,,,,1.137766,,,,,,,,,,,,,,,,51cf06a2-73ba-4b68-9ff0-f71e1c4200ed,2535,,,"[23.2, 31.8]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Tinja-Riikka Tellervo Korpela,13857.0,Goalkeeper,199,Everton LFC,967,"['cf337c9a-dab1-4cff-874f-af6d84f0e1a4', 'dea0a0a8-b9c3-4c88-a22e-575003a59d30']",27,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:27.832,Carry,
,,,,"[37.4, 43.9]",,,,,,,,,,,,,1.345245,,,,,,,,,,,,,,,,8881f43a-f29f-48be-9b76-3f45778c15bf,2538,,,"[41.9, 39.7]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Abbey-Leigh Stringer,15573.0,Left Defensive Midfield,199,Everton LFC,967,"['7a5f973d-1a57-47af-ba0c-cb4e374fbff5', 'ae038d11-d017-4384-a5bc-4e6590dc4812', 'e24ca01b-a416-4d18-acba-423c4d99f62e']",30,,,,,,,,,,,,,,,,,,Everton LFC,967,00:38:30.313,Carry,True
,,,,"[111.0, 11.6]",,,,,,,,,,,,,5.977877,,,,,,,,,,,,,,,,b65929ae-31e7-4b02-9618-393868b16efd,2543,,,"[71.8, 15.4]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Amalie Vevle Eikeland,26570.0,Left Wing,200,Reading WFC,974,"['4b51e109-db3b-4a3b-8552-dd49ea4965dc', 'bb31fb13-b8c7-4a7a-9dc5-146763488dfd']",33,,,,,,,,,,,,,,,,,,Reading WFC,974,00:38:33.057,Carry,
,,,,"[107.3, 19.1]",,,,,,,,,,,,,3.876541,,,,,,,,,,,,,,,,2ad1c858-33aa-469c-b496-8781498c1adc,2552,,,"[101.3, 10.6]",2275127,83,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Amalie Vevle Eikeland,26570.0,Left Wing,200,Reading WFC,974,"['334f5107-d80e-4f8f-ad2e-989db2ef50ba', '806ced4d-6764-44ca-9e34-fd9270fda910']",51,,,,,,,,,,,,,,,,,,Reading WFC,974,00:38:51.178,Carry,
,,,,"[18.8, 64.7]",,,,,,,,,,,,,2.158902,,,,,,,,,,,,,,,,a462437f-7b36-4780-af59-01c0c27f6fc5,2561,,,"[17.8, 60.5]",2275127,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Megan Finnigan,18254.0,Right Center Back,202,Everton LFC,967,"['40163a10-c080-402d-9794-cbfbb4876ae8', '80fcb931-e77e-41b2-8423-8ea05bf1a67c']",7,,,,,,,,,,,,,,,,,,Everton LFC,967,00:41:07.899,Carry,
,,,,"[95.5, 42.4]",,,,,,,,,,,,,1.753024,,,,,,,,,,,,,,,,7a34dba3-aa5a-480f-ab9d-0f835a126007,2565,,,"[92.6, 46.1]",2275127,86,,,,,,,,,,,,,,,,,,,,,,,,,2,Other,Rakel Hönnudóttir,13834.0,Right Wing,202,Everton LFC,967,"['3e487170-4516-40c9-912d-3df7e6014967', 'dffb087d-83eb-4f73-ae56-0cbc66f0e79d']",11,,,,,,,,,,,,,,,,,,Reading WFC,974,00:41:11.808,Carry,
,,,,"[55.4, 7.7]",,,,,,,,,,,,,1.286905,,,,,,,,,,,,,,,,00d0f833-8250-46af-ba17-f3082706eefc,2570,,,"[51.2, 20.3]",2275127,86,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Lucy Hope,16386.0,Center Attacking Midfield,203,Everton LFC,967,"['02f15d48-e4fb-4764-bd85-8081c5d7c970', '2c0a5595-a069-4177-a44b-53514e8310ff', 'fe091222-2954-4343-8d7f-3dd798025f0a']",20,,,,,,,,,,,,,,,,,,Everton LFC,967,00:41:20.936,Carry,True
,,,,"[77.0, 67.6]",,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,da56b21a-491b-4f60-a577-0232a6ebc1ef,2577,,,"[76.5, 67.4]",2275127,87,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,Rakel Hönnudóttir,13834.0,Right Wing,204,Reading WFC,974,"['43fb281c-52a0-42fa-9963-24545da1ea19', '65a60842-d2af-4cdf-8a9a-b9e35c64a028']",4,,,,,,,,,,,,,,,,,,Reading WFC,974,00:42:04.637,Carry,
