50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,1.619255,,,,,,,,,,,,,,3b2fdd36-b77a-48b8-b2f5-ebe784255edf,61,,,"[10.8, 8.9]",3889182,1,,,,-0.367723,,Left Foot,,"[23.0, 4.2]",,Ground Pass,,13.07402,,,Giuseppe Bruscolotti,39947.0,,,,,,Free Kick,1,From Free Kick,Alessandro Renica,39817.0,Center Back,7,Napoli,227,['e759943a-230a-457f-9408-1c8c1487b458'],50,,,,,,,,,,,,,,,,,,Napoli,227,00:01:50.963,Pass,
,,,,,,,,,,,,,,,,,,,3.473446,,,,,,,,,,,,,,ebdc6c1a-2c99-4484-8e6c-b34adc019084,64,,,"[40.9, 11.6]",3889182,1,,,,0.37288386,,Right Foot,,"[77.2, 25.8]",,High Pass,,38.978584,,,Luciano Sola,398849.0,,,,,,,1,From Free Kick,Giuseppe Bruscolotti,39947.0,Left Center Back,7,Napoli,227,['ebfa0dfd-a6e3-414f-a84e-322ebd1b6f37'],57,,,,,,,,,,,,,,,,,,Napoli,227,00:01:57.042,Pass,
,,,,,,,,,,,,,,,,,,,0.520439,,,,,,,,,,,,,,17306dba-d1a7-4f10-a44d-1af44b11f1d8,67,,,"[80.6, 22.9]",3889182,2,,,,-1.8588518,,Right Foot,,"[75.8, 6.7]",,Ground Pass,,16.896152,,,Diego Armando Maradona,38641.0,,,,,,,1,From Free Kick,Luciano Sola,398849.0,Left Wing Back,7,Napoli,227,['8e7b6dbb-e50f-4c20-bba0-036935d1c5c2'],2,,,,,,,,,,,,,,,,,,Napoli,227,00:02:02.522,Pass,
,,,,,,,,,,,,,,,,,,,1.389741,,,,,,,,,,,,,,a589e618-8b69-44b0-9b6e-7b0b1cf4213d,73,,,"[85.0, 8.1]",3889182,2,,,,0.3622689,,Right Foot,,"[106.9, 16.4]",,Ground Pass,,23.420076,,,Bruno Giordano,39953.0,,,,,,Free Kick,1,From Free Kick,Francesco Romano,39954.0,Left Center Midfield,8,Napoli,227,['1e543798-3638-4b39-b93f-bb3e3dea23b0'],16,,,,,,,,,,,,,,,,,,Napoli,227,00:02:16.421,Pass,
,,,,,,,,,,,,,,,,,,,2.618167,,,,,,,,,,,,,,12c3548c-67df-44c8-ad5f-4260d4bf9ce8,80,,,"[113.8, 8.2]",3889182,2,,,,1.7199055,,Right Foot,True,"[107.1, 52.8]",,High Pass,True,45.100445,Incomplete,,,,,,True,Inswinging,,Corner,1,From Corner,Francesco Romano,39954.0,Left Center Midfield,9,Napoli,227,['495ea824-8f81-43f2-acf9-4737c205f5b8'],42,,,,,,,,,,,,,,,,,,Napoli,227,00:02:42.397,Pass,
,,,,,,,,,,,,,,,,,,,1.492099,,,,,,,,,,,,,,5b151139-bab6-4ae1-9792-0997cc2e370a,83,,,"[92.5, 54.4]",3889182,2,,,,0.892677,,Right Foot,,"[104.1, 68.8]",,Ground Pass,,18.49108,,,Fernando De Napoli,39846.0,,,,,,Recovery,1,From Corner,Giuseppe Bruscolotti,39947.0,Left Center Back,9,Napoli,227,['94073796-b5ca-4b5b-bcdd-926366d76029'],46,,,,,,,,,,,,,,,,,,Napoli,227,00:02:46.811,Pass,
,,,,,,,,,,,,,,,,,,,1.863397,,,,,,,,,,,,,,1458238f-3427-452d-9838-50dcfcc8b1c5,86,,,"[104.1, 68.8]",3889182,2,,,,-1.231694,,Right Foot,True,"[113.8, 41.3]",,High Pass,,29.16059,Incomplete,,Diego Armando Maradona,38641.0,,,,,,,1,From Corner,Fernando De Napoli,39846.0,Right Wing Back,9,Napoli,227,"['3fe38d33-6909-4984-84d5-9a722874664d', '4f9147bc-76bd-44b9-936c-83fe6e2c9d21']",49,,,,,,,,,,,,,,,,,,Napoli,227,00:02:49.077,Pass,
,,,,,,,,,,,,,,,,,,,1.423474,,,,,,,,,,,,,,fbecbcda-94ff-4721-91b6-fe56526e4abc,90,,,"[11.6, 39.2]",3889182,2,,,,-0.9755264,,Keeper Arm,,"[22.3, 23.4]",,Ground Pass,,19.082191,,,Sergio Brio,39823.0,,,,,,,1,From Keeper,Stefano Tacconi,39825.0,Goalkeeper,10,Juventus,224,['f0f8d923-b5dc-44bb-97cf-b2338a9c080e'],54,,,,,,,,,,,,,,,,,,Juventus,224,00:02:54.657,Pass,
,,,,,,,,,,,,,,,,,,,1.202075,,,,,,,,,,,,,,d4d717b5-2231-4ca4-ad5a-61981c50263a,93,,,"[45.3, 20.1]",3889182,2,,,,-0.1930945,,Right Foot,,"[63.2, 16.6]",,Ground Pass,,18.23897,,,Aldo Serena,398842.0,,,,,,,1,From Keeper,Sergio Brio,39823.0,Left Center Back,10,Juventus,224,['5a28ba2c-befc-4889-969a-57ce1e53641b'],59,,,,,,,,,,,,,,,,,,Juventus,224,00:02:59.800,Pass,
,,,,,,,,,,,,,,,,,,,1.463228,,,,,,,,,,,,,,4d353545-a0f4-4dfb-86a5-a2f5625bc96d,96,,,"[59.3, 15.5]",3889182,3,,,,-2.003204,,Right Foot,,"[55.7, 7.7]",,Ground Pass,,8.5906925,,,Massimo Mauro,39832.0,,,,,,,1,From Keeper,Aldo Serena,398842.0,Right Center Forward,10,Juventus,224,['45df61e7-633a-46ce-8c9f-8622bae6ebba'],1,,,,,,,,,,,,,,,,,,Juventus,224,00:03:01.703,Pass,
,,,,,,,,,,,,,,,,,,,1.244608,,,,,,,,,,,,,,f7447f91-140a-48dd-a1f7-f60ba90b0e5b,99,,,"[56.7, 12.3]",3889182,3,,,,1.3243002,,Right Foot,,"[60.6, 27.8]",,Ground Pass,,15.983116,,,Michael Laudrup,15008.0,,,,,,,1,From Keeper,Massimo Mauro,39832.0,Right Wing Back,10,Juventus,224,['af3a09ab-d5b7-42da-9269-e483417ed04c'],3,,,,,,,,,,,,,,,,,,Juventus,224,00:03:03.888,Pass,
,,,,,,,,,,,,,,,,,,,1.92018,,,,,,,,,,,,,,da7c0f4f-1c1f-4d22-8a52-a7ed97a1811e,103,,,"[64.0, 33.1]",3889182,3,,,,0.8869,,Right Foot,,"[73.7, 45.0]",,Ground Pass,,15.352524,,,Aldo Serena,398842.0,,,,,,,1,From Keeper,Michael Laudrup,15008.0,Left Center Forward,10,Juventus,224,"['a5e48a11-9a76-4a0f-a660-6dcfe650cb5d', 'fee28469-f09b-48e0-a248-b65f3c42aefb']",6,,,,,,,,,,,,,,,,,,Juventus,224,00:03:06.346,Pass,True
,,,,,,,,,,,,,,,,,,,1.445756,,,,,,,,,,,,,,5958450e-6892-4f79-a546-cbbdd7ee9758,110,,,"[33.6, 33.8]",3889182,3,,,,-0.4135756,,Right Foot,,"[51.6, 25.9]",,Ground Pass,,19.657314,,,Diego Armando Maradona,38641.0,,,,,,,1,From Keeper,Francesco Romano,39954.0,Left Center Midfield,10,Juventus,224,['7805594f-69fc-4947-bad7-03638b72a51b'],11,,,,,,,,,,,,,,,,,,Napoli,227,00:03:11.428,Pass,
,,,,,,,,,,,,,,,,,,,1.142812,,,,,,,,,,,,,,eeb2fdc6-5867-435d-b8df-f0255580206b,116,,,"[63.7, 15.9]",3889182,3,,,,1.5707964,,Right Foot,,"[63.7, 24.7]",,Ground Pass,,8.8,,,Moreno Ferrario,39944.0,,,,,,Free Kick,1,From Free Kick,Francesco Romano,39954.0,Left Center Midfield,11,Napoli,227,['9b582234-8b6c-462d-8c48-24f02912b4a6'],42,,,,,,,,,,,,,,,,,,Napoli,227,00:03:42.242,Pass,
,,,,,,,,,,,,,,,,,,,1.102166,,,,,,,,,,,,,,2e1dbeb0-3340-41cf-986d-ff18613c72c6,119,,,"[64.7, 24.9]",3889182,3,,,,0.31459078,,Left Foot,,"[89.9, 33.1]",,High Pass,,26.500566,Incomplete,,Bruno Giordano,39953.0,,,,,,,1,From Free Kick,Moreno Ferrario,39944.0,Center Defensive Midfield,11,Napoli,227,"['918a3754-8c5c-46fb-8313-e1b5520a093f', 'a82fc8a9-69f2-4be7-8a71-c4638acca7e0']",44,,,,,,,,,,,,,,,,,,Napoli,227,00:03:44.415,Pass,
,,,,,,,,,,,,,,,,,,,2.120841,,,,,,,,,,,,,,a82fc8a9-69f2-4be7-8a71-c4638acca7e0,121,,,"[30.2, 47.0]",3889182,3,,,,0.06053202,,Head,,"[53.3, 48.4]",,Low Pass,,23.142385,,,Aldo Serena,398842.0,,,,,,Recovery,1,Regular Play,Massimo Bonini,398841.0,Center Defensive Midfield,12,Juventus,224,"['2e1dbeb0-3340-41cf-986d-ff18613c72c6', 'ee609f4d-39ed-49c0-86d6-6ab09b8453e5']",45,,,,,,,,,,,,,,,,,,Juventus,224,00:03:45.518,Pass,
